title,text,url,published_time
Finally. The Feds — including ICE — appear to be investigating Ilhan Omar.,"On Oct. 30, I reported that the Department of Justice had assigned an FBI Special Agent in Charge, or SAC, to review Rep. Ilhan Omar's apparent, astonishing spree of felonies from 2009 to 2017.

Minnesota state Rep. Steve Drazkowski (R) had previously filed a complaint on the matter with the Minnesota District of the Department of Justice. That office — headed by U.S. Attorney Erica MacDonald, a 2018 Donald Trump appointee — directed the FBI to review the complaint. An FBI SAC formally met with Rep. Drazkowski, and others, in mid-October to receive a prepared file of evidence and related information.

I can confirm that the FBI has taken additional steps since this October meeting.

***

In October, the FBI SAC stated that the wide range of criminal activity suggested by the evidence against Rep. Omar may lead the FBI to expand the review to other federal departments. In such situations, the SAC continued, the FBI often acts as a hub — sharing evidence, or coordinating a joint investigation, with several other investigative agencies.

Indeed, this has since occurred.

At least the following two federal agencies were contacted by the FBI with information regarding Rep. Omar. The FBI then placed the October meeting attendees in touch with selected investigators within these two agencies:

1. Department of Education Inspector General

This is related to evidence suggesting that Rep. Omar's 2009 marriage to a UK citizen may have been an attempt to facilitate federal student loan fraud, or other fraud involving higher education.

● Shortly after Omar's 2009 marriage, the new couple moved to Fargo, North Dakota. Omar enrolled at North Dakota State University in August 2009. Her husband enrolled the following year.

Omar received a degree in June 2011. According to Omar herself, she and her husband then permanentlyseparatedin June 2011. The marriage's start and end coincide with the start and end dates of Omar's NDSU enrollment.

Incredibly — according to address records, and a statement from Omar herself — she was also still living with her first husband, and their two kids, throughout this second marriage.

● In 2017, Omar finally filed for divorce. Under penalty of perjury, she submitted a nine-question form to the court attesting to having lost all contact with her NDSU husband in June 2011.

Dozens of verified social media posts, photos, and even a 2016 interview with the NDSU husband indicate otherwise. It appears Omar perjured herself eight times answering those nine questions.

(Click here for analysis of an additional court document Omar submitted, which suggests the likely motive for Omar taking such a risk. Each instance of perjury in Minnesota can receive a sentence of five years.)

2. Immigration and Customs Enforcement

● This is related to evidence suggesting a breathtaking number of possible immigration-related felonies. As I stated in an introductory passage within my July 18 article:

The [following] answers to those questions about [Rep. Omar's 2009 marriage] appear to give probable cause to investigate Omar for eight instances of perjury, immigration fraud, marriage fraud, up to eight years of state and federal tax fraud, two years of federal student loan fraud, and even bigamy.



To be clear: The facts describe perhaps the most extensive spree of illegal misconduct committed by a House member in American history.

The involvement of ICE with a possible criminal investigation could hardly be of greater political import to Omar.

For several years, Omar has vigorously supported the abolishmentof ICE. Her 2020 re-election platform — featured on her campaign site, and pictured below — targets ICE agents with vicious rhetoric that simply must be read by interested parties.

States Omar's site: ""Immigration and Customs Enforcement (ICE) is an unreformable organization that has become increasingly militarized, brutal, and unaccountable.""

Image source: Ilhan Omar campaign website screenshot

--

Since August 2016, the remarkable story of Rep. Ilhan Omar's past has produced scarce political, law enforcement, or media activity. A near-perfect inversion of the Trump/""Russian collusion"" yarn, with which it is inseparable.

Consider how the Trump investigation was initiated, as former FBI Director James Comey tells it. (Recent statements from Attorney General William Barr and U.S. Attorney John Durham suggest disagreement.) Comey treated an unverifiable claim, from a foreign diplomat, of a drunken remark by a low-level Trump staffer as predicate for spying on a presidential campaign.

Comey never did find stronger evidence. Yet the Democratic Party and supportive media hardly paused, for three years, covering this investigation.

Concurrently — in August 2016 — Minnesota reporters Scott Johnson and Preya Samsundar were publishing extensive, verified, still-unchallenged evidence implicating Rep. Omar in multiple felonies. Their exponentially more substantial evidence was ignored by the Democratic Party and supportive media. Their evidence was even ignored by law enforcement, per an extraordinary public dismissal shortly before Omar's 2016 election to the Minnesota House of Representatives.

FBI guidelines require only ""'articulable factual basis' of possible criminal activity"" to open an investigation. By September 2016, Johnson and Samsundar had objectively breached that threshold. Picture Comey applying his ""Crossfire Hurricane"" standards to their work — perhaps Omar's trial reaches the sentencing phase before the November election.

I followed up on Johnson and Samsundar's investigation in early 2018. A year later, the proportions of the verifiable case against Omar resemble that against a Batman villain. A comical number of likely felonies, all backed by gobsmacking evidence: Certified state and federal documents; certified UK government documents; archived state public school records; archived U.S. and UK address records; verifiably unmanipulated digital photographs; corroborating statements from Omar herself; corroborating statements from Omar's ex-husband himself; several years of social media posts from Omar's verified accounts; and several years of suddenly deleted social media posts from Omar's verified accounts.

And that's before we reach the good stuff.

Click here for what sure appears to be smoking-gun evidence. The only man on Earth with the same name and birthdate as Omar's ex-husband — appears to have been raised in the London home of Ilhan's verifiable sister. And has the same three family names.

Yet media continued to approach the developing story of Omar's background with zero rigor.

Literally zero.

Their distortions were provably deliberate, and their intentions blinking-red evident. Simply, Ilhan Omar's ""identity"" struck the Democratic Party and supportive media as being a best-case vehicle for selling progressivism. Omar's character? Worst-case. But they preferred the fantasy — they printed it, over and over, along with that other one sparked by drunken hearsay. The rule of law and the safety of Jews were roadblocks.

The Democratic Party and the media have not changed. Consider the coverage of the House Democrats' articles of impeachment, which do not even allege that the president committed a crime. However — much of the Obama-era, politically infected law enforcement leadership is indeed fired and gone. We have cause to believe many career federal investigators are honorable and were glad to see them go.

Rep. Omar now appears to be receiving the scrutiny her ""articulable facts"" have deserved since August 2016; perhaps a criminal investigation is open.",https://www.theblaze.com/contributors/feds-investigating-ilhan-omar,2020-01-16
Horowitz: Science mag that warned about danger of leaky vaccines in 2018 posts false editor’s note to cover for COVID shots,"Leaky vaccines are worse than no vaccine at all. That is the unmistakable conclusion one would derive from a May 2018 article in Quanta magazine, a top scientific publication, about the unsuccessful attempts to create vaccines for HIV, malaria, and anthrax that aren’t leaky and don’t run the risk of making the pathogens more dangerous.

Yet now that we are seeing such a microbiological Frankenstein play out in real life and people like Dr. Robert Malone have been citing this article to raise red flags about the leaky COVID shots, Quanta magazine took the unprecedented step of slapping an editor’s note on an article three and a half years later to get people to stop applying it to the leakiest vaccine of all time.

But the assertion that the shots reduce transmission is patently false, and the fact that these vaccines indeed don’t stop transmission or reduce viral load makes them the perfect candidate for the nightmare scenario the article’s author, Melinda Wenner Moyer, once warned about.

In order to distract from the failure of the shots to stop transmission, the injection cult focused on their purported ability to protect against severe illness. But as so many more vaccinated became severely ill as well – following like clockwork the timeline of events we witnessed from the leaky Marek’s disease chicken vaccine – they then focused on boosters to distract from the next failure. But any way you slice it, there is no way to run or hide from the fact that these shots have not reduced transmission one iota. In fact, some of the most prolific spreads are happening in places with near-universal vaccination rates among adults, often the most vaccinated region in the country having the highest number of cases per capita.

In many ways, this vaccine is much leakier than even the ones Moyer warned about in 2018. This is why Israel needs to authorize a fourth shot already for those with three shots, just to get them some protection from serious illness. The Pfizer CEO declared this week that in the U.S., “I think we will need a fourth dose.” At least 68 health care workers in a Spanish hospital got the virus despite already having been jabbed three times. 90% of those who recently rested positive on a flight from South Africa to the Netherlands were vaccinated, and all 14 who tested positive for Omicron were vaccinated. And of course, there is no denying the negative efficacy we are seeing on infection rates in the U.K. among the vaccinated.

Studies have consistently shown that transmission rates and viral loads were not different from vaccinated to unvaccinated people. An Oxford study even showed that the vaccinated did not experience lower rates of “long COVID” from infection. Researchers from the CDC’s COVID-19 Response Team recently posted a preprint study of prisoners and found that “no significant differences were detected in duration of RT-PCR positivity among fully vaccinated participants (median: 13 days) versus those not fully vaccinated (median: 13 days; p=0.50), or in duration of culture positivity.” They concluded, “Clinicians and public health practitioners should consider vaccinated persons who become infected with SARS-CoV-2 to be no less infectious than unvaccinated persons.”

So now that we’ve established that, contrary to the editors of Quanta, the vaccine is as leaky as it comes, what are the consequences? The 2018 article warns that unlike standard vaccines that drop in efficacy over time, leaky vaccine “failures caused by vaccine-induced evolution are different” because “these drops in vaccine effectiveness are incited by changes in pathogen populations that the vaccines themselves directly cause.” Moyer warns that RNA viruses have “a mutation rate as much as 100,000 times greater than that found in human DNA.”

But what if you threw 8.23 billion doses (and counting) of a leaky, non-sterilizing vaccine up against a mutant-prone RNA virus like a coronavirus? While the article focuses on potential leaky vaccines for HIV and malaria, working from the lesson of the Marek’s disease chicken vaccine, the concern that “these new vaccines may incite a different, and potentially scarier, kind of microbial evolution” should apply doubly for the COVID shots. Quoting professor Andrew Read of Penn State, Moyer shows how leaky vaccines in humans could potentially allow the virus to have its cake and eat it too – become very transmissible while remaining dangerously virulent, just like the learned experience with Marek’s chickens.

The problem with leaky vaccines, Read says, is that they enable pathogens to replicate unchecked while also protecting hosts from illness and death, thereby removing the costs associated with increased virulence. Over time, then, in a world of leaky vaccinations, a pathogen might evolve to become deadlier to unvaccinated hosts because it can reap the benefits of virulence without the costs — much as Marek’s disease has slowly become more lethal to unvaccinated chickens. This virulence can also cause the vaccine to start failing by causing illness in vaccinated hosts.

It's hard not to get goose bumps when observing that this is exactly what has been occurring since around July – roughly when the vaccines began leaking. The virus became extremely transmissible and was at least as virulent, as so many younger and healthier people were crushed by the virus. First it appeared to mainly affect the unvaccinated, then over time, as witnessed by the weekly data reports from the U.K., it began affecting even the protection from serious illness in the vaccinated – to the point that public health authorities could no longer hide the failure and had to throw a hail Mary calling for boosters.

Moyer notes that Read found a similar phenomenon with a leaky malaria vaccine in mice as with Marek’s disease vaccines in chickens:

In a 2012 paper published in PLOS Biology, Read and Vicki Barclay, his postdoc at the time, inoculated mice with a component of several leaky malaria vaccines currently being tested in clinical trials. They then used these infected-but-not-sick mice to infect other vaccinated mice. After the parasites circulated through 21 rounds of vaccinated mice, Barclay and Read studied them and compared them to malaria parasites that had circulated through 21 rounds of unvaccinated mice. The strains from the vaccinated mice, they found, had grown far more virulent, in that they replicated faster and killed more red blood cells. At the end of 21 rounds of infection, these more quickly growing, deadly parasites were the only ones left.

Now extrapolate that nightmare to humans, and you will understand the insane infection rates of a virulent virus creating death and mayhem since July at much higher rates than we saw before the vaccines ever appeared. Researchers at Queen Mary, University of London, noticed a strange phenomenon from ONS England mortality data that seemed to show a spike in deaths from the unvaccinated every time there was a large vaccination drive.

What would the two factors have to do with each other? Could this be the effect of those vaccinated with a leaky virus – before their protection from severe illness wears off – absolutely blasting the unvaccinated with a more virulent and aggressive virus made stronger by the suboptimal evolutionary pressure placed upon it by the vaccine?

Moyer ends the article by noting that, as Dr. Geert Vanden Bossche has warned, “the most crucial need right now is for vaccine scientists to recognize the relevance of evolutionary biology to their field.” However, she quotes Professor Read as saying that “researchers are afraid: They’re nervous to talk about and call attention to potential evolutionary effects because they fear that doing so might fuel more fear and distrust of vaccines by the public.”

So even three years ago, vaccination was just as sacrosanct in that you were not allowed to raise any red flags about flaws in some vaccines. And that is what we are seeing today. No matter how many red flags we see with this vaccine – from individual injuries to micro-evolutionary concerns about creating stronger resistant strains – you can never question any form of vaccine under any circumstance for any reason. And doing so will even get the publication to place an editor’s note three and a half years after publication wrongly suggesting that the leakiest vaccine of all time doesn’t leak.

Indeed, professor Read has already been forced to publicly denounce any comparison of COVID shots to his research on leaky vaccines, even if that required him to falsely assert that the COVID shots reduce transmission.



As New Zealand Prime Minister Jacinda Ardern warned, “There’s not going to be an endpoint to this vaccination program.”

New Zealand PM Jacinda Ardern says ""There’s not going to be an endpoint to this vaccination program"" www.youtube.com

She is correct. There is no endpoint to a leaky vaccine that directly induces viral immune escape. Precisely because those vaccines don’t work and actually make the virus stronger are why there is always a need for more vaccines that will make even more resistant pathogens so you can keep vaccinating and use the fear generated from the failures of the first round to facilitate the marketing of the second round. After all, we wouldn’t want a vaccine program to become a victim of its own success.",https://www.theblaze.com/fearless/oped/horowitz-science-mag-that-warned-about-danger-of-leaky-vaccines-in-2018-posts-false-editors-note-to-cover-for-covid-shots,2021-12-09
The FBI released 22 pages of files it had on Bigfoot — here's what they said,"The FBI has released nearly two dozen documents it had on the mythical North American biped known as Bigfoot. These include descriptions of encounters and details of analysis that was done on hair samples.

What do the documents say?

The first document, a letter dated Dec. 15, 1976, from former Assistant FBI Director Jay Cochran Jr. to Peter Byrne, the director of the Bigfoot Information Center and Exhibition in Oregon, mentions 15 ""unidentified hairs and tissue"" samples that Byrne wanted the FBI to analyze. Cochran agreed, and asked Byrne to send the samples to an FBI lab in Washington, D.C.

In a letter dated Aug. 26, 1976, Byrne pleads with the FBI to ""set the record straight, once and for all, inform us if the FBI has examined hair which might be that of a bigfoot; when this took place, if it did take place; what the results of this analysis were.""

Afraid that the FBI might not take his request seriously, he added, ""[P]lease understand that our research here is serious. That this is a serious question that needs answering and that an examination of hair, or the opposite, by the FBI, does not in any way, as far as we are concerned, suggest that the FBI, is associated with our project or confirms in any way the possibility of the existence of the creature(s) known as bigfoot.""

The documents also contain scans of newspaper clippings and the infamous blurry photo of Bigfoot included at the top of this story.

On Feb. 24, 1977, Cochran sent a letter to Howard S. Curtis, the executive vice president of the Academy of Applied Science in Boston, with the disappointing results of the hair analysis. From this letter it appears that the Curtis had submitted the sample on behalf of Byrne.

After an ""examination,"" which ""included a study of morphological characteristics such as root structure, medullary structure and cuticle thickness in addition to scale casts,"" the FBI determined that ""the hairs are of deer family origin.""

Pictures included with the letter purporting to be scans of the sample, show about a dozen or so pieces of hair roughly 4 1/2 inches long, attached to what seems to be a small piece of flesh roughly an inch in length.

In the final letter in this batch of documents, Curtis thanks Byrne for the analysis, and promises to deliver copies of the communication he had with the FBI to Byrne when he returned from Nepal. Byrne had traveled to the Asian country more than once to search for Bigfoot's wintery cousin, the Yeti.

What else?

During one of his trips to Nepal, not mentioned in the documents, he employed actor Jimmy Stewart and his wife Gloria to help him smuggle a finger from an alleged Yeti hand from a Nepalese monastery into the United Kingdom for testing. This finger turned out to be from a human.",https://www.theblaze.com/furnace/ready-the-fbi-released-22-pages-of-files-it-had-on-bigfoot-heres-what-they-said,2019-06-05
Change My Mind: America is SUPERIOR,"""Louder with Crowder"" host Steven Crowder shared bonus footage Thursday from his recent installment of ""Change My Mind"" where he defended his belief that America is the greatest country in the world and asked a student named Elise to change his mind.

While Elise claimed that she believed that America is great, she also stated that America is good but that other countries were were as good or better based on the health care system.

Click here to watch the full clip.

Crowder focused on the First Amendment, in honor of Independence Day, and asked Elise to share her opinion regarding freedom of speech in America and whether or not freedom of speech is one of the key elements that have made America superior.

According to Elise, America is not a superior country because of the flaws in our current health care system.

""I just don't think that America can be called the greatest country on Earth when people are dying because they don't have access to medication,"" Elise said.

Crowder explained why free health care would actually a violation of individual rights and why America is indeed the greatest country in the world.

""Not only because our health care is better than in those countries, the deaths are seven times higher if you have a disease in the UK the health outcomes are not better in other countries,"" Crowder said. ""Not only do I believe America is superior to those countries, outside of health care, freedom of speech is a big one. How can a country be better when they do not allow people freedom of speech?""

""I feel like freedom of speech is very important but i feel like there are certain things that are more important than others,"" Elise said.

Crowder asked Elise if she is willing to give up her right to free speech for socialized health care.

Elise said that she felt there are some things that she believed people should not be allowed to say.

""I don't think that I should be allowed to go around saying the N-word,"" Elise said.

Crowder asked her to clarify why she felt this way. Elise claimed that because the N-word is offensive that she should not have the right to say use it in public.

""That guy just called me a f***ing idiot,"" Crowder said. ""Should I be able to have these guys haul him away in cuffs?'



Watch the video below for more.

Want more from Steven Crowder?



To enjoy more of Steven's uncensored late-night comedy that's actually funny, subscribe to BlazeTV — the largest multiplatform network of voices who love America, defend the Constitution and live the American dream.",https://www.theblaze.com/louder-with-crowder/america-is-superior,2019-07-05
Boris Johnson will face a vote of confidence to determine if he gets the boot as Prime Minister,"British Prime Minister Boris Johnson is scheduled to face a vote of confidence Monday.

CNN reported that this vote to determine whether or not Johnson gets the boot from office was triggered by lawmakers within the prime minister’s own party who have grown dissatisfied with his performance in the role.

Graham Brady, the chairman of the 1922 Committee of backbench lawmakers in Parliament, said in a statement that the number of Conservative Party parliamentarians calling for a vote of confidence in Johnson had reached the necessary threshold.

The vote of confidence will reportedly be held in England between 6 p.m. and 8 p.m. with results expected to be announced shortly thereafter.

If 180 Conservative lawmakers — a simple majority within the party — vote against Johnson, e will cease to be the leader of the party and will be forced to vacate the office of prime minister. If this is the case, Johnson will be getting the boot just three years after his party took parliament by winning parliament in a general election landslide.

Under current party rules, if Johnson is forced out of office, he will not be allowed to run in the leadership contest to determine his replacement.

If Johnson survives the vote of confidence, he will remain as both the leader of the party and continue serving as prime minister.

Johnson has fallen out of favor with many in the Conservative Party after the so-called “Partygate” scandal stemming from months of allegations of parties and intimate gatherings be hosted by the prime minster throughout England’s COVID-19 lockdown. Johnson participating and hosting these events is largely what has eroded confidence in his leadership.

Last month, a report released by Sue Gray, a senior civil servant, detailed a culture of partying and socializing among Johnson’s staff while millions of British citizens were banned from seeing their friends and relatives. Johnson has also been heavily criticized for his government’s response to the rapidly rising cost of living in Great Britain.

A spokesperson from Johnson’s administration said that the prime minister “welcomes the opportunity to make his case to MPs.”

The spokesperson said, “Tonight is a chance to end months of speculation and allow the government to draw a line and move on, delivering on the people's priorities.”

The spokesperson added that Johnson will “remind [the MPs] that when they’re united and focused on the issues that matter to voters there is no more formidable political force.”",https://www.theblaze.com/news/-2657464262,2022-06-06
Survey: 1 in 5 Europeans believe a secret Jewish cabal orchestrates global affairs,"One-fifth of Europeans believe an anti-Semitic conspiracy theory that a secret Jewish cabal influences global political and economic affairs, a new survey found.

More than 16,000 citizens from 16 different European countries including the United Kingdom, France, Germany, and Belgium were interviewed over the last couple months as a part of the survey conducted by the Hungary-based Action and Protection League.

The results were disclosed at a conference on anti-Semitism in Paris on Monday, according to the Jewish Telegraph Agency, which also reported findings that one in five Europeans agreed with the statement that ""Jews exploit Holocaust victimhood for their own needs.""

Here are some of the other results from the survey:

A quarter of respondents agreed with the statement that Israel's policies make them understand why some people hate Jews.



More than a quarter concurred with the statement that ""Israel is engaged in legitimate self defense against its enemies."" A quarter of respondents disagreed and 46% did not express a position.



More than a third agreed with the assertion that ""During World War II, people from our nation suffered as much as Jews.""

A sample of 1,000 adults from each of the 16 countries were presented with 45 questions or statements in face-to-face interviews about Jews and Israel, the Action and Protection League told JTA. The survey reportedly has a margin of error of +/-0.8 percent.

Commenting on the results, Rabbi Slomo Koves, the chairman of the Action and Protection League, reported that Holocaust revisionism and stereotypes about Jewish people were more prevalent in Eastern European countries, while anti-Israel sentiments were more prevalent in Western Europe.

A complete breakdown of the survey results on a country-by-country basis is still being worked out, Koves acknowledged.

The survey follows a similar study conducted by the Anti-Defamation League, an international Jewish organization that aims to stop the defamation of Jewish people worldwide, last spring and summer. That study, which interviewed people living in 18 countries around the world, found that 1 in 4 Europeans ""harbor pernicious and pervasive attitudes toward Jews.""

Anti-Semitism is not isolated to European countries, though. A recent FBI statement titled, ""Confronting the Rise in Anti-Semitic Domestic Terrorism,"" noted that ""2019 was the deadliest year for domestic violent extremism"" since 1995.",https://www.theblaze.com/news/1-in-5-europeans-secret-jewish-cabal,2020-02-27
17-year-old who recorded viral video telling teacher there are only 'two genders' is kicked out of school,"First, the 17-year-old earned a three-week suspension after recording a viral video of him telling a teacher there are only ""two genders.""

But now the teen is no longer allowed to attend Mearns Academy in Aberdeenshire, Scotland, the Evening Standard reported.

What's the background?

Citing an interview with the boy, the paper said the flap erupted when his teacher complained about a website that provided only two gender options and ""how old fashioned"" that was — and the student spoke up: ""But, sir, there's only two genders.""

""He instantly snapped back and said, 'Are you really going to go there?' and I was like, 'Yeah, there's two genders,' and he said, 'Murray, if you want to have this discussion, we can have it outside,'"" the student said, according to the Evening Standard.

Outside the classroom, the student hit record on his cellphone just prior to the teacher joining him — and their argument was captured for posterity.

""You're entitled to your opinion,"" the teacher said.

""If I am, then why did you kick me out of class?"" the student shot back. ""That's not very inclusive.""



""You aren't being inclusive,"" the teacher argued, adding that ""this is an inclusive school.""

The teacher added that the student's notion that there aren't any other genders except male or female ""is not inclusive.""

The student started arguing again, but the teacher interrupted by saying ""you're choosing to make an issue of this"" and that the student had an ""opportunity to keep quiet.""

'Could you please keep that opinion to your own house?'

When the student continued arguing the two-genders-only point, the teacher grew flustered and asked, ""Could you please keep that opinion to your own house? Thank you. Not in this school.""



But the student didn't. In fact, he pressed on, saying it's unfair that the teacher got to state his opinion in class but the student was silenced.

'I am stating what is national school authority policy, OK?'

""I am not putting my opinion out,"" the teacher replied. ""I am stating what is national school authority policy, OK?""

But when the student argued that the more-than-two-genders policy ""isn't scientific whatsoever,"" the still-flustered teacher offered that ""not every policy is scientific.""

""Take this somewhere else ..."" the teacher soon added. ""The authority's point of view is very clear … that we make no discrimination on the grounds of—""

Then the student cut off the teacher: ""I'm not making any discrimination. I'm simply saying there are two genders. Male and female.""

""I'm sorry,"" the teacher said, ""but you chose to make an issue of making a point which was contrary to policy.""

The teacher added in a lower voice that the student is ""making bad choices.""

My Teacher Kicked Me Out of Class for Saying There are Two Genders youtu.be

Punishments mount



The student said he first earned a weeklong suspension for recording his teacher, which he said wasn't a surprise since he knew about that rule, the paper said.

The school ""emphasized that I wasn't getting into trouble for what I said"" on the video about two genders only, the student also noted, according to the Evening Standard.

He then said the school soon extended the suspension by another two weeks and told him he could return after summer break, the paper said.

'No chance I can return'



""We got called back in for another meeting, and they said after having lots of talks with people higher up [that] it's not OK for me to finish my education at that school effectively, and they told me there's no chance I can return,"" the student said, the Evening Standard reported.

An alternate perspective



But an Aberdeenshire council spokesperson said the student wasn't ""permanently excluded from Mearns Academy"" as he'd ""reached the end of his time in compulsory education,"" which ends at age 16 in Scotland, the paper said.

""Staff from the school are working hard to ensure that the young man has a positive future placement either in further education or in an area that he chooses,"" the spokesperson added to the Evening Standard.

Now what?



The student said he's unsure what path to take at this point and is worried a new school might ask Mearns Academy for a reference: ""This won't just affect me in this school; this could affect me in getting into another school as well,"" he noted, according to the paper, adding that the circumstance is ""definitely a big speed bump in my life at the moment.""

(H/T: The College Fix)

",https://www.theblaze.com/news/17-year-old-who-recorded-viral-video-telling-teacher-there-are-only-two-genders-is-kicked-out-of-school,2019-07-09
39 found dead in refrigerated truck container in UK; human trafficking suspected,"Ambulance workers found 39 dead bodies, including one teenager, in the container of a truck parked at an industrial park in Purfleet, Essex, of the United Kingdom, according to CNN.

Police have arrested 25-year-old truck driver Morris Robinson of Northern Ireland on suspicion of murder. Paul Berry, the local councillor for Armagh in Northern Ireland, confirmed the driver's identity, although police are not commenting at this time.

Authorities believe the truck arrived by sea from the Belgian port city of Zeebrugge early Wednesday morning.

""Sickening news of 39 people found dead in a container in Grays,"" wrote Jackie Doyle-Price, the MP for the area in which the truck was found. ""People trafficking is a vile and dangerous business. This is a big investigation for Essex Police. Let's hope they bring these murderers to justice.""

Officials say the truck container was refrigerated, meaning temperatures could've been as low inside as -5 or -10 degrees Fahrenheit.

Police and the British Red Cross are working to identify the victims, including opening a hotline for anyone who believes a loved one may have been on the truck. The victims are not believed to be Bulgarian citizens, although the truck had been registered in Bulgaria in 2017, then left the country for good.

Critical to the investigation is tracking the route the truck traveled before the bodies were found in Essex, which police are now scrambling to do in order to gain more insight into who is responsible for the deaths.

According to the U.K.'s National Crime Agency, ""the past year has seen increasing use of higher-risk methods of clandestine entry"" including ""movement of migrants (including children) into the U.K. in containers, refrigerated [heavy goods vehicles] and small boats, at a high risk to life of those migrants smuggled.""

Nine people were found alive in a separate truck on a U.K. highway later Wednesday, and are receiving precautionary medical treatment before being turned over to immigration officers.",https://www.theblaze.com/news/39-dead-bodies-found-in-truck-in-uk-in-possible-human-trafficking-tragedy,2019-10-23
70 coronavirus vaccines are in development around the world — an Oxford scientist says one could be ready by September,"One of Britain's top scientists leading the effort to produce a COVID-19 vaccine recently said she is ""80%"" confident that a vaccine could be ready by September.

Sarah Gilbert, a professor of vaccinology at Oxford University, told the Times of London over the weekend that her team is set to begin human trials on its potential vaccine by the end of April. By September, the product could be ready for distribution — but only ""if everything goes perfectly,"" she acknowledged.

""I think there's a high chance that it will work based on other things that we have done with this type of vaccine,"" Gilbert said. ""It's not just a hunch and as every week goes by we have more data to look at. I would go for 80%, that's my personal view.""

Gilbert's team is one of numerous teams around the world working diligently — and at unprecedented speed — to come up with a working vaccine to fight the global coronavirus pandemic that has infected at least 1.8 million and killed over 115,000 people worldwide.

The World Health Organization announced Saturday that there are 70 vaccines currently in development around the world, with three of them already being tested in human trials.

According to Time magazine, the vaccine that is furthest along in the clinical process is being developed by Hong Kong-listed CanSino Biologics and the Beijing Institute of Biotechnology That vaccine is in phase 2 of human testing. Two others being developed in the United States by Inovio Pharmaceuticals and Moderna, along with the National Institute of Allergies and Infectious Diseases, are currently in phase 1 of human testing.

The University of Oxford vaccine candidate could be the fourth product to begin human trials in the coming weeks.

Another vaccine being developed in the U.S. by a team of researchers at the University of Pittsburgh are in the pre-clinical stage and are currently seeking fast-tracked approval for testing from the Food and Drug Administration.

Dr. Anthony Fauci, a leading health official on the White House coronavirus task force, previously cautioned Americans that it would likely be 12-18 months before a vaccine could be developed. Until further notice that conventional wisdom still stands.

But the hope is that scientific innovation and ingenuity will speed the process and shorten the time period.

Gilbert is certainly hopeful about her team's vaccine, but was careful to add that ""nobody can promise it's going to work.""",https://www.theblaze.com/news/70-coronavirus-vaccines-oxford-scientist-september,2020-04-13
77-year-old man shows off impressive boxing skills after would-be mugger tries to attack him at ATM — and the video footage is incredible,"A 77-year-old United Kingdom man is being hailed a hero for the way he physically staved off an attempted mugging.

Video of the incident has hit the internet and has gone viral.

What are the details?

A 77-year-old man named Trevor boxed his way out of a potential knifepoint mugging earlier in February.

Trevor had just arrived at an ATM in Cardiff, Wales, when an unknown attacker approached the elderly gentleman and demanded cash, according to South Wales police.

Trevor was having none of it, and decided to fight back instead.

Breaking out some boxing moves, Trevor grabbed the man, held him in a shoulder lock, and began punching and jabbing the would-be assailant. The unidentified attacker apparently decided the holdup wasn't worth it, though, and began backing away from the elderly man. Law enforcement officials said that the attacker got away, but was unable to get any cash from Trevor.



Authorities released surveillance footage of the incident on Wednesday, lauding the elderly man for his bravery. Trevor was not hurt during the scuffle. Police are still searching for the suspect and encourage the public to reach out with any knowledge of the attempted assault and robbery.

South Wales Police Cardiff tweeted about the incident on TKTK, writing, ""Detectives have been checking in on him and he's doing okay. He was shocked & very shaky after the incident, but thankful nothing worse had happened.""",https://www.theblaze.com/news/77-year-old-man-shows-off-impressive-boxing-skills-after-would-be-mugger-tries-to-attack-him-at-atm-and-the-video-footage-is-incredibleh,2020-02-19
