title,text,url,published_time
A big f#%king deal: Vice President Joe Biden has perfect NCAA bracket,"Vice President Joe Biden’s NCAA basketball bracket is still flawless going into the Final Four, a feat that none of the other 5.5 million participants in this year’s online bracket competitions has even come close to achieving, sources within the White House confirmed late Wednesday to The Daily Caller.

The odds of accurately predicting the March basketball tournament are so small, statisticians tell us, that that even if everyone alive filled out a different bracket, it would be highly unlikely for one to successfully pick the right teams to make the Final Four.

Biden first filled out the bracket, which he eventually submitted to NBC Sports’ $50 buy-in online Bracket Challenge game, on a handkerchief during last year’s Beer Summit at the White House. The July 30 summit that brought together feuding Harvard Professor Henry Louis Gates and police officer James Crowley occurred well before the teams that would play in the March tournament were even finalized.

“Oh, that makes a lot more sense,” Gates said in a somber interview with news affiliate KCBS this morning, when told of Biden’s bracket. “That whole time when we were drinking and he was talking about Butler, I thought he was referring to me.”

He added, “God damn, I just finished a book on racism in the White House. Really wish you guys told me this earlier.”

The White House said it had not informed the public that Biden has a perfect bracket for fear that his Final Four picks will turn out to be incorrect. Top administration officials, who just recently announced a major proposal to expand offshore oil drilling, reaffirmed on Wednesday that they would have preferred the perfect bracket stay a secret.

“Joe’s a lot like Eric Massa,” complained White House Chief of Staff Rahm Emmanuel, who has spent time in the showers with both men. “I wouldn’t want to be alone in a secret bunker with either one of the bastards.”

Despite the apparent discord in the White House, industry heavy-hitters say that secrets are hard to keep when you’re always in the public eye.

NBC Universal CEO Jeff Zucker confirmed during an interview in his New York office that even the most carefully laid plans that have been pondered for years can “really blow up in your face if you’re not careful.”

When told the vice president was the one holding the only flawless bracket in his company’s NCAA competition, Zucker and his assistant, a twenty-something named Jonathan, were visibly stunned.

“We’re working on a sequel to ‘Deal or No Deal,’” Zucker said, enthusiastically pointing to concept drawings for the new show hanging on his office wall as ideas clearly raced through his head. “Maybe we could get Biden to host it, when he leaves office.”

Jonathan nodded approvingly, typing every word his boss spoke into his Blackberry. “Good idea, sir.”

Zucker pressed on. “What could we call it?”

“’Big Fucking Deal or No Big Fucking Deal?’”

“I like it. Write it down,” Zucker responded quickly. “This could be huge.”

Almost as big a story as the vice president’s bracket, though, is how the White House was able to keep it a secret for so long.

“Joe’s been riding Amtrak all over the country to watch tournament games in different venues,” President Obama said in a speech two weeks ago, spilling the beans on Biden’s obsession with March Madness. ” He’s really just one of the regular folk, paying the usual $43 each way for his commute to work.”

Top White House adviser David Axelrod said that the administration got lucky when an autistic teenager drew headlines last week for having a perfect bracket and distracted attention from the vice president.

“Reporters, you know, they were closing in on Joe’s bracket,” Axelrod told The Daily Caller. “But then an autistic teenager, Alex Harman, comes along, and he’s called every game right, too.”

“Now, you guys are journalists,” Axelrod said as he folded the morning newspaper. “Would you rather do a big story on an autistic kid, or Joe Biden?”

**

BREAKING 7:05 A.M.: A thorough comparison of Joe Biden’s bracket to the one submitted by Harmon, conducted by The Daily Caller and verified by numerous media outlets, reveals that a large amount of the vice president’s bracket was, in fact, plagiarized.

“The picks were not the vice president’s,” White House spokesman Robert Gibbs confirmed today in an e-mail to the White House press pool. “Mr. Biden was not aware that it is inappropriate to plagiarize another fan’s bracket and regrets the error.”

The political fallout from the vice president’s decision to gamble on a major sporting event, and then to copy someone else’s bracket without attribution, is still uncertain. But at least some experts are suggesting things aren’t as bad as they appear.

“Look, it’s the Final Four,” a source who has it out for the Republican National Committee told The Daily Caller. “Biden will survive this. Basketball’s a bonding experience, not a bondage experience.”

UPDATE 4/2/10: Regardless of what Howard Kurtz tells you, this was an April Fool’s joke. Please disregard everything except the part about Rahm in the showers.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2010/04/01/vice-president-joe-biden-has-perfect-ncaa-bracket-up-to-final-four/&sa=U&ved=2ahUKEwjeqJDY_7P9AhVhMVkFHYbKB1g4ZBAWegQIBBAC&usg=AOvVaw2e3u5vP8mV7RX1Td-rJUbA,2010-04-01
Three More Women Share Their Alleged Experiences With Joe Biden After His Semi-Apology Video,"Three more women stepped forward Wednesday describing their experiences with former Vice President Joe Biden that left them feeling uncomfortable.

A former White House intern, a former congressional aide and a woman who was invited to the Oscars because of her experience with sexual assault told The Washington Post about their interactions with Biden.

Seven women have now come forward with concerns about Biden’s “intimate style” ahead of his anticipated 2020 presidential campaign launch, according to WaPo. (RELATED: Joe Biden In 2018: ‘Nothing Justifies’ Touching A Woman ‘Without Her Consent’)

Biden approached Vail Kohnert-Yount in the West Wing basement to introduce himself while she was a White House intern in the spring of 2013.

“He then put his hand on the back of my head and pressed his forehead to my forehead while he talked to me. I was so shocked that it was hard to focus on what he was saying. I remember he told me I was a ‘pretty girl,'” Kohnert-Yount said in a statement to WaPo.

“I do not consider my experience to have been sexual assault or harassment,” Kohnert-Yount said. “But it was the kind of inappropriate behavior that makes many women feel uncomfortable and unequal in the workplace.”

Former Democratic staffer Ally Coll told WaPo that Biden squeezed her shoulders and held her “for a beat too long” while complimenting her smile during the 2008 election cycle. She now says his alleged actions were inappropriate. Coll currently heads the Purple Campaign, a nonprofit group that fights sexual harassment.

Sofie Karasek’s alleged experience was the most recent one told to WaPo. She met Biden at the Oscars in 2016. He had introduced a performance by Lady Gaga, who invited a group of more than 50 sexual assault victims, including Karasek, to share the stage with her.

Karasek said Biden grabbed her hands and touched his forehead to hers after she shared a story with him about a college student who had been sexually assaulted and died by suicide, according to WaPo. A photo of the forehead touch was posted and shared on social media with a positive spin, but Karasek said it felt like a violation of her personal space.

Biden posted a video Wednesday in which he said he’s learning how to respect another person’s personal space and brought up “changing” social norms. He “still didn’t take ownership in the way that he needs to,” Karasek told WaPo.

Former Democratic Nevada Assemblywoman Lucy Flores started a domino effect Friday when she accused Biden of sniffing her hair and kissing the back of her head without her consent in 2014. He was campaigning for her at the time.

Follow Evie on Twitter @eviefordham.

Send tips to evie@dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/04/04/joe-biden-sofie-karasek-2020/&sa=U&ved=2ahUKEwjz3bDV_7P9AhWiEVkFHf08C7Y4PBAWegQIBBAC&usg=AOvVaw28g8sMDMQPG6b318nPQ1XP,2019-04-04
Biden Attempts To Walk Back China’s ‘Not Competition’ Remarks,"Democratic presidential candidate Joe Biden on Saturday clarified remarks he made about China not being an economic threat to the U.S. last week.

“I don’t suggest China is not a problem. I’m the guy who’s been the toughest on – I’ve spent more time with Xi Jinping than anybody else, just because the nature of my job,” Biden said during a fundraiser at the home of Richard “Dick” Harpootlian, an attorney and former South Carolina Democratic Party chairman in Columbia, South Carolina.

“He’s got problems, he’s got gigantic problems. Doesn’t mean he’s not a threat, doesn’t mean they’re not a threat,” Biden added.

Last Wednesday, while campaigning in Iowa, Biden argued that China, the world’s second-largest economy, was “not competition” for the United States. (RELATED: Biden Calls Trump A ‘Clown’ Before Saying He Won’t Get Into A Mud Fight With Him)

“China is going to eat our lunch? Come on, man,” Biden said. “They can’t even figure out how to deal with the fact that they have this great division between the China Sea and the mountains in the east, I mean in the west.”

Biden continued, “They can’t figure out how they’re going to deal with the corruption that exists within the system. I mean, you know, they’re not bad folks, folks. But guess what, they’re not, they’re not competition for us.”

Although Biden made similar comments in the past, his Wednesday remarks drew rebukes from not just Republicans but also Democrats.

“It’s wrong to pretend that China isn’t one of our major economic competitors,” the Sanders campaign tweeted. “When we are in the White House we will win that competition by fixing our trade policies.”

Since the China trade deal I voted against, America has lost over 3 million manufacturing jobs. It’s wrong to pretend that China isn’t one of our major economic competitors. When we are in the White House we will win that competition by fixing our trade policies. — Bernie Sanders (@BernieSanders) May 2, 2019

Ohio Democratic Rep. Tim Ryan called Biden “stunningly out of touch.”

President Donald Trump campaigned on changing U.S. trade policy with China. This past week he attempted to compel the Asian country to strike a deal with his administration by doubling tariffs on $200 billion of China’s sales to the U.S.

Follow Kerry on Twitter

Kerry Picket is a host on SiriusXM Patriot 125",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/05/05/biden-walk-back-china-not-competition-remarks/&sa=U&ved=2ahUKEwiJqYTW_7P9AhWFFVkFHSTgCFc4RhAWegQIBhAC&usg=AOvVaw2oGqjDaYVtK0xv6yazdggW,2019-05-05
Joe Biden’s Climate Plan Uses Nearly Identical Language As Other Sources,"Former Vice President Joe Biden’s climate plan appears to have used nearly identical language from other sources in at least five different passages.

Josh Nelson, co-director of environmentalist group CREDO Action, highlighted two instances where Biden’s campaign used the exact same language as left-wing nonprofits, without citations.

A subsequent review of Biden’s plan by The Daily Caller News Foundation identified three other examples of similarly phrased excerpts.

Biden: “Biden’s goal is to make CCUS a widely available, cost-effective, and rapidly scalable solution to reduce carbon emissions to meet mid-century climate goals.”

Carbon Capture Coalition: “Its goal is to make carbon capture, use and storage (CCUS) a widely available, cost-effective, and rapidly scalable solution to reduce carbon emissions to meet mid-century climate goals.”

Biden: “carbon capture, use, and storage (CCUS) is a rapidly growing technology that has the potential to create economic benefits for multiple industries while significantly reducing carbon dioxide emissions.”

Blue Green Alliance 2017 Senate letter: “Carbon capture and sequestration (CCS) is a rapidly growing technology that has potential to create economic benefits for multiple industries while significantly reducing carbon dioxide (CO2) emissions.”

Biden: “Aviation accounts for nearly 2% of global greenhouse gas emissions, and that portion is expected to increase. Unfortunately today, few low-carbon technologies or fuels have been developed to tackle this challenge.”

Vox: “Aviation accounts for about 2 percent of global greenhouse gas emissions, and that share is poised to grow… few low-carbon technologies or fuels have been developed so far.”

Biden: “The average American sewage pipe is 33 years old, with many pipes dating back 50 or even 100 years.”

American Rivers: “[T]he average American sewage pipe is 33 years old, with many pipes dating back 50 or even 100 years.”

Biden: “40% of the 567 federally recognized tribes in U.S. live in Alaska where the rapid pace of rising temperatures and melting sea ice and glaciers threaten the critical infrastructure and traditional livelihoods in the state.”

Climate.gov: “Of the 567 federally recognized tribes in the United States, 40 percent (229 tribes) live in Alaska Native communities. The rapid pace of rising temperatures, melting sea ice and glaciers, and thawing permafrost in Alaska is having a significant negative impact on critical infrastructure and traditional livelihoods in the state.”

Biden’s first campaign for president in 1988 was derailed after he was caught plagiarizing on multiple occasions. (RELATED: Artist Featured In Joe Biden’s ‘America’ Ad Actually From Denmark)

The Biden campaign did not immediately return TheDCNF’s request for comment.

After this article was published, the Biden campaign told Business Insider that the missing citations were “inadvertently” excluded.

“Several citations were inadvertently left out of the final version of the 22-page document. As soon as we were made aware of it, we updated to include the proper citations,” the campaign told BI.

Follow Hasson on Twitter @PeterJHasson

This article has been updated to include the Biden campaign’s response.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/06/04/joe-biden-climate-plan-plagiarism/&sa=U&ved=2ahUKEwiR-oPS_7P9AhXMFVkFHX-tAdU4ChAWegQIABAC&usg=AOvVaw1xvS-fWsci6g10FxoMWwxT,2019-06-04
Biden Supported Restoration Of Citizenship To Confederate Leader Jeff Davis,"Former Vice President Joe Biden supported the restoration of citizenship to Confederate leader Jefferson Davis in 1977.

The Democratic presidential nomination front-runner was a member of the Senate Judiciary Committee when senators were considering whether to restore citizenship to the man who was not only the president of the Confederate States Of America but also a secretary of war and a senator from Mississippi, the Washington Examiner reported Wednesday.

After the committee voted in favor of Davis, the measure was approved by the full Senate and by then-President Jimmy Carter. Biden also approved restoring citizenship to Gen. Robert E. Lee, who led the Army of Northern Virginia for much of the Civil War. (RELATED: Joe Biden Tells Europe That ‘America Is An Embarrassment’)

Both decisions attracted virtually no political opposition at the time but certainly would do so today when protestors seek to topple Confederate statues, rename streets and highways named after Confederate generals and banish the Confederate battle flag from sight.

Virginia’s Jefferson Davis Highway is set to be renamed in October because it honored “a racist traitor and slaveholder who led the fight to take up arms against our nation in order to preserve the brutal system of slavery,” according to Delegate Mark Levine in his newsletter.

The Davis citizenship bill stated that Davis “had served the United States long and honorably as a soldier” before joining the Confederacy and “should no longer be singled out for punishment. … The Congress officially completes the long process of reconciliation that has reunited our people following the tragic conflict between the States.”

Remembering that Biden supported the measure highlights just how long he has been a political force on Capitol Hill, serving as a long-time senator from Delaware long before he was chosen to be former President Barack Obama’s running mate. (RELATED: Joe Biden 2020 Website Is Tricking People Into Thinking It’s The Real Thing)

Although Biden likes to call himself the “most progressive” Democrat running for president, he has held very conservative positions over the years, including support for traditional marriage and the “three strikes” crime bill — both under former President Bill Clinton. Most recently, after decades of backing the Hyde Amendment that prohibits taxpayer funding of most abortions, Biden denounced the law.

Biden’s comments on race have also garnered criticism in the past. Biden once declared that segregation was a form of “black pride.”

Follow David on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/06/12/joe-biden-restoration-citizenship-confederate-jeff-davis/&sa=U&ved=2ahUKEwjeqJDY_7P9AhVhMVkFHYbKB1g4ZBAWegQIBRAC&usg=AOvVaw1zAvZAIzJhkcgeRcpYCTYd,2019-06-12
"New Yorker Profile Reveals Hunter Biden’s Past With Drugs, Car Crashes And His Divorce","A Monday profile in the New Yorker revealed the details behind Hunter Biden’s history with drugs, his divorce and dalliances, and his car crashes.

The profile revealed that though former Vice President Joe Biden discussed his oldest son Beau, who passed away from a brain tumor in 2015, at length in his recent memoir, the presidential candidate dwelt little on his son Hunter, except to praise him as a supportive brother. Joe does not often mention Hunter in speeches, the New Yorker added.

But Hunter’s history may be another reason his father does not often mention him. The former vice president’s son struggled with both drug and alcohol addictions for decades, according to the profile. (RELATED: This Is How Much Joe Biden Pays A Month For His Virginia Mansion)

Biden married Kathleen Buhle while working as a Jesuit volunteer at a church in Portland, Oregon. Buhle became pregnant three months after they started dating, and the two married in July 1993. They went on to formally separate in July 2015 and divorce in 2016.

One weekend before he was expected to report for reserve duty in 2013, Biden bummed a cigarette from South African strangers — a cigarette that Biden claims must have been laced with cocaine since his urine sample taken the next day tested positive for cocaine. Biden was discharged from the Navy for this usage in February of 2014.

Seeing her husband’s drinking problem, Kathleen reportedly gave her husband an ultimatum in 2015, telling him he would have to leave the house if he would not stop drinking. Hunter drank a bottle of vodka in response and left the house, according to the New Yorker.

The former vice president’s son reportedly fled to the arms of his dead brother’s wife, Hallie, and began using crack cocaine again (having first tried it in his college days at Georgetown University). Hallie and Biden began dating before his divorce with Kathleen was finalized and eventually moved in together. Biden is now married to South African filmmaker Melissa Cohen.

After he split from Kathleen, Hunter wandered around L.A. until he found a homeless man who showed him where to purchase crack, which Biden continued to do on several occasions. The New Yorker reported that on Biden’s first visit down the alley to purchase crack, “someone put a gun to his head before realizing that he was a buyer.”

Hunter also said he lost control of two different cars in the span of two days, blaming the first incident on lack of sleep and the second on a large barn owl who he says he may have hallucinated.

Biden’s reported indiscretions were exposed in 2017 when Kathleen filed a motion in D.C. Superior Court asking to freeze Biden’s assets. Kathleen said that he “created financial concerns for the family by spending extravagantly on his own interests (including drugs, alcohol, prostitutes, strip clubs, and gifts for women with whom he has sexual relations), while leaving the family with no funds to pay legitimate bills.”

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/07/01/hunter-biden-profile-joe-biden/&sa=U&ved=2ahUKEwiQ6K7T_7P9AhXVGFkFHce6DUU4HhAWegQIBhAC&usg=AOvVaw3R-Ubd11ouewOSL6AzO8fn,2019-07-01
Warren Weekend Event Draws Thousands While Biden Draws Hundreds,"2020 Democratic presidential candidates Elizabeth Warren and Joe Biden both held campaign events this weekend, but numbers show Warren’s event attendance heavily outnumbered Biden’s.

Warren held a Sunday event in Seattle that turned out to be her biggest campaign event so far, drawing a crowd of about 15,000 according to Politico. The widely attended event followed Warren’s Minnesota success earlier that week, where her event drew an estimated 12,000.

Biden simultaneously campaigned in New Hampshire and Iowa, but the former vice president’s events brought in crowds numbering in the low hundreds. His deputy campaign manager says that they are not worried about the difference. (RELATED:Warren Swipes At Biden: ‘It’s Not Enough To Be Not Trump’)

“Are we worried about Elizabeth Warren’s crowd size? No, we’re not. I get it and I understand that it’s an easy metric to measure or to view,” said deputy campaign manager Pete Kavanaugh.

While Biden denounced President Donald Trump throughout his speeches, Warren called for “big, structural change,” according to Politico.

Former state House candidate John Streeter compared the two candidates after one of Biden’s New Hampshire speeches Friday, according to Politico.

“Warren is a rock star,” Streeter said. “Joe Biden is a rock. We know him.”

Polls show Biden, the current Democratic front runner, has the best chance of beating Trump in the 2020 presidential election.

A CNN poll released Tuesday reveals that 29 percent of Democratic and Democratic-leaning voters say they would vote for Biden, up seven points from June CNN survey conducted after the first round of Democratic debates. (RELATED: Biden Campaign Ad Bashes Trump, Calls Him An ‘Erratic, Vicious, Bullying President’)

An August Quinnipiac University poll also revealed 49 percent of voters believe the former vice president has the best chance of beating President Donald Trump in the 2020 presidential election.

Fifty percent of voters said they believe electability is more important in a candidate than compatibility with “your views on issues.”

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/08/26/warren-biden-event-attendance/&sa=U&ved=2ahUKEwiQ6K7T_7P9AhXVGFkFHce6DUU4HhAWegQIBBAC&usg=AOvVaw39z4KWsLb4DrWZ78-70yBB,2019-08-26
Biden Praises Segregationists Less Than 24 Hours After Promising Not To,"Former Vice President Joe Biden praised a segregationist friend less than 24 hours after he promised to stop mentioning his past work with segregationists.

The 2020 presidential candidate told reporters Tuesday that he should not have discussed his memories of working with segregationists in the Senate earlier this summer, according to Politico.

“I’m not using those examples anymore,” he said, the publication reports. (RELATED: Warren Weekend Event Draws Thousands While Biden Draws Hundreds)

But Biden mentioned segregationist friend Fritz Hollings one day later at a townhall in Spartanburg, South Carolina on Wednesday. Hollings, a South Carolina Democrat who served as a senator for more than 38 years, passed away at age 97 in April.

“Folks, you know, I spent an awful lot of time in South Carolina because of my good friend,” Biden said, “and he was my great, great friend and helped me a great deal through some very difficult times, Fritz Hollings and PT Hollings, and I miss him.”

The former vice president often faces backlash for his political background. He told reporters Tuesday that “it’s hard” when his actions are brought up without the context of the time period.

“It’s hard,” Biden said, according to Politico. “I’m not being critical. I’m just saying I’ve got to be aware that when things are said by me or about something I did or said in 1970 or 1980, people don’t understand the context, and it really is a frightening thing.”

WATCH:

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/08/28/biden-segregationists-praise/&sa=U&ved=2ahUKEwiK6trS_7P9AhWNElkFHZjJBkM4FBAWegQIBhAC&usg=AOvVaw1Dcl-wD_dmXATQw45F4jD6,2019-08-28
"Joe Biden Unveils Immigration Platform, Acknowledges ‘Pain’ Of Deportations During Obama Era","Democratic presidential frontrunner Joe Biden released his immigration plan Wednesday, pledging to dismantle a number of the Trump administration’s key immigration policies.

Biden called for an end to Remain in Mexico, reinstatement of DACA, and raising the refugee cap to nearly seven times the current limit.

Unlike his progressive rivals, Biden did not call for a ban on deportations, or decriminalization of illegal immigration, and he doesn’t want to see DHS fundamentally changed.

Democratic presidential candidate Joe Biden published a sweeping immigration plan that called for an overhaul of the Trump administration’s agenda, but it remained largely moderate compared to his progressive contenders.

Biden’s campaign on Wednesday published a massive, nearly 6,700-word plan for how the Democratic candidate would manage immigration if elected president of the United States. While the former vice president pledged to undo a number of President Donald Trump’s most notable programs and acknowledged criticism of deportations that took place during his own administration, Biden’s platform was still reflective of his moderate stance on the issue of immigration.

Early on in the outline, Biden appeared to take a left turn by openly acknowledging the “pain” caused by deportations that took place during the Obama administration.

“Joe Biden understands the pain felt by every family across the U.S. that has had a loved one removed from the country, including under the Obama-Biden Administration, and he believes we must do better to uphold our laws humanely and preserve the dignity of immigrant families, refugees, and asylum-seekers,” the announcement said.

Since the launch of his campaign, Biden has been dogged by immigration activists who have criticized him for the record-high number of deportations — three million — that took place during the eight years of the Obama-Biden era. However, he has remained largely defiant about the statistic, and went so far as to say he had “nothing” to apologize for when asked by a Telemundo reporter earlier this month.

The former vice president announced on Wednesday he would mostly unwind the Trump administration’s immigration agenda. Namely, he pledged to end Migrant Protection Protocols, otherwise known as Remain in Mexico, a program that mandates asylum seekers wait in Mexico while their cases are processed in the U.S. immigration court system. He also said he would reinstate Deferred Action for Childhood Arrivals (DACA), and abolish for-profit detention centers.

The former vice president said he would raise the refugee cap nearly sevenfold — increasing the current cap of 18,000 to 125,000.

“Trump has waged an unrelenting assault on our values and our history as a nation of immigrants. It’s wrong, and it stops when Joe Biden is elected president,” the announcement said, referring to Trump’s immigration agenda as a “moral failing and a national shame.”

However, what was not addressed in the plan was also telling.

The leading Democratic candidate did not say he would put a moratorium on all deportations if elected president, nor did he say he would decriminalize illegal immigration. The omissions were notable as they are two positions becoming increasingly popular among his party’s base, and were recently adopted by both Sens. Bernie Sanders of Vermont and Elizabeth Warren of Massachusetts — the progressive darlings of the Democratic presidential field.

And unlike Sanders’ recent immigration platform unveiling, Biden did not call for an overhaul of the Department of Homeland Security (DHS). The two agencies under DHS that mostly deal with immigration enforcement — Customs and Border Protection (CBP) and Immigration and Customs Enforcement (ICE) — would not be fundamentally reworked under a Biden administration, but he did say that the two agencies would “abide by professional standards” and he would hold those accountable for “inhumane” treatment. (RELATED: Clinton-Appointed Judge Blocks Billions In Funding For Trump’s Border Wall)

Biden also said he would help address the border crisis by hiring more judges and court staff, and called for an investment of $4 billion of U.S. taxpayer funds into Central America to address the root causes of illegal migration.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2019/12/11/joe-biden-unveils-immigration-platform/&sa=U&ved=2ahUKEwiJqYTW_7P9AhWFFVkFHSTgCFc4RhAWegQIABAC&usg=AOvVaw34-su-5CfUrHYS2c-RqiHB,2019-12-11
Joe Biden Says He ‘Became A Professor’ After Leaving White House — He Never Taught A Class,"Vice President Joe Biden claims he “became a professor” after leaving the White House in 2017, but reports from the time say neither he nor the university that hired him expected him to teach any classes, and students and faculty were confused about what he would be doing.

Biden made the claim Wednesday at a campaign event in Georgetown, South Carolina, saying he “became a teacher, became a professor” rather than “taking a Wall Street job” before his book about his son, Beau, released. The University of Pennsylvania did indeed make Biden the “Benjamin Franklin Presidential Practice Professor” in 2017, but neither the school nor Biden expected him to teach any classes, according to comments at the time.

“He will not be teaching classes,” Biden spokesperson Kate Bedingfield said in 2017.

One article at The Daily Pennsylvanian featured the headline “No One Is Really Sure What Joe Biden Will Be Doing At Penn.”

UPenn announced Biden’s hiring on February 7, just a week after he left office, and by the end of February Biden’s role was “still uncertain” and “being ironed out,” University spokesperson Stephen MacCarthy told the Pennsylvanian.

MacCarthy did not respond to a request for comment. (RELATED: ‘I Wasn’t Arrested’: Joe Biden Admits He Lied Numerous Times About South African Trip)

One student at the time wrote that UPenn was paying Biden “to essentially do nothing but sporadically show his face on campus.”

The student was not far from the truth. Biden appeared on the UPenn campus four times to make speeches in 2017 and made another four speeches in 2018. Penn paid him $776,527 for his trouble, nearly double the average salary for everyday professors, according to PhillyMag.

When the Daily Caller asked whether Biden had in fact taught any courses since being hired, UPenn Vice Provost for Faculty Anita Allen did not list any, saying his work was instead based in Washington. (RELATED: Joe Bide: ‘No Man Has The Right To Touch A Woman…Other Than Self-Defense)

“Vice President Biden was hired principally to lead the Washington D.C. Penn Biden Center, which opened in 2018,” she said, clarifying that he began a leave of absence in April 2019.

Allen emphasized that “it is not unusual for a Penn faculty member to engage in something other than ordinary classroom teaching as their primary responsibility.”

The Biden campaign did not immediately respond to a request for comment.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2020/02/28/biden-penn-professor-south-carolina/&sa=U&ved=2ahUKEwiK6trS_7P9AhWNElkFHZjJBkM4FBAWegQIABAC&usg=AOvVaw3hqr5lY37LV7fwm8KtJK1b,2020-02-28
