title,text,url,published_time
N/A,N/A,https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://cdn01.dailycaller.com/wp-content/uploads/2018/11/CNN-complaint.pdf&sa=U&ved=2ahUKEwiPwtPX_rP9AhVmRTABHTJ0BFc4ChAWegQIBhAC&usg=AOvVaw236PolazLSXqZb4DHcdXD2,N/A
N/A,N/A,https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://cdn01.dailycaller.com/wp-content/uploads/2020/05/ADAD-Letter-Signed.pdf&sa=U&ved=2ahUKEwiPwtPX_rP9AhVmRTABHTJ0BFc4ChAWegQICRAC&usg=AOvVaw30uMcTL8bjGGLxqYFH-ijj,N/A
"Peter Thiel On Obama, Bush, Drudge, Trump And More","Libertarian tech mogul Peter Thiel is a big fan of Ron Paul and Matt Drudge — not so much of Donald Trump and Thomas Friedman.

In the final segment of The Daily Caller’s extensive interview with the Paypal founder about his new book “Zero To One: Notes On Startups, Or How To Build The Future,” among other topics, TheDC asked Thiel to give his impression of various notable American personalities in politics and the media.

About former Republican Texas Rep. Ron Paul, whose campaign for president Thiel financially supported in 2012, he said Paul was “very courageous in trying to move the Republican Party in a somewhat more socially liberal and fiscally conservative direction.”

Calling himself “dangerously addicted” to the Drudge Report, Thiel praised Internet media mogul Matt Drudge for “transform[ing] the media industry massively in the ‘90s.”

As for real estate billionaire and perennial faux presidential candidate Donald Trump, Thiel quipped that he was “sort of symptomatic of everything that is wrong with New York City.”

Of New York Times column Tom Friedman, Thiel said, “It’s important to read Friedman because you want to know exactly what the conventional wisdom says.”

Thiel also shared his thoughts on President Barack Obama and former President George W. Bush, but you’ll have to watch the video to see what he said.

Click below to see previous segments of TheDC’s interview with Thiel:

Peter Thiel Talks Politics, Living Forever And The Need For The GOP To Get Smarter Reps

Peter Thiel Explains 3 Things The Government Can Do To Help The Economy Boom

Follow Jamie on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/09/26/peter-thiel-on-obama-bush-drudge-trump-and-more/&sa=U&ved=2ahUKEwiA7O7d_rP9AhXsMVkFHVhFCU04ZBAWegQIBRAC&usg=AOvVaw3zLe0YtEx-hkK4gAREDovy,2014-09-26
"‘Jesus? He’s A Loser’: Secret, Super Authentic Trump Speech LEAKED","The Daily Caller has obtained an exclusive advance copy of a speech Donald Trump will deliver in the near future. Those words are presented here, without comment, for you, the reader:

I’ll tell you what I think. I raised $125,000 for one of His hospitals. That’s a lot of money. I supported Him, He lost. He let us down. But, ya know, He lost. So I never liked Him much after that, ’cause I don’t like losers. He’s a savior? He’s a savior because he was captured. He got crucified. I like saviors that weren’t crucified, OK? I hate to tell you: Jesus? He’s a loser.

I hate to tell ya: When I look at Him, I see a man who knows a trade — he’s a carpenter, I know, I hire a lot of carpenters, I build a lot of buildings. But Jesus didn’t make anything of that. He’s poor; he died poor. I look at that, and that tells me he’s lazy. No vision. Didn’t care. Loser.

And this loser was hanging around with other losers while the Romans laughed at them. Fishermen, call girls, a bunch of bureaucrats. Failures who couldn’t make a deal; no business sense, no original ideas. All losers.

So he had magical powers? So does he use them to make a deal? Does he build golf courses all over the world? Does he take on Caesar’s Palace? No. He gives out food and health care for free. It’s welfare; a loser feeding other losers.

I mean, he got out-dealed by Pontius Pilate, a loser if I ever saw one. But I feel bad for Pilate. He’s stupid. And fat. And later on he killed himself because he was a loser.

Fine. Blame Judas. But you know what? Jesus hired Judas as a senior vice apostle. Would I hire him for my campaign? I only hire winners. Judas wouldn’t get a job as a bus boy at a Trump hotel. He’d be fired before he hit the ground. And if he got by, I’d fire him and then I’d fire the manager who hired him. That’s called taking responsibility.

Did Judas even make a good deal? Thirty pieces of silver? That’s peanuts. It shows you how worthless these guys were. Can’t make a deal.

Look at me. I went to a top school. Got top marks. I’m very smart. I’m very rich. I’m very proud of myself and I’m very rich. I’m worth many billions of gold pieces. I’m very rich. And you know what? I don’t need the money. I hate to tell it to ya, I don’t. But I have the money because I make the deals. So, I would’ve paid 15 silver pieces for Jesus. And the Romans are laughing at us. So you know what? I’d make the Romans pay me. I’d say you bring me Jesus and then I’d make them pay for it. I’d get on the phone and make them pay for it. They’re laughing at us.

You know a prophet I respect? Moses. Smart. Won. Got things done. Knew how to deal. Pharaoh was laughing at him. So Moses got pharaoh to give him all his slaves, then he destroyed pharaoh’s army when he tried to go back on the deal. Built a wall of water, made pharaoh pay for it. Winner. Very smart. Probably very rich.

Thank you. Thank you very much.

Follow Blake on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/07/21/jesus-hes-a-loser-secret-super-authentic-trump-speech-leaked/&sa=U&ved=2ahUKEwjlufXY_rP9AhW7KlkFHZ5uAw04HhAWegQIBhAC&usg=AOvVaw3yxzicr7t2bZ9ULtZ3VMwS,2015-07-21
POLL: Rand Paul And Chris Christie More Unpopular Than Donald Trump,"Forty percent of Iowa Republican voters say they have an unfavorable opinion of Donald Trump, according to a Public Policy Polling survey released Monday. But the are two other Republican presidential candidates who are more unpopular with GOP primary voters.

According to the poll, 45 percent of voters have an unfavorable opinion of Kentucky Sen. Rand Paul while 44 percent don’t like New Jersey Gov. Chris Christie.

Trump, Paul and Christie got the most feisty in last week’s Republican debate.

Paul sparred with both Trump and Christie during the televised showdown.

“He buys and sells politicians of all stripes!” Paul said of Trump at the beginning of the debate.

“I don’t think you heard me,” Trump said dismissively of Paul at one point. “You’re having a hard time tonight.”

Arguing over the NSA during the debate, Paul also took a swing at Christie: “I don’t trust President Obama with our records. I know you gave him a big hug, and if you want to give him a big hug again, go right ahead.”

Christie told Paul at one point: “Senator, you know, when you’re sitting in a subcommittee, just blowing hot air about this, you can say things like that.”

In terms of popularity, former neurosurgeon Ben Carson is the most popular of all the Republicans, according to the PPP poll, with 69 percent of Republican saying they have have a favorable impression.

Follow Alex on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/08/10/poll-rand-paul-and-chris-christie-more-unpopular-than-donald-trump/&sa=U&ved=2ahUKEwjC54Lb_rP9AhXMF1kFHXBfCTk4PBAWegQIBRAC&usg=AOvVaw1_gI7MYwhFfGVu-F5QTzxd,2015-08-10
Trump: ‘I Love The Idea Of Campaign Finance Reform’ [VIDEO],"Donald Trump called federal campaign finance laws a “shame” and a “disgrace” on Friday and indicated for the first time that he would support laws to reform the campaign finance system.

“I love the idea of campaign finance reform,” Trump said during a press conference in New Hampshire.

As he’s done in the past, Trump slammed former Florida Gov. Jeb Bush as a “puppet” and accused him of being beholden to donors his campaign and super-PAC donors. But the real estate billionaire went further by indicating he would support additional legislation to regulate campaign finance.

“One of the things you should do is everybody should be known. If somebody gives a million or two million or five million it should be known,” Trump said, while decrying rules prohibiting PACs from coordinating with campaigns as “nonsense.”

PACs have “millions of dollars raised, $100 million raised, and they don’t coordinate with the other people?” he asked incredulously.

“I mean, Bush puts his best friend in there. They don’t talk?” he continued.

“Come on. We’re not babies. It’s a shame. It’s a disgrace.”

Trump also referenced Citizens United, the conservative non-profit group that won a 2010 Supreme Court case which allowed non-profit groups to spend unlimited amounts of money on political campaigns.

Trump said that while he is friends with Citizens United president David Bossie, he opposes the Supreme Court ruling in the group’s favor.

“It’s not a great decision for me…because I’m putting up my own money,” Trump said.

Trump has not given a hard dollar figure for how much he’s willing to spend on his campaign. When he first announced his candidacy in June, he said he’s willing to spend “whatever it takes.”

WATCH:

Follow Chuck on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/08/14/trump-i-love-the-idea-of-campaign-finance-reform-video/&sa=U&ved=2ahUKEwjgsdjb_rP9AhX3FVkFHV4KCsM4RhAWegQIBBAC&usg=AOvVaw2yXE6ZM52Mel7y48pNtL1C,2015-08-14
Trump Shuts Down Reporter: I’ll Use ‘Anchor Baby’,"Donald Trump got into a testy exchange with a reporter Wednesday night, saying that he would continue to use the term “anchor baby” regardless of whether some find it offensive.

The comments came during a press conference prior to a town hall event in Derry, New Hampshire. A reporter asked Trump whether his claim to have a “big heart” was consistent with using “anchor baby” to describe children of illegal immigrants.

“You said that you have a big heart, and that you’re not mean-spirited. Are you aware that the term ‘anchor baby,’ that’s an offensive term? People find that hurtful,” the reporter said.

“You mean it’s not politically correct, and yet everybody uses it?” Trump replied. “You know what? Give me a different term.”

The reporter proposed “the American-born childs [sic] of undocumented immigrants.”

Trump had none of it.

“You want me to use that? Okay. I’ll use the word ‘anchor baby.'”

Trump isn’t the only GOP candidate willing to use the term. Also on Wednesday, Jeb Bush said on Bill Bennett’s radio program “Morning in America” that as president he would work for “better enforcement so that you don’t have these, you know, ‘anchor babies,’ as they’re described, coming into the country.”

WATCH:

The remark drew a rebuke from Democratic front-runner Hillary Clinton:

Follow Blake on Twitter,

Send tips to blake@dailycallernewsfoundation.org.

Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@ dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/08/20/trump-shuts-down-reporter-ill-use-anchor-baby/&sa=U&ved=2ahUKEwiPwtPX_rP9AhVmRTABHTJ0BFc4ChAWegQIARAC&usg=AOvVaw0wYTEeGftVNT_qxIItkDpn,2015-08-20
Trump And O’Reilly Spar Over Foreign Policy With China: Trump ‘Would Get Him A McDonald’s Hamburger’ [VIDEO],"Donald Trump criticized President Obama for inviting Chinese President Xi Jinping to a state dinner later in September, saying, “I would get him a McDonald’s hamburger and say’You will get down to work because you can’t continue to devalue [your currency].'”

Trump, appearing on “The O’Reilly Factor” Monday, got in a feisty debate with Bill O’Reilly over who exactly is responsible for “sucking out” American jobs. Trump blamed the president of China, while O’Reilly blamed U.S. companies.

Bill O’Reilly: Two people coming to the United States of note in September, the Pope, okay, and the president of China is coming, a man named Xi Jinping. Do you know him? I have never heard who he is. But he is the president…

Donald Trump: Very smart.

O’Reilly: He is coming over. He is getting a big dinner free at the White House and addressing the U.N. If you were president of would you be throwing him a dinner?

Trump: I would not be throwing him a dinner, we’ve had this conversation. I would get him a McDonald’s hamburger and say ‘You will get down to work because you can’t continue to devalue.’ You know, we will give him a state dinner and what he has done is sucked all of our jobs and he has sucked the money right out of our country.

O’Reilly: Again, he hasn’t done it. U.S. companies do it. They’re doing it.

Trump: No, it’s our system.

O’Reilly: So, you would be confrontational with the Chinese? You are saying look,’I’m not giving you a dinner, here is a Big Mac’? Is that what you are going to do?

Trump: I would give them probably a double sized Big Mac. Look, it’s not so much the companies. It’s our government that allowed China to do that to us.

O’Reilly: I don’t buy that for a second. Trump: I do 100%, Bill.

O’Reilly: Our companies, they want as much money as they can. They go to Mexico. Our government let’s them do it but this is a free nation. So they want to go and do it, you can’t stop them.

Trump: Bill, our government, our government should have stopped China from devaluing.

O’Reilly: They can’t. Trump: They never even bring them up.

O’Reilly: How? Trump: Do you know how they can?

O’Reilly: Yeah, how?

Trump: Very simply, Bill, it’s so simple, they put a tariff on Chinese goods. You know, China …

O’Reilly: Alright. Then you have got a trade war.

Trump: You have to, you have to do that and then you bring it back to normal. You have no choice. You do that. Our government doesn’t even, and by the way, China does it to us. Do you think that we sell to China without a tariff? They call it a tariff. I call it a tax.

O’Reilly: There is no question the imbalance, there is no question the imbalance is that way.

Trump: Do you know what the big imbalance is? Intelligence. Their leaders are intelligent. Ours aren’t. We don’t know what we are doing. We had to do this and it should have taken place a long time ago, and you wouldn’t have this bubble right now, Bill.

O’Reilly: Okay, so I’m not going to get Xi Jinping and you together. I was going to take you both out to dinner but I’m not doing that because I think it might be bloody.

Trump: I’d get along with him very well. I think we would get along. I get along very well.

O’Reilly: I know, just like Putin and the Chinese, you would be vacationing in the Yellow Sea with them.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/08/24/trump-and-oreilly-spar-over-foreign-policy-with-china-trump-would-get-him-a-mcdonalds-hamburger-video/&sa=U&ved=2ahUKEwi0y5Td_rP9AhVNGFkFHXL1BIw4WhAWegQIBRAC&usg=AOvVaw06HIY93-4-wXSgJed1fOtG,2015-08-24
Trump Appears To Have Heavily Plagiarized Op-Ed From Carson,"An op-ed penned this month by Republican presidential candidate Donald Trump and published online appears to be blatantly plagiarized from an article written days earlier under former rival Ben Carson’s name, The Daily Caller has determined.

The similar op-eds were written on the topic of America’s territories and commonwealths.

Both pieces appear under the by-lines of the candidates. Carson’s piece, published Feb. 26, was published in the Marianas Variety in the Northern Mariana Islands.

Trump’s op-ed — published in the Pacific Daily News in Guam, part of the USA Today Network — was published 12 days later on March 9.

In some cases, full sentences and phrases — word-for-word — are lifted from Carson’s. In others, some words and phrases are changed and added.

Take the opening lines of both pieces as an example.

Carson’s piece begins: “MANY Americans do not appreciate the patriotism exhibited by our brothers and sisters in the Territories of American Samoa, Guam, the U.S. Virgin Islands, the Commonwealth of Puerto Rico and the Commonwealth of the Northern Mariana Islands.”

Here’s how Trump’s piece beings (with the exact wording from Carson’s piece bolded): “Throughout the history of our nation, the patriotism exhibited by our brothers and sisters in the Territories of American Samoa, Guam, the U.S. Virgin Islands, the Commonwealths of Puerto Rico and the Northern Mariana Islands has often gone unacknowledged.”

At another point, Trump’s op-ed uses, word-for-word, two identical sentences from Carson’s article: “Medical care in the American territories and commonwealths has historically lagged far behind the continental states, and Obamacare has only made the situation worse. Good health is an essential part of a thriving society and economy, and citizens of the territories and commonwealths deserve policies that work.”

Carson dropped out of the Republican race for president after a disappointing finish in the March 1 SEC primary. Ahead of Florida’s primary, the former neurosurgeon endorsed Trump last week.

Reached by phone, Carson adviser Armstrong Williams declined to comment other than to reference some of Carson’s old campaign staffers and say: “There’s no question they’re working for Mr. Trump now.”

The Saipan Tribune, a local news outlet in the Northern Mariana Islands, reported that a local Republican named Jason Osborne, who worked for Carson before joining Trump’s team, was involved in crafting the op-ed.

“Plagiarizing ideas, when you accept those ideas, isn’t plagiarism, it’s just flattery,” Osborne told the outlet.

The Daily Caller has reached out to Trump’s campaign.

See the similarities below:

Vince Coglianese contributed to this report.

Follow Alex on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2016/03/16/trump-appears-to-have-heavily-plagiarized-op-ed-from-carson/&sa=U&ved=2ahUKEwix_MvZ_rP9AhUOLFkFHUg0Avc4KBAWegQIAhAC&usg=AOvVaw2CYiWRQd8KsKUNbStHxNgZ,2016-03-16
Media Outraged After Trump Tricks Them To Cover Endorsements From Military Heroes,"WASHINGTON — The media showed up to the presidential ballroom of the new Trump International Hotel on Friday morning expecting Donald Trump to take questions about whether he still questions President Obama’s birthplace.

Instead, they got more than a half hour of a variety of military heroes — generals, medal of honor recipients and a gold star wife — expressing support for the Republican nominee. And it all aired live on the cable news networks.

Before the event, Trump tweeted: “I am now going to the brand new Trump International, Hotel D.C. for a major statement.” That was interpreted by the press to mean he was going to address “birther” questions.

That’s because on Thursday, Trump declined to tell the Washington Post if he still questioned whether Obama is an American citizen. But later Thursday night — after his comment took off in the media — Trump’s campaign released a statement saying: “Having successfully obtained President Obama’s birth certificate when others could not, Mr. Trump believes that President Obama was born in the United States.”

Realizing Trump was not using the occasion to address that subject — and instead focus it on the military — many in the press were not happy — and vented about it on Twitter.

18 months into this cable networks are still letting Trump hijack them for free airtime — ad time — by promising a “major announcement’ — Glenn Thrush (@GlennThrush) September 16, 2016

This is a f–king disgrace… https://t.co/YtSjlt57Os — Glenn Thrush (@GlennThrush) September 16, 2016

So at what point does this become an-kind contribution from the networks to the Trump campaign? — Jonathan Cohn (@CitizenCohn) September 16, 2016

Trump’s campaign hyped up change on birther issue. And now that TV networks carrying it live, we’ve had 20 mins of veterans endorsing Trump — Jeremy Diamond (@JDiamond1) September 16, 2016

Networks going to stick with Trump as he tries to cloak his racist birtherism in the herosim and service of these vets? — Eli Stokols (@EliStokols) September 16, 2016

“We got played, again, by the Trump campaign.” — John King just now on CNN. — Matt Viser (@mviser) September 16, 2016

Once again, the American news media gets totally played by Trump. Wall-to-wall coverage. We’re all guilty. — Jim Roberts (@nycjim) September 16, 2016

Jake Tapper calls it a “political rickroll.” — Charles C. W. Cooke (@charlescwcooke) September 16, 2016

Trump’s campaign announced the endorsement of 44 new military flag officers, saying that brings the number up to 164 now.

“I am grateful for the growing support of highly respected retired generals and admirals who have been so successful in defending our country,” Trump said.

At the very end of the campaign event, Trump finally addressed the topic the media was there to hear. “Hillary Clinton and her campaign of 2008 started the birther controversy. I finished it.”

“President Barack Obama was born in the United States,” Trump said. “Period. Now we all want to get back to making America strong again.”

Many reporters, some standing on chairs, began shouting questions over the applause from the guests in attendance. But Trump, having accomplished what he wanted, took none.

Follow Alex on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2016/09/16/media-outraged-after-trump-tricks-them-to-cover-endorsements-from-military-heroes/&sa=U&ved=2ahUKEwib6a7a_rP9AhX3FVkFHfGXCTo4MhAWegQIAhAC&usg=AOvVaw2KoyTX_y5ID3kx_6Omp0RH,2016-09-16
