title,text,url,published_time
N/A,N/A,https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://cdn01.dailycaller.com/wp-content/uploads/2019/11/1.pdf&sa=U&ved=2ahUKEwjw0YHIobP9AhUKr1YBHWhEC8g4ChAWegQIAhAC&usg=AOvVaw0nxEAQ17bohL1bjd3wQKQF,2019-11-01
N/A,N/A,https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://cdn01.dailycaller.com/wp-content/uploads/2022/06/Biden-Open-Letter-Final-1.pdf&sa=U&ved=2ahUKEwic5KjIobP9AhUvplYBHUI7DMg4FBAWegQIBBAC&usg=AOvVaw2mr1heOnBiLLrQafPRRUlh,N/A
Pat Buchanan questions U.S. intervention in Libya: ‘This is an Arab crisis. Arabs are killing Arabs’,"While some are debating the legality of President Barack Obama’s Libya policy and others are questioning the rationale of the president’s military strategy in the country, MSNBC contributor Pat Buchanan is wondering why the United States is traveling half-way around the world to play any role at all?

On Tuesday’s “Morning Joe” on MSNBC, network contributor Pat Buchanan questioned the basis of U.S. involvement in Libya and wondered why countries neighboring Libya don’t intervene instead?

“You’re dead right – [Sen. John] McCain and [Sen. Joe] Lieberman and the fellow from South Carolina [Sen. Lindsey Graham], they’re yelling about attacking this guy and that guy,” Buchanan said. “We have no right to do those attacks. But look – the Arab League has, so-called, authorized this. Why in the devil are the Egyptians who have 85 million people when Libya has got six? Why is their army not moving into Tobruk? Why is their army not moving into Benghazi?”

According to the former Republican presidential contender and senior adviser to former Presidents Richard Nixon, Gerald Ford and Ronald Reagan, if these nations would intervene, the crisis would end quickly.

“This is an Arab crisis. Arabs are killing Arabs,” Buchanan continued. “Why is the United States, all the way across the ocean, got to go in and stop Arabs from killing Arabs when they could have done that job themselves? The Egyptians and the other Arabs – there’s 35 million people in Algeria. There’s 10 million in Tunisia. All they got to do is send their army across the border, secure Benghazi and Tobruk in the east and the other cities in the west and this would be over. Why are we in there?”

Watch:



",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2011/03/22/pat-buchanan-questions-u-s-intervention-in-libya-this-is-an-arab-crisis-arabs-are-killing-arabs/&sa=U&ved=2ahUKEwjCyvPIobP9AhVxilYBHecNDsg4KBAWegQICRAC&usg=AOvVaw1wvhnZHdtLBVcI4qNYZ0_W,2011-03-22
"Acting US ambassador to Pakistan met with Code Pink, discussed ‘classified’ drone casualty counts","Richard Hoagland, the acting U.S. ambassador to Pakistan, discussed with Code Pink and anti-Israel activists what he said was classified information, during an October 3 meeting with the groups in Islamabad.

Code Pink, a liberal anti-war organization known for disrupting Republican and conservative public events, uploaded a video of the meeting to an Internet video sharing website on Oct. 5.

“I looked at the numbers today before I came here, and I saw a number of civilian casualties — officially U.S. government classified information,” Hoagland said at the meeting. “Since July 2008 it is in the two-figures. I can’t vouch for you that that’s accurate, in any way, so I can’t talk about the numbers. Alright. I wanted to see what we have on the internal record. [It’s] quite low.”

Realizing what he had said, Hoagland told the activist gathering: “I probably just, you know, got into big trouble with what I just said.”

Watch:

The left-wing delegation to Pakistan included Medea Benjamin, the co-founder of Code Pink, and Robert Naiman, the policy director of a left-wing group called Just Foreign Policy, whose board members include Julian Bond, the former NAACP chairman, and Tom Hayden, the 1960s radical and former California politician.

During the five-minute video, Naiman hands the ambassador a petition, which he claims was signed by more than three thousand people, calling for an end to U.S. military drone strikes in Pakistan.

Naiman also is seen giving Hoagland an anti-drone letter from left-wing American activists, including Alice Walker, Noam Chomsky, Juan Cole and Oliver Stone.

“We demand an immediate moratorium on the drone strikes,” the letter reads, in part. “We demand that U.S. policy in Pakistan be brought into compliance with U.S. and international law, that the U.S. government come clean about civilian casualties, that civilian victims and their families be compensated, and that ‘signature’ drone strikes and attacks on civilian rescuers be permanently abandoned, in Pakistan and everywhere else.”

Naiman, the policy director of the Just Foreign Policy organization, is a longtime anti-Israel activist who participated in an attempt to break the Israeli blockade of Gaza in 2011.

Several days after meeting with the anti-war activists, a Pakistani news outlet reported that Hoagland vowed that the U.S. would continue to deploy all resources, “including drones,” to fight terrorism coming from Pakistan, noting a new wave of terrorism there that began with the shooting of 15-year-old education activist Malala Yousafzai.

Follow Charles on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/11/05/acting-us-ambassador-to-pakistan-met-with-code-pink-discussed-classified-drone-casualty-counts/&sa=U&ved=2ahUKEwjevojKobP9AhUks1YBHYXsC1g4RhAWegQIBxAC&usg=AOvVaw22IQ0DZrWrH4_gEoLgCHLl,2012-11-05
EPA costs US economy $353 billion per year,"Transparency is the lifeblood of democracy. Washington needs more of it, especially in the all-too-opaque world of regulation. The Environmental Protection Agency (EPA), for example, is the most expensive federal regulatory agency. Its annual budget is fairly modest in Beltway terms, at a little less than $11 billion, but that’s not where the vast majority of its costs come from. Complying with EPA regulations costs the U.S. economy $353 billion per year — more than 30 times its budget — according to the best available estimate. By way of comparison, that is more than the entire 2011 national GDPs of Denmark ($332 billion) and Thailand ($345 billion).

That figure doesn’t come from the EPA, which last released such an estimate in 1990, but from the Competitive Enterprise Institute’s Wayne Crews, who parsed through publicly available documents, cost estimates of economically significant regulations, and whatever else he could find. That so much effort was required is part of the problem.

The agency should be much more open about the burdens it imposes. It can accomplish this by releasing its own annual estimate of the total cost of all its rules currently in effect. Better yet, given that agencies have an incentive to lowball their costs and highball their benefits, an independent auditor with no skin in the game should perform the estimate every year.

Another important question is the size of the EPA’s regulatory maze. Just how many of its regulations are there? It’s a tricky question, and you won’t find the answer from the agency.

Twice per year, a document called the Unified Agenda is published in the Federal Register. In it, all rulemaking agencies disclose what rules they have in the pipeline or are likely to propose in the near future. It’s a good transparency tool. The trouble is that it doesn’t keep up with agency rulemaking in a timely manner. Its most recent edition is the one for fall 2011. The spring 2012 edition was never published and the fall 2012 edition is now overdue.

In the last edition of the Unified Agenda, the fall 2011 edition, the EPA had 318 rules at various stages of the regulatory process. Nobody outside the agency knows how many rules it currently has in the pipeline. All in all, 4,995 EPA rules appeared in the Winter Unified Agenda from 1999-2011. Over the same period, 7,161 EPA final rules were published in the Federal Register. That means more than 2,000 final rules, which have the force of law, came into effect without first appearing in the Unified Agenda. This could indicate an important transparency problem.

That’s just the EPA’s annual flow of regulations. The agency has existed for more than 40 years. How many total rules does it currently have in effect? Again, the answer doesn’t come from the agency. Earlier this year, the Mercatus Center’s Omar Al-Ubaydli and Patrick A. McLaughlin ran text searches through the entire Code of Federal Regulations (CFR) for terms such as “shall,” “must,” “prohibited,” and the like. The CFR Title covering environmental protection alone contains at least 88,852 specific regulatory restrictions. The number could be as high as 154,350.

This is important information. The public, policy makers, journalists, and the EPA itself would have a better idea of how effectively it is pursuing its mission if this information were available.

Now, while it may seem that I have been singling out the EPA for its transparency shortcomings, the agency is not unique. Other agencies have similar problems. That’s why every rulemaking agency should release an annual report card-style document collecting widely dispersed information about compliance costs, the number of regulatory restrictions, and upcoming significant rules into a single, publicly accessible document. The Competitive Enterprise Institute recently published a report card for the EPA that could serve as a starting point for agencies’ own report cards. (We have more planned for other agencies.)

Justice Louis Brandeis correctly believed that sunshine is the best disinfectant. With high regulatory costs contributing to a stagnant economic recovery, it is well past time to shine more light on regulatory agencies. Annual agency report cards would make a good start.

Ryan Young is Fellow in Regulatory Studies at the Competitive Enterprise Institute.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/12/27/epa-costs-us-economy-353-billion-per-year/&sa=U&ved=2ahUKEwj7mJ_JobP9AhXXmlYBHSedAsg4MhAWegQIBBAC&usg=AOvVaw3q8FHY3aeSyvha1mkBacVK,2012-12-27
Yglesias is wrong about China’s U.S. bond purchases,"Matt Yglesias, Slate’s business and economics correspondent, is a lot like Dr. Evil in that he often laments that he’s surrounded by frickin’ idiots. This confidence came through in force in Yglesias’ recent post titled, “Stop Being Wrong About China Buying Our Bonds.” Ironically, not only is Yglesias himself wrong, but his analysis is downright impressive in the depths of its error. Contrary to Yglesias’ claim, the Chinese government’s enormous stockpile of Treasuries does indeed give it leverage over the U.S. government.

Yglesias’ post opens up with characteristic bravado when he writes:

No subject attracts as much wrong commentary from people in positions of authority and influence as China’s purchases of American government debt. Recent antics around the debt ceiling managed to bring about a new surge in wrongness on this subject, so let me set you straight about it once and for all.

Before diving into Yglesias’ case, let’s review the basic facts. The following table is taken from an August 2013 Congressional Research Service report on Chinese holdings (which in context seems to mean Chinese government and central bank holdings) of U.S. debt:

As the table indicates, currently the Chinese constitute some 23 percent of the entire foreign holdings of U.S. Treasuries. Furthermore, the CRS report also indicates that between 2003 and 2012, the Chinese covered at least $40 billion of the U.S. budget deficit in a given year, with the exception of 2011 when China’s holdings of Treasuries slightly declined.

In this light, it’s understandable why so many analysts are alarmed. If for some reason the Chinese government should decide to halt its purchases — let alone dump its accumulated holdings — of Treasuries, surely this would have serious ramifications?

Yglesias argues that these fears are baseless; the situation depicted in the table above “doesn’t give China any leverage over the American government.” How does Yglesias reach such a counterintuitive conclusion? He first explains that at current exchange rates, Americans buy more goods from Chinese exporters than vice versa. This trade deficit by itself would mean more dollars chasing Chinese yuan in the foreign exchange markets. We’ll turn over the narrative to Yglesias’ own words:

Now in the natural course of floating exchange rates what would happen here is that the dollar price of Chinese money would rise, and this would increase the price of Chinese-made stuff in America and decrease the price of American-made stuff in China. That in turn would tend to discourage the flow of Chinese-made stuff to the United States of America. But the Chinese government for various reasons wants to subsidize Chinese manufacturing. So they want to send those dollars they accumulate back to the United States….[W]hat they choose to do…is to purchase lots of US government debt. That’s a nice quiet way of limiting the extent of Chinese currency appreciation. But that’s all it is. It’s not an investment…[I]t’s certainly not a favor to the United States of America. The American government doesn’t need China to provide it with American fiat money — we have plenty of American fiat money. [Bold added]

It’s hard to know where to begin in unpacking the problems with Yglesias’ glib position. One way to tackle it is to look at what is actually happening when the Chinese government chooses to buy Treasuries. Contrary to Yglesias’ description, it’s not really the case that American importers send U.S. dollars to Chinese exporters, who build up piles of American fiat money, and then have to find something to do with it. Rather, the more general case is that American importers (or the financial institutions acting on their behalf) go to the foreign exchange markets and buy Chinese money with their dollars first, then use the Chinese money to buy Chinese goods.

At the same time, if the Chinese central bank wants to acquire more U.S. Treasuries, it doesn’t walk around with hat in hand to various Chinese exporters, asking them to deposit the U.S. dollar bills they’ve accumulated. No, the Chinese central bank enters the foreign exchange markets, looking to buy U.S. dollars with Chinese money, in order to then buy U.S. Treasuries with American money. Thus, to claim that the Chinese government is effectively mailing back dollar bills — which is no favor to us since the Treasury can just print up more dollar bills on our end — isn’t even technically what’s going on.

Yet that’s just a minor quibble. The fundamental problem with Yglesias’ argument is that he ignores the impact on the United States if the Chinese chose to use their dollar holdings to buy American exports, rather than more Treasuries. In other words, the “favor” the Chinese are bestowing on Americans in general (and the U.S. government in particular) isn’t that they are handing over dollars in exchange for more Treasuries. Rather, the “favor” is that they keep sending us manufactured goods without asking for anything “real” in return.

In principle, the Chinese could sell their current holdings of some $1.3 trillion (as of May) in Treasuries, then use the dollars thus raised in order to buy exports from the United States. Then at least one of the following effects would kick in, or (more likely) they would occur in combination:

POSSIBLE EFFECT #1: By dumping $1.3 trillion of Treasuries on the market at once, the Chinese would force up U.S. interest rates. In other words, in the very act of selling, the Chinese might depress the market value of their holdings (a drop in bond prices means a rise in yield), and not get the full $1.3 trillion at current market valuations.

POSSIBLE EFFECT #2: The sudden (and presumably long-term) collapse of Chinese demand for U.S. financial assets would lead to a sharp depreciation of the dollar. Suddenly “cheap” imports from China would not be so cheap. Retailers such as Wal-Mart would not be able to sell lamps, TVs, and other goods as cheaply as they currently do. Crude oil, quoted in U.S. dollars, would suddenly jump in price. Most retail items would become more expensive for American consumers.

POSSIBLE EFFECT #3: The first effect #1 above could be offset to the extent that private American investors stepped into the breach and mimicked the role previously played by the Chinese, by expanding their holdings of Treasuries without asking for a higher yield. In this case, the dollar would still crash against the Chinese currency (effect #2 above). To the extent that the Chinese (and the rest of the world) just wanted to reduce their holdings of U.S. assets, period, this outcome would simply reverse the accumulated trade deficits up to this point; Americans would run a one-time $1.3 trillion trade surplus with China, busting their buns to ship them all sorts of goodies, for nothing — just to get back to even.

POSSIBLE EFFECT #4: The only way to completely offset both effects #1 and #2 above, is if foreign investors are willing to step into the breach and smoothly offset the Chinese unloading of Treasuries, without asking for a higher yield on the assets to induce them to expand their holdings. Only in this case would Americans be relatively unaffected; the immense holdings of Treasuries would simply have switched from China to, say, Japan.

Now I’m sure that Yglesias and other Keynesians would argue that the above outcomes are actually great, given our current “liquidity trap” conditions. My first retort is that Yglesias didn’t qualify his argument by reference to the current slump; he gave a general case that is either true or false regardless of the unemployment rate.

Furthermore, the Keynesian argument, if correct, leads to the conclusion that if the Chinese developed an unstoppable satellite weapon, and demanded that Americans send them $1.3 trillion in goods as tribute to avoid annihilation, that this wouldn’t affect us in any way. In fact, we would be grateful for the stimulus this provided to our economy, since sending them such tribute shows up (other things equal) as $1.3 trillion in “Net Exports” in the GDP calculations.

Paul Krugman, pining for a bogus alien invasion, might indeed go just that far, and hope for a military blackmail of the United States as the path to prosperity. Does Yglesias as well, or is he willing to reconsider his glib post about China?",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/10/24/yglesias-is-wrong-about-chinas-u-s-bond-purchases/&sa=U&ved=2ahUKEwjRhbXKobP9AhWUpVYBHcvmAsY4UBAWegQIAhAC&usg=AOvVaw2M8S6IJt9XGtWGyJOURvW7,2013-10-24
When ‘leave us alone’ became ‘bake us a cake!’,"Would Jesus bake a cake for a gay wedding?

It’s a weird question, but we do live in interesting times. And believe it or not, this has become one of the most heated debates of the week. That’s because, this week, liberal Christians pushed the argument that legislation allowing Christian florists and bakers to decline to work for same-sex weddings is tantamount to Jim Crow laws.

The analogy is a stretch. Sexual orientation is not race — and permitting what would most definitely be a very small number of observant Christians to exercise their right of conscience is vastly different from pervasive and state-sponsored racism. (But it is perfectly understandable why anyone would want to appropriate the moral high ground that comes from comparing yourself to civil rights crusaders — and your opponents to white supremacists.)

This doesn’t mean the laws are a good idea, but it does mean this particular analogy (no matter how tempting it is to deploy) is a false one. It’s also a powder keg. If your opening volley hinges on comparing your intellectual adversaries to segregationists, you can’t expect an elevated debate.

The truth is, this is a tough issue that pits things we value as a society against things we value as a society.

We have reached a point in the gay rights debate where all the low-hanging fruit has been picked. We are now entering into the zero-sum game phase of the debate, where gay rights and religious liberty must collide. (In other words, the cake is only so big. If you take a piece, you are guaranteeing the other guy has less cake.)

So who’s right? My guess is one could guarantee public opinion is on either side of the issue, depending on how you frame the question. If, for example, you were to ask someone whether or not “businesses should be allowed to deny services to same-sex couples,” the answer would, of course, be “no.”

On the other hand, ask Americans if “government should have the right to forcefully coerce Christians to violate their convictions,” and the answer would also be “no.”

This is a much more difficult and nuanced topic than either side would care to admit. Where you stand on this issue probably comes down to whether or not you see this through the frame of Jim Crow — or through the frame of religious liberty.

And that is probably contingent on your values.

The tension between liberty and equality is alive and well in this debate.

But let’s be honest about something else. This is really a surrogate battle. A much bigger one is coming.

Opponents of these bills score points when they argue that florists and bakers aren’t exactly granting their imprimatur when they make a cake or put together a flower arrangement for a gay wedding. Additionally, they are correct in assuming that most Christians, whether they agree with same-sex marriage, or not, would still bake the cake. In fact, this could be seen as an example of Christian love.

But this is another example of how this schism cannot be easily brushed aside like so many wedding cake crumbs. In recent years, libertarian-leaning conservatives have largely sided with the gay rights argument. Proud members of the “leave us alone” coalition were apt to side with a group of people who just wanted to be left alone to love the person they love (and what happens in the bedroom is nobody’s business).

At some point, however, “leave us alone” became “bake us a cake. Or else!”

And that’s a very different thing, altogether.

The reason conservative Christians are fighting this fight today is because it’s a firewall. The real danger, of course, is that Christian pastors and preachers will eventually be coerced into performing same-sex marriages. (Note: It is entirely possible for someone to believe gay marriage is fine, and to still oppose forcing people who hold strong religious convictions to participate — but I suspect that is where we are heading.)

Think of it this way. If you were a congregant in a church, wouldn’t you expect the pastor to marry you? Why should you be treated different?

Any pastor — if he or she wants to maintain the church’s tax status, that is — had better grapple with this now.

Whether the analogy is fair, or not, refusing to officiate a gay wedding can just as easily be called “denying service.” And it will predictably also be compared to the bad old days of Jim Crow — where racist Christians opposed interracial marriage (until the courts struck down state laws prohibiting biracial marriage).

Gay rights and religious liberty are on a collision course.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/02/25/when-leave-us-alone-became-bake-us-a-cake/&sa=U&ved=2ahUKEwjRhbXKobP9AhWUpVYBHcvmAsY4UBAWegQIBBAC&usg=AOvVaw3dvsXpY_0NO8wZVqsaKEQz,2014-02-25
Muslim Congressmen Want To Block ‘Islamophobic’ Dutch Lawmaker Geert Wilders From Entering US,"The two Muslim members of Congress have called on two U.S. Cabinet members to block Dutch lawmaker Geert Wilders from entering the U.S. because they believe he is “Islamophobic.”

Minnesota Democratic Rep. Keith Ellison and Indiana Democratic Rep. Andre Carson penned a joint letter to Secretary of State John Kerry and Secretary of Homeland Security Jeh Johnson last Thursday. Foreign Policy reported it on Tuesday.

“We write to raise our deep concern regarding the visit of Mr. Geert Wilders, a Dutch lawmaker known for perpetuating Islamophobia,” the Democratic lawmakers wrote, citing a 1998 law, the International Religious Freedom Act. The law allows the State Department to deny foreign leaders guilty of “severe violations of religious freedom” from entering the U.S.

The law has only been enforced once before, in 2005, to ban Narendra Modi, India’s current prime minister. He was accused of failing to protect Muslims during riots in 2002 in which more than 1,000 people died.

Wilders, the leader of the Party for Freedom, is slated to appear at several events during his trip to the U.S. On Wednesday, he will appear at two events in Washington D.C. at the invitation of Iowa U.S. Rep. Steve King. One is hosted by the Conservative Opportunity Society. Texas U.S. Rep. Louie Gohmert has also helped facilitate Wilders’ appearences.

“I feel deeply honored by the invitations. In my speeches I will warn my American colleagues of the dangers of Islamization,” Wilders stated on his personal website earlier this month.

On Sunday, Wilders travels to Garland, Tex. where he will give a speech at the American Freedom Defense Initiative, an event hosted by Pamela Geller. That group will hold its inaugural “Muhammad Art Exhibit” and will award a $10,000 prize for the best cartoon depiction of Muhammad. The contest was created in response to the Islamist massacre at the Paris headquarters of Charlie Hebdo earlier this year.

But Ellison and Carson believe that Wilders’ past criticism of Islam — and he has indeed been critical — is hate speech and that it warrants him being kept out of the U.S.

“We respectfully request that the U.S. government deny Mr. Wilders’s entry due to his participation in inciting anti-Muslim aggression and violence,” wrote Ellison and Carson, the first and second Muslims to be elected to national public office, respectively. “Mr. Wilders’s policy agenda is centered on the principle that Christian culture is superior to other cultures.”

The lawmakers point out that in 2010 and 2011 Wilders was brought up on formal charges of inciting hatred and discrimination. He is also currently facing charges because of a recent speech in which he called for fewer Moroccans in the Netherlands, they point out.

“Mr. Wilders’ policy agenda is centered on the principle that Christian culture is superior to other cultures,” the joint letter states, citing Wilders’ comment that “Islam is not a religion, it’s an ideology, the ideology of a retarded culture.”

“We should not be importing hate speech.”

While noting that freedom of speech is “a bedrock principle” that distinguishes free societies from oppressive regimes, “free speech…is not absolute,” the letter reads.

Geller called Ellison’s and Carson’s evidence of “sharia,” or Islamic law.

“It is revealing that these Muslim congressmen would show themselves to be enemies of free speech and free discourse,” Geller told The Daily Caller. “They cannot refute Wilders and don’t dare debate him. All these little authoritarians can do is try to prevent people from hearing his message.”

This article has been updated.

Follow Chuck on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/04/28/muslim-congressmen-want-to-block-islamophobic-dutch-lawmaker-geert-wilders-from-entering-us/&sa=U&ved=2ahUKEwjPzsjJobP9AhU-rlYBHSHBD8g4PBAWegQICRAC&usg=AOvVaw3x4k4Yk9nbWJlxRIEd1O7Z,2015-04-28
FBI Director Admits US Can’t Vet All Syrian Refugees For Terror Ties [VIDEO],"FBI director James Comey said during a House Committee on Homeland Security hearing on Wednesday that the federal government does not have the ability to conduct thorough background checks on all of the 10,000 Syrian refugees that the Obama administration says will be allowed to come to the U.S.

“We can only query against that which we have collected,” Comey said in response to a line of questioning from Mississippi Rep. [crscore]Bennie Thompson[/crscore].

“And so if someone has never made a ripple in the pond in Syria in a way that would get their identity or their interest reflected in our database, we can query our database until the cows come home, but there will be nothing show up because we have no record of them.”

More than 4 million Syrians have fled their homeland amid a brutal civil war. But many Middle Eastern countries have refused to accept refugees, putting the burden on Europe and the West. Under pressure to assist, President Obama approved a proposal to allow at least 10,000 refugees to settle. According to The New York Times, just over 1,800 have come to the U.S. so far.

But many have expressed concerns over allowing refugees from ISIS’ breeding ground to enter the country.

As Thompson, a Democrat, said, “a lot of us are concerned about whether you have enough information available to you to do an accurate vetting.”

Comey acknowledged that knowledge gap.

“You can only query what you’ve collected,” he reiterated.

He also acknowledged differences in the U.S.’s ability to screen Syrian refugees compared to how Iraqi refugees were vetted in the aftermath of the Iraq War.

“And with respect with Iraqi databases, we had far more because of our country’s work there for a decade,” he said.

“This is a different situation.”

WATCH:

Follow Chuck on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/10/21/fbi-director-admits-us-cant-vet-all-syrian-refugees-for-terror-ties-video/&sa=U&ved=2ahUKEwic5KjIobP9AhUvplYBHUI7DMg4FBAWegQIAxAC&usg=AOvVaw1qFsUkM_DVGJ9sg47Zlk-A,2015-10-21
US Healthcare Under Tidal Wave Of Chinese Hacking,"It appears that a familiar cyber foe has been caught (again) with his Chinese hand in the digital cookie jar.

U.S. officials have determined that Chinese hackers breached the health insurance company Anthem in order to gain insight into the American medical system, Financial Times reports. Anthem noticed the breach February after the hackers accessed the information of 80 million customers and employees.

A government official that was involved with the investigation told the Financial Times the digital attack would lead to a wealth of information for China, which could be later implemented to improve their own health care system. (RELATED: Report: United Airlines Data Breached By China-Backed Hackers.)

“Knowledge is power,” the official said. “How is it set up? What are they insuring? Why is this procedure covered but not that one? All of that is useful information.”

According to the Financial Times, insurance regulators sought help from the cyber security firm CrowdStrike to examine Anthem. When the Daily Caller News Foundation reached out to CrowdStrike for comment on the hack, a representative said that “as a corporate policy, we don’t comment on customers.”

China instituted an initiative called “Healthy China 2020,” with an ambitious goal of providing universal health care coverage to all of China’s 1.3 billion citizens.

A World Bank report from 2013 explained that:

…the basic objective of China’s health reforms has been to provide the whole nation with basic medical and health care, while ensuring equal access to, and affordability of, health services…China’s Reform Plan is a massive undertaking, requiring coordination across national ministries…[will target five health sectors]: health insurance, essential medicines, public hospital reform, primary care delivery, and public health services.

Yet, among China’s middle and lower classes, there is widespread dissatisfaction with the level of medical care.

As reported by the Sydney Morning Herald in 2014 “China has seen rising discontent over the healthcare system as a result of sky rocketing medical costs and shrinking resources. This has lead to an increased level of anger, and in some cases violence, against doctors and medical staff.”

The allegations against China for the Anthem breach come shortly after it was discovered that Chinese hackers were also penetrating the security systems of seven US technology and pharmaceutical industries. (RELATED: Fool Me Twice … China Attacks Seven Companies After US Cyber Truce.)

The investigator’s conclusions are unsurprising given the aggressive digital relationship between the US and China. (RELATED: China Is Stealing American Property.)

During Chinese President Xi Jinping’s visit to the United States on Sept. 25, both Jinping and President Barack Obama agreed to cooperate on cyber security issues.

Since the pact, however, revelations of China’s digital espionage have become a common occurrence. (RELATED: The U.S. Must Call Out China For Its Aggression.)

Follow Steve Ambrose on Twitter

Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/10/28/us-healthcare-under-tidal-wave-of-chinese-hacking/&sa=U&ved=2ahUKEwjw0YHIobP9AhUKr1YBHWhEC8g4ChAWegQICRAC&usg=AOvVaw0A8mM978xHYxsaTf_wqkUM,2015-10-28
