title,text,url,published_time
Black Lives Matter Set To Face Off With White Nationalists In Charlottesville,"CHARLOTTESVILLE, VA — Black Lives Matter (BLM) protesters joined church groups early Saturday morning as they prepare to face off with white nationalists and anti-Semites in Charlottesville, Va.

Hundreds of white nationalists marched on the University of Virginia campus Friday evening, where they clashed with counter-protesters. Shouting “White Lives Matter,” and “Jews will not replace us,” the white nationalists held tiki torches and rallied under a statue of former President Thomas Jefferson, the founder of UVA.

About that rally in #Charlottesville last night… I don’t know what you saw but I’ll tell ya what jumped out for me. 1/ pic.twitter.com/JfS3W4ZcsN — The Hoarse Whisperer (@HoarseWisperer) August 12, 2017

Thousands of demonstrators and counter-protesters are expected to rally Saturday afternoon at Emancipation Park, formerly Lee Park, where several white nationalist groups are hosting a “Unite the Right” rally.

BLM joins dozens of other groups to protest the rally, saying that they plan to out number the rally-goers.

“Men and women from state and local agencies will be in Charlottesville [on Saturday] to keep the public safe,” McAuliffe said in a statement, “and their job will be made easier if Virginians, no matter how well-meaning, elect to stay away from the areas where this rally will take place.”

Follow Henry Rodgers On Twitter

Follow Ted on Twitter

Follow Phillip On Twitter

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=http://dailycaller.com/2017/08/12/black-lives-matter-set-to-face-off-with-white-nationalists-in-charlottesville/&sa=U&ved=2ahUKEwjVpJGPgLT9AhV4GVkFHdopCdM4RhAWegQICRAC&usg=AOvVaw3B0Y0bsWzoaAwAqMZ3wOjO,2017-08-12
Herman Cain: ‘It’s okay to call me black … Obama is not the president of black people’ [VIDEO],"Potential Republican presidential candidate Herman Cain doesn’t want whites to beat around the bush when addressing his race, according to a video interview he did with Accuracy in Media reporter Benjamin Johnson.

“African-American Republican presidential nominees … never did they get such media fanfare,” Johnson said to Cain. “Can you comment on this? Is this telling about the media or is this telling about the party system?”

“I think it’s more about the individual,” Cain said. “By the way, it’s okay to call me black, see, I am, I am an American Black Conservative, an ABC, it’s okay, it’s okay, I’m not hyphenated!”

After a moment of laughter, Cain said, “This is what America is all about! Why can’t we just get along?”

“Since he [President Barack Obama] has not served the people of this country very well, he has not served the African-American community very well, and secondly he wasn’t supposed to be the president of black people, he was supposed to be the president of the entire country, so I don’t look so much at how he has served the black community of this country, I am evaluating the lack of effectiveness of his policies across the board,” Cain said. “It’s not about what color he is, it’s about the lack of leadership.”",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2011/04/04/herman-cain-its-okay-to-call-me-black-obama-is-not-the-president-of-black-people-video/&sa=U&ved=2ahUKEwjr68OMgLT9AhWmKlkFHY1eC9g4HhAWegQIBRAC&usg=AOvVaw3KjSRUw2L0LCXZe_jRc7dA,2011-04-04
Catholic is the new black,"Conservative critics should stop complaining about the lack of media coverage of the Catholic protest of the government’s HHS mandate, which commands Catholic institutions to pay for health coverage of procedures that the Church finds evil. Traditional Catholics need to just accept the fact that to the liberal media, we have become a secondary, second-class group. We’ve become like blacks in 1950s America.

While the left freaks out over the analogy, let me emphasize that the comparison I make is a limited one. Catholics in 2012 are not forced to use segregated facilities and we have not been jailed for our beliefs — yet. But we do live in a subculture that is increasingly cut off from the mainstream. Like blacks during the years of segregation, Catholics have their own book publishers, newspapers and magazines, television shows, even celebrities. And whereas there was once some crossover between the “Catholic ghetto” and the rest of America — Bishop Fulton Sheen once had one of the highest-rated television shows in America — these days traditional Catholics are almost completely shut out by the country’s elites.

The most obvious example, of course, is the HHS mandate and the resulting protests. Forty-three Church-affiliated institutions are suing the government over the mandate, a remarkable development that will deal with questions that go to the very heart of what the First Amendment means. Yet as the Media Research Center and others have shown, the story has been ignored by the liberal media. Conservatives are outraged by this, but to me it’s not even worth getting angry about anymore. Like blacks before the Civil Rights Act, we need to just focus on creating and sustaining our own culture. Rachel Maddow, CBS, ABC and The New York Times are not going to give our concerns about religious freedom and government coercion (to say nothing of abortion) any more consideration than Bull Connor gave black protesters in Birmingham in 1963. To them, we are every bit the freaks that Connor thought blacks were.

Today’s anti-Catholic elites are as ignorant as Bull Connor was. On May 25th, the gang on “Morning Joe” were discussing recent polls showing Americans are now majority pro-life. For years and years I have been reading about this shift; Catholic magazines, TV shows, speakers and books have been hammering how the science has changed things. We now have 3D ultrasounds that show new parents that their baby is in fact not just a collection of cells. Indeed, the role of the ultrasound in the pro-life movement now constitutes old news.

When the topic came up on “Morning Joe,” guest and babbling liberal Donny Deutsch was stunned by the news. “Has anyone written about this?” he marveled. Pat Robertson knows more about hip-hop than Deutsch knows about the pro-life movement. Has Maureen Dowd or Chris Matthews ever read a book or article by Pope Benedict? Of course not.

I was born in Washington, D.C., where my family’s history goes back to 1915. But I grew up in the suburbs and it wasn’t until later in life that I learned about black D.C. — the place that historian Constance Green called “the secret city.” D.C. has been at least one-quarter to one-third black since its inception in 1791, and the city’s free blacks established churches and schools before the Emancipation Proclamation. According to historian Kathryn S. Smith, after the Civil War “the black intelligentsia of the nation congregated in Washington.” Howard University, which had been founded in 1867 by the Freedman’s Bureau as the first biracial university south of the Mason-Dixon line, was only one of a handful of colleges in the country that offered opportunities for blacks. “Howard University drew exceptionally able students in law, medicine, and sociology,” Green noted in “The Secret City: A History of Race Relations in Washington, D.C.”



By 1920 Washington was a financial, spiritual and cultural stronghold of black America. The first black bank, the Industrial Savings Bank, was born here. Unlike New York’s Harlem, whose black population inherited many of its buildings from previous white owners, many of the institutions in Shaw were paid for by black businessmen and built by black hands: the True Reformers Building, the Laborers’ Building and Loan Association, the Whitelaw Hotel, the 12th Street YMCA and the Prince Hall Lodge. The writer Albert Murray summed up the town’s pedigree nicely in a piece in The Nation magazine: “The Washington of [the 1920s] … was not provincial in matters of entertainment and the arts. It was not as cosmopolitan as New York, to be sure, but even so, it reflected much of the New Yorker’s taste, perhaps comparable to a suburb of Manhattan.”

Conservative Catholics in America in 2012 are basically living in another secret city. Liberals like Maureen Dowd, Chris Matthews and the staffs of the news networks and The Washington Post do not read the books we read, watch the shows (“Mother Angelica”) we watch, or know the priests we know. Yet like the racist whites of an earlier day, they feel morally superior to us, and have no hesitation about lecturing us about how atavistic our faith is — without, of course, knowing anything about it. What is Bill Maher but a modern-day George Wallace?

In the 1920s, modernism hit America. Young Americans set out to shake free of Victorian restrictions, much to the shock of the Victorians themselves. The hot jazz being played in places like Harlem — and by a young Duke Ellington in Washington — was renounced by alarmed authorities as nothing more than “jungle music” suitable only for reverting man to primitivism. Dancing became more erotic, and books by James Joyce, D.H. Lawrence, F. Scott Fitzgerald and black writers like Langston Hughes, George Schuyler and Washingtonian Rudolph Fisher depicted street life and human desires as well as what was considered open sexuality in blunt, frank language.

This rift in the white world over modernism was reflected in black Washington. In an August 1928 issue of the NAACP magazine The Crisis, psychologist, author and Washingtonian Allison Davis took aim at the modernists: “For nearly ten years, our Negro [artists] have been ‘confessing’ the distinctive sordidness and triviality of Negro life, and making an exhibition of their own unhealthy imagination, in the name of frankness and sincerity. Frankness is no virtue in itself, however, as any father will tell his son, nor is sincerity. A dog or savage is ‘sincere’ about his bestialities, but he is not therefore raised above them. … It is a question, then, of the purpose for which one is being sincere. It is quite evident that the sincerity of Milton, of Fielding, and of Dr. Johnson is different in kind from the sincerity of Mr. DH Lawrence and Mr. James Joyce. If sincerity is to justify one in exploiting the lowest traits of human nature; and in ignoring that sense in man which Cicero says differentiates him from other animals — his sense of what is decent — then sincerity is to pander to a torpid animalism.”

Black Washington, like modern Catholic orthodoxy, was a conservative subculture that was shunned and mocked by a bigoted elite. And if Obama and the left have their way, it won’t be long before they turn the hoses on us.

Mark Judge is the author of A Tremor of Bliss: Sex, Catholicism, and Rock ‘n’ Roll.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/05/25/catholic-is-the-new-black/&sa=U&ved=2ahUKEwjr68OMgLT9AhWmKlkFHY1eC9g4HhAWegQIABAC&usg=AOvVaw2Zt57lF0xhogL5PbZwJpF0,2012-05-25
Limbaugh blasts Holder’s plea to black leaders against voter IDs [VIDEO],"On his Wednesday program, conservative talker Rush Limbaugh called voter identification comments Attorney General Eric Holder made to black leaders “irresponsible” and “reprehensible.”

According to Holder, voter ID laws passed in a myriad of states will block access to the voting booth for minorities and young voters across the United States. That allegation, according to Limbaugh, was dishonest and motivated by politics.

“This is irresponsible,” Limbaugh said. “It’s worse than irresponsible. This is — it’s reprehensible what Holder is doing here … This is why Holder is having meetings with the black churches, the ministers. And he’s going to bring the IRS along, he’s going to bring the Congressional Black Caucus along, the ACLU along. And we’ve got two sound bites. Now keep in mind, this is the attorney general of the United States. This is not some rabid pundit on the left, on MSNBC.”

According to Limbaugh, politics is supposed to be ignored when it comes to law enforcement, but Holder’s statement was anything but “non-partisan.”

“This is not some say-anything-to-get-noticed rabble-rousing media person. It’s not some kooky left-wing Communist member of Congress,” Limbaugh said. “This is the attorney general of the United States, who is supposed to look at this country in a non-partisan way, and enforce the laws of this country. The No. 1 law enforcement officer of this country. And his job is to protect and guarantee freedom, along with everyone else who takes an oath to uphold and defend the Constitution.”

Later, Limbaugh condemned Holder and other black leaders for using these tactics to scare the black community.

“This really is irresponsible,” he added. “It’s absurd and it’s a classic illustration of the disservice done to the black community by black leaders: Lying to them, scaring them, keeping them huddled in fear in the corners of their homes with imaginary monsters and threats who are going to do imaginary, monstrous things to them. If I didn’t know better, I would say they’re setting up an excuse for Obama losing here.”

But Limbaugh dismissed that as a possibility this far away from Election Day.

“If I didn’t know better, I would say they were already scared Obama’s going to lose, the black vote’s not going to turn out, and this is all the setup an excuse for it,” he continued. “But I reject that because it’s way too early for anybody to be thinking that way.”

Follow Jeff on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/05/30/limbaugh-blasts-holders-plea-to-black-leaders-against-voter-ids-video/&sa=U&ved=2ahUKEwjRjJeRgLT9AhVKEFkFHZclAtY4ZBAWegQIARAC&usg=AOvVaw1Vq2BRoSXKnopU7_UFWVwx,2012-05-30
Artur Davis latest African-American Republican slammed by black caucus,"More than a dozen members of the Congressional Black Caucus denounced former Alabama Rep. Artur Davis ahead of his speech at the Republican National Convention Tuesday, continuing a tradition of conflict between the Democratic-dominated CBC and black Republicans.

“We are writing to express our disdain over several recent comments you have made about the important issues facing voters in November, your total distortion of President Barack Obama’s record, and your complete flip-flop on certain core principles you once held dear,” the 14 CBC members, all Democrats, wrote.

The signatories blasted Davis’ switch to the GOP and support for Mitt Romney as “transparent opportunism” in the wake of his failure to win the 2010 Democratic gubernatorial nomination in Alabama rather than “real policy or political disagreements” with Democrats. (RELATED: Leaders with Ginni Thomas: Former Rep. Artur Davis)

But real policy and political disagreements have also triggered tension within the CBC ranks. In 1993, the caucus sharply curtailed the role of its only Republican member after he disagreed with the policy of using the Voting Rights Act of 1965 to maximize the number of majority-minority congressional districts.

“I do not believe it is healthy for Americans to go around looking for blacks to put in a congressional district,” Connecticut Republican Rep. Gary Franks said in testimony that elicited sharp criticism from fellow CBC members. The group passed a motion to limit Franks’ participation.

“The motion, passed without dissent among a majority of the Black Caucus’ 40 members, would let Franks attend weekly luncheon meetings for only the first half-hour, when members typically eat and talk informally,” the Washington Post reported at the time. “The rest of the meetings would be deemed a caucus of black Democratic lawmakers.”

Nearly twenty years later, luncheons with Republican members remain a source of discomfort within the CBC. The group’s Democrats protested when Florida Rep. Allen West, their only Republican member, ordered Chick-fil-A when it was his turn to provide the caucus lunch.

“That was an ‘in your face,'” Florida Democratic Rep. Alcee Hastings complained to Huffington Post. “Every member of the Congressional Black Caucus that was there was offended.”

South Carolina Rep. Tim Scott, the other black Republican currently serving in Congress, declined to join the CBC. Former Oklahoma Rep. J.C. Watts, who was the only other black Republican in the House during Franks’ tenure before leaving Capitol Hill in 2003, also took a pass.

In 1991, the CBC voted 19-1 in favor of a symbolic motion opposing the confirmation of Clarence Thomas, the second African-American justice of the Supreme Court. Franks was the only dissenter.

Caucus chairman Emmanuel Cleaver signed the letter criticizing Davis, as did Michigan Rep. John Conyers and Georgia Rep. John Lewis. Davis spoke in support of Obama at the 2008 Democratic National Convention.

Follow Jim on Twitter.

Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@ dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/08/28/artur-davis-latest-african-american-republican-slammed-by-black-caucus/&sa=U&ved=2ahUKEwjVpJGPgLT9AhV4GVkFHdopCdM4RhAWegQIBhAC&usg=AOvVaw3UDWvqkKwe47zvxam-cQmu,2012-08-28
Historically black colleges and universities flunk Obama’s College Scorecard,"In his State of the Union Address, President Barack Obama said the Department of Education’s newly released College Scorecard would help parents and students “compare schools based on a simple criteria: where you can get the most bang for your educational buck.”

According to the latest statistics, America’s historically black colleges and universities (HBCUs) consistently fail to meet that “criteria.”

A Wall Street Journal analysis of the Scorecard puts HBCUs next to for-profit art schools when it comes to leaving students with high amounts of debt and degrees written in “red ink.”

The free-market American Enterprise Institute’s Frederick Hess told The Daily Caller HBCUs are a “dangerous” topic of conversation in education circles.

“The subject’s racially charged,” he said. “If we were to apply the gainful-employment method the federal government applies to for-profit schools to HBCUs, their students would no longer receive federal financial aid.”

In 2012, the Department of Education described 218 post-secondary schools that could lose federal student aid if their students continue to exhibit three-year default rates over 30 percent. Fourteen were HBCUs. That means, of approximately 6,900 accredited schools nationwide, 3.2 percent could lose federal support, while 13.3 percent of HBCUs face that risk.

Morehouse College in Atlanta — Martin Luther King, Jr.’s alma mater and one of the most famous HBCUs — is not in as much trouble as those 218 yet, but its numbers reflect the troubling trend. In 2011-2012, only 36 percent of Morehouse students had graduated in four years, and only 55 percent had graduated in six years, according to the National Center for Educational Statistics. And whether they graduated or not, 76 percent owed loans averaging over $40,000 to cover annual tuition of $23,234, a number the College Scorecard terms “high.” In addition, 27 percent of Morehouse students defaulted on loan payments.

Jeanna Robinson of the Pope Center for Higher Education Policy called the Morehouse default rate “appalling.” The student loan default rate is 13.8 percent nationally, while at for-profit institutions — a diverse group ranging from University of Phoenix to cosmetology schools — the average rate is 22.7 percent.

Nationally, the average student debt is $27,253. At all-male Morehouse, it’s nearly $10,000 higher. Only The Creative Center, the Manhattan School of Music and the Southern California Institute of Architecture — three for-profit art schools — show higher student debt, according to the Journal’s findings.

At Morehouse’s sister school, Spelman College in Atlanta, students graduate at a higher rate, with an average of $4,000 less in loan debt than their Morehouse counterparts. Spelman students also default on their loans at a lower rate than students at Morehouse. Most students at HBCUs, however, fare significantly worse than Morehouse students.

Just 41 percent of students at Clark Atlanta University graduate in six years, leaving campus with an average $24,653 of debt. Payscale.com, estimates Clark Atlanta students receive a 30-year return on their investment of negative $109,000.

The online job compensation calculator estimates students at Shaw University in North Carolina receive a return of negative $112,000. A negative “ROI” means students at these two schools do worse financially over a 30-year period than if they had never attended.



Hess says the reason for such poor scores could be many HBCU students often come from low-income backgrounds and are first-generation college attendees. But because “nobody looks,” he said, there is too little research on the topic to know for sure.

“It’s politically incorrect to talk about,” the Center for College Affordability’s Anthony Vedder told TheDC. Vedder said when he tried to raise the issue with black educators, “I almost got chased out of the room.”

Students want to attend HBCU’s because of their historical prestige, said Robert Morse, the data director of U.S. News and World Report’s annual college rankings. Because many black students want only the HBCU experience, and the schools receive special federal designation and support, Morse explained, his magazine ranks them separately from mainstream colleges and universities.

Robert McCluskey, an education and child policy expert at the libertarian Cato Institute, pointed out that unlike other institutions of higher learning, HBCUs receive direct federal funding to cover their basic operating costs. In fact, HBCUs are a line item in the federal budget.

The Higher Education Act of 1965 guaranteed support for HBCUs, most of which were established in the decades following the Civil War. Intended to educate freed slaves, they are products of the Jim Crow South, when former slave states created segregated post-secondary public schools rather than integrate white ones. Church organizations were founding nominally private all-black schools, like Morehouse and Spelman, at the same time.

The Department of Education reports that in 2008, five federal agencies and departments awarded more than 10 percent of their higher education spending to HBCUs. The Departments of Justice, Homeland Security and Housing and Urban Development each contributed more than 30 percent of their higher education spending. HBCUs received 33 percent of all federal support for facilities, and 14 percent for un-categorized “other” support that year.

The next year, 2009, the most recent one for which figures are available, HBCUs also received a disproportionate amount of federal support, though 105 of them made up just one percent of America’s total number of accredited institutions of higher learning. Justice awarded 72 percent of its funds budgeted to higher education initiatives to HBCUs in 2009.

As HBCUs continue to lose tuition money, due to stricter federal student lending rules, grants from federal agencies have become a stopgap measure to continue funding them. Yet the grants present a new problem. In 2011, Morehouse paid $1.2 million to settle a Justice Department investigation of the college’s misuse of NASA funds.

Then in 2012, the Department of Education awarded $227.9 million to HBCUs around the country to “help these important institutions continue to provide their students with the quality education they need to compete in the global economy.” Morehouse received $2.3 million.

Follow Brendan on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/02/28/historically-black-colleges-and-universities-flunk-obamas-college-scorecard/&sa=U&ved=2ahUKEwi8mLeOgLT9AhVlD1kFHQsBC5A4PBAWegQIBhAC&usg=AOvVaw0-5iti8tB2-kY29d7tKdeM,2013-02-28
"Eric Holder, IRS officials coached tax-exempt black ministers on how to engage in political activity","Attorney General Eric Holder and IRS officials advised black ministers on how to engage in political activity during the 2012 election without violating their tax-exempt status.

Holder, then-IRS commissioner Douglas Shulman, and Peter Lorenzetti, a senior official in the scandal-plagued agency’s exempt organizations division, participated in a May 2012 training session for black ministers from the Conference of National Black Churches at the U.S. Capitol hosted by the Congressional Black Caucus (CBC). Holder spoke at the event.

“We’re going to, first of all, equip them with the information they need to know about what they can say and what they cannot say in the church that would violate their 501(c)(3) status with the IRS,” said then-CBC chairman Rep. Emanuel Cleaver, a Democrat from Missouri. “In fact, we’re going to have the IRS administrator there. We’re going to have Attorney General Eric Holder there…the ACLU.”

Cleaver’s session advised black ministers on “draconian laws” including voter ID laws. Cleaver was a sharp critic during the 2012 campaign of Republican Mitt Romney’s policies.

As The Daily Caller has extensively reported, the IRS harassed conservative and tea party groups during the 2012 election cycle with improper reviews of their 501(c)(3) tax-exempt applications.

“[The CBC] had the IRS members there specifically to advise them on how far to go campaigning without violating their tax-exempt status,” George Washington University law professor Jonathan Turley told The Daily Caller.

“I viewed the meeting as highly problematic. Eric Holder heads the agency that prosecutes organizations who give false information to the government. The Justice Department coordinates with the IRS on actions taken against not-for-profits. These ministries are given not-for-profit status on the basis that they are not engaging in any political activities. Here, the Obama administration was clearly encouraging them to maximize their efforts by showing them where the lines were drawn in federal case law,” Turley said.

“It is a fundamental precept that cabinet members should not engage in political activities. The most important of those cabinet members would be the attorney general of the United States. To have the attorney general actively advising political allies of the president showed remarkably poor judgment on his part,” Turley told TheDC.

“I believe this session undermined the integrity of the justice department, signaled to other Justice Department officials that the attorney general wants to support these black ministries as much as possible,” Turley said.

Obama won 93 percent of the black vote in 2012, according to exit polling.

“This event was open to all faiths, denominations, colors, creeds, and political affiliations,” Rep. Cleaver told TheDC in a statement. “We were pleased to have leaders from our government provide information on compliance with the law and participation in our electoral system.”

The IRS and DOJ did not return requests for comment.

Follow Patrick on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/09/13/eric-holder-irs-officials-coached-tax-exempt-black-ministers-on-how-to-engage-in-political-activity/&sa=U&ved=2ahUKEwiMgLuQgLT9AhWnGFkFHZISBss4WhAWegQIBRAC&usg=AOvVaw37jN60h0wnhNIe7iSxPZD0,2013-09-13
ACORN’s former chief calls for more immigration to boost black power,"ACORN’s former CEO Bertha Lewis urged Africans-Americans to support increased immigration as a strategy to gain political power.

“We got some Latino cousins, we got some Asian cousins, we got some Native-American cousins, we got all kind of cousins,” said Lewis, who spoke Thursday at the annual political conference of the Congressional Black Caucus.

“Cousins need to get together because if we’re going to be [part of the non-white] majority, it makes sense for black people in this country to get down with immigration reform,” said Lewis, whose ACORN group was formally disbanded in 2010 after a series of scandals.

Lewis did not mention solidarity with whites, or with people who define themselves as Americans, in her appeal for power.

“Everyone, even all white folks in this country, acknowledge that in a minute, [the] United States of America will be a new majority, will be majority minority, a brand-new thing,” she said.

In 2012, “for the first time ever in history, African-Americans outvoted white Americans. Oooh. That’s the fear of the white man. That could change everything. That’s why [immigration] should matter to us,” she declared.

Lewis got only modest applause from the room of 300 attendees, nearly all of whom were black.

But her appeal for non-white solidarity was backed up by New York Democratic Rep. Yvette Clarke.

“What will happen with comprehensive immigration reform will be a new landscape of humanity in the United States of America,” Clarke told the attendees.

“America is a shape-shifter, and based on who’s here, in what numbers and at what time, determines the political outcomes,” she said. Blacks should cooperate with Latinos, she said, adding “we all have skin in the game, literally.”

The racial appeal was echoed by William Spriggs, chief economist at the AFL-CIO. “If we are going to be the new majority, we’re going to have to start acting like the new majority and start setting the new rules,” he said.

Once Congress approves an immigration increase, minorities should demand more, said Chicago Democratic Rep. Luis Gutierrez, a leading advocate of the pending Senate bill,

“The next day after we pass it, you know we’re not going to be satisfied, we’re going to come back,” he said. “We’re going to have a civil rights act, we’re going to have a voting rights act… Nobody is leaving this fight once we conclude this first chapter,” he said.

“Hopefully, in 30 years, [we] can bring immigrants… from all over the world,” Gutierrez said.

The call for solidarity among non-whites was commingled with some non-racial calls for solidarity of working-class Americans.

African-Americans should not object to gains by immigrants, said Spriggs, who became a union economist after leaving an assistant secretary job at the Obama Department of Labor.

“Somebody else winning doesn’t mean you’re losing,” the economist explained. “We can’t let one set of workers be pushed aside and think we’re going to make it.”

Other attendees complained about immigrants’ refusal to hire African-Americans or to accept civil-rights laws, and the commonplace stealing of Social Security Numbers.

Currently, the formal unemployment rate among African-Americans is 13 percent. However, the formal number understates the level of unemployment. For example, fewer than half of black men aged between 18 and 30 have full-time jobs.

Last June, President Barack Obama bypassed Congress’ opposition to an amnesty for younger illegal immigrants, and has awarded work-permits to almost 500,000 young illegal immigrants.

This July, with support from Obama, the Senate passed an immigration bill that would provide work permits to roughly 33 million immigrants and create a pool of roughly 2 million blue-collar and university-trained guest-workers, over the next decade.

Advocates say increased immigration will spur the economy and fund a bigger government.

But studies of increased immigration suggest the economic gains will go to immigrants and company owners. Some attendees said the caucus should focus more clearly on issues of concern to black Americans.

“We are the last hired and have the last opportunities, yet amnesty supporters would have you think that adding millions more workers at this time is good,” said Leah Durant, founder of the Black American Leadership Alliance. “When so many Americans of all races are out of work, that is ridiculous,” Durant told TheDaily Caller.

“Blacks as well as other low-skilled workers have made their greatest advances when we have low levels of immigration,” she said. “It is time for black leaders to stand up for blacks.”

A June poll by NumbersUSA, a group which want to shrink immigration, reported that only 15 percent of blacks and 44 percent of Hispanics back the Senate bill’s offer of amnesty to 11 million illegal-immigrants. A July poll conducted for advocates of increased immigration reported that 59 percent of registered Latino voters support a goal of “stopping 90 percent of the undocumented immigration in the future.”

Yet most members of the Congressional Black Caucus have agreed to back the Senate immigration bill.

ACORN’s Lewis mocked the mainstream concerns.

“You had some black folks talk about ‘Those people took my job… [and] I used to be in a big house, but now I ain’t,’” she sneered. Those complaints were “madness,” said Lewis, who works as a political activist with other pro-immigration activists, donors and foundations.

In response, Durant condemned black leaders’ rush for increased immigration, saying “They see political advantage in it for themselves, and they’re selling out the blank community.”

Gutierrez urged African-American and Latino legislators to hide their disagreements from the public.

“We have tough conversations when we lock the room — but we are smart enough to lock the room,” he told the audience. “We keep our arguments to ourselves.”

Follow Neil on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/09/20/acorns-former-chief-calls-for-more-immigration-to-boost-black-power/&sa=U&ved=2ahUKEwjx7uaPgLT9AhWZEFkFHcpdBHk4UBAWegQIARAC&usg=AOvVaw2Jad6BeYRu5CqCrIcPE8dD,2013-09-20
Closing Speech At Sharpton Rally Calls For Return Of ‘Black Jesus’ [VIDEO],"WASHINGTON — The event was billed as one of solidarity, thousands of people unified in their demand for “justice for all” and an end to alleged police brutality against “unarmed black men.” Led by MSNBC host Al Sharpton, the march was organized and promoted by his National Action Network.

The final speaker, Reverend Jamal Bryant of Empowerment Temple in Maryland, gave a speech and closing prayer laden with political anger and racial overtones.

“How in the world are we gonna get victory? We don’t have the money of the Koch brothers, we don’t have the backing of the Republican Party. How in the world are we going to find triumphant victory,” he asked. “Why is it that we’re working but Congress is on vacation? How in the world are gonna get justice when families are crying, but it looks like the Senate is just laughing? But we believe the only way that we’re going to prevail is our secret weapon – God has never failed us. And he’s never forsaken us.”

But Bryant didn’t end there.

Bryant declared Sunday “Black Solidarity Sunday” and urged the crowd to “go to church wearing black.”

After that, he said, “I don’t want you to just go to church wearing black. When you leave church still be black. And because Hollywood didn’t get the memo, Jesus is black.”

As the crowd cheered, Bryant started his prayer:",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/12/13/closing-prayer-at-sharpton-rally-calls-for-return-of-black-jesus-video/&sa=U&ved=2ahUKEwj_nZONgLT9AhU5MlkFHfUZAQU4KBAWegQIAxAC&usg=AOvVaw2PLDIrfhgGYViF8zRb9b09,2014-12-13
High School Principal Excludes White Students From ‘Black Lives Matter’ Event,"An Illinois high school principal is defending his decision to exclude white students from a “Black Lives Matter” event held at his school.

On February 27th, Oak Park and River Forest High School principal, Nathaniel Rouse, hosted a “Black Lives Matter” event exclusively for black students. The assembly was intended to culminate Black History Month with a discussion on race relations. Approximately 350 black individuals attended the event. When white students attempted to attend the assembly, however, they were denied entry.

Parents who were upset over the school’s decision to exclude non-black students from the event voiced their opinion to the Chicago Tribune. Rouse responded to the concerns of the parents by stating, “First and foremost, this is not meant to give a connotation that we were trying to be exclusive.”

In a statement on the Oak Park and River Forest High School website, the school addressed the controversy: “[S]ome students and parents expressed confusion and concern about the event being for Black students only. Information about the event lacked clarity about this aspect of the conversation, and the high school is committed to improving communications in the future. Further conversations among and across other racial affinity groups shall take place at the high school in the coming months and into next year.”

Rouse defended his decision to keep non-black students from the assembly by referring to the concept of “affinity groups.” According to the school’s statement, “Racial affinity groups are often used in learning communities to help facilitate positive identity exploration and provide people with similar experiences a space in which to pose questions and process topics.”

“According to Principal Rouse, the conversation was an opportunity for students who identify as Black to speak openly, honestly, and productively.”

Rouse told the Chicago Tribune affinity groups are helpful to discussions on race, as he “found it has been far easier for me to talk about my experiences with racism with individuals that look like me.” He added, “I still struggle myself with talking about my experiences with people who don’t look like me.” (RELATED: Berkeley Radicals Protest Professor For Mentioning BLACK-ON-BLACK CRIME)

Rouse hopes to host similar racial affinity group discussions in the future with different races, saying he believes “the affinity group is the safe way for us to move forward in a safe environment.”",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/03/07/high-school-principal-excludes-white-students-from-black-lives-matter-event/&sa=U&ved=2ahUKEwjRjJeRgLT9AhVKEFkFHZclAtY4ZBAWegQICBAC&usg=AOvVaw15AiHMU1CAUxNWyEZzximD,2015-03-07
