title,text,url,published_time
"Gun crime continues to decrease, despite increase in gun sales","Despite increases in gun sales, gun crimes continued to decrease in the United States for the fourth straight year in 2010, according to the FBI.

The FBI recently released its Crime in The United States statistics for 2010. Overall, murders in the U.S. have decreased steadily since 2006, dropping from 15,087 to 12,996. Firearms murders — which made up 67 percent of all murders in the U.S. in 2010 — have followed this trend, decreasing by 14 percent.

At the same time that firearms murders were dropping, gun sales were surging. In 2009, FBI background checks for guns increased by 30 percent over the previous year, while firearms sales in large retail outlets increased by almost 40 percent. The number of applications for concealed carry permits jumped across the country as well.

“There was a huge spike,” NRA spokesperson Rachel Parsons said. “It’s probably mellowed out and gone back to normal now.”

There is no national registry of guns, but based on sales-tracking and other figures, the National Rifle Association estimates there are 80 to 90 million gun owners in the U.S.

Naturally, there is dispute over the significance of the surge in gun sales. The Brady Campaign to Prevent Gun Violence, for instance, says gun ownership in America is actually declining.

“While there are more people with concealed carry permits and there has been an increase in gun sales, the research indicates overwhelmingly that the same people are simply buying more guns and that there has been a sharp decline in the percentage of Americans who own guns,” Brady Campaign spokesperson Caroline Brewer said. “So while there may be more guns, they are in the hands of a smaller percentage of Americans.”

Pro-Second Amendment advocacy groups have used the decrease in gun crime, and crime in general, as a counter to gun control advocates’ claims that more firearms lead to more gun violence. They also point to the statistics as evidence of the ineffectiveness of gun control laws. (RELATED: Widow of ‘Whitey’ Bulger victim suggests foul play in payment of $2.1 million FBI reward)

The top three states for gun murders in 2010 were, in order, California, Texas and New York. While Texas has lax gun control laws, California and New York are among the strictest gun-control states in the country.

“California is in a category of its own as far as gun control laws there,” Parsons said. “New York is a little bit better, but they still have discretionary concealed carry laws.”

According to FBI data, California had the most gun murders last year —- 1,257, which is 69 percent of all murders in 2010.

Nevertheless, California gun murders are still down by 8 percent from the previous year.

Broken down by firearms murder rate per 100,000 people, the District of Columbia is number one, with 16 firearms murders per 100,000 people in the District.

D.C. also topped the list of firearm robberies per 100,000 people with 255.98.

Yet D.C. arguably has the tightest gun laws in the country. Although an outright ban on handguns was struck down by the Supreme Court in 2008, legislators ensured the new regulations for obtaining a registered handgun would be anything but easy.

Like California, the number of firearms murders in D.C. — 99 in 2010 — dropped by 12 percent from the previous year.

However, the Brady Campaign argues cities with high rates of gun crime, yet strict gun laws, suffer from being next to states with more lax gun control.

“You’ve got states with weaker laws right at the border and have populations that are constantly coming in and out,” Brewer said. “Chicago is right next to Indiana, which has almost no gun laws.”

Likewise, Washington, D.C. is sandwiched between Maryland and Virginia.

The Brady Campaign also points to the Brady Law, which was enacted in 1993 and requires background checks for firearms purchases, as a reducer of gun crime.

Assigning causes to increases or decreases in the national crime rate is a notorious fool’s errand because of the amount of variables at play, but what the numbers don’t suggest is any clear correlation between gun crime, gun ownership and gun-control laws.

It bears noting that the FBI’s data, based on reports from local law enforcement, is far from comprehensive. There are no numbers for Florida on firearm murders, and the data for Illinois is “incomplete.”

The FBI also warns against using the data to rank areas against each other, noting that rankings “are merely a quick choice made by the data user; they provide no insight into the many variables that mold the crime in a particular town, city, county, state, region or other jurisdiction.”

“Consequently, these rankings lead to simplistic and/or incomplete analyses that often create misleading perceptions adversely affecting cities and counties, along with their residents,” the FBI continued.

Follow CJ Ciaramella on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2011/09/28/gun-crime-continues-to-decrease-despite-increase-in-gun-ownership/&sa=U&ved=2ahUKEwjN4rT0gLT9AhW9EFkFHQDDAc04ChAWegQIAhAC&usg=AOvVaw0o15-WEzuYmNGvgcrp419P,2011-09-28
Blind Chinese dissident’s crime: Challenging China’s one-child policy,"Chen Guangcheng — the blind, and now famous, Chinese dissident — garnered global attention last week when he escaped to the U.S. embassy and set off an international diplomatic firestorm. But the matter he fought for, and which brought the full might of his government down on him, has gone relatively unnoticed: the brutality of China’s one-child policy.

A 2005 report written by Chinese human right activist and professor Teng Biao featured Guangcheng’s research, which uncovered 130,000 cases of forced sterilizations and forced abortions in the Linyi County of the Shanghai Province in 2005. The report, released just before Guangcheng’s four-year imprisonment and detention, documents graphic examples of nighttime raids, murder, torture and intimidation.

Because of his focus on China’s one-child policy, Guangcheng earned himself and his family the special ire of the Communist government authorities, Reggie Littlejohn, president of Women’s Rights Without Frontiers, told The Daily Caller. (RELATED: Chinese dissident: US official said wife would be killed)

While protesting many issues — such as religious persecution, censorship and corruption — attracts scrutiny and punishment in China, the one-child policy, Littlejohn said, may top the list.

“In my opinion,” Littlejohn told TheDC, “the reason that the full weight of the Chinese Communist Party is coming down on Chen is because he has dared to fight back against the one-child policy — which is probably the most central policy of the Chinese Communist Party.”

While experts have pointed out that the policy is leading to an unsustainably aging population and civil unrest, Beijing clings ferociously to the one-child rule, Littlejohn said, because “it is the glue that’s holding the government in power.” (RELATED: Global risk consultant: World is changing but ‘absolutely foolish’ to bet against the US)

“The institution of coercion required to maintain the one-child policy can be turned to put down any sort of democracy, so it’s maintained because of the infrastructure,” Littlejohn told TheDC. “Secondly, the one-child policy has maintained a system of paid informants — of neighbors, friends, coworkers, people just walking down the street — who may notice you look bigger. And what having these paid informants does is it tears apart the natural sort of affection, loyalty and trust in Chinese society. If people don’t know who they can trust, they can’t organize for democracy.”

In 14 notes in the report, Guangcheng specifically referenced, among other brutalities, the kidnapping and two-day beating of a 59-year-old man whose daughter was not home when a sterilization squad came at 6 a.m.; a twenty-day campaign of nighttime forced-sterilization raids; the forced abortion and sterilization of a seven-month pregnant woman and the detention of 22 of her relatives because of “implication”; a “woman kidnapped and tortured for 30 days because her brother” in another city “had an ‘extra child’”; “villagers detained, tortured and required to pay ‘tuition’ in [a] Linyi ‘Family Planning Learning Class’”; and birth quotas resulting in the forced sterilization of “12 percent of the total population.”

Follow Christopher on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/05/09/blind-chinese-dissidents-crime-challenging-chinas-one-child-policy/&sa=U&ved=2ahUKEwjRj536gLT9AhWUGVkFHQTtCME4ZBAWegQIAxAC&usg=AOvVaw3g8BUxCvr33_PjZsPMyOm8,2012-05-09
Report: Violent crime rates rose nationwide in 2011,"Violent crime rates are up across the United States, the first time in ten years those statistics have shown an increase.

According to a report from the Bureau of Justice Statistics, an arm of the U.S. Department of Justice, violent crime increased 17 percent from 2010 to 2011.

Approximately 23 of every 1,000 Americans were victims of violent crime in 2011, compared to 19 in 2010. Overall, nearly 6 million Americans were victimized last year.

The number of assaults increased 22 percent, the largest increase documented in the report.

“We don’t know if this is the beginning of a trend,” Daniel Schneider, an American University transnational crime professor, told The Daily Caller.

“That said, there are a couple things that could be at play here. One is a higher unemployment rate, which often leads, but not always, to higher crime rates.”

Schneider is also a former legal adviser for the Justice Department.

According to the report, the majority of these victims of violent crime are whites, males, Hispanics, and younger people. The highest rates of serious violence were among Americans living in urban areas.

Schneider also cited drugs as a possible factor for higher crime rates. “A possible reason is drug related offenses, particularly drugs that are from Mexico with the drug traffic organizations in Mexico bringing them across the border for distribution,” he said.

“For instance there has been an increase in murder in Chicago, some are attributing that to drugs in Mexico,” Schneider added.

About 17 million Americans were victims of a property crime in 2011, an 11 percent increase from the year before. Close to 140 of every 1,000 American households saw a property crime in 2011, compared to 125 in 2010.

Household burglary alone increased by 14 percent. Thirty of every 1,000 households saw break-ins in 2011. That robbery statistic was 26 in 2010.

Follow Laura on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/10/23/report-violent-crime-rates-rose-nationwide-in-2011/&sa=U&ved=2ahUKEwiv2NT1gLT9AhW6KlkFHVhlAx44HhAWegQIABAC&usg=AOvVaw2AwIEpgf5s5vJGMk55L-cW,2012-10-23
"Report: In Virginia, more guns, less crime","As gun ownership has increased dramatically, gun-related violent crimes have gradually decreased over the past six years in the state of Virginia, according to a new analysis.

From 2006 to 2011, the total number of guns purchased in Virginia increased 73 percent, while the total number of gun-related violent crimes decreased 24 percent over that period. And when adjusted for population growth, the number of crimes further decreases to more than 27 percent, with 79 gun-related offenses per 100,000 in 2006 dropping to 57 by 2011.

Virginia Commonwealth University professor Thomas R. Baker conducted the analysis at the request of the Richmond Times-Dispatch. Baker told the paper that the findings appear to contradict the popular premise that more guns cause more violent crime.

“While there is a wealth of academic literature attempting to demonstrate the relationship between guns and crime, a very simple and intuitive demonstration of the numbers seems to point away from the premise that more guns leads to more crime, at least in Virginia,” said Baker.

Baker examined data from the Virginia Firearms Transaction Center, which tracks the number of gun transactions for every federally licensed Virginia firearm dealer, to state crime data from 2006 to 2011. That data demonstrated that an increase in gun purchases one year was often followed by a decrease in gun crime the next year.

“So the only thing it could be is that more guns are causing less crime,” Baker concluded, noting that the data is “pretty overwhelming.”

Additionally, this trend held true when comparing purchases of all types of firearms, including pistols, revolvers, shotguns and rifles, to gun crime during that period.

The number of gun purchases in the state rose to a record-breaking 420,829 purchases last year, according to gun-dealer transaction data.

Baker believes guns become a political issue because criminals use them and the notion that guns cause crime is “persuasive.” But he notes those individuals focus on the wrong component.

“Instead of trying to figure out why are these people committing crimes — and using the most effective tool to commit those crimes — they focus on the tool,” he continued. “So the gun is causing the crime.”

Follow Jessica on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/11/26/report-in-virginia-more-guns-less-crime/&sa=U&ved=2ahUKEwjf94b1gLT9AhWcF1kFHdVOAEQ4FBAWegQICBAC&usg=AOvVaw32q6xr0yCGgWE5yfUWatL3,2012-11-26
Coulter slams media for hyping rare white-on-black crime while ignoring black-on-white crime,"On Saturday’s broadcast of “Justice with Judge Jeanine” on the Fox News Channel, conservative commentator Ann Coulter took aim at the media for its handling of interracial crime, accusing it of playing up rare white-on-black crime while ignoring the more prevalent black-on-white crime.

Coulter, author of “Mugged: Racial Demagoguery from the Seventies to Obama,” blamed President Barack Obama for the phenomenon and cited Justice Department statistics on interracial rape to make her case.

“It was much worse in the ’70s, ’80s,” Coulter said. “We’re getting back to it. Obama brought it all back and that’s this racial etiquette from the media. They don’t report on the much more common black-on-white crime, but the very rare man-bites-dog story of white-on-black crime — that gets covered hysterically not because it is a man-bites-dog story, but they act as if, ‘No, this is all too common, it’s the racism in America.’ No, it is very rare. In one example of my book — rape cases, interracial rape cases, the number of black-on-white rapes going back 15 years, 15 years there are about 1,000-to-2,000 a year black-on-white rapes. For 15 years according to the Department of Justice victimization surveyd, the number of white-on-black rapes are either 0.0 or sample too small for a number.”

Coulter referenced the beating death of 88-year-old World War II veteran Delbert “Shorty” Belton and the lack of coverage of it in places beyond the Drudge Report and Fox News as evidence that the media tend to ignore white-on-black crime.

Watch:

“Well, you technically introduced the subject, but I do think it has been covered a lot more on Fox News than it has been other places,” she said. “And part of the reason this and the ‘Shorty’ case — I don’t think the ‘Shorty’ case has shown up anyplace on MSNBC. Yes, it was the cover of Drudge. We do have some of our own media now. The only reason it they’re being covered by Fox News and by Drudge is because it is in the wake of Trayvon Martin when we were told that, you know, black people in America have to be afraid of whites murdering them.”

As for what motivates those types of crimes, including the Belton murder and the murder of Australian baseball player Chris Lane in Oklahoma, Coulter blames the destruction of the black family, adding that whites are catching up with blacks in that category.

“I just want to answer why quickly because that goes back, two books back to ‘Guilty,’” she added, referring to one of her previous books. “It is very, very heavily associated with single motherhood and the destruction of mostly the black family, but the white families are catching up.”

Follow Jeff on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/08/25/coulter-slams-media-for-hyping-rare-white-on-black-crime-while-ignoring-black-on-white-crime/&sa=U&ved=2ahUKEwiv2NT1gLT9AhW6KlkFHVhlAx44HhAWegQIARAC&usg=AOvVaw0vNnTCBjk1sJLWnMZnnOMK,2013-08-25
"FBI: More guns, less violent crime","By NRA-ILA

Two sets of data published by the FBI seven months apart show increased gun ownership coinciding with a reduction in violent crime.

Last July, the FBI completed its monthly update of an online table showing the number of firearm-related checks conducted through the National Instant Criminal Background Check System (NICS). The new numbers showed that the number of checks increased from 8.9 million during the first six months of 2012, to a whopping 11.4 million during the same period in 2013, an increase of 29 percent.

Gun control supporters pretend that NICS checks that result in denials perfectly correspond with the denial of firearms to aspiring violent criminals, while denying that the numbers of approved checks indicate anything at all about trends in firearms purchases. However, while not as reliable an indicator of firearm purchase trends as the Annual Firearms Manufacturers and Export Reports and Firearms Commerce in the United States reports complied by the BATFE, the FBI’s NICS numbers provide a fair indication of such trends. Even though not all approved checks result in the acquisition of firearms, some checks result in the acquisition of multiple firearms. And even though some checks are conducted for carry permit purposes, some firearms are acquired through licensed dealers without a NICS check, based upon the exemption available in some states for persons licensed to possess or carry a firearm.

This week, the FBI issued a report comparing the numbers of violent and property crimes reported by law enforcement agencies during the first half of 2012 to the numbers reported during the first half of 2013. According to the FBI’s Uniform Crime Reports Section, “Preliminary figures indicate that, as a whole, law enforcement agencies throughout the nation reported a decrease of 5.4 percent in the number of violent crimes brought to their attention for the first 6 months of 2013 when compared with figures reported for the same time in 2012.”

Under the Uniform Crime Reporting System, violent crime consists of four categories of crime, each of which experienced decreases during the first half of 2013. Murders decreased 6.9 percent, rapes decreased 10.6 percent, robberies decreased 1.8 percent, and aggravated assaults decreased 6.6 percent. Of 30 cities of 500,000 or greater population, 20 reported decreases in murders, two reported no change in their numbers, and only eight reported increases.

Given these figures, we shouldn’t be surprised that a prominent gun control messaging guide counsels its readers to “[a]lways focus on emotional and value-driven arguments about gun violence, not the political food fight in Washington or wonky statistics.” This is sound advice from their perspective, as the facts sure don’t support what they are trying to do.

Join the NRA – click here",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/02/25/fbi-more-guns-less-violent-crime/&sa=U&ved=2ahUKEwiv2NT1gLT9AhW6KlkFHVhlAx44HhAWegQIBRAC&usg=AOvVaw2BXrobNHoaRkkBvhk5HZOB,2014-02-25
"Rocky Mountain High: After 6 Months, Crime Down, Tax Revenue Up In Colorado","Six months after Colorado became the first state to sanction the legal sale of recreational marijuana, it is nearly $11 million richer in retail sales taxes.

The state also has another $1.9 million in excise taxes earmarked for school construction, according to a report card by the Drug Policy Alliance.

The organization also reports a 5.2 percent decrease in violent crime in Denver, where most marijuana stores are located, and a savings of $12 million to $40 million by years’ end for not having to enforce old marijuana possession laws.

The report also cites the Marijuana Industry Group’s estimation that 10,000 people are directly employed by the legal pot industry and quotes Gov. John Hickenlooper — who opposed the passage of Amendment 64, which legalized sale and possession for adults — saying, “While the rest of the country’s economy is slowly picking back up, we’re thriving here in Colorado.”

And just recently, regulators with the state Marijuana Enforcement Division announced that all marijuana stores inspected for compliance in not selling pot to minors passed the test. (RELATED: Colorado Pot Shops Pass ‘No-Kids’ Test With Flying Colors)

“I think so many things people were scared about have been shown to be nonsense,” Michael Elliot, executive director of the Marijuana Industry Group, told Denver’s 7News.

But drug counselors caution that other consequences of the new law present concerns.

A Denver detox facility reported that 15 percent of its patients arrested for driving under the influence had been smoking marijuana — an increase from 8 percent during the first three months of 2013.

“This percentage increase is significant because recreational marijuana legalization is in its infancy, and there has clearly already been an impact on public safety,” Art Schut, the CEO of Arapahoe House, told USA Today. “Our hope is that this new data will create awareness so that if Coloradans choose to use marijuana, they do not get behind the wheel.”

The state is also still tweaking its regulations, especially around the sale and packaging of edible marijuana found in cookies, candies and other products that can be easily mistaken for benign treats.

The Rocky Mountain Poison Control Center has reported 19 cases so far this year of children under five accidentally eating marijuana-laced food, according to 7News, The center also reported that 11 kids were treated for marijuana ingestion at Children’s Hospital Colorado, six of whom were critically ill.

Follow Greg on Twitter

Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/06/30/rocky-mountain-high-after-6-months-crime-down-tex-revenue-up-in-colorado/&sa=U&ved=2ahUKEwit9qT2gLT9AhUmF1kFHbsUAXg4KBAWegQIBxAC&usg=AOvVaw1RkAI00XfErusIbOsg-1ux,2014-06-30
DNA Testing Shut Down At DC Crime Lab Due To ‘Incompetent’ Analysts,"D.C.’s expensive new crime lab has been ordered to stop all DNA testing after an audit found the lab’s procedures to be “insufficient and inadequate.”

The audit, published Friday by ANSI-ASQ National Accreditation Board, which oversees the nation’s DNA testing labs, found that the District’s Department of Forensic Science did not comply with the Federal Bureau of Investigation’s standard practices, the Washington Post reported.

All the insufficient analyses performed by DFS are in the process of being reviewed, but the review will not stop the investigation or prosecution of crimes in the district.

However, it is possible that hundreds of criminal cases in D.C., including murders and sexual assaults, could be affected if evidence involved in the cases was handled at the tainted lab.

The audit said analysts in the lab’s DNA testing operation “were not competent,” and Mayor Muriel Bowser, who commissioned the report, gave the lab 30 days to correct its misdeeds.

Issues concerning the lab’s DNA mixture interpretation protocols were first raised last year by the United States Attorney’s Office for the District of Columbia, and as a result the USAO stopped sending new DNA cases to the lab in January. The USAO commissioned its own audit in conjunction with the mayor’s.

At the time, the Post reported interpretation errors were found in six different cases, with the most egregious error involving DNA found on the gearshift of a stolen car. Analysts at the D.C. lab said a DNA sample from the car had a 1-in-3,290 chance of belonging to someone other than the car’s owner, while an third-party expert said there was just a 1-in-9 chance.

“I am troubled by the longstanding issues at DFS as identified in the audits,” Bowser said in a statement. “District residents spent $200 million to build a state-of-the-art facility and expect its work to be beyond reproach.”

Deputy City Administrator Kevin Donahue will oversee a thorough review of all forensic and scientific practices performed at DFS and implement a corrective action plan that addresses concerns raised in the audit.

According to the Bowser statement, the analysis will review training and management protocols, and another third-party investigation will focus on all of the other forensic activities carried out by the agency, including fingerprints and firearms, to make sure they are up to par.

D.C. Councilman Kenyan McDuffie, who chairs the Judiciary Committee, said in a statement that ensuring the integrity of the DNA testing is a top priority for him and he will be pursuing the issue with committee colleagues.

“Any deficiencies in the work performed by the (DNA testing lab) must be immediately addressed due to the broader implications of inaccurate forensic testing on the fair administration of justice in our courts,” he said.

Follow Josh on Twitter

Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/04/27/dna-testing-shut-down-at-dc-crime-lab-due-to-incompetent-analysts/&sa=U&ved=2ahUKEwj03_L4gLT9AhV9FlkFHYGmDUM4UBAWegQIBBAC&usg=AOvVaw1UVZ5mKY9HxgM9N9cLWm2b,2015-04-27
De Blasio: What NYC Crime Spike?,"New York City Mayor Bill de Blasio disputes that crime in New York City is on the rise despite the recent Central Park muggings, spike in shootings, the rise in murders, and subway vandalism, among other criminal acts.

There were 44 shooting victims last week. This is a 76 percent increase from the prior week, New York’s CBS channel 2’s Diane Macedo reported.

“Well the NYPD statistics say — and Commissioner Bratton has made it quite clear that the overall crime rate of the major index crimes is going down in New York City even compared to last year, which was a record year in crime reduction,” de Blasio told The Daily Caller at a presser in Washington D.C.

“There are some areas where we clearly have to do better. We’re implementing a host of new strategies including freeing up an immense amount of police time to address serious crime, because we’re not doing the stop and frisk policy of the past,” he said.

De Blasio, who was in the nation’s capitol promoting the Progressive Agenda To Combat Income Inequality, noted that the NYPD is no longer arresting large numbers of young people for having a low amount of marijuana.

“So, a lot is being done right now to put additional resources out to address the problems we do have, but the fact is, and please check with the NYPD with this, overall index crime in New York City has gone down this year compared to the same time last year.”

As Mayor de Blasio becomes more of a national political figure, some in New York City are concerned he is spending too much time on the road campaigning on national liberal issues and not spending enough time in the city taking care of the crime issues at home.

“He’s entering a path that can be dangerous for big-city mayors,” Kenneth Sherrill, a retired political science professor at Hunter College, told CBS New York. “It’s not unusual for a New York City mayor to be a national speaker for urban issues. But it is unusual for one to be so concerned about his national political party and its issues.”",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/05/12/de-blasio-what-nyc-crime-spike/&sa=U&ved=2ahUKEwj7-Z74gLT9AhWwFlkFHYzZCsE4RhAWegQIARAC&usg=AOvVaw0X5iaApfQjF4ZX7TlhmBpF,2015-05-12
Ben Carson Calls Planned Parenthood Shooting A ‘Hate Crime’ [VIDEO],"Republican presidential candidate Ben Carson weighed in Sunday on Friday’s shooting a Planned Parenthood clinic in Colorado Springs, calling it a “hate crime” and saying that both sides of the abortion debate should “tone down their rhetoric.”

“Any hate crime is a horrible thing no matter from where it comes and should be condemned very strongly,” Carson said during an interview on ABC’s “This Week.”

Robert Lewis Dear, 57, killed three people and wounded nine more in a shooting which began shortly before noon on Friday near the Planned Parenthood clinic. (RELATED: Colorado Springs Shooter Robert L. Dear Was An Accused Peeping Tom Once Arrested For Animal Cruelty)

It is still unclear where the shooting started and whether any Planned Parenthood employees or patients were injured. But Dear did surrender inside of the Planned Parenthood facility after a five hour standoff. Anonymous sources have told several news outlets that Dear made a comment about “no more baby parts,” an apparent reference to videos which show Planned Parenthood officials negotiating the sale of fetal tissue.

During during his ABC News interview, Carson was quick to add that “there is a lot of extremism from all areas.”

“We get into our separate corners, and we hate each other…it comes from both sides,” Carson said.

WATCH:

In a separate interview, Carson said that the abortion debate has given way to “hateful rhetoric” from both the pro-life and pro-choice sides.

“There is no question that hateful rhetoric, no matter which side it comes from, right or left, is something that is detrimental to our society,” Carson told CBS “Face the Nation” host John Dickerson.

“No question, the hateful rhetoric exacerbates the situation,” he added.

Asked by Dickerson if abortion opponents should tone down their rhetoric, Carson agreed, though he hedged his response to include abortion supporters.

“I think both sides should tone down their rhetoric and engage in civil discussion,” Carson said.

WATCH:

In calling the shooting a hate crime, Carson joins fellow social conservative, former Arkansas Gov. Mike Huckabee, as the two Republicans who have most strongly condemned Dear’s actions.

During an interview on CNN’s “State of the Union,” Huckabee called the shooting “domestic terrorism.”

“There’s no legitimizing, there’s no rationalizing. It was mass murder,” Huckabee said. “It was absolutely unfathomable. And there’s no excuse for killing other people, whether it’s happening inside the Planned Parenthood headquarters, inside their clinics where many millions of babies die, or whether it’s people attacking Planned Parenthood.”

In a third interview Carson conducted on Sunday, he declined to go as far as Huckabee in calling the shooting “terrorism.”

“Planned Parenthood is calling this now an act of domestic terrorism. Do you agree with that assessment?” CNN “State of the Union” host Brianna Keilar asked Carson.

“It certainly is an act of extreme hatred and violence,” Carson responded.

Follow Chuck on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/11/29/ben-carson-calls-planned-parenthood-shooting-a-hate-crime-video/&sa=U&ved=2ahUKEwjotMr5gLT9AhVOEVkFHeLMD-44WhAWegQIBxAC&usg=AOvVaw1cZjxL7moJH2k_DQDfYFVA,2015-11-29
