title,text,url,published_time
"1,000 Activists Shut Down California Highway To Protest Shootings","Protesters shut down California’s highway in Oakland Thursday night after setting off fireworks to protest the recent cop shootings of two black men.

About 1,000 protesters marched down Oakland’s I-880 highway in protest of cop shootings of the two black men from Minnesota and Louisiana, reports CBS Local. The protests blocked both lanes of traffic around 8:30 p.m.and lit fireworks.

The protest started with approximately 2,000 people who split off into two groups, reports The Mercury News. Half of the group blocked the highways, while the other 1,000 stayed to protest in the city.

“The whole damn system is guilty as hell,” the crowd shouted in the city. Minister Ben McBride organized the rally, and led part of the crowd to the Oakland Police Department headquarters, where he read a list of demands in front of the police station. He accused the department of various crimes, including murder.

McBride painted the doors of the police headquarters with red paint to symbolize “the blood that’s been spilled.”

“F— the police” and “All cops sucks” was graffitied in the city, the NBC local reported, while windows at businesses like Foot Locker and Chase Bank were smashed. Police described the crowds mostly peaceful, according to Abc 7.

Asians For Black Lives joined the protests with some members of the group carrying signs reading, “Third Worlds for Black Power.” Asians For Black Lives supports Black Lives Matter because it believes that Asians ” have often been used as part of a “divide-and-conquer” strategy to uphold white supremacy.”

“We’re here together. Some of us have been here for a long time. Until black liberation is won, we’re not going away,” Devika Ghai said.

Both highway lanes re-opened around 1:15 a.m.

Follow Amber on Twitter

Send tips to amber@dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=http://dailycaller.com/2016/07/08/1000-activists-shut-down-california-highway-to-protest-shootings/&sa=U&ved=2ahUKEwigrfXrgLT9AhVCFlkFHTTaDjc4FBAWegQIABAC&usg=AOvVaw3fBI50RdDqZjQh0ZhEl2rF,2016-07-08
Gay rights advocates protest marriage defenders,"The National Organization for Marriage (NOM) is traveling around the country on a month-long tour promoting traditional marriage. The “Summer for Marriage Tour 2010: One Man One Woman” is targeting some of the key battleground areas in the ongoing debate over gay marriage.

Maggie Gallagher, president of the Institute for Marriage and Public Policy and one of the event’s speakers, told The Daily Caller that the group plans to stop in 23 cities in 19 states. “We recognize we need to get out there and rally the troops,” she said. “Our goal is to attract and educate supporters and activists”

While tour participants have been peaceful, gay rights activists at a couple stops have responded with venom, according to Brian Brown, president of the NOM.

Last Saturday, the tour stopped in Albany, New York and last Sunday in Providence, Rhode Island. In both places, Brown said, marriage advocates were besieged by gay rights protesters.

In Albany, activists surrounded the NOM crowd — carrying rainbow umbrellas and wearing red shirts that said “see my love” — and pushed their way onto the stage, as seen in a YouTube video provided by the NOM. There were also reports of individual incidents of intimidation, including harassment of a nursing mother, a verbal threat to kidnap a participant’s child, and garden variety name calling.

“Their goal was intimidating my family, me, and my three small children,” a nursing mother said on the YouTube video of the event provided by the NOM. “I think they did the job.”

In Providence, the protesters got much more out of hand, Brown told TheDC. “I’d never seen anything like it in my life,” he said, “and I’ve been involved in the same-sex marriage issue for years…Ive been in the heart of these debates and at a lot of rallies and have never experienced something like this.”

During the Providence rally at the state’s Capitol building, an estimated 150 protesters surrounded the rally of nearly 250, shaking rocks in bottles to make loud noises, according to Brown. Brown said the protesters then entered the crowd shouting in the faces of the marriage supporters. Several even rushed the stage during Brown’s speech.

“As I was speaking, three protesters jumped in front of the podium and started screaming in my face as I was trying to speak,” Brown said. “This is the face of tolerance, they say they want tolerance, but look at how they act when they are confronted with ideas they do not agree with.”

The gay rights activists did not just harass the adult participants. According to Brown, children at the rally were also targets of the verbal vitriol as gay rights activists reportedly called the children names and taunted them, using such language as: “Are mommy and daddy raising you to be a little bigot” or “is mommy a bigot?”

“I’ve never seen this kind of hate and border-line violence, I mean going after children? Making them cry? I’ve never seen it before,” Brown said.

“We need to confront this hate with love and respect,” Brown continued. “People were scared and I was really worried something dangerous would occur. These people were just so mad and screaming so loudly I was concerned it could get physical.”

The Capitol police eventually called in the State Highway Patrol to help restore order. No arrests were made.

Fred Sainz, vice president at the Human Rights Campaign, told TheDC that regardless of what has happened on the ground, he does not think the intentions of the tour are as innocent as they appear. “It is less about traditional marriage and more of an elaborate stunt,” he said. “They want this type of harassment for lawsuits so that they are able to pepper their suits with stories and hide the identities of their donors.”

Gallagher, on the other hand, sees these tours as providing an opportunity to expose the gay rights movement. “Because we were there with cameras we were able to show a face of the gay rights movement that the mainstream media refuse to show,” she said.

The “Summer of Marriage Tour” will end on August 15th with a rally in Washington, D.C.

E-mail Caroline May and follow her on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2010/07/25/gays-rights-advocates-protest-marriage-defenders/&sa=U&ved=2ahUKEwj2n7PwgLT9AhUcFFkFHRt6Bgc4WhAWegQIBBAC&usg=AOvVaw3QUE6M1d2JTR0AGVG5J1ft,2010-07-25
Tibetans in China protest plans to curb their language,"BEIJING — Thousands of Tibetan students in western China have protested since Tuesday against proposals to curb or eliminate the use of the Tibetan language in local schools, according to reports from Tibet advocacy groups and photographs and video of the protests circulating on the Internet.

The protests are the largest in Tibetan areas since the March 2008 uprising that began in Lhasa and spread across the Tibetan plateau. But unlike those protests, these have been peaceful and have involved mostly students.

A protest against the proposed policies was also held in Beijing on Friday afternoon, drawing hundreds of Tibetan students at a prominent university that specializes in teaching ethnic minorities, according to witness reports and photographs.

The widespread protests over language reveal the deep resentment that many Tibetans feel over policies formulated by the Han, China’s dominant ethnic group, that Tibetans say are diluting their culture. Many Tibetans in western China also complain of strict controls over the practice of Tibetan Buddhism, including a ban on images of the Dalai Lama, the Tibetan spiritual leader, and large-scale Han migration to Tibetan towns. The Han end up taking many jobs that would otherwise go to Tibetans.

The latest resistance is over a proposal to shift school instruction fully or almost fully to China’s official language, Mandarin.

Full story: Tibetans in China Protest Plans to Curb Their Language – NYTimes.com",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2010/10/23/tibetans-in-china-protest-plans-to-curb-their-language/&sa=U&ved=2ahUKEwj2n7PwgLT9AhUcFFkFHRt6Bgc4WhAWegQIAxAC&usg=AOvVaw0WVl6CBx-fMBeASbyUDLKl,2010-10-23
"CAIR video of protest lacks context, say demonstrators","Participants at a protest outside an Islamic Circle of North America Relief (ICNA) USA fundraiser are disputing the way the gathering has been characterized in edited footage the Council on American Islamic Relations (CAIR) is circulating.

In mid-February hundreds of Californians gathered outside the Yorba Linda Community Center to protest the anti-American rhetoric supported by the ICNA event’s speakers — Imam Siraj Wahhaj, who was named as an un-indicted co-conspirator in the 1993 World Trade Center bombing and Amir Abdel Malik Ali, a self-identified supporter of the terrorist group Hezbollah.

According to reports from witnesses, among hundreds of attendees there was a small faction that got out of line. CAIR has put out footage of those few, reportedly serving to demonize the entire group, including elected officials who spoke at the protest rally nearby.

“We spoke at the park adjacent to the community center, and I spoke to the issue of Wahhaj and Malik-Ali, the speakers at the community center,” said California Republican Rep. Ed Royce in a statement. “It is regrettable that some protesters at the community center yelled insults at Imam Wahhaj’s supporters. I disavow those remarks and conduct. It was wrong. Nothing should deflect from the radicalism of Wahhaj and Malik-Ali,”

Pamela Geller, co-founder of the Freedom Defense Initiative and Stop Islamization of America, also took issue with CAIR’s characterization of the event.

“[T]hat video was cut to highlight bad behavior, which I don’t encourage, nor do you see at my rallies,” Geller told the blog Mental Recession.“It is also important to remember that ICNA is not a benign charitable organization, but an Islamic supremacist group with ties to the Muslim Brotherhood. It explicitly calls for Sharia rule, which institutionalizes oppression of women and non-Muslims and denies the freedom of speech and the freedom of conscience. This does not excuse people behaving obnoxiously toward ICNA members, but ICNA itself stands for a far greater repression and denial of human rights than that which is represented by a few insulting remarks.”

The first vice chair of the Orange County G.O.P. Organizing Committee, Deborah Pauly — who is seen in the video saying that her son is a Marine and that she knows “quite a few Marines who would be very happy to help these terrorists to an early meeting in paradise” — told the local NBC affiliate that her words were taken out of context to fit the narrative.

“This was edited to completely change the context. I was referring to terrorists who believe their actions of violence will lead them to paradise, and not the people at the fundraiser,” Pauly said, adding that the group featured in the video were likely not with the original protesters, since the footage was shot in the evening while her group protested in the afternoon.

In a statement CAIR-LA condemned the protesters.

“We support the First Amendment right of protesters anywhere in America to voice their concerns, dissent and even hatred. However, when our nation’s foundational values of inclusiveness, pluralism and equality are attacked by some in favor of calls for advocating hate and violence, then all Americans have a responsibility to challenge and expose such bigotry and those who enable it.”

The video has appeared in numerous news outlets including the Huffington Post and Al Jazeera.

Follow Caroline on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2011/03/09/cair-video-of-protest-lacks-context-say-demonstrators/&sa=U&ved=2ahUKEwiGnIbxgLT9AhVxEVkFHeEECX04ZBAWegQIBRAC&usg=AOvVaw2la2Vnj8xgKNG7G4nOI43g,2011-03-09
‘Kill the cops!’ shout reported during ‘Occupy New Orleans’ protest,"NEW ORLEANS – The “Occupy Wall Street” movement came to the Big Easy on Thursday, but its expression of varied and often clashing political messages quickly turned difficult.

As about 500 New Orleans protesters marched, complete with a small brass band, from Orleans Parish Prison to the Federal Reserve and then inside City Hall, one activist told The Daily Caller she heard shouts of “Kill the cops!”

With tensions running high between police and protesters outside the prison, marcher Buick McKane said she had no interest in provoking law enforcement. She told TheDC she was there to advocate for “small, transparent government.”

McKane was not the only one to defy left-wing agitator stereotypes. With a “Tax the rich!” chant a block ahead, an anarchist named Mary cried “The state is violence! End the Fed!”

Reflecting on the crowd’s more socialist sentiments, Mary said: “That’s alright. … People don’t understand. They get confused.”

Outside the prison, protestors denounced both the size of the American prison system and what they said was local police corruption. One scandal that attracted some focus was a 2005 police shooting that killed two people and wounded four more — all unarmed — at New Orleans’ Danziger Bridge.

Marcher Rosanna Cruz tied the prisons to Wall Street and bank bailouts, telling TheDC that “Wall Street is where all our money and resources are going … people who can’t find jobs all go into the underground economy and from there they wind up in jail.” (RELATED: Organizer admits to pay ‘Occupy DC’ protesters)

Ultimately, police and protesters managed to keep the peace without arrests or pepper spray. Even when one man heckled marchers and yelled that they should “go home,” protesters told the police that “he’s entitled to his opinion.”

The heckler, Michael Nohrenberg, told TheDC he was exasperated by a protest culture that he saw as an expression of laziness. Someone, he said, should “make them go out and work and get jobs. They want all this free stuff!”

Chants of “tax the rich” and signs reading “Tax the 1%” were hard to miss, but some protesters were light on specifics. Many called vaguely for more “progressive” taxation to shift the burden from the lower classes. Currently, about half of American wage-earners pay no income tax.

Those who offered specific solutions most commonly cited the “Tobin tax,” a sales tax on financial transactions such as stock purchases. About half of American households own shares of stock in one form or another.

During an open-mic time in front of the Federal Reserve Bank, a bullhorn passed between speakers wearing Ron Paul stickers and others sporting shirts claiming that “Housing is a human right!”

After several consecutive speakers plugged Rep. Paul, the Texas congressman, as “the only one” seeking to end the Federal Reserve system, several in the crowd became restless and started booing and chanting, “Ron Paul sucks!,” and “End Capitalism!”

One marcher worried aloud that the Ron Paul contingent would not “fight for people’s needs, repeal free-market policies and end structural racism in America.” The crowd Thursday was predominantly white.

Protester Matt Freimyth held a sign that said “Ron Paul is not the answer.” He told TheDC, “This is the wrong environment to be campaigning for any politician.” He was, however, sporting a “Brees for President” sticker. Drew Brees is the New Orleans Saints quarterback.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2011/10/07/kill-the-cops-shout-reported-during-occupy-new-orleans-protest/&sa=U&ved=2ahUKEwjD2bnugLT9AhUEEVkFHevqAlQ4PBAWegQIAxAC&usg=AOvVaw3WrCw5K2K1bIBcLm5Pu71N,2011-10-07
Seven women protest Rush for NOW’s big day of protest [VIDEO],"Seven women participated in the National Organization for Women’s day of protest against Rush Limbaugh in front of Limbaugh’s D.C. affiliate WMAL, Friday.

NOW’s national protest day had been in the works since April 19, when the women’s advocacy group launched their “Enough Rush” campaign.

Pairing with media watchdog Media Matters for America NOW is targeting local affiliates and local advertisers, Friday’s demonstration was touted as the group’s big demonstration of opposition to Limbaugh with affiliates across the country participating in protests.

NOW has had Limbaugh in their crosshairs for nearly two decades, and they renewed their effort to get Limbaugh off the air as a response to the radio host’slate February insult of contraception activist Sandra Fluke.

Standing on a street corner in front of WMAL the seven women bearing signs such as “Enough Rush” and “Stop hate speech” received some honks and smiles.

Erin Matson, NOW action vice president explained to The Daily Caller that Limbaugh crossed the line with his comments about Fluke and that he needs to go.

“Rush captured a new generation of women’s attention when he went on a long sexist tirade against Sandra Fluke for daring to speak up for birth control access,” Matson explained, recalling Limbaugh’s characterization of Fluke as a “slut” and a prostitute.

According to Matson, the community is on NOW’s side, adding that “it is a smart business decision” for affiliates and advertisers to leave Rush.

“Women are the majority of consumers in this country and we influence or make over 80 percent of the consumer decisions,” she said, adding that Limbaugh has already lost a number of advertisers over his Fluke comments.

Still TheDC overheard pedestrian conversations scoffing at the fact NOW is still on Limbaugh’s case, over two months after his Fluke comments.

Last week Limbaugh launched a response to NOW’s campaign against him in the form of a Facebook group for his female listeners, “Rush Babes for America aka the National Organization for Rush Babes,” to show not all women adhere the NOW agenda. His Facebook group surpassed NOW’s Facebook “likes” in under 24 hours.

Matson shrugged off the women who have joined the “Rush Babe” Facebook group explaining that it is just an attempt by Rush to feed his ego.

Limbaugh ranked 19th in Forbes ranking of the 100 world’s most powerful celebrities released this week, just behind Simon Cowell, at 18th.

According to NOW, chapters in New York City, West Palm Beach, Fla., and Phoenix, Ariz., also held protests against Limbaugh today.

Follow Caroline on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/05/18/seven-women-protest-rush-for-nows-big-day-of-protest-video/&sa=U&ved=2ahUKEwjz2JDrgLT9AhXhM1kFHQNKAt44ChAWegQICBAC&usg=AOvVaw06Z2DA-rbvW3mt2IAY8Ayu,2012-05-18
Secret Service shuts down ‘Fire Holder’ protest outside White House,"WASHINGTON — Secret Service agents shut down a protest outside the White House on Monday where about 30 young protesters demanded President Barack Obama fire Attorney General Eric Holder.

Agents on scene claimed a backpack abandoned on a sidewalk was a “suspicious package,” closing the Pennsylvania Avenue pedestrian mall in front of the White House, and the adjoining Lafayette Park, from protesters and tourists. All pedestrian traffic, including media, was forced to retreat to side streets.

Officers roped the streets off with bright yellow crime scene tape and brought in bomb-sniffing K-9 dogs.

After waiting on the sidewalk behind the police line for about half an hour, a middle-aged woman came forward to claim the backpack, telling agents that she had put her small bag on the ground so she could take a photograph with her family. She declined to be interviewed.

The protesters had a National Park Service protest permit from 10 a.m. to noon. Agents began clearing the crowd at 10:43 a.m., giving little information to protesters and tourists as they forced them out of the area.

Organizer Oliver Darcy told The Daily Caller that he didn’t believe the protest’s premature end was an accident. Darcy noted that he and others were demanding the president fire his attorney general over a scandal the White House doesn’t want to talk about.

“To me, it seems like a bit of an overreaction to evacuate the entire — like — I don’t know. Was the White House evacuated?” Darcy said.

“On Pennsylvania Avenue, they shut the entire block down, you know? From my judgment, it seemed like an overreaction, but I don’t work for the Secret Service and I know they take this stuff very seriously.”

“It did seem very odd that during a protest of Attorney General Eric Holder and Barack Obama in front of the White House that all of a sudden there was a mysterious bag left — accidentally, right?” Darcy continued.

“I really don’t know, but she [the backpack’s owner] looked like she was pretty sincere that she left it accidentally, but I’m not a secret service agent so I don’t know what the protocol is. … I’ve taken part in multiple protests in front of the Supreme Court, in front of the Capitol Building, in front of the White House. Never have I seen anything like this before.”

Secret Service spokesman Brian Leary told The Daily Caller later that law enforcement was not trying to chill protesters’ free speech rights. “We had an unattended package, and we cleared it for public safety,” he said.

Leary admitted the “unattended package” turned out to be “absolutely nothing.”

“We responded as we always do with our SOP [standard operating procedure],” Leary said.

Leary said the Secret Service would not “characterize” the package but made the decision to close down the area out of “an abundance of caution.”

Leary added that the Secret Service has “unattended packages frequently around the White House complex,” and called Monday’s reaction “standard.”

“We frequently deal with unattended packages at the White House complex and that’s the way we respond to all of them,” he said.

Protesters were outside the White House Monday to demand President Obama fire Holder and release documents related to Operation Fast and Furious that he has concealed from congressional investigators by asserting executive privilege.

They chanted “No Justice, No Peace” and “Remember Brian Terry,” a reference to the U.S. Border Patrol agent who was murdered with weapons Holder’s Department of Justice and Bureau of Alcohol, Tobacco, Firearms and Explosives provided to a Mexican drug cartel as part of the ill-fated Fast and Furious “gunwalking” operation.

Protesters’ signs include “This is a big f**king deal,” “Don’t shoot me, bro!” “Release the documents!” and “Watergate didn’t have a body count!”

Click the image to see more photos from the protest:

Videography by Sally Nelson

Follow Matthew on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/07/02/secret-service-shuts-down-fire-holder-protest-outside-white-house/&sa=U&ved=2ahUKEwjuio3vgLT9AhXgKlkFHaPZD-s4RhAWegQIBxAC&usg=AOvVaw1sMdh67QcCNzfUK766aeFD,2012-07-02
‘Million Big Gulp March’ to protest Bloomberg soda limits,"New Yorkers fed up the Mayor Michael Bloomberg’s proposed limits on soft drink size will participate in a “Million Big Gulp March” Monday evening.

After waiting more than a month to obtain a protest permit, opponents of Bloomberg’s crackdown on large beverages will stage a protest at City Hall Park.

Zach Huff, spokesman for the freedom advocacy group behind the rally, told The Daily Caller that the “long overdue response” anticiaqtes between 500 and 1,000 protesters. The rally will also feature local politicians, businessmen, and activist speakers opposed to the ban.

“We are hoping to send not only a message to stop this intrusion into our personal lives and small businesses but also the general idea that they have done this consistently, telling us where we can and cannot smoke, telling you how much salt you can have on and on and on,” Huff said

The protest is set to begin at 4:30 p.m. and last until 7:45.

“It is not about the number of ounces in the cup,” Huff added. “It is about the number of liberties we have left.”

Bloomberg’s ban would eliminate sugary beverages over 16 ounces from restaurants, stadiums, movie theatres, and the like across the city. The city’s health board would need to approve the measure. On July 24 the board will take it up in the first of three planned public hearings.

Follow Caroline on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/07/09/million-big-gulp-march-to-protest-bloomberg-soda-limits/&sa=U&ved=2ahUKEwjBspLtgLT9AhU1ElkFHepbC084KBAWegQICBAC&usg=AOvVaw1Oy0TqPApmVk1f9lIo5TH-,2012-07-09
Activists protest New York Times for using the term ‘illegal immigrant’,"Progressive activists demonstrated outside New York Times headquarters on 8th Avenue in Manhattan Tuesday to protest the newspaper’s continuing use of the term “illegal immigrant” to describe persons who have immigrated illegally to this country.

While the Associated Press notably announced this month that it would replace the term “illegal immigrant” in its stylebook, The New York Times has so far not followed that policy.

“Soon after the election, late last fall, MoveOn.org began a petition drive focused on the New York Times that was started by Helen Chavez, Cesar Chavez’s widow,” Rinku Sen, president of the Applied Research Center and one of the protest organizers, told The Daily Caller.

“All these years, I chose to stay in the background. I walked picket lines, managed our credit union, and took care of our eight children. Cesar respected my privacy. I never spoke in public or did an interview with a reporter. But I’m speaking out now to say: stop using the word ‘illegal’ to describe human beings,” Helen Chavez said in a statement Tuesday, the twentieth anniversary of her labor leader husband’s death.

Cesar Chavez, for his part, once used the term “illegal alien” in Senate testimony in 1979.

“It is apparent that when the farm workers strike and their strike is successful, the employers go to Mexico and have unlimited, unrestricted use of illegal alien strikebreakers to break the strike,” Chavez said.

Cesar Chavez’s son, Fernando Chavez, and Jose Antonio Vargas, the Pulitzer Prize-winning journalist who “outed” himself as an “undocumented” immigrant in a June 2011 New York Times magazine essay, delivered the petitions to Times headquarters Tuesday afternoon, joined by activists from various organizations including MoveOn.org. Vargas has been challenging news outlets to amend their stylebooks with respect to the phrase “illegal immigrant” for nearly two years.

“It took three years to get outlets like the AP to stop using that particular phrase,” Sen told TheDC. “The New York Times is clearly a national journalistic leader. Many people think it’s the country’s newspaper of record. They cover immigration issues frequently. I actually can’t speculate as to why it is that they haven’t changed yet. They said that they have found the term historically accurate.”

“When you see Republican commentators and mainstream commentators on both the left and the right changing their language, you have to ask why The New York Times is still using language that is not only grammatically incorrect but also offensive to so many people,” Presente.org executive director and protest organizer Arturo Carmona told TheDC.

Times public editor Margaret Sullivan wrote this month that the Times is considering its own moderate phasing-out of the “illegal immigrant” term, but so far that phasing-out has not begun.

“From what I can gather, The Times’s changes will not be nearly as sweeping as The A.P.’s,” Sullivan wrote April 2. “I would be surprised to see The Times ban the use of ‘illegal immigrant,’ as The A.P. has done. The Times’s changes will probably be more incremental.”

“It’s good to see these moves taking place,” Sullivan added. “Language evolves and it’s time for these changes. Early in my tenure as public editor, I considered this question and came down in favor of the continued use of ‘illegal immigrant,’ because it was a clear and easily understandable term. My position on this has changed over the past several months.”

Carmona said that he does not view his protest against the Times as a threat to free speech.

“Since the civil rights movement and the women’s rights movements, we’ve seen a tradition of [activists] helping language to evolve,” Carmona said. “The language has evolved. So why can’t The New York Times get with the times?”

Follow Patrick on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/04/23/activists-protest-new-york-times-for-using-the-term-illegal-immigrant/&sa=U&ved=2ahUKEwjz2JDrgLT9AhXhM1kFHQNKAt44ChAWegQIBxAC&usg=AOvVaw2C01SZ5qG3g3sq8hQeeHA5,2013-04-23
Liberals protest $100 million donation to hospital because David Koch gave the money,"Hatred for Charles and David Koch is now so pervasive among the far-left that unions are actually protesting a hospital that committed the cardinal sin of accepting a $100 million donation from the infamous billionaires–even though the money will likely create jobs for unionized employees of the hospital.

The donation, made by businessman and philanthropist David Koch, is the largest in the New York-Presbyterian Hospital’s history, and will be used to build a new wing at the facility, according to The Washington Free Beacon.

The Free Beacon’s Andrew Stiles pointed out that the donation “will presumably create a fair number of new nursing jobs.”

That made little difference to the New York State Nurses’ Association, who joined the SEIU and the NAACP in protesting both outside the hospital and outside David Koch’s apartment . Union protesters argued that the money should be returned–even if it helps unionized workers–because, well, it’s Koch money.

Or as New York City councilman and Democrat Ben Kallos–who attend the protest–put it:

.@BenKallos: David Koch is against affordable healthcare. Why is his name on a hospital? #stopKoch #womensday — NYSNA (@nynurses) March 8, 2014

Other protesters complained that the Kochs were the financial backers of the “War on Women.” The protesters hoped to drive the Kochs–and their generous humanitarian donations–out of New York.

The nurses union Tweeted messages such as “Patients, not profits!” and “Quality care, not Koch care” and “If there ain’t going to be no justice, there ain’t going to be no peace!”

Follow Robby on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/03/10/liberals-protest-100-million-donation-to-hospital-because-david-koch-gave-the-money/&sa=U&ved=2ahUKEwjD2bnugLT9AhUEEVkFHevqAlQ4PBAWegQIARAC&usg=AOvVaw2oh4UPJKkweTorveUilEvj,2014-03-10
