title,text,url,published_time
Arby’s Is Still Paying Employee Who Allegedly Refused To Serve Police Officer,"The Arby’s employee who was suspended more than two weeks ago for allegedly refusing to serve a police officer is still getting a paycheck from the company, two weeks after the incident.

A spokesman for Arby’s told The Daily Caller News Foundation that the company and the employee, Kenneth Davenport, 19, mutually agreed that the he would go on temporary paid leave.

“That’s where things stand at this point,” Jason Rollins, an Arby’s spokesman, told TheDCNF.

The entire scandal started when a Florida police department publicly complained saying one of their female officers was refused service at an Arby’s, simply because she was a cop.

The officer, Jennifer Martin, said she was refused service by Davenport at the Arby’s and when she asked the manager why, he said it was because she was a cop.

The Pembroke Pines police chief demanded an apology and caused a public relations nightmare for the company. Arby’s fired the manager of the store and suspended the employee involved, but Rollins told TheDCNF Davenport is still getting paid.

The employees have since said the entire incident was a misunderstood joke and that he was just too busy to serve her.

He has since said he doesn’t hate police. Arby’s gave the officer a refund and has apologized. Arby’s offered free food to police officers in two Florida counties as a way to save face after the incident, but local news could only find one officer who took the offer.

“We once again apologize to the police officer involved and the Dade-Broward County police community for this isolated incident,” the company said in a statement. “Arby’s has always been and will always continue to be a champion of the police in every community across America.”

Follow Casey on Twitter and like him on Facebook Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact licensing@dailycallernewsfoundation.org.

All content created by the Daily Caller News Foundation, an independent and nonpartisan newswire service, is available without charge to any legitimate news publisher that can provide a large audience. All republished articles must include our logo, our reporter’s byline and their DCNF affiliation. For any questions about our guidelines or partnering with us, please contact licensing@dailycallernewsfoundation.org.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://amp.dailycaller.com/2015/09/18/arbys-is-still-paying-employee-who-allegedly-refused-to-serve-police-officer&sa=U&ved=2ahUKEwig-Oj__7P9AhWyF1kFHc1UARI4KBAWegQIAhAC&usg=AOvVaw2CLYpfQ7huen7OkOzwFAAV,2015-09-18
A reply to Michael Mann and Eugene Wahl,"Michael Mann has responded to my piece in The Daily Caller accusing Penn State of whitewashing ClimateGate. Mann’s response is typically off point from the question:

The claim by fossil fuel industry lobbyist Chris Horner in his “Daily Caller” piece that I told Eugene Wahl to delete emails is a fabrication — a lie, and a libelous allegation. My only involvement in the episode in question is that I forwarded Wahl an email that Phil Jones had sent me, which I felt Wahl needed to see. There was no accompanying commentary by me or additional correspondence from me regarding the matter, nor did I speak to Wahl about the matter. This is, in short, a despicable smear that, more than anything else, speaks to the depths of dishonesty of professional climate change deniers like Chris Horner, Marc Morano, Stephen McIntyre, and Anthony Watts.

Please state where I “claim . . . that [Mann] told Eugene Wahl to delete emails,” and also what is libelous, Mr. Mann. If you do the latter, I am happy to retract it.

But, “Wahl says Mann did indeed ask Wahl to destroy records, and Wahl did” doesn’t do it, unless you want to crop off one end of the sentence (“Wahl says”) and replace it with something more appealing to your thesis (an inside joke for those familiar with the whole Hockey Stick saga). Chuckle.

Your allegation is false until you somehow demonstrate otherwise, and your problem lies with the NOAA inspector general whose transcript indicates these events transpired.

A guy who has clearly lawyered up probably ought to call his lawyer to see what libel means before accusing someone of it. It actually doesn’t mean accurately using someone’s name in a way that makes them uncomfortable.

Similarly, Eugene Wahl, the NOAA employee who worked for Alfred University (a place that I understand gave Ward Churchill an honorary PhD — while we’re busy making associations — though I’m not sure it was in climate) at the time he deleted the emails, writes in his public reply to the piece:

The Daily Caller blog yesterday contained an inaccurate story regarding a correspondence that was part of the emails hacked from East Anglia University Climate Research Unit (CRU) in November 2009.

Mr. Wahl, please state what the inaccurate statement was. You forgot to.

Wahl goes on:

For the record, while I received the email from CRU as forwarded by Dr. Mann, the forwarded message came without any additional comment from Dr. Mann; there was no request from him to delete emails. At the time of the email in May 2008, I was employed by Alfred University, New York. I became a NOAA employee in August 2008. The emails I deleted while a university employee are the correspondence I had with Dr. Briffa of CRU regarding the Fourth Assessment Report of the Intergovernmental Panel on Climate Change, all of which have been in the public domain since the CRU hack in November 2009. This correspondence has been extensively examined and no misconduct found. As a NOAA employee, I follow agency record retention policies and associated guidance from information technology staff.

But he did delete emails after receiving Jones’ request. He says he deleted the emails cited in the request that Mann forwarded to him from Jones. In response to Jones’ request that Mann ask Wahl to delete emails. But — and here’s where us non-scientists are missing the boat, it seems — Jones’ request was to Mann. You see? To, well, to ask Wahl to do what Wahl did. In response to which Mann forwarded the request. From Jones.

So, really, Mann never asked him to delete the emails, just like you can never be “alone” with someone in the White House. See?



Let’s review the points:

Penn State asked Mann, in pertinent part:

Allegation 2: Did you engage in, or participate in, directly or indirectly, any actions with the intent to delete, conceal or otherwise destroy emails, information and/or data, related to AR4, as suggested by Phil Jones?

Mann gave a non-answer, according to the way Penn State’s panel tells things, which nonetheless lapped it up and repackaged it as new and improved.

Finding 2. After careful consideration of all the evidence and relevant materials, the inquiry committee finding is that there exists no credible evidence that Dr. Mann had ever engaged in, or participated in, directly or indirectly, any actions with intent to delete, conceal or otherwise destroy emails, information and/or data related to AR4, as suggested by Dr. Phil Jones. Dr. Mann has stated that he did not delete emails in response to Dr. Jones’ request. Further, Dr. Mann produced upon request a full archive of his emails in and around the time of the preparation of AR4. The archive contained e-mails related to AR4.

Did you do A or B? I did not do A. OK, he didn’t do A or B.

PSU’s panel accepted the non-response, then dressed it up as claiming something there is no indication it actually claimed.

So Mann yells “libel!” and will figure out where and how later. Wahl says I wrote an inaccurate piece without saying how or where it was inaccurate, but is adamant that no one really asked him to delete the emails he deleted on his own volition or after hearing voices or reading it on a tortilla in Mexico or in an oil stain in the parking lot, but regardless, upon receiving this email, which didn’t ask him to delete any emails but only names the emails that need to be disappeared and expresses a desire that someone ask him to delete them.

I think we understand quite well.

Chris Horner is a senior fellow at The Competitive Enterprise Institute.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2011/03/09/a-reply-to-michael-mann-and-eugene-wahl/&sa=U&ved=2ahUKEwiq6Mr-_7P9AhVBk4kEHX0hA5k4FBAWegQIBxAC&usg=AOvVaw0_NgBE7Qtsd6-5kOWdFi6K,2011-03-09
Cats that have refused to call for Eric Holder’s resignation [SLIDESHOW],"As calls for Eric Holder‘s resignation over the Operation Fast and Furious scandal grow louder, some have failed to sign the petition against the attorney general.

The Daily Caller reached out to 10 cats that have refused to call for the AG’s resignation, or have declined to comment on the matter. (RELATED: Full coverage of Operation Fast and Furious)

If you or someone you love knows a cat that has called for Holder’s resignation — or has yet to do so — please send photos and captions to cats@dailycaller.com.

Follow Taylor on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2012/03/14/cats-that-have-refused-to-call-for-eric-holders-resignation-slideshow/&sa=U&ved=2ahUKEwjZ2L6CgLT9AhXaFlkFHfmtBV44UBAWegQIAhAC&usg=AOvVaw0xcCgRPuoFpGg2ns2SNfYm,2012-03-14
Common Core: In pursuit of the new Soviet man,"The Common Core State Standards Initiative is a federal initiative designed to homogenize diverse state educational curricula.

It is also the latest example of destructive federal overreach into the education system.

Like its predecessor No Child Left Behind, Common Core will not produce vibrant, inspired thinkers eager to tackle the world.

Instead, Common Core is designed to churn out young people who will be educated enough to work, consume, and pay taxes, but who are not encouraged to be creative, or to use critical thinking, or to develop anything remotely characteristic of those who possess superior minds and the ability to achieve great things.

Common Core proponents seem more interested in producing what Russian communists called “New Soviet Men” — people who are selfless, moderately educated, and stripped of all nationalist sentiment — than they are in delivering the next Thomas Jefferson, Thomas Edison, or Steve Jobs.

David Coleman is the architect of the Common Core standards. According to Coleman, supplanting classic literature with mind-numbing material such as government documents, court decisions, and technical manuals is necessary because informational texts are “what will give students the world knowledge necessary to compete as workers in the global economy” (emphasis mine).

Of course, there is nothing wrong with being a worker if that is what one chooses. However, it should be students, not bureaucrats, who determine what path their lives take: be it as workers, scientists, entrepreneurs, engineers, architects, artists, or whatever.

Like most government education programs, Common Core sets a very low bar for students. Its language arts component is so lacking that Dr. Sandra Stotsky, a professor emerita at the University of Arkansas and a member of the Common Core Validation Committee, refused to approve the program.

Common Core’s mathematical component is no better. The Validation Committee’s Dr. James Milgram, a professor emeritus at Stanford University, also refused to sign off on Common Core, saying that the math standards are “as non-challenging as possible. … The Core Mathematics Standards are written to reflect very low expectations.”

Unfortunately, since the mid-1800s, the object of government education in the U.S. has not been enlightenment and diversity of thought, but indoctrination and conformity.

In 1843, Horace Mann, the father of American public education, traveled to Europe to investigate the Prussian education system. Mann thought that American youth were unruly and needed a dose of discipline.

The highly regimented Prussian system provided the answer.

The Prussian model of education included compulsory attendance laws, teachers who specialized in specific subjects, a national curriculum, and national testing standards.

The autocratic Prussian government was not concerned about educating citizens, but controlling them. What better way to produce compliant people who think the same way than to take children away from their parents, limit their exposure to “inappropriate” information, encourage unquestioning obedience to authority, and discourage critical thinking?



In its mission to stunt intellectual growth and standardize diversity, the Prussian system was a spectacular success — a success which Mann and other early education reformers brought to our shores.

In 1852, Massachusetts, with Mann spearheading the effort, passed the nation’s first compulsory attendance law. By the early 1900s, the rest of the country was following suit. Although the federal government was not yet in the picture, many schools were being consolidated and school boards were losing their local flavor.

The Progressive Era brought us John Dewey and his idea that schools should not only be places of learning, but instruments for social reform, i.e., social engineering. Dewey thought that independent people were a danger to the collectivist future he envisioned. Students should only learn from “experts,” and not pursue knowledge for themselves. It was Dewey who advocated replacing the phonics method of teaching reading with “whole word” reading, a technique that Dewey himself admitted was much less effective.

This was a deliberate strategy to dumb down students.

Another progressive, Woodrow Wilson, clearly stated the goal of government education in a 1909 speech to the New York City School Teachers Association: “We want one class of persons to have a liberal education, and we want another class of persons, a very much larger class of necessity in every society, to forego the privilege of a liberal education and fit themselves to perform specific difficult manual tasks.” So much for the egalitarian myths about the American public school system.

By the late 20th century, the federal government was insinuating itself in the education system by bribing the states with grant money in return for more standardized testing and a greater say over the curriculum. In fact, Common Core began with a $4.35 billion program called “Race to the Top.” RTTP, which received its funding as part of the American Recovery and Reinvestment Act of 2009 (the stimulus bill), awarded the participating states grant money for satisfying certain criteria, including complying with Common Core standards.

Autocrats have long understood that if one controls the minds of its citizens, particularly the youth, one controls the future. Ultimately, the goal of the Prussian education system — the model for our own — was to create a docile populace that wouldn’t cause the ruling class too much trouble.

Sadly, the American education system has been following this same path for quite some time.

In 1889, William Torrey Harris, the U.S. commissioner of education, told railroad baron Collis Huntington that American schools were “scientifically designed” to prevent “over-education,” thus ensuring Huntington content workers who would never be tempted to better their station in life.

While Harris wanted to produce workers for private interests, Karl Marx — who also advocated free, universal government education — wanted to produce workers for the state. Either way, the happiness of the youth is subordinate to the will of central planners.

Instead of further centralizing our education system with programs such as Common Core, the education of our children should be returned to where it belongs: the family and local communities.

Common Core instructs our children not to grow, achieve and reach for the stars, but to keep their heads low, and their expectations even lower. “Lowest Common Denominator” is a far more apt name for it.

Glenn Jacobs is an entertainer and liberty activist. He is the co-founder of the Tennessee Liberty Alliance, a free-market educational organization.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/07/04/common-core-in-pursuit-of-the-new-soviet-man/&sa=U&ved=2ahUKEwjmnvj9_7P9AhW9MlkFHTZZDGI4ChAWegQIABAC&usg=AOvVaw3p4FmBIX1npNZcYb1Ns3Px,2013-07-04
Judge won’t allow Trayvon Martin’s texts in Zimmerman trial,"SANFORD, Fla. – Judge Debra Nelson ruled Wednesday against two key pieces of evidence sought by George Zimmerman’s defense team.

Nelson said that text messages from Trayvon Martin’s phone which allegedly showed the slain teen to have a burgeoning penchant for violence will not be allowed into evidence.

Richard Conner, a computer forensics expert hired by the defense, was able to unlock “secret” text messages from the phone number used by Martin.

In those text messages sent from Martin’s phone — which analysts for the state were not able to obtain — Martin was said to have had conversations with friends about getting into fights. Martin’s half-brother allegedly asked Martin, “when you gonna teach me how to fight?”

Martin also sent text messages showing he was looking to obtain a handgun, he said. Those texts were sent in the week before Martin’s February 2012 visit to Sanford.

Nelson had put a decision on Martin’s text messages on hold prior to the trial. Both sides argued late into Tuesday evening over the relevance of the texts. State attorney John Guy argued “we don’t know who typed these messages, we don’t know if they’re connected.”

Nelson agreed, citing the “authenticity issue”.

Nelson also blocked animation created by Daniel Schumaker. The animation relied on witness testimony and statements to re-create the defense’s theory about the altercation between Zimmerman and Martin leading up to Martin’s death.

Schumaker relied on analysis provided by Vincent di Maio, the renowned gunshot expert who testified Tuesday the Zimmerman’s story — that Martin was on top of Zimmerman when he was shot — is consistent with the available evidence.

“This is a murder trial. This isn’t ‘Casablanca.’ This isn’t ‘Iron Man’,” argued state attorney Richard Mantei.

A point of contention Tuesday night was whether Martin first struck Zimmerman with his right or left hand.

Nelson ruled that while the animation cannot be introduced into evidence, it can be used as a demonstrative tool by the defense.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/07/10/judge-wont-allow-trayvon-martins-texts-in-zimmerman-trial/&sa=U&ved=2ahUKEwiX-Zj__7P9AhVILVkFHWaFCU04HhAWegQICRAC&usg=AOvVaw03YFyUGs3pf5Y-CJDwrMyn,2013-07-10
Obamacare chief repeatedly dodges questions on number of Obamacare enrollees,"“We’ll have that information available for you in mid November.”

That line was repeated over and over again during a congressional hearing Tuesday by a top Obama administration official involved in the implementation of Obamacare this month.

Marilyn Tavenner, the administrator for the Centers for Medicare and Medicaid Services, repeatedly refused to say how many people have actually enrolled in the new Obamacare exchanges while under questioning from Republican Rep. Dave Camp, the chairman of the House Ways and Means Committee.

Tavenner appeared before the committee to answer questions about the botched roll out of the health care law and problems with its website, which has prevented people from being able to sign up for health benefits.

On Tuesday, Tavenner said: “I want to apologize to you that the website is not working as well as it should.” But she wouldn’t say how many people have successfully enrolled.

Here’s the exchange between Camp and Tavenner:

Camp: Administrator Tavenner, how many people have enrolled in the exchanges?

Tavenner: Chairman Camp, that number will not be available until mid-November. We have over 700,000 who have completed applications.

Camp: So you know the applicants but do you know the enrollees? Do you have any idea of how many of those applicants became enrollees? Because that’s really the number that matters.

Tavenner: We will not have that until mid-November. We have people who are shopping now. We expect the initial number to be small. And I think you’ve seen that in our projections. And that was the Massachusetts experience as well.

Camp: I have to tell you, the numbers I’m hearing from insurers in my home state of Michigan are not good…of enrollees. A very small number. In fact, I think I could have a meeting in my office and have all of them fit in, of the people who have successfully enrolled in the plans. I understand that CMS’s stated goal is 7 million enrollees by the end of March. Is that correct?

Tavenner: That’s correct.

Camp went on to ask about an internal memo predicting enrollment numbers.

Camp: According to the press report, the memo estimated that 494,620 people would sign up for health insurance under the program by Oct. 31. We’re obviously very near that date. Have you met that estimate?

Tavenner: We will not have those numbers available until mid November.

Camp: So do you not know? Do you not ave any idea of how many people have enrolled?

Tavenner: Folks are still in the process of enrolling. Both in the state-based exchanges and in the federal exchange. And we will have those numbers available in mid-November.

Camp: Are you getting those numbers?

Tavenner: Am I getting those numbers? Not yet.

Camp: You have no numbers on whose enrolled. So you have no idea?

Tavenner: We will have those numbers available in mid-November.

Camp: So no one is forwarding even weekly updates?

Tavenner: I think you’ve seen of the press. And I think that was on the graph earlier about what states have listed. We will get those in mid November.

Camp: I understand you are not publicly releasing those numbers, but I’m asking do you have any idea of – on a weekly basis — how many people enrolled. How do you not know how many people enrolled?

Tavenner: Chairman Camp. We will have those numbers available in in mid-November.

Follow Alex on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2013/10/29/obamacare-chief-repeatedly-dodges-questions-on-number-of-obamacare-enrollees/&sa=U&ved=2ahUKEwjX8pWDgLT9AhWsEFkFHfRjBCE4WhAWegQIARAC&usg=AOvVaw3DfMsYqPteYUu_lo616Qse,2013-10-29
Secretary Hillary — Now Decrying ‘Terrorism’ — Refused To Call Boko Haram A Terror Group,"Since the kidnapping of nearly 300 girls, Hillary Clinton has risen to the fore of those demanding international action and calling Nigerian group Boko Haram terrorists.

But during her tenure at the head of the U.S. Department of State, Clinton resisted numerous calls from the CIA, the FBI, the Department of Justice and a number of U.S. senators and congressmen to do just that.

On Sunday, Clinton tweeted:

Access to education is a basic right & an unconscionable reason to target innocent girls. We must stand up to terrorism. #BringBackOurGirls — Hillary Clinton (@HillaryClinton) May 4, 2014

And on Wednesday, Clinton called the kidnappings and threat to sell the girls for $12 each, “an act of terrorism and it really merits the fullest response possible, first and foremost from the government of Nigeria.”

The government of Nigeria, itself a human right abuser, may be somewhat behind Clinton’s refusal to designate the church-bombing, anti-education, al-Qaida-harboring terror group on the official list, The Daily Beast Reports: “Several officials said that the Nigerian government was opposed to the designation and [Assistant Secretary of State for African Affairs Johnnie] Carson was focused on preserving the relationship between Washington and Abuja,” Josh Rogin writes.

Early urging from the intelligence community and Congress to designate the group came after the 2011 bombing of the United Nations HQ in Abuja.

Carson was the most vocal critic of placing Boko Haram on the list. Being placed on the list expands the U.S.’s ability to thwart the group through Patriot Act powers, and by cutting off dealings with all U.S. businesses, thereby making it toxic for other countries’ businesses to deal with the group. Designation is not, however, the only means of fighting organizations.

When Clinton was still in charge, the State Department went so far as to lobby against the Boko Haram Terrorist Designation Act of 2013, introduced by a number of senators to force a designation of explanation, The Daily Beast reports.

Carson stood by the previous decision to not designate Boko Haram a terror group in a Wednesday press call, saying, ““There was a concern that putting Boko Haram on the foreign terrorist list would in fact raise its profile, give it greater publicity, give it greater credibility, help in its recruitment, and also probably drive more assistance in its direction.”

Ten months into his tenure at the helm of the State Department, John Kerry added the group to the list. The designation cited murderous campaigns against civilians, the bombing of the U.N. building, and ties to al-Qaida — all things recognized by the U.S. government during Clinton’s time as secretary of state.

Clinton allegedly made women’s rights, including access to education, a priority for her State Department.

Follow Bedford on Twitter and Facebook",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/05/08/sec-of-state-hillary-clinton-refused-to-call-boko-haram-a-terror-group/&sa=U&ved=2ahUKEwjZ2L6CgLT9AhXaFlkFHfmtBV44UBAWegQIBxAC&usg=AOvVaw3EB5s2sFLwle4Dya4fC0mx,2014-05-08
FLASHBACK: Czech Republic Refused North Korean Demands To Ban ‘Team America’,"Here’s an old story with modern implications: back in 2005, the Czech Republic refused North Korean demands that the movie “Team America: World Police” be banned for its depiction of then-leader Kim Jung-Il. (RELATED: US Links North Korea To Sony Hack, ‘The Interview’ Terror Threat)

The movie, written and directed by South Park creators Matt Stone and Trey Parker, depicted Kim as a power-hungry and comically inept dictator bent on world domination (and secretly an alien cockroach). “It harms the image of our country,” a North Korean diplomat said according to the Associated Press. “Such behavior is not part of our country’s political culture. Therefore, we want the film to be banned.”

The Czechs refused. “We told them it’s an unrealistic wish,” said a government spokesman. “Obviously, it’s absurd to demand that in a democratic country.” (VIDEO: Gene Simmons On Sony Hack: ‘Cyber War Has Been Declared’)

Obviously, there’s a difference between the government banning a film, and independent companies doing the same. But perhaps Sony, Paramount, and the countless theater chains should be taking notes on how to deal with threats from brutal dictatorships.

Follow Alex Griswold on Twitter",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/12/18/flashback-czech-republic-refused-north-korean-demands-to-ban-team-america/&sa=U&ved=2ahUKEwim3oqBgLT9AhURElkFHQ0rDKU4PBAWegQIBxAC&usg=AOvVaw1bwqcwWO9yoddmlMNpYj40,2014-12-18
Clooney: Hollywood Refused To Stand Up To Threats Against Sony,"George Clooney is angry. The hack of Sony’s computer systems and the following terrorist threats have the A-list actor up in arms not just at North Korea, but at his fellow actors and Hollywood types. In an interview with Deadline Hollywood, Clooney went off on those in his profession and the media for the way they’ve handled the crisis.

“A good portion of the press abdicated its real duty,” Clooney said. “They played the fiddle while Rome burned.”

“Here, we’re talking about an actual country deciding what content we’re going to have,” he said. “This affects not just movies, this affects every part of business that we have. That’s the truth. What happens if a newsroom decides to go with a story, and a country or an individual or corporation decides they don’t like it? Forget the hacking part of it. You have someone threaten to blow up buildings, and all of a sudden everybody has to bow down.”

Clooney pointed fingers at lawyers for Sony canceling the release of “The Interview,” the comedy behind the controversy. “Sony didn’t pull the movie because they were scared; they pulled the movie because all the theaters said they were not going to run it. And they said they were not going to run it because they talked to their lawyers and those lawyers said if somebody dies in one of these, then you’re going to be responsible.”

The veteran actor and his agent, Bryan Lourd, circulated a letter of support for the First Amendment and defiance in the face of terrorist threats against showing “The Interview.” They sent the letter to “a fairly large number” of people in the entertainment business in the hope of getting signatures of support. They got zero.

Clooney’s letter read:

On November 24 of this year, Sony Pictures was notified that it was the victim of a cyber attack, the effects of which is the most chilling and devastating of any cyber attack in the history of our country. Personal information including Social Security numbers, email addresses, home addresses, phone numbers and the full texts of emails of tens of thousands of Sony employees was leaked online in an effort to scare and terrorize these workers. The hackers have made both demands and threats. The demand that Sony halt the release of its upcoming comedy The Interview, a satirical film about North Korean dictator Kim Jong Un. Their threats vary from personal—you better behave wisely—to threatening physical harm—not only you but your family is in danger. North Korea has not claimed credit for the attack but has praised the act, calling it a righteous deed and promising merciless measures if the film is released. Meanwhile the hackers insist in their statement that what they’ve done so far is only a small part of our further plan. This is not just an attack on Sony. It involves every studio, every network, every business and every individual in this country. That is why we fully support Sony’s decision not to submit to these hackers’ demands. We know that to give in to these criminals now will open the door for any group that would threaten freedom of expression, privacy and personal liberty. We hope these hackers are brought to justice but until they are, we will not stand in fear. We will stand together.

Clooney was exasperated at the willingness of his fellow celebrities and executives to accept what we’ve been witnessing this last week. “Quite honestly, this would happen in any industry. I don’t know what the answer is, but what happened here is part of a much larger deal. A huge deal. And people are still talking about dumb emails,” he said. “Understand what is going on right now, because the world just changed on your watch, and you weren’t even paying attention.”

“Everybody was doing their jobs, but somehow, we have allowed North Korea to dictate content, and that is just insane,” Clooney concluded. “I wanted to have the conversation because I’m worried about content. Frankly, I’m at an age where I’m not doing action films or romantic comedies. The movies we make are the ones with challenging content, and I don’t want to see it all just be superhero movies. Nothing wrong with them, but it’s nice for people to have other films out there.”

Read the entire interview here.",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2014/12/19/clooney-hollywood-refused-to-stand-up-to-threats-against-sony/&sa=U&ved=2ahUKEwjX8pWDgLT9AhWsEFkFHfRjBCE4WhAWegQIBxAB&usg=AOvVaw2htG8vzG0mbE249pevmUWA,2014-12-19
Hannity: Chris Christie REFUSED To Sit Down For An Interview [VIDEO],"Appearing on Fox News’ “The Five,” host Sean Hannity revealed that of all the presumed 2016 Republican candidates at CPAC, Republican New Jersey Governor Chris Christie was the only one who refused an interview with him.

When host Juan Williams asked about an attack Florida Governor Jeb Bush had made on Christie during an interview, Hannity voiced his frustration. “I was a little disappointed with Chris Christie. Chris Christie, of all the candidates here, was the only one that didn’t––refused to do an interview with me. We had requested well over, you know, a number of weeks back, and all through last week.”

Hannity also laid out what he saw as Christie’s greatest weakness in the coming election: “…the State of New Jersey [debt rating], since he has been governor, has been downgraded eight times. That’s a lot of downgrades.” (VIDEO: Christie Slams NYT At CPAC: ‘I Don’t Care What They Write About Me’)

[h/t Mediaite]",https://www.google.com/url?client=internal-element-cse&cx=013858372769713515008:m9uq4uupsfm&q=https://dailycaller.com/2015/02/27/hannity-chris-christie-refused-to-sit-down-for-an-interview-video/&sa=U&ved=2ahUKEwjZ2L6CgLT9AhXaFlkFHfmtBV44UBAWegQIBBAC&usg=AOvVaw2OJZclxzoAkgMzXsMcwldD,2015-02-27
