,title,text,url,published_time
0,"China blames US gun policies for global violence, says America exports ‘woes and instability’","America’s ""loose management"" of firearms is creating a ""recurring nightmare"" of domestic gun violence that is now spilling into other countries as U.S.-made weapons and ammunition are increasingly finding their way into the wrong hands, China’s Ministry of Foreign Affairs said Thursday.

Wang Wenbin, a spokesman for the ministry, lamented that at a United Nations meeting last week, the U.S. opposed a Chinese proposal to block transfers of ammunition to non-state actors. He then argued that America’s tolerance for guns is creating violence around the globe.

""Gun violence has become a recurring nightmare for the American people,"" Wang said. The U.S.’s loose management of small arms and light weapons and ammunition, massive weapons export and persistent transfer of military articles to non-state actors are equally worrying.""

CHINA'S TOP DIPLOMAT TRAVELING TO MOSCOW AS US-CHINA TENSIONS BROIL

""A lot of the ammunition from the U.S. have become untraceable and even ended up in the hands of terrorist and extremist groups, posing a grave threat to regional and international peace and stability,"" he added.

Wang said gun violence is increasingly America’s main export to the world.

""The U.S. brings to other countries not democracy or progress of human rights but livelihood woes and instability,"" he said. ""The U.S. needs to know that the more it engages in such exports, the worse the backfire will be on the U.S. itself.""

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: ‘THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO'

Wang added that violent elements in Mexico, Pakistan and elsewhere have been ""found to use U.S. weapons"" and noted a Center for American Progress study said more than 50,000 guns originating in the U.S. were recovered in 15 criminal investigations between 2014 and 2016.

His remarks came several days after a meeting of the United Nations Security Council, at which China said it is worried that U.S. exports of arms to Ukraine are raising the risk of ""strategic miscalculation and escalation of hostilities"" because they might be misdirected to ""terrorists and armed groups.""

The U.S. rejected that assessment at the meeting and dismissed the ""victim-blaming notion that Ukraine’s self-defense is the obstacle to ending this war.""

US AIRPORT SECURITY INTERCEPTS RECORD 6,542 GUNS in 2022

But Wang on Thursday repeated that there's a likelihood U.S. weapons sent to Ukraine will be ""smuggled by international criminal groups into the hands of criminals in Europe and elsewhere.""

CLICK HERE TO GET THE FOX NEWS APP

""Both Interpol and Europol have warned about this,"" he said. ""An African leader once said that the raging war in Ukraine is now a major source of weapons that bolster the ranks of the terrorists in Lake Chad Region.""

While President Biden supports domestic gun control efforts, he has also supported billions of dollars in military aid to Ukraine since Russia invaded that country a year ago. This week, Biden promised another $500 million in weapons and ammunition to Ukraine.",https://www.foxnews.com/politics/china-blames-us-gun-policies-global-violence-america-exports-woes-instability,N/A
1,US sending up to 200 more troops to Taiwan as China tensions grow,"The U.S. is preparing to send 100 to 200 troops to Taiwan for training amid rising tensions with China, a U.S. official familiar with the planning confirmed to Fox News on Thursday.

This number will expand a much smaller training program, which has included the National Guard, Special Ops, and U.S. Marines in the past.

The Michigan National Guard will also train a contingent of the Taiwanese Army, including some training as part of larger exercises, on U.S. soil.

The Wall Street Journal, which first reported the news, cited U.S. officials as saying only around 30 American troops were stationed in Taiwan about a year ago.

US SPENT AT LEAST $1.5 MILLION SHOOTING DOWN ‘OBJECTS’ OVER CANADA, US

""We don't have a comment on specific operations, engagements, or training, but I would highlight that our support for, and defense relationship with, Taiwan remains aligned against the current threat posed by the People’s Republic of China,"" Lt. Col. Marty Meiners, a Defense Department spokesperson, told Fox News on Thursday.

""Our commitment to Taiwan is rock-solid and contributes to the maintenance of peace and stability across the Taiwan Strait and within the region,"" he added.

PENTAGON SAYS MAJORITY OF DOWNED CHINESE SPY CRAFT FOUND

The Wall Street Journal described the planned troop increase in the coming months as the largest deployment of American forces in Taiwan in decades.

Officials who spoke to the newspaper said the increase has been planned for months, before China escalated tensions with the U.S. by flying a spy balloon over American soil.

The troops going to Taiwan will be tasked with training its military on U.S. weapon systems, as well as maneuvers to counter a potential offensive from China, they added.

In recent weeks, China has frequently been sending its ships and aircraft into Taiwanese waters and airspace.

CLICK HERE TO GET THE FOX NEWS APP

Taiwan split from China in 1949 after a civil war. The only connection between the two nations is billions of dollars in trade and investment. Mainland China does not recognize Taiwan independence and wants it to unite with the mainland.

""One of the difficult things to determine is what really is objectionable to China,"" one of the U.S. officials told The Wall Street Journal about the planned troop deployment. ""We don’t think at the levels that we’re engaged in and are likely to remain engaged in the near future that we are anywhere close to a tipping point for China, but that’s a question that is constantly being evaluated and looked at specifically with every decision involving support to Taiwan.""

Fox News’ Greg Wehner contributed to this report.",https://www.foxnews.com/politics/us-sending-more-troops-taiwan-china-tensions-grow,N/A
2,Does China’s purported green energy push signal a coming conflict with the US?,"Beijing is only attempting to appear as though it's concerned about climate change to appease the West — all while China is using more domestic coal as a way to strengthen energy independence in case of a future conflict, according to a policy analyst.

""The Biden administration and frankly, too many policymakers in Washington, D.C., continue to see China as a partner,"" Chuck DeVore, the chief national initiatives officer at the Texas Public Policy Foundation, told Fox News. ""They look at things like cooperation with climate change as one of the things that we should be working with China on.""

""I find [it] utterly remarkable that Chairman Xi [Jinping] of China and the Chinese Communist Party gives a tinker's damn about the planet's climate or climate change,"" DeVore continued. ""It is merely a device to engage gullible Westerners into thinking that somehow we can get meaningful cooperation.""

CHINA'S CLIMATE POSTURING IS MEANT TO DUPE THE US, POLICY ANALYST WARNS

WATCH MORE FOX NEWS DIGITAL ORIGINALS HERE

Jinping promised not building more coal-powered power plants abroad in 2021. But that same year, the country began building over half of the world’s new coal-based power plants, all within China, according to The Wilson Center.

Since the country doesn't have any other significant energy sources, China's reliance on coal allows Beijing to avoid depending on foreign sources, DeVore told Fox News. That also means China's recent increased investment in coal-powered industries helps protect its energy independence in case of conflict.

""It's not at all about green energy,"" Devore said. ""It's about making the Chinese economy resilient in the event of a conflict with America.""

China hit a coal production record in November — the same month President Biden and Xi discussed climate goals — and 2023 production is expected to expand further, according to China's National Bureau of Statistics. About 55% of China's energy comes from coal compared to 11% in the U.S., according to the U.S. Energy Information Administration.

GOP LAWMAKERS DEMAND ANSWERS FROM JOHN KERRY OVER ‘EFFECTIVELY OUTSOURCING’ US POLICY-MAKING

""If you look at the amount of electric vehicles being sold in China, you look at their high-speed electric rail, et cetera, they're going all in,"" DeVore told Fox News. ""Those electric vehicles in China are coal-fired cars. That's where the energy comes from to charge the cars in China. Coal, Chinese coal.""

""If you thought that carbon dioxide emissions were a problem and the planet was warming, then you'd have to ask yourself, ‘why is it that the Chinese are converting so much of their coal into fuel right now,'"" DeVore added.

China has been increasing investment in its coal-to-liquids industry, which enables coal to be turned into cheap fuel for pedestrian and military use, according to DeVore. But that process makes more carbon dioxide emissions than traditional oil refining methods.

WHAT IS THE NATIONAL POWER GRID AND HOW RESILIENT IS IT?

Other Chinese green energy products have also sparked concerns from federal agencies.

U.S. Customs and Border Protection seized shipments of Chinese-made solar equipment last year because the products were from Xinjiang, where the U.S. has banned purchases over concerns of slave labor.

Regardless, climate change should not be the priority of U.S.-Chinese foreign policy, according to DeVore.

CLICK HERE TO GET THE FOX NEWS APP

""America's number one priority is maintaining our ability to deter the People's Republic of China from aggression on its neighbors,"" he said. ""This would include the Philippines, Malaysia, Indonesia, Vietnam, India, the nations of the Indo-Pacific.""

""These are nations that are now seriously threatened by a country that has increasingly grown aggressive and belligerent and has made no secret of its designs on its neighbors,"" DeVore told Fox News.

To watch DeVore's full interview, click here.

Isabelle McDonnell contributed to the video.",https://www.foxnews.com/world/does-chinas-purported-green-energy-push-signal-coming-conflict-us,N/A
3,"China outpacing US in warship production, Navy secretary warns","The United States is falling behind the People's Republic of China in the production of military ocean vessels, according to the head of the U.S. Navy.

Secretary of the Navy Carlos Del Toro spoke Tuesday at the National Press Club in Washington, D.C.

During his remarks, he warned that the Chinese military was producing warships at a greater pace than the U.S., jeopardizing American supremacy on the seas.

CHINESE OFFICIAL URGES NATO TO 'GROW OUT OF' ITS 'COLD WAR MENTALITY' TOWARDS RUSSIA, CHINA

""It is no secret that the People’s Republic of China seeks to upend our dominance on the oceans across the globe,"" said Del Toro. ""The People’s Liberation Army Navy has added over 100 combatants to its fleet – a naval buildup that is a key component of its increasingly aggressive military posture globally.""

Del Toro noted that China currently possesses approximately 340 ships and is seeking to add 100 more by 2030.

This possible shift in naval dominance, Del Toro warned, could begin to reshape the world order.

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: 'THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO'

""China’s disregard for the rules-based international order is particularly troubling in the maritime domain, from the Taiwan Straits to the high seas,"" the Navy secretary said.

He continued, ""The values espoused by the Chinese Communist Party are incompatible with individual liberty, with democracy, and with respect for human rights. This is about the future of humanity and of our planet.""

China's military strength has become increasingly relevant to international disputes as the Asian superpower continues to flex its muscles on the world stage.

CLICK HERE TO GET THE FOX NEWS APP

Nearly two dozen Chinese military aircraft and ships were detected around Taiwan this month after the U.S. Navy and Marine Corps held joint exercises in the South China Sea over the weekend.

China's incursions have become an almost daily occurrence in recent months.

Fox News' Paul Best contributed to this report.",https://www.foxnews.com/politics/china-outpacing-us-war-ship-production-navy-secretary-warns,N/A
4,China edges closer to sending lethal aid to Russia as UN votes to condemn invasion of Ukraine: report,"Russia is in talks with China to purchase 100 combat drones, according to a new report published just days after Secretary of State Antony Blinken said the U.S. had evidence Beijing was weighing lethal aid to Moscow in its war against Ukraine.

Der Spiegel reports that Moscow is looking to commission a Chinese manufacturer to mass produce the drones – with a delivery date as early as April.

Per the report, Xian Bingo Intelligent Aviation Technology, a Chinese drone manufacturer, has said it was prepared to make 100 prototypes of its ZT-180 drone, which carry a 35-50 kg warhead.

The drones are similar to Iran’s Shaheed-136, which Russia has used to kill hundreds of Ukrainians and damage infrastructure.

The report, citing sources familiar with the matter, says Bingo had plans to establish a productive site for the drones in Russia.

FOX NEWS POLL: HALF SAY US SHOULD SUPPORT UKRAINE AS LONG AS IT TAKES

Fox News Digital has contacted the State Department for comment on the report but did not hear back before publication.

Former intelligence officer Rebekah Koffler argued that China's decision calculus is ""entirely rational"" as helping Russia militarily keeps the U.S. bogged down in Ukraine and focusing on the European theater as Beijing eyes Taiwan.

""The biggest challenge for the United States would be to have to be engaged in two wars simultaneously, albeit by proxy – one with Russia, on behalf of Ukraine, and the other with China, on behalf of Taiwan,"" Koffler said. ""There are concerns within the Pentagon about how long U.S. stockpile would last if Russia and China were to challenge us in a two-theater war.""

The Der Spiegel report comes days after Blinken, who met with China’s top diplomat Wang Yi in Munich over the weekend, said the U.S. has evidence that China is considering providing lethal support to Russia.

U.S. State Department spokesperson Ned Price warned Wednesday there would be ""consequences"" if China were to provide lethal aid to Russia in its war against Ukraine.

Also on Thursday, the U.N. General Assembly approved a nonbinding resolution that calls for Russia to end hostilities in Ukraine and withdraw its forces. The resolution, drafted by Ukraine in consultation with its allies, passed 141-7, with 32 abstentions.

CLICK HERE TO GET THE FOX NEWS APP

Friday will mark one year since Russian forces invaded Ukraine. The war has killed tens of thousands on both sides, has reduced entire Ukrainian cities to ruins, and its impact has been felt worldwide in higher food and fuel costs and rising inflation.

The Associated Press contributed to this report.",https://www.foxnews.com/world/china-edges-closer-sending-lethal-aid-russia-un-votes-condemn-invasion-ukraine-report,N/A
5,China’s top diplomat traveling to Moscow as US-China tensions broil,"China’s top diplomat is set to meet with high-level Russian officials and possibly Russian President Vladimir Putin this week, just days after the Biden administration said it worries China may be preparing to send weapons to Russia for use against Ukraine.

Wang Yi is the director of China’s Office of Foreign Affairs, and he just met with Ukraine’s foreign minister at the Munich Security Conference over the weekend. A spokesman for the Kremlin, Dmitry Peskov, told Russia’s Tass news agency that a meeting this week with Putin could be in the cards.

""We do not rule out a meeting between Mr. Wang Yi and the [Russian] president, he will indeed be in Moscow,"" Peskov said.

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: ‘THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO'

On Sunday, Secretary of State Antony Blinken said the U.S. has information that China may be preparing to offer Russia weapons, a move that would put China squarely opposed to the U.S. policy of helping Ukraine defend itself from Russia’s attack.

That statement infuriated China, which said only the U.S. has been ""pouring weapons into the battlefield."" China didn’t explicitly deny the possibility of sending weapons to Russia but did stress that China is looking for a peaceful settlement.

BLINKEN BATS DOWN IDEA US IN ‘COLD WAR’ WITH CHINA, SAYS RELATIONS CAN'T BE REDUCED TO ‘BUMPER STICKER’

""China will continue to stay firm on the side of peace and dialogue, and play a constructive part in easing the situation,"" said Wang Wenbin, a spokesman for China’s Ministry of Foreign Affairs.

The spokesman declined to say what Wang would discuss with Russia this week, but said China’s goal is to avoid a nuclear war, and said China would soon release a paper outlining a plan to de-escalate the conflict.

BLINKEN ISSUES WARNING TO CHINA ABOUT SPY CRAFT IN ‘CONFRONTATIONAL’ MEETING WITH COUNTERPART

""The one-year mark of the Ukraine crisis is just days away,"" the spokesman said. ""China will release a position document on seeking political settlement of the Ukraine crisis.""

CLICK HERE TO GET THE FOX NEWS APP

""The document will reaffirm President Xi Jinping’s important propositions, including respecting the sovereignty and territorial integrity of all countries, upholding the purposes and principles of the UN Charter, taking seriously the legitimate security concerns of all countries, and supporting all efforts conducive to a peaceful resolution of the crisis,"" he added.",https://www.foxnews.com/politics/chinas-top-diplomat-travels-russia-us-china-tensions-boil-over,N/A
6,"China tightens ties with Russia, claiming both promote 'world peace' despite Ukraine war","A top diplomat of the People's Republic of China met with Russian President Vladimir Putin this week, during which they had an ""in-depth exchange of views on the Ukraine issue.""

Director of the Office of the Central Commission for Foreign Affairs Wang Yi traveled to Moscow this week, meeting with top level Russian officials including Foreign Minister Sergey Lavrov, Security Council Secretary Nikolai Patrushev, and Putin himself.

US SENDING UP TO 200 MORE TROOPS TO TAIWAN AS CHINA TENSIONS GROW

Chinese Ministry of Foreign Affairs spokesman Wang Wenbin told the press Thursday that the meeting reaffirmed that Russian-Chinese relations are ""rock-solid.""

""Director Wang noted that despite the complex and challenging international landscape, China-Russia relations have stood the test of time and been mature, resilient and rock-solid,"" said Wenbin. ""The China-Russia comprehensive strategic partnership of coordination never targets any third party, nor does it tolerate any third party interference or coercion.""

BIDEN CHALLENGES PUTIN TO ‘END THE WAR’ IN UKRAINE, THREATENS TO RAMP UP SANCTIONS

Wenbin's account of the meeting with Putin struck a surprisingly peace-oriented tone — the spokesman claimed Wang emphasized China's wish for Russia to find a resolution through ""dialogue and negotiations.""

""During the visit, Director Wang had an in-depth exchange of views on the Ukraine issue with the Russian side,"" Wenbin claimed. ""He commended Russia’s reaffirmation of its willingness to solve the issues through dialogue and negotiations. Director Wang stressed that the more complicated the situation is, the more important it is not to give up efforts for peace.""

PUTIN SAYS CHINA HAS 'AGREED' ON PRESIDENT XI JINPING VISITING MOSCOW

Chinese officials maintained a vague public attitude toward the Russian invasion of Ukraine — both attesting to their continued friendship with Russia and refusing to elaborate on what forms of aid it is willing to provide to its ally.

Wenbin added, ""We hope that all parties will overcome the difficulties, continue to create conditions for dialogue and negotiation and find an effective way towards a political settlement. China will, as always, follow an objective and just position, and play its constructive role in seeking a political settlement of the crisis.""

RUSSIA SUSPENDS PARTICIPATION IN NEW START NUCLEAR TREATY WITH THE US, PUTIN SAYS

Putin said Wednesday that China has ""agreed"" to a meeting in Moscow between him and Chinese President Xi Jinping.

Such an encounter between the two world leaders could happen as early as April, The Wall Street Journal reports, citing people familiar with the plan.

CLICK HERE TO GET THE FOX NEWS APP

""We await a visit of the President of the People's Republic of China to Russia, we have agreed on this,"" Putin told top Chinese diplomat Wang Yi on Wednesday during their meeting at the Kremlin, according to Reuters. ""Everything is progressing, developing. We are reaching new frontiers.""

Fox News' Greg Norman contributed to this report.",https://www.foxnews.com/world/china-tightens-ties-russia-claiming-both-promote-world-peace-despite-ukraine-war,N/A
7,China furious after US warns against arming Russia: ‘The US is in no position to tell China what to do’,"Diplomatic relations between the U.S. and China deteriorated further on Monday after China’s Ministry of Foreign Affairs snapped at the Biden administration for suggesting that it has information suggesting that China is considering sending weapons and ammunition to Russia to help its war against Ukraine.

Secretary of State Antony Blinken made that accusation Sunday on CBS, where he said Chinese companies have already been supplying Russia with non-lethal aid and may soon do more.

""The concern that we have now is, based on information we have, that they’re considering providing lethal support, and we’ve made very clear to them that that would cause a serious problem for us and in our relationship,"" Blinken said. When asked what lethal aid China might deliver, Blinken said, ""weapons.""

BLINKEN BATS DOWN IDEA US IN ‘COLD WAR’ WITH CHINA, SAYS RELATIONS CAN'T BE REDUCED TO ‘BUMPER STICKER’

That remark drew a furious comment from China on Monday – but not an outright denial – even as China’s top diplomat was expected to travel to Moscow this week.

""It is the U.S. not China, that has been pouring weapons into the battlefield,"" Ministry of Foreign Affairs spokesman Wang Wenbin said. ""The U.S. is in no position to tell China what to do. We would never stand for finger-pointing, or even coercion and pressurizing from the U.S. on our relations with Russia.""

Wang said China supports peace and took another shot at the U.S. by saying it’s the U.S. that is promoting conflict by arming Ukraine.

BLINKEN ISSUES WARNING TO CHINA ABOUT SPY CRAFT IN ‘CONFRONTATIONAL’ MEETING WITH COUNTERPART

""The international community is fully aware who is calling for dialogue and striving for peace, and who is fanning the flames and stoking confrontation,"" he said. ""We urge the US side to seriously reflect on the role it has played, do something to actually help deescalate the situation and promote peace talks, and stop deflecting the blame and spreading disinformation.""

Wang said China would soon release a document proposing a peaceful resolution of the conflict, which will stress that a ""nuclear war must never be fought and can never be won.""

Wang also fired back at the U.S. over the diplomatic disruption that was caused when the Biden administration confirmed the existence of a Chinese surveillance balloon hovering over the U.S. That discovery prompted Blinken to postpone a scheduled trip to China.

PRESIDENT BIDEN MAKES SURPRISE VISIT TO KYIV, UKRAINE, MEETS WITH PRESIDENT ZELENSKYY

Blinken said over the weekend he met with Chinese officials at the Munich Security Conference to warn that the U.S. would not stand for any violation of U.S. sovereignty. But Wang accused the U.S. of continuing to ""fuss"" over the incident.

""The U.S. itself is the number one country in conducting surveillance worldwide, whose high-altitude balloons have illegally flown over China multiple times,"" Wang said, repeating an assertion the U.S. has rejected. ""The U.S. is in no position to smear China. The U.S. needs to demonstrate sincerity, and acknowledge and resolve the damage its abuse of force has done to China-US relations.""

CLICK HERE TO GET THE FOX NEWS APP

""If the U.S. side continues to fuss over, dramatize and escalate the unintended and isolated incident, it should not expect the Chinese side to flinch,"" he added. ""The U.S. side should be prepared to bear all consequences arising from an escalation.""",https://www.foxnews.com/politics/china-furious-us-warns-against-arming-russia-us-no-position-tell-china,N/A
8,US State Department hints at 'consequences' if China provides lethal aid to Russia for Ukraine war,"U.S. State Department spokesman Ned Price on Wednesday warned there would be ""consequences"" if China were to provide lethal aid to Russia in its war against Ukraine, but when pressed on just what those consequences might be, he was more ambiguous.

Wednesday’s comments came after Secretary of State Antony Blinken, who met with China’s top diplomat Wang Yi in Munich over the weekend, said the U.S. has evidence China is considering providing lethal support to Russia.

Price clarified that the U.S. has not seen concrete evidence of direct support, but added ""we don’t believe they’ve taken it off the table, either.""

Price said China’s providing of lethal weapons to Russia for use in Ukraine ""would cause real consequences in our bilateral relationship.""

PUTIN SAYS CHINA HAS ‘AGREED’ ON PRESIDENT XI JINPING VISITING MOSCOW

""The [People’s Republic of China] understands what’s at risk were it to proceed with providing material support to Russia’s war against Ukraine,"" he said. ""We’ve been clear we will not hesitate to target Chinese companies or individuals that violate our sanctions, and we’re monitoring very vigilantly for potential violations.""

Price predicted that China would suffer ""reputational costs"" if it were to follow through with providing Russia with lethal aid.

""Already, it is providing diplomatic support. It is providing economic support. It is … spewing propaganda that serves to amplify the lies, the distortions, the myths, the half-truths that are emanating from Moscow,"" he said.

Later in the press conference, a reporter questioned what possible leverage the U.S. has as a deterrent if China sides with Russia.

Price said there was ""an advantage to some degree of ambiguity.""

""We have been clear with the PRC about the fact that consequences would befall them if they were to provide lethal assistance, but we think it’s most effective if we leave that ambiguous and we continue to warn consistently of those consequences,"" Price said.

Experts have argued that the Biden administration might have forced China’s hand after revealing its suspicions that China was considering providing Russia with lethal aid.

The U.S. and its NATO allies have repeatedly warned that any nation — including China — will see severe economic sanctions if they are found aiding Russia’s war against Ukraine.

CLICK HERE TO GET THE FOX NEWS APP

China has toed the line when it comes to the war in Ukraine, refusing to condemn Russia’s invasion but also, so far, failing to provide arms to its chief international partner.

Fox News’ Caitlin McFall and The Associated Press contributed to this report.",https://www.foxnews.com/politics/us-state-department-hints-consequences-china-provides-lethal-aid-russia-ukraine-war,N/A
9,US forces China’s hand in revealing possible lethal aid to Russia amid war in Ukraine: experts,"The Biden administration might have forced China’s hand after revealing this week that it suspects China is considering sending Russia lethal aid as Moscow’s war in Ukraine drags on, experts told Fox News Digital Tuesday.

""China has a difficult decision to make,"" chief political scientist with the Atlantic Council Matthew Kroenig said. ""They want Russia to win. On the other hand, they don’t want to lose their economic access to Europe.

""It’s impossible to know where they’ll come down,"" he added.

Secretary of State Antony Blinken first revealed the U.S.'s suspicions following his meeting with Beijing's top diplomat Saturday, after which he expressed concern ""that China’s considering providing lethal support to Russia in its aggression against Ukraine.""

CHINA THREATENS US WITH 'CONSEQUENCES' OVER SPYCRAFT SHOOTDOWN, SAYS IT WILL NOT 'FLINCH'

The U.S. and its NATO allies have repeatedly warned that any nation, including China, will see swift and severe economic sanctions if they are found aiding Russia’s war effort.

China has toed the line when it comes to the war in Ukraine, refusing to condemn Russia's invasion but also failing to provide arms to its chief international partner.

In recent weeks Beijing has struggled to keep a balance between maintaining constructive relations with the West while condemning the U.S. of ""hysterics,"" as Beijing did over the shooting down of the surveillance balloon and accusing it of escalating the war by providing defensive aid to Ukraine.

International security experts agree that China is trying to ""strike a balance"" between preserving its economic interests and its desire to see the U.S. fall in the global hierarchy.

""China needs Russia to help it change the rules-based world order,"" former Deputy Assistant Secretary of Defense for Europe and NATO Michael Ryan said. ""[Russian President Vladimir Putin] is [Chinese President Xi Jinping’s] partner in trying to undermine U.S. influence in the world and to show that autocracy and not democracy is the superior form of government.""

Ryan explained that the partnership between Russia and China is down to the joint interest of Moscow and Beijing to see Western influence drop to enhance their global ambitions, particularly in the southern hemisphere.

But the ramifications of Chinese lethal aid to Russia could have global consequences.

Security analysts have long argued that the war in Ukraine is about more than the survival of Kyiv, it is a proxy war between Russia and the U.S.

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: ‘THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO’

Providing arms to Russia would have obvious consequences and change the dynamic on the battlefield, making it harder for Ukraine to win.

Ukraine is outmanned when it comes to the sheer number of personnel Russia can dedicate to its front lines, but the training, munitions and defensive aid it is receiving from the West is giving Kyiv an edge on the battlefield — an advantage that could be taken away if Russia is able to start better arming its troops.

""This would increase the odds of the war in Ukraine becoming even more protracted,"" explained James Anderson, the former acting under secretary of defense for policy during the Trump administration. ""The longer the war in Ukraine drags on, the greater the chances it will spread to other countries in Europe.""

Iran and North Korea have already been providing some weaponry to Moscow, and Tehran’s drone contribution has allowed Russia to hit the one area that Ukraine is unable to effectively beat it — air defense.

But Russia needs munitions, tanks and armored vehicles — which is where China could step in and change the course of the war.

Experts agree that China’s involvement in the war would do more than aid Russia’s war effort, it would morph into a new ""Cold War with China.""

""It really would turn into more of a global proxy battle between democracies on one side — the United States and its democratic allies with the Europeans and South Korea, Japan, Australia of course supporting sanctions against Russia — and then on the other side Russia, North Korea, Iran and China,"" Kroenig laid out.

BLINKEN MEETS WITH CHINA'S TOP DIPLOMAT FOR FIRST TIME SINCE DOWNING OF SPY CRAFT

Experts agree that it is unlikely the proxy conflict would lead to direct ground warfare between the U.S. and NATO troops against Russia and Chinese forces — though the conflict brewing over Taiwan could be a different story.

""[China] does not want to see Russia fail because it portends…Western support in terms of [the] Taiwan scenario,"" Heino Klinck, the former deputy assistant secretary of defense for East Asia under the Trump administration, told Fox News.

""The Chinese have been caught by surprise,"" Klinck said pointing to not only Russia’s operational failures on the battlefield but the steadfast response from the U.S. and its Western allies.

Klinck said that the revelation that China is considering arming Russia underscores that there are debates in Beijing over how it should act and the ""strategic calculus"" of its actions.

""What is more important to China: ensuring Russian success?"" he questioned. ""Or is it being part of an international order?""

Ultimately experts agree that China has to consider whether it will more negatively be affected by the strategic implications of a Russian failure and its ally’s standing on the global stage or the economic repercussions that would directly impact Beijing.

""Those domestic implications are always what drive Chinese decision-making,"" Klinck argued.

Anderson also pointed out that the West will need to move quickly to decide how it will respond with economic repercussions should China involve itself in the war effort.

""This would be a real test of Western unity since many European countries have extensive trading relationships with China, and some of our allies and partners may well be reluctant to jeopardize them with sanctions,"" he said. ""Anything less than a massive sanctioning effort would likely fail.""

""History shows that sanctions imposed in a piecemeal fashion have a poor track record of inducing good behavior in bad malign actors,"" he added.

CLICK HERE TO GET THE FOX NEWS APP

A Chinese foreign ministry spokesman on Tuesday rejected U.S. claims that Beijing would supply lethal aid to Russia.

China’s top diplomat Wang Yi is set to meet with his Russian counterparts in Moscow Tuesday and may even meet with Putin, according to Kremlin spokesman Dmitry Peskov.

Beijing also said it is working on a peace proposal calling for an end to the war in Ukraine, though Kyiv has already made clear it will not agree to any proposals that do not include the complete withdrawal of Russian troops – a stipulation Moscow is not likely to agree to.",https://www.foxnews.com/world/u-s-forces-chinas-hand-revealing-possible-lethal-aid-russia-war-ukraine-experts,N/A
