title,text,url,published_time
Stephanie McMahon says WWE will 'integrate LGBT characters' into storylines,"Darren Young made headlines in 2013 when he came out as gay in a casual airport interview, becoming the first openly gay active WWE superstar. If you're a new fan to WWE, though, you'd probably have no idea, as Young's sexuality isn't a part of his on-screen character. WWE Chief Brand Officer and Raw commissioner Stephanie McMahon revealed at a Beyond Sport United event that WWE may soon introduce LGBT characters and themes to its weekly programming.

Via NBC News:

""Throughout my life I have grown up knowing gay [WWE] superstars and executives. It's always been accepted, but now it's about getting that message out there.... We will integrate LGBT characters into our programming ... and I do think there will be an opportunity to integrate some of those storylines in the near future.... We've had GLAAD come in and speak to our entire writing team and give a whole tutorial on sensitivities, the right words, the wrong word [and] why those words matter.""

Although Young is the first openly gay WWE star, he isn't the first gay wrestler to work for WWE. WWE Hall of Famer Pat Patterson, who became the first Intercontinental Champion in 1979, had come out to the locker room decades before he made a public announcement in 2014 on a WWE Network special.",http://www.foxnews.com/sports/2016/08/11/stephanie-mcmahon-says-wwe-will-integrate-lgbt-characters-into-storylines.html,2016-08-11
Federal judge blocks part of Mississippi LGBT marriage law,"A federal judge ruled Monday that Mississippi clerks cannot cite religious beliefs to recuse themselves from issuing marriage licenses to same-sex couples.

The ruling by U.S. District Judge Carlton Reeves blocks the state from enforcing part of a religious objections bill that was supposed to become law Friday. Reeves is extending his previous order that overturned Mississippi’s ban on same-sex marriage. He said circuit clerks are required to provide equal treatment for all coupes, gay or straight.

The state’s religious objections measure, House Bill 1523, was filed in response to last summer’s Supreme Court ruling that legalized gay marriage nationwide. That ruling is called the Obergefell case, after the man who filed it.

""Mississippi's elected officials may disagree with Obergefell, of course, and may express that disagreement as they see fit — by advocating for a constitutional amendment to overturn the decision, for example,"" Reeves wrote Monday. ""But the marriage license issue will not be adjudicated anew after every legislative session.""

Attorneys were still waiting on rulings from Reeves in two other lawsuits seeking to block all of the religious objections law, including provisions that could affect schools' bathroom policies for transgender students.

Roberta Kaplan, a New York-based attorney, represents Campaign for Southern Equality in two lawsuits challenging House Bill 1523, including the one on which Reeves ruled Monday. She issued a statement praising his decision.

""A year after the Supreme Court guaranteed marriage equality in the Obergefell decision, we are delighted that Judge Reeves reaffirmed the power of federal courts to definitively say what the United States Constitution means,"" Kaplan said.

Spokesmen for Mississippi Gov. Phil Bryant and Attorney General Jim Hood didn’t immediately comment on Reeves’ ruling. Attorneys for Bryant, a Republican, and Hood, a Democrat, defended House Bill 1523.

According to Reuters, Lt. Gov. Tate Reeves slammed Carlton Reeves’ ruling in a statement.

""If this opinion by the federal court denies even one Mississippian of their fundamental right to practice their religion, then all Mississippians are denied their 1st Amendment rights,” Reeves said. ""I hope the state’s attorneys will quickly appeal this decision to the 5th Circuit to protect the deeply held religious beliefs of all Mississippians.""

The Associated Press contributed to this report.",http://www.foxnews.com/us/2016/06/28/federal-judge-blocks-part-mississippi-lgbt-marriage-law.html,2016-06-28
Trump's military transgender ban prompts LGBT outrage,"Most LGBT-rights activists never believed Donald Trump's campaign promises to be their friend. But with his move Wednesday to ban transgender people from military service, on top of other actions and appointments, they now see him as openly hostile.

Leaders of major advocacy groups depicted Trump's Twitter pronouncement as an appeal to the portion of his conservative base that opposes the recent civil-rights gains by the LGBT community.

""His administration will stop at nothing to implement its anti-LGBTQ ideology within our government — even if it means denying some of our bravest Americans the right to serve and protect our nation,"" said Sarah Kate Ellis, president of the LGBT-rights group GLAAD.

Transgender service members have been able to serve openly since last year, after a move by then-Defense Secretary Ash Carter. Trump's vow to end that policy was the latest, and perhaps the most stinging, of a string of actions since his election that have dismayed supporters of LGBT rights.

Some examples:

— The administration rescinded federal guidance advising school districts to let transgender students use the bathrooms and locker rooms of their choice. It said state and local officials should decide the issue.

— Several of Trump's high-level appointees have solid records as opponents of LGBT-rights advances, including Vice President Mike Pence, Attorney General Jeff Sessions and Health and Human Services Secretary Tom Price.

— At Trump's direction, Sessions is developing new guidance on religious liberty for federal agencies that is expected to make it easier for people with religious objections to refuse to recognize LGBT rights.

— The Department of Justice on Wednesday filed an amicus brief in a case to which it's not a party, arguing that a federal civil-rights law doesn't cover sexual orientation. The case was filed in 2010, when a skydiving instructor sued his employer, saying he was fired for his sexual orientation in violation of the law.

— Six members of the Presidential Advisory Council on HIV/AIDS resigned, asserting that Trump ""simply does not care"" about combating HIV and AIDS as it continues to beset the LGBT community.

The Human Rights Campaign, a national LGBT-rights group, depicted the Republican president's tweets Wednesday as a ""heinous and disgusting"" attack on transgender service members.

""It is also the latest effort by Trump and Mike Pence to undo our progress and drag LGBTQ people back into the closet by using our lives as political pawns,"" said the group's president, Chad Griffin.

Trump's pronouncement was hailed by some conservatives who have long complained that the military was undermining its effectiveness by allowing gays, lesbians and transgender people to serve openly. Opponents also have contended that the military should not bear the cost of any medical procedures related to gender transition.

""Our troops shouldn't be forced to endure hours of transgender sensitivity classes and politically correct distractions like this one,"" said Tony Perkins, a former Marine who heads the conservative Family Research Council.

Mara Keisling, executive director of the National Center for Transgender Equality, denounced Trump's declaration as ""simple bigotry.""

""This attack has nothing to do with military readiness, reason or science,"" she said. ""It is indefensible.""

Among those dismayed by Trump's tweets was Lt. Cmdr. Blake Dremann, a transgender man who's served in the Navy for 11 years and received his latest promotion after the policy change last year.

""Trans service members are continuing to do our jobs,"" Dremann said. ""People know who we are now and it becomes personal, especially when you've got families that are going to be affected by this.""

Another active-duty transgender soldier, Army Capt. Jennifer Peace, said she was concerned how a possible ban would affect her, her family and other transgender service members.

""My command has told me in the past the only thing that we should discriminate on is job performance, and I hope that military leadership will handle this issue the same way,"" Peace said in an email.

Capt. Jacob Eleazer, a transgender man who serves in the Kentucky Army National Guard, said he was stunned by Trump's action.

""Fired by tweet. It was honestly pretty shocking,"" said Eleazer, who took the day off from his job as a therapist in Lexington, Kentucky, to assess the situation.

It's unclear whether Eleazer's career will be affected.

Eleazer, 31, has been in the military since 2006. In 2014, he told his superior officer he was transgender, and he got full support.

Attorney Sasha Buchert, a transgender woman who works for the LGBT-rights group Lambda Legal, recalled feelings of fear and isolation while serving in the Marines in the 1980s, decades before her gender transition.

""It's not a question of whether transgender people will serve,"" she said. ""It's a question of whether they'll be serving openly or will be hiding like they did in the old days.""

Another transgender veteran, retired Army Col. Sheri Swokowski, said it's important for transgender people and their allies to push back against Trump's decree.

Swokowski, 67, of Windsor, Wisconsin, transitioned to female after retiring from the military in 2004.

""The military has taught us to fight and this administration shouldn't be surprised when we do,"" she said. ""We need to impress upon the administration that we're not living in the dark ages.""

___

Associated Press writers Dylan Lovan in Louisville, Kentucky, Jennifer McDermott in Providence, Rhode Island, and Tatiana Flowers in Denver contributed to this report.",http://www.foxnews.com/us/2017/07/27/trumps-military-transgender-ban-prompts-lgbt-outrage.html,2017-07-27
Gay gun activists: Growing LGBT push to support the Second Amendment,"Two years ago Chris Cheng came out of nowhere to beat seasoned marksmen, police officers and veterans to win History Channel’s reality shooting competition show “Top Shot.”

“When I auditioned, I was openly gay. But I was surprised as nobody cared. They only cared how well I could shoot and represent our season,” said Cheng, who quit his job at Google after the show and is now an NRA news commentator and is releasing his first book “Shoot to Win.” “There is this stereotypical view of the gun community as anti-gay rednecks, but nothing could be further from the truth. It was interesting as the History Channel never ‘outed’ me on the show even though they had hours of footage. I asked why and they said simply that it just wasn’t relevant.”

Indeed gay rights and gun rights often go hand in hand says Gwen Patton, the rep for gay gun rights organization Pink Pistols National.

“We don’t want people to hurt us, we want people to run away from us, and the best way we have found to do that is to be armed,” Patton said. “Now if someone tries to attack us, we can defend ourselves. Ideally we don’t want any altercation at all, but if there is a perception that the gay person on the street could have a concealed gun, it might make the perpetrator think twice.”

According to FBI Hate Crime Statistics, sexual orientation is the second largest motivator for bias crimes in the United States, second to racial bias, and far exceeding the number of religious or ethnically-spurred hate crimes.

Patton said while she has never had to use her firearm in defense, another gay member of a local Philadelphia chapter recently did.

“All he had to do was display it, no bullets were fired,” she said. “Guns can be a very useful tool, but society has turned them into something they are not. They aren’t the boogeyman.”

There are now more than 45 Pink Pistols chapters nationwide. With its slogan “pick on someone your own caliber,” members get together at least once a month at local ranges to practice their shooting skills, share self-defense tips and talk about gun safety. According to Cheng, bringing gays and guns together serves as an important conversation starter.

“Many in the LGBT community simply have never seriously entertained the notion of owning a firearm, or thought whether they want to be a victim or if they want to survive an attack,” he said, while Patton says it's false that the right is all about keeping firearms, while the left pushes gay rights.

“So some think of us as traitors,” she explained. “But at the end of the day, it’s about recognizing that the government shouldn’t be taking our rights away – our rights to be armed, and our rights to be happy and with the person we love.”

Of course the push for concealed carry has may opponents. Ladd Everitt, communications director for the Coalition to Stop Gun Violence, said that hate crime is an issue our federal government has taken very seriously, pointing out the Hate Crimes Prevention Act passed by Congress and signed into law by President Obama in 2009.

“The law contains explicit protections for members of the LGBT community,"" he said. ""If groups like Pink Pistols are feeling targeted or under threat, it might be from members of their own community in the pro-gun movement.""

Follow @holliesmckay on Twitter.",https://www.foxnews.com/entertainment/gay-gun-activists-growing-lgbt-push-to-support-the-second-amendment,N/A
Will Tennessee's anti-LGBT law spell the end of 'Nashville?',"ABC's Nashville has received deserved praise for its handling of Will Lexington's (Chris Carmack) struggles with his sexuality, and his whole coming out storyline. But now, some of the show's stars find themselves in the middle of a real-life battle over a recently-passed Tennessee law that discriminates against LGBT people.

House Bill 1840, which Gov. Bill Haslam signed into law this week, gives therapists and other mental health professionals the right to refuse to treat patients whose lifestyles go against the professional's ""sincerely held principals.""

When the bill was still under review, Nashville star Connie Britton spoke out against it, telling The Hollywood Reporter: ""I shoot a TV show in Tennessee, and honestly, if they proceed with this, I'm not necessarily going to feel comfortable working there. That is a tricky situation because of course we employ a lot of people in the state, and you certainly don't want to have to interrupt that, but at the same time, this is the only way that we can have our voices be heard.""

Added Carmack -- who, according to THR, is reconsidering buying property in Nashville because of the law: ""We said, 'Do we want to live in a place like this?' ... I guarantee you that there are many more individuals like myself and my fiance who are potential long-term transplants from all over, who are saying, 'Is this a place I would want to call home, a place that would write this sort of thing into legislation?'""

25 great LGBT characters in pop culture

A ""tricky situation,"" indeed. ABC has yet to renew Nashville for a fifth season, but if it does, Carmack and Britton's comments beg the question: does the show's cast and crew have a responsibility to put their money where their mouths are, so to speak, and refuse to shoot in the state? Certainly Britton's comments, more so than Carmack's, will be perceived as an empty threat if the show continues to film there. Perhaps rather than pulling production from the state, the cast and crew of Nashville can use their influence to raise awareness and money for LGBT rights issues, and fight the good fight from within.

On the other hand, if ABC isn't planning to renew Nashville, this could be a nice opportunity for the network to put an activist label on its decision. Particularly because it would be difficult if not impossible for the show to relocate elsewhere, since so many scenes are tied to actual Nashville hotspots, including the Bluebird Caf and the Grand Ole Opry -- not to mention the local musicians who provide much of the show's music.

Earlier this year, a similar bill in Georgia drew a collective outcry from the stars and production companies of several TV shows and movies that are produced in the state, including The Walking Dead, The Vampire Diaries and the Hunger Games franchise.

ABC's parent company, Disney, joined a handful of entertainment companies, including Marvel, CBS and Lionsgate, to protest that legislation, saying, ""We will plan to take our business elsewhere should any legislation allowing discriminatory practices be signed into state law.""

In the wake of the proposed boycotts, the Georgia bill was vetoed. More recently, a similar law in North Carolina has also sparked boycott announcements from Fox, A&E and Hulu.

Disney has made no public comment on the Tennessee law and has no plans to do so at this time, according to an ABC rep. But again, the Georgia legislation was just a bill, and the aim of the boycott was to discourage the governor from signing it into law. The Tennessee legislation, on the other hand, has already been signed into law. It's much more difficult to repeal an existing law, than to prevent something from becoming a law in the first place.

In all likelihood, ABC will not renew Nashville and the entire point will be moot. But it would be nice to see the show take as much of a stand off-screen -- and stand with stars Britton and Carmack -- as it has on-screen, when it comes to LGBT issues.",https://www.foxnews.com/entertainment/will-tennessees-anti-lgbt-law-spell-the-end-of-nashville,N/A
Chick-fil-A partnership with Pittsburgh Marathon causes ire among LGBT activists,"The Pittsburgh Marathon ran into some problems earlier this month when it announced Chick-fil-A as the official title partner for its children’s race.

Pittsburgh Three Rivers Marathon, Inc. (P3R) announced its partnership with Chick-fil-A Pittsburgh late last month and celebrated with a family-oriented event on Oct. 2. Children posed for photos with the iconic cow mascot dressed in running gear and took home prizes and coupons.

Chick-fil-A Pittsburgh serves as the title partner of the kids' marathon and a presenting partner for Kids of STEEL, a nutrition and activity program for children in southwestern Pennsylvania.

“We’re grateful to Chick-fil-A for their support and are thrilled they share our commitment to inspiring the next generation of runners throughout the Pittsburgh region,” Troy Schooley, P3R senior vice president, said in a statement.

NORTH CAROLINA CHICK-FIL-A WORKERS, DINERS PRAY FOR STAFFER BATTLING CANCER IN VIRAL VIDEO

But the partnership was decried by some, including LGBT activists.

“Oh, no no [Pittsburgh Marathon] has brought [Chick-fil-A] on as a sponsor of their youth races,” Sue Kerr, founder and editor of the Pittsburgh Lesbian Correspondents blog, wrote on Twitter. “[LGBTQ] youth & youth from non-Christian faiths deserve better. This is a divisive, hurtful choice.”

On her blog, Kerr argued it’s “highly inappropriate for any Christian organization or business to eagerly jump into anything to do with youth and children right now,” citing the ongoing sex abuse controversies in the Catholic Church and the sexual misconduct allegations recently levied against Supreme Court nominee Brett Kavanaugh.

MARYLAND MAN DEFACES CHICK-FIL-A, SYNAGOGUE WITH GRAFFITI ABOUT RELIGIOUS VIEWS, POLICE SAY

Chick-fil-A is known for its founder’s strong Christian beliefs. The fast food restaurants are traditionally closed on Sundays for employees to “set aside one day to rest and worship if they choose,” the company says.

The company encourages store operators to have “a positive impact in the local community” and be “on the lookout for ways to help their communities.” The Chick-fil-A Foundation has also donated about $1.5 million to the Fellowship of Christian Athletes, a non-profit sports ministry group.

Kerr and others have circulated a petition demanding P3R retract its partnership with Chick-fil-A Pittsburgh. Nearly 500 signatories have been collected for the online petition.

In response to criticism, P3R said it “strives to be inclusive of any and all members of the Pittsburgh community” and promised to continue “to be accepting of any individual or family who wants to participate in our events.”

“Our intent with this partnership, along with all of our partnerships, is to further expand all of our events and programming … This partnership with Chick-fil-A will help us ensure even more children in southwestern Pennsylvania can learn and share in our love of running,” it said in a statement online.

Earlier this year, the American Customer Satisfaction Index’s Restaurant Report found Chick-fil-A to be the No. 1 fast food chain. It came out on top in 2017 as well.",https://www.foxnews.com/food-drink/chick-fil-a-pittsburgh-marathon-causes-ire-among-lgbt-activists,N/A
'LGBT' sandwich causes controversy: 'Using an entire community for publicity and profit',"A U.K. retail chain is getting toasted roasted on social media over a controversial sandwich.

In celebration of Pride festivities in the U.K., Marks and Spencer recently began offering its “LGBT” sandwich — a guacamole-inclusive twist on a BLT — complete with packaging decorated with the colors of the rainbow flag.

WHOLE FOODS TO RELEASE 'ROYAL ADDITION CHEESE' UPON ROYAL BABY'S BIRTH

But despite praise from some within the LGBTQI+ communities, the item raised more than a few eyebrows on Twitter, with some accusing the retailer of marginalizing the community and culture.

“Shame on the good folks over at @marksandspencer for turning our culture and identity into a sandwich,” one woman wrote. ”Making an absolute mockery of lgbtq people,” she added.

“I identify as #lesbian @marksandspencer[,] not a f---ing lettuce,” wrote another critic. “Why don’t you make an ethnic minority or disability sandwich while you’re at it!!”

BRITISH SUPERMARKET CHANGES NAME OF 'GENTLEMAN'S' SANDWICH AFTER BACKLASH

Others, meanwhile, likened Marks and Spencer’s marketing move as “propaganda” or an attempt to profit off the LGBTQ community.

“Good Morning Britain” host Piers Morgan also called the idea “truly pathetic on Twitter,” writing, ""Is there no cynical virtue-signalling depth struggling companies won’t now plunge to make a profit?”

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

A representative for Marks and Spencer did not comment on the response to its sandwiches, but the retailer has released a statement detailing the charitable contributions Marks and Spencer is making in honor of Pride.

""M&S has an amazing LGBTQ+ colleague network and with them we’ll be celebrating Pride 2019. For the second year running, we have created a sandwich as part of the celebrations and have received great feedback from both colleagues and customers,"" a spokesperson confirmed in a statement obtained by Fox News.

""Alongside this, we’re also donating £10,000 to [The Albert Kennedy Trust,] the national LGBTQ+ Youth Homelessness charity.”

A statement obtained by The Sun also confirmed the chain would be donating 1,000 Euro to BeLonG To Youth Services, a charity supporting LGBTQ youth in Ireland.

CLICK HERE TO GET THE FOX NEWS APP

Despite the controversy, the sandwich has its supporters within the LGBTQ community.

“It’s a shame I can’t eat the M&S #LGBTSandwich but I’m really glad such a famous corporate company is on our side,” one wrote.

“Yes it's just a sandwich, but it goes a long way to [normalizing] being LGBT doesn't it? Seeing something that supports you on every shelf in a massive shop. no?” added another.

“They do loads for LGBT communities internally within their business and through external support including the funds this raises... easy to [criticize] brands for ‘rainbow washing’ but by god I’d have f---ing killed for my mum to have to see an LGBT sandwich when I was growing up,” another user added.",https://www.foxnews.com/food-drink/marks-spencer-lgbt-sandwich-controversy,N/A
Film to help families prevent LGBT youth suicides,"When families reject their lesbian, gay, bisexual or transgender (LGBT) children, it dramatically increases the youths' risk for suicide. Experts hope a new film aimed at families - religious families in particular - will help ease the tensions that drive those youngsters to kill themselves.

The 20-minute film, called ""Families are Forever,"" follows the journey of a devout Mormon family whose 13-year-old son comes out as gay. The family discusses its reactions, decisions and how they reconciled their beliefs with their son's announcement.

The film and supporting materials, part of a growing series, quickly get to the heart of the matter, said Caitlin Ryan, director of the Family Acceptance Project at San Francisco State University, which produced the film.

""We have to give people a way to understand how . . . they can support a LGBT child even if it's not in sync with their religious beliefs or cultural values"" Ryan told Reuters Health.

The Family Acceptance Project had previously found that LGBT youth who report high levels of family rejection are more than eight times more likely to report attempting suicide, compared to similar kids whose families don't reject them.

Family acceptance of LGBT children is tied to better physical and mental health, however.

The multimedia package, available in English and Spanish, is meant to help families identify and change behaviors that make their LGBT child feel rejected and to increase supportive behaviors, Ryan said.

Even though parents may be engaging in rejecting behaviors out of care or concern, they are nevertheless ""contributing to health risks, conflict and estrangement in the family,"" said Ryan.

The film and its accompanying discussion guide and family education workbook were added in March to the Suicide Prevention Resource Center Best Practice Registry. Ann Hass, a senior consultant to the American Foundation for Suicide Prevention, told Reuters Health that the registry is a collection of research-based and peer-reviewed suicide prevention programs, selected in ""a pretty rigorous process.""

""The addition of Caitlin Ryan's work to the registry is such a step forward in terms of the ability people in communities to do some LGBT-related suicide prevention,"" said Hass.

So far, this is the only LGBT-related program in the registry to incorporate faith-based themes.

Rather than writing off religious families as culturally or socially conservative, Ryan said, ""We have to understand that all of these families share some common fear and concerns and challenges.""",https://www.foxnews.com/health/film-to-help-families-prevent-lgbt-youth-suicides,N/A
'It does get better': Advocates address suicide in LGBT community,"Deric Metzger calls his former boyfriend, Brian Shaughnessy a “survivor.”

“When Brian was younger, he was diagnosed with leukemia. And of all the things he lost, fighting leukemia, his compassion and sense of humor weren’t among them,” Metzer, 32, told Fox News. “He lost weight, he lost years of his life and he lost his hair, but he still knew more about his nurses and doctors than they knew about him.”

Shaughnessy survived the cancer and dyed his hair wacky colors as it grew back. Metzger said when people asked about Shaughnessy’s hair, he would tell them how he had cancer and he had beat it.

Despite overcoming cancer and the trials that come with battling a serious illness, Shaughnessy tragically killed himself on June 17, 2009, when he was only 24 years old.

After entering college, Shaughnessy began presenting symptoms of schizophrenia, a mental illness the Mayo Clinic describes as a severe mental disorder in which people interpret reality abnormally. Symptoms of schizophrenia can include, hallucinations, delusions, and extremely disordered thinking and behavior.

Shaughnessy’s diagnosis manifested in different ways throughout his relationship with Metzger. For example, they took very few photos together because Shaughnessy believed they would somehow be harmful for Metzger.

“Schizophrenia has a genetic component, sure, but some recent research indicates it can be induced by trauma, and trauma almost more than mental illness is the greatest precipitating factor to suicide for most people,” Metzger, who is currently a group facilitator for Survivors of Suicide Loss (SOSL), said. “And when we talk about mental illness and suicide, especially among minority groups, we always look for that one cause.”

Shaughnessy suffered through many traumas in his early battle with cancer but Metzger believes that his suffered additional trauma because of his sexuality. Metzger said that one of the direct contributing factors to Shaughnessy’s suicide was Prop 8, a vote by Californians that made gay marriage illegal in the state.

“It’s amazing how with something that ultimately unimportant to who you are as a person can be considered persona non grata or public enemy number one by a certain vocal minority of people,” Metzger said.

Dr. Jack Drescher, a clinical professor of psychiatry at New York Medical College who was on the Diagnostic and Statistical Manual of Mental Disorders (DSM) V workgroup on sexual and gender identity disorders, told Fox News that while many mental illnesses are genetic, there are psychosocial aspects to mental health.

“If you stress a person with a vulnerability for depression enough, they can get very severely depressed and become suicidal,” Drescher said. “If you belong to a stigmatized minority group, whether it’s a racial minority group or… a gender or sexual minority group, there is an increased risk because there are all of these…moments in your life where you may be subject to stressers that the majority does not usually experience on a regular basis.”

Jillian Weiss, of the Transgender Legal Defense & Education Fund, told Fox News that these stressers can include, “employment discrimination, education, health care access, public accommodations. When people have to confront these things on a daily basis, it can make life more difficult.""

Metzger believes factors like this contributed to Shaughnessy’s death.

“When you already have the trauma of an unsupportive world, and you factor in things like Prop 8, surviving Leukemia, having a mental illness, feeling incorrectly that you’re a burden on other people, that people would be better off without you, because that’s what your mind is telling you, because it’s already made the decision to self-destruct, and it’s just reverse engineering a way to get you to that place” he said.

Suicide rates within the LGBT community are higher than the general population, especially among youth. According to the Center for Disease Control and Prevention (CDC), nearly 29 percent of LGB youth had attempted suicide at least once in the prior year compared to 6 percent of heterosexual youth.

Weiss emphasized that while being a member of the LGBT community doesn’t automatically make a person more prone to suicide attempts, those who live in an open and tolerant societies are more prone to flourish.

“When they live in societies where they’re seen as lesser than and made to feel there is something wrong with them then, of course, we’re going to find more difficulties in people’s lives,” Weiss said.

Both Weiss and Metzger offer words of hope to the LGBT community. Metzger works to inform people who have suicidal thoughts and their loved ones that there are places that can offer assistance and urges others to speak out.

“The only weakness when it comes to suicide is silence, period,” he said. “And as someone who lost somebody to suicide, as somebody who in the aftermath of that tried to kill themselves, I need you to know – it’s a cliché but it does get better.”

Weiss echos Metzger and wants LGBT youth to know that life in the community isn’t bleak.

“The fact is that, you know, someone who is growing up, who realizes that they are gay or bisexual, transgender, the fact is they are going to be part of a very vibrant community of people who are contributing to our country and who are in all professions, of all backgrounds,” she said.

Resources:

Survivors of Suicide Loss

Transgender Legal Defense & Education Fund

American Association of Suicidology

Center for Disease Control and Prevention

The Trevor Project (Trevor Project Lifeline: (866) 488-7386)

The National Suicide Prevention Lifeline: (800) 273- 8255",https://www.foxnews.com/health/it-does-get-better-advocates-address-suicide-in-lgbt-community,N/A
"LGBT health concerns need special attention, experts say","Lesbian, gay, bisexual and transgender (LGBT) communities have their own specific needs when it comes to health and medicine, according to experts.

Yet LGBT people often avoid seeking medical care because they're afraid they might face discrimination or that doctors might not understand their special health needs, said Barbara Warren, an expert on LGBT health and health policy, speaking at a discussion on LGBT health sponsored by the Thomson Reuters Pride At Work chapter in New York City on January 15.

Or they may seek medical care, but not ""come out"" to their healthcare providers.

Does it matter if healthcare providers know whether a patient is lesbian, gay, bisexual or transgender? Yes, said Warren, who is director of LGBT Programs and Policies in the Office of Diversity and Inclusion at Mount Sinai Health System in New York City.

Warren said LGBT health concerns should be discussed for several reasons.

First, people will have better health outcomes if they feel comfortable with their providers. Additionally, the LGBT community suffers from the stress of being a minority, which can impact people’s health. And certain clinical issues are different in the LGBT community.

For example, she said, members of the LGBT communities – especially lesbian and bisexual women - may be at an increased risk for some cancers and conditions if they don’t get regular healthcare.

“We do know that a percentage of LGBT people avoid and delay screening and care because of fear about or experience of stigma, discrimination or simply lack of knowledge about LGBT people and their health amongst providers,” said Warren. “If you avoid or delay screening and care and you have an issue that may be precancerous, by the time you get into screening and care you’re there because it has become acute and you already have a progressed disease.”

“All of those are factors that go into why it’s important both for your providers to be trained and sensitive and to get it, and why it’s important for you to come out to your providers as who you are and be as open as you can be,” Warren said.

She said the National LGBT Cancer Network advocates training providers to be sensitive in helping a person come out and to do all the screenings that are necessary.

While estimates vary, a 2014 report from the Centers for Disease Control and Prevention (CDC) says about 97 percent of U.S. adults identify as straight, about 2 percent as gay or lesbian and about 1 percent as bisexual.

The LGBT community also faces an increased burden of mental health concerns, including depression, anxiety and substance abuse - but this doesn't mean LGBT people are inherently mentally ill, Warren said.

Instead, she said, LGBT mental health issues are largely related to the stresses of belonging to a minority group. “We can change that by changing the way the world perceives, treats and includes LGBT people.”

Kellan Baker, also speaking at the Thomson Reuters event, said there has been a lot of progress on U.S. policy issues regarding LGBT health.

“We have seen an incredible explosion of initiatives that are inclusive of or focusing on LGBT communities from the federal government over the last five years,” said Baker, a senior fellow with the LGBT Research and Communications Project at the Center for American Progress in Washington, D.C.

He highlighted Healthy People 2020, which lists the nation’s objectives on health and includes a topic area specific to LGBT health.

Also, Baker said, the 2010 Affordable Care Act - better known as Obamacare - ""has a lot to offer LGBT community members. One of the biggest things is simply the expansion of health insurance coverage.”

Baker said access to coverage ties into many of the topics Warren mentioned, such as getting screened for certain conditions and seeing a healthcare provider on a regular basis.

However, more work is needed to connect LGBT people with the information they need to get health insurance and access to healthcare, he said.",https://www.foxnews.com/health/lgbt-health-concerns-need-special-attention-experts-say,N/A
