,title,text,url,published_time
0,Putin promises to build up Russia's nuclear arsenal after backing out of New START treaty with US,"Russian President Vladimir Putin said Wednesday that he will strengthen Russia's nuclear forces, announcing that his military is prepared to deploy a new intercontinental ballistic missile system with hypersonic missiles and new nuclear submarines.

As the Russian invasion of Ukraine approaches its one-year anniversary, Putin has declared that Russia will pull back from the New START treaty negotiated with the United States, signaling his intention to ramp up the country's nuclear armaments. In a speech commemorating Defender of the Fatherland Day, a Russian holiday that honors the country's armed forces, Putin said Russia will continue to ""focus on strengthening the nuclear triad.""

He said the new RS-28 Sarmat liquid-fueled missile, also called ""Satan 2,"" is ready for combat deployment after a years-long delay. The ""nuclear triad"" refers to missiles based on land, sea and in the air.

""This year, the first Sarmat missile system launchers with the new heavy missile will be put on combat duty,"" Putin announced. ""We will continue full production of the Kinzhal air-launched hypersonic systems and begin mass deployment of Tsirkon sea-launched hypersonic missiles.""

RUSSIA SUSPENDS PARTICIPATION IN NEW START NUCLEAR TREATY WITH US, PUTIN SAYS

On Tuesday, Putin announced that Russia would suspend its participation in the New START treaty, which caps the number of nuclear armaments each country can possess at 1,550 warheads deployed on delivery systems like intercontinental ballistic missiles, submarine-launched ballistic missile or heavy bombers.

He also threatened to resume testing nuclear weapons if Western nations do not cease their aid to Ukraine, which is suffering under a brutal Russian invasion. Putin has characterized the conflict as an attempt by Russia to defend itself from encroaching Western powers and asserted that neo-Nazi forces have ""taken root in Ukraine.""

PUTIN ISSUES NUCLEAR WARNING TO US, THREATENS TO RESUME WEAPONS TESTS

Russia's Sarmat missile is 35 meters long (nearly 115 feet), has a range of 18,000 km (about 11,000 miles) and is able to carry at least 10 multiple independently targetable reentry vehicles — each with a nuclear warhead — that can be aimed at different targets, Reuters reported.

Putin also noted the completion of a new nuclear-powered submarine called ""Emperor Alexander III,"" which is now operational in the Russian navy.

""With the Borei-A nuclear-powered submarine Emperor Alexander III becoming operational in the navy, the share of modern weapons and equipment in the naval strategic nuclear forces will reach 100 percent,"" Putin said. ""In the coming years, three more cruisers from this project will be delivered to the navy.""

BIDEN ANNOUNCES MILLIONS MORE TAXPAYER DOLLARS TO ASSIST UKRAINE DURING SURPRISE TRIP TO KYIV

Launched in late December, the Emperor Alexander III is the seventh Borei-A class submarine, which can carry 16 Bulava submarine-launched ballistic missiles.

Putin also reaffirmed Russia's commitment to developing ""modern and efficient"" conventional forces, relying on combat experience to ""pursue balanced and high-quality development of all components of the armed forces"" and ""improve the system for training units.""

CLICK HERE TO GET THE FOX NEWS APP

""We will continue to supply advanced equipment to our troops, including new strike systems, reconnaissance and communications equipment, drones and artillery systems,"" Putin said. ""Our industry is quickly increasing the production of the entire range of conventional weapons and preparing for mass production of advanced models of equipment for the army and navy as well as the aerospace forces.""",https://www.foxnews.com/world/putin-promises-build-up-russia-nuclear-arsenal-backing-out-new-start-treaty-us,N/A
1,China edges closer to sending lethal aid to Russia as UN votes to condemn invasion of Ukraine: report,"Russia is in talks with China to purchase 100 combat drones, according to a new report published just days after Secretary of State Antony Blinken said the U.S. had evidence Beijing was weighing lethal aid to Moscow in its war against Ukraine.

Der Spiegel reports that Moscow is looking to commission a Chinese manufacturer to mass produce the drones – with a delivery date as early as April.

Per the report, Xian Bingo Intelligent Aviation Technology, a Chinese drone manufacturer, has said it was prepared to make 100 prototypes of its ZT-180 drone, which carry a 35-50 kg warhead.

The drones are similar to Iran’s Shaheed-136, which Russia has used to kill hundreds of Ukrainians and damage infrastructure.

The report, citing sources familiar with the matter, says Bingo had plans to establish a productive site for the drones in Russia.

FOX NEWS POLL: HALF SAY US SHOULD SUPPORT UKRAINE AS LONG AS IT TAKES

Fox News Digital has contacted the State Department for comment on the report but did not hear back before publication.

Former intelligence officer Rebekah Koffler argued that China's decision calculus is ""entirely rational"" as helping Russia militarily keeps the U.S. bogged down in Ukraine and focusing on the European theater as Beijing eyes Taiwan.

""The biggest challenge for the United States would be to have to be engaged in two wars simultaneously, albeit by proxy – one with Russia, on behalf of Ukraine, and the other with China, on behalf of Taiwan,"" Koffler said. ""There are concerns within the Pentagon about how long U.S. stockpile would last if Russia and China were to challenge us in a two-theater war.""

The Der Spiegel report comes days after Blinken, who met with China’s top diplomat Wang Yi in Munich over the weekend, said the U.S. has evidence that China is considering providing lethal support to Russia.

U.S. State Department spokesperson Ned Price warned Wednesday there would be ""consequences"" if China were to provide lethal aid to Russia in its war against Ukraine.

Also on Thursday, the U.N. General Assembly approved a nonbinding resolution that calls for Russia to end hostilities in Ukraine and withdraw its forces. The resolution, drafted by Ukraine in consultation with its allies, passed 141-7, with 32 abstentions.

CLICK HERE TO GET THE FOX NEWS APP

Friday will mark one year since Russian forces invaded Ukraine. The war has killed tens of thousands on both sides, has reduced entire Ukrainian cities to ruins, and its impact has been felt worldwide in higher food and fuel costs and rising inflation.

The Associated Press contributed to this report.",https://www.foxnews.com/world/china-edges-closer-sending-lethal-aid-russia-un-votes-condemn-invasion-ukraine-report,N/A
2,Blinken insists Biden 'makes the decisions' in US response to Russia,"Secretary of State Antony Blinken, during a lengthy interview about Russia a year after the invasion of Ukraine, took a moment to insist that when it comes to how the United States handles the situation, President Biden is the one calling the shots.

Blinken was in the middle of discussing how Biden wants to continue supporting Ukraine but does not want to ""broaden"" the war, then made it clear that it is indeed up to Biden.

""And by the way, he’s the one who makes the decisions,"" Blinken told Jeffrey Goldberg, editor-in-chief of The Atlantic. ""The rest of us, we can give him advice, recommendations, if you’re not in government you can opine and criticize, which is always what’s needed to make sure we’re doing the best that we can, but ultimately, as the saying goes, the buck stops with him. And that’s something that he takes very seriously.""

The statement came at a time when it remains a question whether Biden will seek re-election in 2024. Members of both parties have expressed concern about the president's ability to win and serve a second term, as he recently turned 80.

UKRAINE WINNERS AND LOSERS: CHINA MAKES GAINS, BUT WHERE DO OTHER COUNTRIES STAND?

Blinken also heaped praise on Ukrainian President Volodymyr Zelenskyy during the interview, lauding him for how he has handled the Russian invasion, going back to when Blinken first warned him that he believed an invasion was coming.

""Right man, right place, right time. Someone who stood up to this moment in history,"" Blinken said, adding that the Ukrainian leader has ""become an extraordinary figure on the world stage, as well, all to the benefit of his country.""

Blinken also addressed the nature of the situation between Russia and the U.S., fielding a question of whether it is Cold War-like in nature. The secretary noted that the current conflict is not ideologically based in terms of communism versus capitalism.

CHINA TIGHTENS TIES WITH RUSSIA, CLAIMING BOTH PROMOTE ‘WORLD PEACE’ DESPITE UKRAINE WAR

""It is about an imperialist power that is seeking to aggress another country, and to aggress the principles at the heart of the U.N. charter that are there to try to keep the peace around the world, and many countries standing up against that,"" Blinken said. ""So in that sense, I don't see it as a Cold War, I see it as a large part of the world standing up against aggression.""

CLICK HERE TO GET THE FOX NEWS APP

Blinken added that opposing Russia's aggression is not just important for fending off the threat to the Ukrainian people, but for making sure ""that other would-be aggressors"" do not ""get the wrong message from what Russia is doing.""",https://www.foxnews.com/politics/blinken-insists-biden-makes-decisions-us-response-russia,N/A
3,US warned Russia of Biden's visit to Ukraine 'hours' before departure,"U.S. officials warned Russia that President Biden was visiting the Ukrainian capital of Kyiv hours before he made the trip, the White House National Security Council revealed Monday.

National security officials provided more details about Biden's surprise trip to Ukraine on Monday, calling the trip unprecedented given the lack of U.S. military infrastructure in the war-torn region. Reporters pressed national security adviser Jake Sullivan on whether the U.S. had warned Moscow that Biden was headed to Kyiv, a city scarred with Russian missile strikes.

""We did notify the Russians that President Biden would be traveling to Kyiv,"" Sullivan told reporters Monday. ""We did so some hours before his departure for de-confliction purposes.""

Sullivan declined to elaborate on how the Russians were notified and whether they responded, however.

GAETZ INTRODUCES RESOLUTION TO END MILITARY AND FINANCIAL AID TO UKRAINE, URGE PEACE DEAL

Sullivan went on to characterize the trip as an ""affirmation"" of the Biden administration's commitment to supporting Ukraine.

""This was not a celebration,"" he clarified, adding that there will likely be dark days ahead.

UKRAINE WARNS OF MASSIVE RUSSIAN MISSILE ATTACK ON ANNIVERSARY OF PUTIN’S INVASION: ‘WE HAVE TO BE READY’

Biden himself acknowledged the challenges facing Ukraine in comments during his visit. Large areas of Ukraine remain under Russian control even after months of successful ground offensives from Kyiv's forces.

""Over the last year, the United States has built a coalition of nations from the Atlantic to the Pacific to help defend Ukraine with unprecedented military, economic, and humanitarian support – and that support will endure,"" Biden said in a Monday statement.

Sirens could be heard in war-torn Ukraine as Biden arrived in the country. The U.S. has already supported Ukraine with tens of billions of dollars in financial aid and military equipment.

Japanese Prime Minister Fumio Kishida also announced $5.5 billion in aid for Ukraine as Biden visited with Zelenskyy.

Biden's visit comes just before Russia is expected to ramp up its offensive once again in its own acknowledgment of the one-year anniversary of the conflict. Ukrainian officials warned of a massive barrage of missiles that Russia may launch on Friday, Feb. 24.

CLICK HERE TO GET THE FOX NEWS APP

A number of U.S. lawmakers have said supporting Ukraine should be a top priority, but some have criticized decisions to continue giving financial aid without proper oversight. House Speaker Kevin McCarthy has said Ukraine should not receive a ""blank check,"" but the Biden administration has vowed to support Zelenskyy's regime for ""as long as it takes.""",https://www.foxnews.com/politics/us-warned-russia-bidens-visit-ukraine-hours-departure,N/A
4,"Russia suspends participation in New START nuclear treaty with US, Putin says","Russian President Vladimir Putin announced Tuesday that Russia was pulling back from the New START treaty with the United States which reduces and limits each country's nuclear arsenal.

""In this regard, I am forced to announce today that Russia is suspending its participation in the strategic offensive arms treaty,"" Putin said in his annual address to the nation, just one day after President Biden made a surprise visit to Ukraine.

In his long-delayed state-of-the-nation address, Putin cast Russia and Ukraine as victims of Western double-dealing. He said Russia, not Ukraine, was the one fighting for its very existence.

The speech reiterated a litany of grievances that the Russian leader has frequently offered as justification for the widely condemned war and ignored international demands to pull back from occupied areas in Ukraine.

PRESIDENT BIDEN MAKES SURPRISE VISIT TO KYIV. UKRAINE, MEETS WITH PRESIDENT ZELENSKYY

The New START treaty, first signed in April 2010, limits the U.S. and Russia from having more than 1,550 nuclear warheads deployed on delivery systems like intercontinental ballistic missiles, submarine-launched ballistic missile or heavy bombers.

Both the U.S. and Russia are capable of deploying far more than the allotted nuclear warheads as Washington and Moscow have a combined total of more than 13,000 warheads – making up roughly 90% of the world’s nuclear arsenal, according to data provided by the Arms Control Association.

Following the nuclear arms race that largely came to an end with the fall of the Soviet Union, the U.N. has pushed for nuclear disarmament and global warheads inventories have dropped since hitting their peak in 1985, when more than 70,000 warheads were estimated to make up global stockpiles.

Putin's speech comes three days before the one-year anniversary of Russia's invasion of Ukraine.

Russia has continued its attack on Ukraine over the last year despite Western sanctions and losses on the battlefield. Ukraine's defense has been supported by a number of other countries, most of which are in the West.

Ukrainian officials have said they expect Russia to ramp up its offensive in Moscow's acknowledgment of the one-year anniversary of the war on Feb. 24.

Biden on Monday met with Ukraine President Volodymyr Zelenskyy at Mariinsky Palace to announce an additional half-billion dollars in U.S. assistance. The U.S. has already supported Ukraine with tens of billions of dollars in financial aid and military equipment.

BIDEN ANNOUNCES MILLIONS MORE TAXPAYER DOLLARS TO ASSIST UKRAINE DURING SURPRISE TRIP TO KYIV

The new assistance includes shells for howitzers, anti-tank missiles, air surveillance radars and other aid but does not offer new advanced weaponry.

Biden said he visited Ukraine to meet with Zelenskyy and ""reaffirm our unwavering and unflagging commitment to Ukraine’s democracy, sovereignty, and territorial integrity."" He said Putin was ""dead wrong"" in believing Ukraine was weak when he launched the invasion a year ago.

CLICK HERE TO GET THE FOX NEWS APP

""I am meeting with President Zelenskyy and his team for an extended discussion on our support for Ukraine,"" Biden said in a statement Monday. ""I will announce another delivery of critical equipment, including artillery ammunition, anti-armor systems, and air surveillance radars to help protect the Ukrainian people from aerial bombardments. And I will share that later this week, we will announce additional sanctions against elites and companies that are trying to evade or backfill Russia’s war machine.""

Fox News' Caitlin McFall, Nick Kalman and the Associated Press contributed to this report.",https://www.foxnews.com/world/putin-delivers-annual-address-day-after-bidens-visit-to-ukraine,N/A
5,"China tightens ties with Russia, claiming both promote 'world peace' despite Ukraine war","A top diplomat of the People's Republic of China met with Russian President Vladimir Putin this week, during which they had an ""in-depth exchange of views on the Ukraine issue.""

Director of the Office of the Central Commission for Foreign Affairs Wang Yi traveled to Moscow this week, meeting with top level Russian officials including Foreign Minister Sergey Lavrov, Security Council Secretary Nikolai Patrushev, and Putin himself.

US SENDING UP TO 200 MORE TROOPS TO TAIWAN AS CHINA TENSIONS GROW

Chinese Ministry of Foreign Affairs spokesman Wang Wenbin told the press Thursday that the meeting reaffirmed that Russian-Chinese relations are ""rock-solid.""

""Director Wang noted that despite the complex and challenging international landscape, China-Russia relations have stood the test of time and been mature, resilient and rock-solid,"" said Wenbin. ""The China-Russia comprehensive strategic partnership of coordination never targets any third party, nor does it tolerate any third party interference or coercion.""

BIDEN CHALLENGES PUTIN TO ‘END THE WAR’ IN UKRAINE, THREATENS TO RAMP UP SANCTIONS

Wenbin's account of the meeting with Putin struck a surprisingly peace-oriented tone — the spokesman claimed Wang emphasized China's wish for Russia to find a resolution through ""dialogue and negotiations.""

""During the visit, Director Wang had an in-depth exchange of views on the Ukraine issue with the Russian side,"" Wenbin claimed. ""He commended Russia’s reaffirmation of its willingness to solve the issues through dialogue and negotiations. Director Wang stressed that the more complicated the situation is, the more important it is not to give up efforts for peace.""

PUTIN SAYS CHINA HAS 'AGREED' ON PRESIDENT XI JINPING VISITING MOSCOW

Chinese officials maintained a vague public attitude toward the Russian invasion of Ukraine — both attesting to their continued friendship with Russia and refusing to elaborate on what forms of aid it is willing to provide to its ally.

Wenbin added, ""We hope that all parties will overcome the difficulties, continue to create conditions for dialogue and negotiation and find an effective way towards a political settlement. China will, as always, follow an objective and just position, and play its constructive role in seeking a political settlement of the crisis.""

RUSSIA SUSPENDS PARTICIPATION IN NEW START NUCLEAR TREATY WITH THE US, PUTIN SAYS

Putin said Wednesday that China has ""agreed"" to a meeting in Moscow between him and Chinese President Xi Jinping.

Such an encounter between the two world leaders could happen as early as April, The Wall Street Journal reports, citing people familiar with the plan.

CLICK HERE TO GET THE FOX NEWS APP

""We await a visit of the President of the People's Republic of China to Russia, we have agreed on this,"" Putin told top Chinese diplomat Wang Yi on Wednesday during their meeting at the Kremlin, according to Reuters. ""Everything is progressing, developing. We are reaching new frontiers.""

Fox News' Greg Norman contributed to this report.",https://www.foxnews.com/world/china-tightens-ties-russia-claiming-both-promote-world-peace-despite-ukraine-war,N/A
6,Russia denies planning hypersonic missile test in South Africa,"The Russian military denied Wednesday that it was planning to test its new Zircon hypersonic missiles during naval drills off the coast of South Africa this week that will coincide with the one-year anniversary of the invasion of Ukraine.

China's navy also is participating in the Indian Ocean exercises, which come at a time when Russia's relationship with the West is at its lowest point since the Cold War, and ties between China and the United States are under serious strain.

As Russian and Chinese warships prepared in South Africa for their joint drills, Russian President Vladimir Putin hosted China's most senior foreign policy official at the Kremlin. Those meetings showed the strengthening of Russia's relationship with China and raised concern in the West that Beijing might be ready to offer Moscow stronger support for its war in Ukraine.

RUSSIAN UNION SUSPENDED FROM INTERNATIONAL FEDERATION OF JOURNALISTS FOR ACTIONS FOLLOWING UKRAINE INVASION

Russia's aims for the naval exercises came under scrutiny because of the involvement of the Admiral Gorshkov, a frigate which is armed with hypersonic missiles and has served as the main testbed for them. The ship arrived in Cape Town last week emblazoned with the letters Z and V, letters also seen on Russian weapons on the front lines in Ukraine and which are used as patriotic symbols in Russia.

Russia has said the Zircon missiles can penetrate any missile defense systems by flying at an astounding 7,000 miles per hour — around nine times the speed of sound — to strike targets at sea and on land. They have a range of over 620 miles, Russia claims.

Putin sent the Admiral Gorshkov on a trans-ocean cruise last month in a show of force as tensions with the West escalated over Ukraine. But a Russian navy officer in South Africa said Wednesday that the exercises would focus on maritime security, including the fight against piracy, and the Zircons would not be fired.

The drills will involve ""mutual maneuvering of the three sides, assistance of the suffering vessel in a disaster, liberation of a captured vessel by the pirates, and artillery fire which, according to our schedule, does not include the firing with the hypersonic missiles,"" Capt. Oleg Gladkiy said. He spoke through a translator.

The Admiral Gorshkov and a Russian oil tanker for refueling, a Chinese destroyer, frigate and a support vessel, and a South African frigate will be involved in the exercises, according to a South African military statement released last week.

Ukraine’s ambassador to South Africa, Liubov Abravitova., criticized the timing of the drills, which will overlap with Friday's one-year anniversary of the start of the war in Ukraine.

Abravitova noted that China, Russia and South Africa, which are partners in the BRICS bloc of emerging economies, have undertaken joint naval drills before but said ""it is a concern for us that they are happening at the time of the anniversary of the brutal Russian invasion.""

""The vessel that came to the shores of South Africa basically brought a piece of the war to this peaceful land through having the letters Z and V, which they are using as a marking on their military equipment while bombing Ukrainian cities,"" Abravitova said in an interview with The Associated Press.

RUSSIA URGES UN TO INVESTIGATE NORD STREAM EXPLOSION

Last week, a small yacht flying Ukraine’s flag sailed by the Admiral Gorshkov in Cape Town’s harbor in protest. On Wednesday, a group of protesters gathered outside the Russian Embassy in the South African capital, Pretoria. They criticized the presence of the Russian warship and South Africa's decision to host it.

One protester held up a placard that read: ""DON'T PLAY with bullies.""

South Africa, a key partner of the West in Africa, has come under criticism for holding the naval exercises but has defended itself by saying they were planned two years ago, well before Russia's invasion of Ukraine.

CLICK HERE TO GET THE FOX NEWS APP

The exercises are to be held around the Indian Ocean port cities of Durban and Richards Bay. Media access was restricted.",https://www.foxnews.com/world/russia-denies-planning-hypersonic-missile-test-south-africa,N/A
7,US forces China’s hand in revealing possible lethal aid to Russia amid war in Ukraine: experts,"The Biden administration might have forced China’s hand after revealing this week that it suspects China is considering sending Russia lethal aid as Moscow’s war in Ukraine drags on, experts told Fox News Digital Tuesday.

""China has a difficult decision to make,"" chief political scientist with the Atlantic Council Matthew Kroenig said. ""They want Russia to win. On the other hand, they don’t want to lose their economic access to Europe.

""It’s impossible to know where they’ll come down,"" he added.

Secretary of State Antony Blinken first revealed the U.S.'s suspicions following his meeting with Beijing's top diplomat Saturday, after which he expressed concern ""that China’s considering providing lethal support to Russia in its aggression against Ukraine.""

CHINA THREATENS US WITH 'CONSEQUENCES' OVER SPYCRAFT SHOOTDOWN, SAYS IT WILL NOT 'FLINCH'

The U.S. and its NATO allies have repeatedly warned that any nation, including China, will see swift and severe economic sanctions if they are found aiding Russia’s war effort.

China has toed the line when it comes to the war in Ukraine, refusing to condemn Russia's invasion but also failing to provide arms to its chief international partner.

In recent weeks Beijing has struggled to keep a balance between maintaining constructive relations with the West while condemning the U.S. of ""hysterics,"" as Beijing did over the shooting down of the surveillance balloon and accusing it of escalating the war by providing defensive aid to Ukraine.

International security experts agree that China is trying to ""strike a balance"" between preserving its economic interests and its desire to see the U.S. fall in the global hierarchy.

""China needs Russia to help it change the rules-based world order,"" former Deputy Assistant Secretary of Defense for Europe and NATO Michael Ryan said. ""[Russian President Vladimir Putin] is [Chinese President Xi Jinping’s] partner in trying to undermine U.S. influence in the world and to show that autocracy and not democracy is the superior form of government.""

Ryan explained that the partnership between Russia and China is down to the joint interest of Moscow and Beijing to see Western influence drop to enhance their global ambitions, particularly in the southern hemisphere.

But the ramifications of Chinese lethal aid to Russia could have global consequences.

Security analysts have long argued that the war in Ukraine is about more than the survival of Kyiv, it is a proxy war between Russia and the U.S.

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: ‘THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO’

Providing arms to Russia would have obvious consequences and change the dynamic on the battlefield, making it harder for Ukraine to win.

Ukraine is outmanned when it comes to the sheer number of personnel Russia can dedicate to its front lines, but the training, munitions and defensive aid it is receiving from the West is giving Kyiv an edge on the battlefield — an advantage that could be taken away if Russia is able to start better arming its troops.

""This would increase the odds of the war in Ukraine becoming even more protracted,"" explained James Anderson, the former acting under secretary of defense for policy during the Trump administration. ""The longer the war in Ukraine drags on, the greater the chances it will spread to other countries in Europe.""

Iran and North Korea have already been providing some weaponry to Moscow, and Tehran’s drone contribution has allowed Russia to hit the one area that Ukraine is unable to effectively beat it — air defense.

But Russia needs munitions, tanks and armored vehicles — which is where China could step in and change the course of the war.

Experts agree that China’s involvement in the war would do more than aid Russia’s war effort, it would morph into a new ""Cold War with China.""

""It really would turn into more of a global proxy battle between democracies on one side — the United States and its democratic allies with the Europeans and South Korea, Japan, Australia of course supporting sanctions against Russia — and then on the other side Russia, North Korea, Iran and China,"" Kroenig laid out.

BLINKEN MEETS WITH CHINA'S TOP DIPLOMAT FOR FIRST TIME SINCE DOWNING OF SPY CRAFT

Experts agree that it is unlikely the proxy conflict would lead to direct ground warfare between the U.S. and NATO troops against Russia and Chinese forces — though the conflict brewing over Taiwan could be a different story.

""[China] does not want to see Russia fail because it portends…Western support in terms of [the] Taiwan scenario,"" Heino Klinck, the former deputy assistant secretary of defense for East Asia under the Trump administration, told Fox News.

""The Chinese have been caught by surprise,"" Klinck said pointing to not only Russia’s operational failures on the battlefield but the steadfast response from the U.S. and its Western allies.

Klinck said that the revelation that China is considering arming Russia underscores that there are debates in Beijing over how it should act and the ""strategic calculus"" of its actions.

""What is more important to China: ensuring Russian success?"" he questioned. ""Or is it being part of an international order?""

Ultimately experts agree that China has to consider whether it will more negatively be affected by the strategic implications of a Russian failure and its ally’s standing on the global stage or the economic repercussions that would directly impact Beijing.

""Those domestic implications are always what drive Chinese decision-making,"" Klinck argued.

Anderson also pointed out that the West will need to move quickly to decide how it will respond with economic repercussions should China involve itself in the war effort.

""This would be a real test of Western unity since many European countries have extensive trading relationships with China, and some of our allies and partners may well be reluctant to jeopardize them with sanctions,"" he said. ""Anything less than a massive sanctioning effort would likely fail.""

""History shows that sanctions imposed in a piecemeal fashion have a poor track record of inducing good behavior in bad malign actors,"" he added.

CLICK HERE TO GET THE FOX NEWS APP

A Chinese foreign ministry spokesman on Tuesday rejected U.S. claims that Beijing would supply lethal aid to Russia.

China’s top diplomat Wang Yi is set to meet with his Russian counterparts in Moscow Tuesday and may even meet with Putin, according to Kremlin spokesman Dmitry Peskov.

Beijing also said it is working on a peace proposal calling for an end to the war in Ukraine, though Kyiv has already made clear it will not agree to any proposals that do not include the complete withdrawal of Russian troops – a stipulation Moscow is not likely to agree to.",https://www.foxnews.com/world/u-s-forces-chinas-hand-revealing-possible-lethal-aid-russia-war-ukraine-experts,N/A
8,China furious after US warns against arming Russia: ‘The US is in no position to tell China what to do’,"Diplomatic relations between the U.S. and China deteriorated further on Monday after China’s Ministry of Foreign Affairs snapped at the Biden administration for suggesting that it has information suggesting that China is considering sending weapons and ammunition to Russia to help its war against Ukraine.

Secretary of State Antony Blinken made that accusation Sunday on CBS, where he said Chinese companies have already been supplying Russia with non-lethal aid and may soon do more.

""The concern that we have now is, based on information we have, that they’re considering providing lethal support, and we’ve made very clear to them that that would cause a serious problem for us and in our relationship,"" Blinken said. When asked what lethal aid China might deliver, Blinken said, ""weapons.""

BLINKEN BATS DOWN IDEA US IN ‘COLD WAR’ WITH CHINA, SAYS RELATIONS CAN'T BE REDUCED TO ‘BUMPER STICKER’

That remark drew a furious comment from China on Monday – but not an outright denial – even as China’s top diplomat was expected to travel to Moscow this week.

""It is the U.S. not China, that has been pouring weapons into the battlefield,"" Ministry of Foreign Affairs spokesman Wang Wenbin said. ""The U.S. is in no position to tell China what to do. We would never stand for finger-pointing, or even coercion and pressurizing from the U.S. on our relations with Russia.""

Wang said China supports peace and took another shot at the U.S. by saying it’s the U.S. that is promoting conflict by arming Ukraine.

BLINKEN ISSUES WARNING TO CHINA ABOUT SPY CRAFT IN ‘CONFRONTATIONAL’ MEETING WITH COUNTERPART

""The international community is fully aware who is calling for dialogue and striving for peace, and who is fanning the flames and stoking confrontation,"" he said. ""We urge the US side to seriously reflect on the role it has played, do something to actually help deescalate the situation and promote peace talks, and stop deflecting the blame and spreading disinformation.""

Wang said China would soon release a document proposing a peaceful resolution of the conflict, which will stress that a ""nuclear war must never be fought and can never be won.""

Wang also fired back at the U.S. over the diplomatic disruption that was caused when the Biden administration confirmed the existence of a Chinese surveillance balloon hovering over the U.S. That discovery prompted Blinken to postpone a scheduled trip to China.

PRESIDENT BIDEN MAKES SURPRISE VISIT TO KYIV, UKRAINE, MEETS WITH PRESIDENT ZELENSKYY

Blinken said over the weekend he met with Chinese officials at the Munich Security Conference to warn that the U.S. would not stand for any violation of U.S. sovereignty. But Wang accused the U.S. of continuing to ""fuss"" over the incident.

""The U.S. itself is the number one country in conducting surveillance worldwide, whose high-altitude balloons have illegally flown over China multiple times,"" Wang said, repeating an assertion the U.S. has rejected. ""The U.S. is in no position to smear China. The U.S. needs to demonstrate sincerity, and acknowledge and resolve the damage its abuse of force has done to China-US relations.""

CLICK HERE TO GET THE FOX NEWS APP

""If the U.S. side continues to fuss over, dramatize and escalate the unintended and isolated incident, it should not expect the Chinese side to flinch,"" he added. ""The U.S. side should be prepared to bear all consequences arising from an escalation.""",https://www.foxnews.com/politics/china-furious-us-warns-against-arming-russia-us-no-position-tell-china,N/A
9,US State Department hints at 'consequences' if China provides lethal aid to Russia for Ukraine war,"U.S. State Department spokesman Ned Price on Wednesday warned there would be ""consequences"" if China were to provide lethal aid to Russia in its war against Ukraine, but when pressed on just what those consequences might be, he was more ambiguous.

Wednesday’s comments came after Secretary of State Antony Blinken, who met with China’s top diplomat Wang Yi in Munich over the weekend, said the U.S. has evidence China is considering providing lethal support to Russia.

Price clarified that the U.S. has not seen concrete evidence of direct support, but added ""we don’t believe they’ve taken it off the table, either.""

Price said China’s providing of lethal weapons to Russia for use in Ukraine ""would cause real consequences in our bilateral relationship.""

PUTIN SAYS CHINA HAS ‘AGREED’ ON PRESIDENT XI JINPING VISITING MOSCOW

""The [People’s Republic of China] understands what’s at risk were it to proceed with providing material support to Russia’s war against Ukraine,"" he said. ""We’ve been clear we will not hesitate to target Chinese companies or individuals that violate our sanctions, and we’re monitoring very vigilantly for potential violations.""

Price predicted that China would suffer ""reputational costs"" if it were to follow through with providing Russia with lethal aid.

""Already, it is providing diplomatic support. It is providing economic support. It is … spewing propaganda that serves to amplify the lies, the distortions, the myths, the half-truths that are emanating from Moscow,"" he said.

Later in the press conference, a reporter questioned what possible leverage the U.S. has as a deterrent if China sides with Russia.

Price said there was ""an advantage to some degree of ambiguity.""

""We have been clear with the PRC about the fact that consequences would befall them if they were to provide lethal assistance, but we think it’s most effective if we leave that ambiguous and we continue to warn consistently of those consequences,"" Price said.

Experts have argued that the Biden administration might have forced China’s hand after revealing its suspicions that China was considering providing Russia with lethal aid.

The U.S. and its NATO allies have repeatedly warned that any nation — including China — will see severe economic sanctions if they are found aiding Russia’s war against Ukraine.

CLICK HERE TO GET THE FOX NEWS APP

China has toed the line when it comes to the war in Ukraine, refusing to condemn Russia’s invasion but also, so far, failing to provide arms to its chief international partner.

Fox News’ Caitlin McFall and The Associated Press contributed to this report.",https://www.foxnews.com/politics/us-state-department-hints-consequences-china-provides-lethal-aid-russia-ukraine-war,N/A
