,title,text,url,published_time
0,"UK counterterrorism program flags family sitcoms, Shakespeare works as far-right extremism: report","A U.K. counterterrorism program aimed at combating extremism has reportedly flagged some of the nation’s most prized literature, including Shakespeare, ""The Lord of the Rings"" by J.R.R. Tolkien and ""The Canterbury Tales,"" as works that could lead to right-wing extremism.

British tabloids found this month that a report by the Research Information and Communications Unit (RICU) of the U.K.’s Prevent program flagged these works of fiction, along with a litany of other written works, family sitcoms and movies like ""Yes Minister,"" ""The Bridge on the River Kwai"" and ""The Great Escape,"" as ""key texts"" for ""white nationalists/supremacists.""

UK DEMANDS ANSWERS FROM IRANIAN FOREIGN POLICY CHIEF OVER JOURNALIST THREATS

The Prevent system is a ""national safeguarding program that supports people who are at risk of becoming involved with terrorism through radicalization,"" according to the Home Office’s website.

Fox News Digital could not verify the extent of the list of books, movies and shows flagged under the government program and the Home Office could not verify the existence of the list, noting they do not ""comment on leaks.""

The program has reportedly been embroiled in controversy since it was created two decades ago, with some critics arguing it discriminated against Muslims.

The program aimed at preventing terrorism has faced renewed criticism of late, though this time with Brits questioning its effectiveness as complaints over right-wing extremism are on the rise.

WRONGLY 'CANCELLED' PROFESSOR SAYS WOKE STUDENTS' COMPLAINTS LED TO FEAR OF BEING KILLED BY MUSLIM EXTREMISTS

The program saw an independent review – made public earlier this month and described by some publications as ""scathing"" – that recommended nearly three dozen improvements.

The audit ultimately argued the program is ""not doing enough to counter nonviolent Islamist extremism"" and ""has a double standard when dealing with the extreme right wing and Islamism"".

The review itself received push back from human rights groups that rejected the findings as ""prejudice"" with ""no legitimacy,"" according to the Guardian.

CLICK HERE TO GET THE FOX NEWS APP

But the U.K. government accepted the results and, in a comment to Fox News Digital, a spokesperson for the Home Office said, ""The Home Secretary made clear that Prevent will now ensure it focuses on the key threat of Islamist terrorism, as well as remaining vigilant on emerging threats.""

""We’ve accepted all 34 recommendations and are committed to protecting our country from the threat posed by terrorism,"" the spokesman added.",https://www.foxnews.com/world/uk-counterterrorism-program-flags-family-sitcoms-shakespeare-works-far-right-extremism-report,N/A
1,"UK nurse Lucy Letby denies injecting twin babies with air, insulin in murder case","A U.K. jury heard testimony accusing Lucy Letby, 33, of injecting one infant dubbed Child M with air in April 2016 before attempting to poison the infant’s twin, Child L, with insulin, reports said Monday.

Child M and Child L are just two of 10 infants that Letby has been accused of attempting to kill on top of the seven babies she is accused of murdering at the Countess of Chester Hospital, just south of Liverpool. Letby has denied all charges against her.

Jurors listened as the prosecution described how doctors and nurses worked to resuscitate Child M, a six-week premature boy, for 25 minutes in the late afternoon on April 9, 2016, by administering CPR and multiple doses of adrenaline after he stopped breathing, according to the BBC.

'SMILING' NURSE LUCY LETBY ACCUSED OF KILLING BABY GIRL AFTER FOUR ATTEMPTS

The infant was eventually stabilized and was placed on a ventilator before he and his twin brother were discharged from the hospital in May 2016.

The prosecution alleged Child M collapsed after Letby injected him with oxygen.

Letby, who was assigned to the infant for evening care and noted he had symptoms that were indicative of the brain being starved of oxygen, has denied the accusations.

Brain scans on Child M reportedly found that he suffered no adverse afteraffects.

Letby abruptly left the court’s proceedings last week after she broke down in tears when testimony began in relation to Child L, whom she has also denied attempting to murder.

The court heard how the infants started to deteriorate at ""pretty much the same time"" after Letby also allegedly attacked Child L in the early hours of April 10, 2016 – just hours after doctors had managed to stabilize Child M.

BABY ATTACKED BY ALLEGED ‘KILLER NURSE’ LUCY LETBY RECOVERED AFTER BEING MOVED TO NEW HOSPITAL

She has been accused of injecting Child L with a dose of insulin and the doctor on call recounted how he was concerned by the baby’s dropping blood sugar levels – an occurrence that could happen after an insulin dose is administered.

But when asked if she gave the infant insulin, Letby told police officers, who questioned her in 2019, ""That wasn't done by me.""

Letby said she didn’t think she or another nurse could have accidentally administered the insulin dose.

A blood sample from Child L had been sent from a lab at the nearby Royal Liverpool Hospital that showed insulin had been administered to the infant rather than having been naturally produced by its pancreas, a consultant clinical scientist at the Liverpool facility, Dr. Anna Milan, told the court.

CLICK HERE TO GET THE FOX NEWS APP

It was also confirmed that two vials of insulin were issued to the neo-natal unit in 2016, along with six vials in 2015 and two vials in 2014, reported the BBC.

Letby’s case remains ongoing.",https://www.foxnews.com/world/uk-nurse-lucy-letby-denies-injecting-twin-babies-air-insulin-murder-case,N/A
2,"UK announces deal to send illegal migrants to Rwanda, says it is made possible by Brexit","The British government on Thursday announced that it will send migrants who illegally enter through its borders to Rwanda -- in a bid to stop illegal immigration that immediately drew criticism from left-wing politicians and activist groups.

Prime Minister Boris Johnson announced the deal with the East African country, saying that it would allow anyone entering illegally, as well as any illegal immigrant who arrived since Jan 1., to be transported to Rwanda.

BREXIT PASSES FIRST MAJOR TEST IN UKRAINE WAR, OBSERVERS SAY

Johnson said in a speech that the move was made possible by Britain’s departure from the European Union, which gave Britain greater control over its immigration policies.

""This innovative approach driven by our shared humanitarian impulse and made possible by Brexit freedoms, will provide safe and legal routes for asylum while disrupting the business model of the gangs, because it means that economic migrants taking advantage of the asylum system will not get to stay in the U.K.,"" Johnson said. ""While those in genuine need will be properly protected, including with access to legal services, on arrival in Rwanda and given the opportunity to build a new life in that dynamic country supported by the funding we are providing.""

Successive Britain governments have struggled with illegal immigration across the English Channel from France. Migrants will sneak onto the back of trucks or other vehicles coming across the channel between Calais and Dover -- or on small boats across the channel itself, often organized by criminal gangs.

Johnson said that seven out of 10 migrants who arrived on small boats were men under 40. Johnson said that attempted crossers have passed thorough ""manifestly safe countries, including many in Europe where they could and should have claimed asylum.""

More than 28,000 entered the U.K. on boats in 2021, up from 8,500 in 2020. It has led to concerns about exploitation by gangs, similar to the way cartels have exploited the crisis along the U.S.-Mexico border, and the danger to migrants.

ZELENSKYY CALLS FOR MORE SANCTIONS AS UK'S BORIS JOHNSON MAKES SURPRISE KYIV VISIT

Johnson, in his speech, focused on the costs of illegal immigration to the British taxpayer, claiming the U.K. is generous to immigrants but that ""we cannot sustain a parallel illegal system.""

""Our compassion may be infinite, but our capacity is not,"" Johnson said, saying it was unfair to ask British taxpayers to write a ""blank check"" for anyone who wishes to live in the U.K.

The policy was immediately criticized by human rights groups, who denied Johnson’s assertion that Rwanda is a safe country. It drew criticism from the left-wing Labour Party, with leader Keir Starmer calling the plan ""unworkable"" and ""extortionate"" and accused Johnson of seeking to distract from the controversy over his attendance at parties during COVID-19 lockdowns.

The United Nations Refugee Agency (UNHCR) said it had made its objections known to both countries.

""UNHCR remains firmly opposed to arrangements that seek to transfer refugees and asylum seekers to third countries in the absence of sufficient safeguards and standards. Such arrangements simply shift asylum responsibilities, evade international obligations, and are contrary to the letter and spirit of the Refugee Convention,"" UNHCR Assistant High Commissioner for Protection Gillian Triggs said in a statement.

CLICK HERE TO GET THE FOX NEWS APP

The Rwandan government said the five-year agreement would see Britain paying approximately $157 million for housing and other migrant services.

Rwandan Foreign Affairs Minister Vincent Biruta said the agreement ""is about ensuring that people are protected, respected, and empowered to further their own ambitions and settle permanently in Rwanda if they choose.""

The Associated Press contributed to this report.",https://www.foxnews.com/world/uk-illegal-migrants-rwanda-possible-by-brexit,N/A
3,UK police arrest 4 protestors after they painted a giant Ukrainian flag outside the Russian embassy in London,"British police said Thursday they have arrested four people after protesters painted a giant Ukrainian flag on the road outside the Russian Embassy in London.

The campaign group Led By Donkeys said they painted the 5,400-square-foot blue and yellow flag to mark one year since Russia invaded Ukraine. It said activists wanted to remind Russian President Vladimir Putin that ""Ukraine is an independent state and a people with every right to self-determination.""

The group said activists safely halted cars before pouring 35 gallons of paint on the road. Vehicles then spread the paint in both directions to create the flag, it said.

UKRAINE WAR ANNIVERSARY: TIME FOR RUSSIAN SANCTIONS WITH REAL TEETH

CLICK HERE TO GET THE FOX NEWS APP

London's Metropolitan Police said officers arrested three men and a woman on suspicion of criminal damage and obstructing the highway. They remained in custody.",https://www.foxnews.com/world/uk-police-arrest-4-protestors-after-painted-giant-ukrainian-flag-outside-russian-embassy-london,N/A
4,"UK hits Russia, Belarus with more than 300 sanctions over Ukraine invasion","The U.K. government on Tuesday announced more than 300 more sanctions on Russia and Belarus over Moscow’s invasion of Ukraine -- bringing the number of sanctions on individuals and other entities to more than 1,000.

The government imposed the sanctions after the passage of the Economic Crime (Transparency and Enforcement) Act which allows the government to pass sanctions quickly.

RUSSIA ANNOUNCES SANCTIONS AGAINST BIDEN AND TOP US OFFICIALS

The new sanctions target 370 individuals, 30 of whom are oligarchs or their family members to the tune of more than $130 billion, the Foreign Office said in a statement. Foreign Secretary Liz Truss said that the announcement shows that the U.K. is going ""further and faster"" to hit those connected to Russian President Vladimir Putin.

""Working closely with our allies, we will keep increasing the pressure on Putin and cut off funding for the Russian war machine,"" she said.

The sanctions come on top of the U.K.’s targeting of Russian defense companies, trade and transportation.

The sanctions include asset freezes and travel bans and included the founder of Alfa Bank, the largest private bank in Russia, as well as owners of airports and steel companies. On the political front, former Russian President Dmitry Medvedev, Russian Prime Minister Mikhail Mishustin and Defense Minister Sergei Shoigu are hit by the new sanctions.

The U.K. has also designated Putin’s press secretary and the Foreign Ministry’s director of information. Separately it announced additional import tariffs of 35% on Russian and Belarusian products ranging from vodka and white fish to iron, oil seeds and grain.

BIDEN CALLS FOR END TO NORMAL RUSSIA TRADE RELATIONS, BAN ON SEAFOOD, VODKA, DIAMOND IMPORTS

The measures ""will further isolate the Russian economy from global trade, ensuring it does not benefit from the rules-based international system it does not respect,’’ Chancellor of the Exchequer Rishi Sunak said.

The E.U. meanwhile imposed sanctions on luxury goods including pure-bred horses, Champagne, pearls and diamonds as part of its bid to target oligarchs -- who have become a key target for sanctions aimed at Russia over the invasion of Ukraine. The sanctions stayed clear of energy sectors.

CLICK HERE TO GET THE FOX NEWS APP

The E.U. also targeted more than a dozen extra entities and individuals -- including Chelsea F.C. owner Roman Abramovich, who was hit by both an asset freeze and travel ban. Abramovich was already sanctioned by the U.K.

The EU's official journal said that Abramovich ""has had privileged access to [Putin], and has maintained very good relations with him. This connection with the Russian leader helped him to maintain his considerable wealth.""

Fox News' Rich Edson and The Associated Press contributed to this report.",https://www.foxnews.com/world/uk-hits-russia-belarus-300-sanctions-ukraine-invasion,N/A
5,UK Prime Minister Liz Truss resigns after less than 2 months in office,"U.K. Prime Minister Liz Truss resigned Thursday after less than two months in office amid pressure following a reversal of economic policies that led to economic instability.

Truss made the announcement a day after she defiantly declared that she is ""a fighter and not a quitter."" Ultimately, however, she said that circumstances have changed.

""Given the situation, I cannot deliver the mandate on which I was elected by the Conservative Party,"" Truss said. I have therefore spoken to His Majesty the King to notify him that I am resigning as leader of the Conservative Party.""

Truss said that a leadership election will take place ""within the next week"" and that she will stay on as prime minister ""until a successor has been chosen.""

Truss' announcement came soon after Home Secretary Suella Braverman resigned via a letter that slammed the prime minister.

UK PM TRUSS DEFIANTLY STATES ‘I AM A FIGHTER’ AFTER CALLS FOR HER RESIGNATION

""The business of government relies upon people accepting responsibility for their mistakes,"" Braverman said. ""Pretending we haven’t made mistakes, carrying on as if everyone can’t see that we have made them and hoping that things will magically come right is not serious politics.""

Braverman, part of the right wing of the Conservative Party, ran for party leader earlier this year, coming up short when Truss won.

Braverman’s exit came days after Truss fired Treasury head Kwasi Kwarteng amid financial turmoil that included the British pound declining in value to be nearly equal to the U.S. dollar. The problems came after Truss’ administration pushed a tax cut plan in September, which Kwarteng’s replacement Jeremy Hunt scrapped in October.

Truss apologized to lawmakers on Wednesday and admitted she had made errors during her time in office — just six weeks, so far — but insisted that scrapping the tax cut plan was ""the right decision in the interest of the country’s economic stability.""

Opposition Labour Party leader Keir Starmer blasted Truss on Wednesday, shouting in the House of Commons, ""Why is she still here?""

PRESIDENT BIDEN SAYS UK PRIME MINISTER LIZ TRUSS' TAX CUT PLAN WAS A ‘MISTAKE’

Many Conservative Party members were also saying Truss needed to go. Conservative lawmaker Simon Hoare told the BBC on Thursday that Truss had ""about 12 hours"" to fix the situation. Other Conservative Party lawmakers did not appear even to be willing to wait that long.

""It’s time for the prime minister to go,"" Miriam Cates said.

""She isn’t up to the job, sadly,"" Steve Double opined.

CLICK HERE TO GET THE FOX NEWS APP

Many within the party hope that replacing Truss will stave off Labour Party momentum and help Conservatives maintain control in the long run. Possible replacements for Truss include Hunt; ex-Treasury chief Rishi Sunak, who Truss defeated earlier this year; and House of Commons leader Penny Mordaunt.

Truss will remain in power until the party chooses a replacement. That process could take weeks under current rules, which allow all party members to vote, although the party’s left wing is looking to change the rules to limit voting to members of Parliament. Such a change could mean Truss could be out within days.

Fox News' Ben Evansky and The Associated Press contributed to this report.",https://www.foxnews.com/world/uk-prime-minister-liz-truss-resigns-less-than-2-months-office,N/A
6,"UK set to crack down on illegal immigrants: block bank access, home rentals, and driver’s licenses","In a bid to crack down on illegal immigration, the U.K. government is blocking access on migrants’ access to bank accounts, home rentals, and their driver’s licenses, among other services.

The country’s immigration minister, Robert Jenrick, is heading a new taskforce to ensure that ""only those eligible can work, receive benefits or access to public service,"" The Telegraph reports.

""We’re delivering on our promise to increase raids on illegal employers: a new Enforcement Taskforce will ensure only those eligible can work, access public services and benefits,"" Jenrick tweeted Sunday.

BORDER AGENTS CONFIRM 1.2 MILLION ‘GOTAWAY’ MIGRANTS UNDER BIDEN ADMINISTRATION

The new initiative will include a 50% increase in immigration enforcement visits to construction sites, car washes, and gig economy firms.

The government has already been ramping up enforcement visits in recent months. Since mid-December, there have been more than 1,150 such visits – a 10% increase – since mid-December, according to The Telegraph. This amounts to about 362 arrests.

Jenrick has argued that black market jobs harm communities by ""cheating honest workers of employment, putting vulnerable people at risk, and defrauding the public purse,"" he said.

""Our Immigration Enforcement teams are working round the clock to bring those violating our laws to justice. It’s our priority to crack down on this crime and empower law enforcement to remove illegal migrants,"" he said.

CLICK HERE TO GET THE FOX NEWS APP

""With support from our new enforcement taskforce, we will go further and faster to prevent the abuse of our laws and borders and crack down on individuals exploiting the generosity of the UK taxpayer.""",https://www.foxnews.com/world/uk-set-crack-down-illegal-immigrants-block-bank-access-home-rentals-drivers-licenses,N/A
7,UK prime minister fined after appearing to wear no seat belt in video,"British Prime Minister Rishi Sunak will pay a fine for not wearing a seatbelt while filming a video to promote an economic program Friday.

The fine, issued by Lancashire Police to a ""42-year-old man from London,"" will cost around £100, or roughly $124 – pennies for a man who has a net-worth greater than that of the King of England. The fine can increase to £500, or roughly $620, should the case go to court.

Sunak had visited Lancashire to film the video as part of a trip across the north of England. He was trying to promote the government’s latest spending bill, which aimed to help ""level up"" or improve facilities and infrastructure in key parts of the country.

In the video, posted to Instagram, Sunak sits in the back of a car discussing how the government plans to spend its £2.1 billion fund, but eagle-eyed viewers couldn’t help noticing the prime minister wasn’t wearing a seat belt.

BABY ATTACKED BY ALLEGED ‘KILLER NURSE’ LUCY LETBY RECOVERED AFTER BEING MOVED TO NEW HOSPITAL

Representatives for the prime ministers told the BBC that Sunak ""fully accepts this was a mistake and has apologized,"" adding he would indeed pay the fine.

Deputy Prime Minister Dominic Raab told BBC Breakfast that Sunak ""made a mistake on the seatbelt issue.""

BRITISH SCIENTISTS BELIEVE POLLUTION DID NOT CAUSE UK MASS CRAB DEATHS

Sunak has previously paid a fine for breaching COVID-19 lockdown rules after he attended a birthday gathering for then-Prime Minister Boris Johnson in Downing Street in June 2020.

The multiple penalties, called ""fixed penalty notices"" in the U.K., must be paid within 28 days.

UK MAN FINE FOR SILENTLY PRAYING OUTSIDE ABORTION CLINIC: REPORT

""From partygate to seatbelt gate, these Conservative politicians are just taking the British people for fools,"" Deputy Liberal Democrats Leader Daisy Cooper said of the video. ""Whilst they continue to behave as though it's one rule for them and another for everyone else, this fine is a reminder that the Conservatives eventually get their comeuppance.""

Conservative Party members of parliament (MPs) have defended their party leader: Scott Benton, a Conservative MP for Blackpool South, said that police should worry more about ""tackling serious crime"" rather than focusing on a ""mistake.""

CLICK TO GET THE FOX NEWS APP

""Let's keep this in proportion here. Every single year millions of Britons receive similar fixed penalty notices,"" Benton said of the issue.",https://www.foxnews.com/world/uk-prime-minister-fined-appearing-wear-no-seat-belt-video,N/A
8,"UK police forces spend thousands on rainbow cars, flags supporting LGBT community: 'woke nonsense'","Police forces across the United Kingdom have spent £66,000, or nearly $80,000, on merchandise such as rainbow-themed cars and flags to support the LGBTQ community, a report found.

""Police chiefs have been caught red-handed wasting money on woke nonsense,"" Tom Ryan, a researcher at the Taxpayers’ Alliance, told the Telegraph.

The Telegraph reported that 27 police departments in England and Wales spent £66,689 on rainbow-themed merchandise between 2019 and 2022, according to data released under freedom of information laws.

The data, according to the Telegraph, found the South Wales Police force was the biggest spender, forking over £24,000, or roughly $29,000, for rainbow-themed T-shirts, badges, pens, whistles, flags, water bottles and even sporks.

LONDON TRANSPORTATION AGENCY SLAMMED FOR EMBRACING 'WOKE CULTURE' BY BANNING WORDS SUCH AS 'ACCIDENT,' 'BIKES'

The Kent Police force spent the second most at £8,000, or roughly $9,600, for rainbow whistles, pens, pencils, lanyards and other items.

UK CROWD TEARS DOWN STATUE OF 17TH-CENTURY SLAVE TRADER EDWARD COLSTON, THROWS IT IN HARBOR

Other departments spent funds to deck cars out with rainbow-themed stickers, on items called ""rainbow fuzzy bugs,"" as well as for fans and stickers.

The National Police Chiefs’ Council has previously said that rainbow-themed patrol vehicles act as ""hate-crime cars"" and encourage members of the public to report hate crimes, including social media posts, according to the Telegraph.

The Taxpayers’ Alliance, a nonpartisan group that advocates for lower taxes in the UK, slammed the spending, noting that crime is on the rise and funds should instead be used to bolster public safety.

RISHI SUNAK TO TARGET 'WOKE' POLICING, END ARRESTS OVER SOCIAL MEDIA POSTS

""With crime on the up, it will bring little comfort to Brits knowing that bobbies are kitted out with rainbow merchandise,"" Ryan told the Telegraph. ""Police forces should put a stop to this pointless spending and focus funds on the frontline.""

Various institutions in the UK have come under fire in recent months for reportedly embracing ""woke culture,"" including London’s transportation agency after it published new guidelines last year for staff that ban words such as ""bicycles"" and ""accident"" for more welcoming and inclusive language.

The director of The Heritage Foundation's Margaret Thatcher Center for Freedom, Nile Gardiner, told Fox News Digital at the time that the pervasive ""wokism"" in the country is a ""nefarious destructive ideology.""

CLICK HERE TO GET THE FOX NEWS APP

""It is just completely ridiculous the rise of wokism in the U.K. It’s a nefarious destructive ideology that is advanced by the far left but adopted by a large number of British institutions. And it has no place in British society. It is hugely divisive and fundamentally un-British,"" he said.",https://www.foxnews.com/world/uk-police-forces-spend-thousands-rainbow-cars-flags-supporting-lgbt-community,N/A
9,European heat wave: UK breaks records,"Britain hit a new record for the highest temperature ever registered on Tuesday amid a sweltering European heat wave.

According to the country's weather office, the nation hit a provisional reading of 40.2 degrees Celsius (104.4 degrees Fahrenheit) at London Heathrow Airport.

HERE ARE THE HEALTH RISKS OF EXTREME HEAT

""For the first time ever, 40 Celsius has provisionally been exceeded in the UK. London Heathrow reported a temperature of 40.2 degrees Celsius at 12:50 today,"" the office tweeted.

Forecasters cautioned that temperatures were still expected to rise.

The record was also broken earlier in the day in Charlwood, England, with a provisional temperature of 102.4 F.

Until Tuesday, the previous record of 101.7 F was set in 2019.

next Image 1 of 3

prev next Image 2 of 3

prev Image 3 of 3

In addition, the U.K.'s Met Office also reported that provisional figures showed the temperature remained above 77 F overnight in parts of the country for the first time.

At least five people were reported to have drowned in the U.K. – attempting to cool off in rivers, lakes and reservoirs.

The conditions have impacted travel, health care and education, and much of England remained under the country's first warning of ""extreme"" heat.

US HEAT THREATENS 100M+ FROM NORTHEAST TO PLAINS

The runway at London’s Luton Airport was forced to close due to heat damage. Transport Secretary Grant Shapps said Britain’s infrastructure ""just wasn’t built to withstand this type of temperature – and it will be many years before [the country] can replace infrastructure with the kind of infrastructure that could.""

Outside the U.K., arid and hot weather has sparked wildfires and led to hundreds of heat-related deaths.

next Image 1 of 3

prev next Image 2 of 3

prev Image 3 of 3

A wildfire in France – which is suspected to have been deliberate – and another accidental fire southwest of Bordeaux have spread over 70 square miles, forcing tens of thousands of people to flee their homes.

CLICK HERE TO GET THE FOX NEWS APP

A July European Commission’s Joint Research Centre report published Monday found that 44% of the European Union and U.K. are exposed to warning drought levels, with 9% exposed to alert drought levels.

The Associated Press contributed to this report.",https://www.foxnews.com/world/european-heat-wave-uk-breaks-records,N/A
