,title,text,url,published_time
0,US sending up to 200 more troops to Taiwan as China tensions grow,"The U.S. is preparing to send 100 to 200 troops to Taiwan for training amid rising tensions with China, a U.S. official familiar with the planning confirmed to Fox News on Thursday.

This number will expand a much smaller training program, which has included the National Guard, Special Ops, and U.S. Marines in the past.

The Michigan National Guard will also train a contingent of the Taiwanese Army, including some training as part of larger exercises, on U.S. soil.

The Wall Street Journal, which first reported the news, cited U.S. officials as saying only around 30 American troops were stationed in Taiwan about a year ago.

US SPENT AT LEAST $1.5 MILLION SHOOTING DOWN ‘OBJECTS’ OVER CANADA, US

""We don't have a comment on specific operations, engagements, or training, but I would highlight that our support for, and defense relationship with, Taiwan remains aligned against the current threat posed by the People’s Republic of China,"" Lt. Col. Marty Meiners, a Defense Department spokesperson, told Fox News on Thursday.

""Our commitment to Taiwan is rock-solid and contributes to the maintenance of peace and stability across the Taiwan Strait and within the region,"" he added.

PENTAGON SAYS MAJORITY OF DOWNED CHINESE SPY CRAFT FOUND

The Wall Street Journal described the planned troop increase in the coming months as the largest deployment of American forces in Taiwan in decades.

Officials who spoke to the newspaper said the increase has been planned for months, before China escalated tensions with the U.S. by flying a spy balloon over American soil.

The troops going to Taiwan will be tasked with training its military on U.S. weapon systems, as well as maneuvers to counter a potential offensive from China, they added.

In recent weeks, China has frequently been sending its ships and aircraft into Taiwanese waters and airspace.

CLICK HERE TO GET THE FOX NEWS APP

Taiwan split from China in 1949 after a civil war. The only connection between the two nations is billions of dollars in trade and investment. Mainland China does not recognize Taiwan independence and wants it to unite with the mainland.

""One of the difficult things to determine is what really is objectionable to China,"" one of the U.S. officials told The Wall Street Journal about the planned troop deployment. ""We don’t think at the levels that we’re engaged in and are likely to remain engaged in the near future that we are anywhere close to a tipping point for China, but that’s a question that is constantly being evaluated and looked at specifically with every decision involving support to Taiwan.""

Fox News’ Greg Wehner contributed to this report.",https://www.foxnews.com/politics/us-sending-more-troops-taiwan-china-tensions-grow,N/A
1,"China blames US gun policies for global violence, says America exports ‘woes and instability’","America’s ""loose management"" of firearms is creating a ""recurring nightmare"" of domestic gun violence that is now spilling into other countries as U.S.-made weapons and ammunition are increasingly finding their way into the wrong hands, China’s Ministry of Foreign Affairs said Thursday.

Wang Wenbin, a spokesman for the ministry, lamented that at a United Nations meeting last week, the U.S. opposed a Chinese proposal to block transfers of ammunition to non-state actors. He then argued that America’s tolerance for guns is creating violence around the globe.

""Gun violence has become a recurring nightmare for the American people,"" Wang said. The U.S.’s loose management of small arms and light weapons and ammunition, massive weapons export and persistent transfer of military articles to non-state actors are equally worrying.""

CHINA'S TOP DIPLOMAT TRAVELING TO MOSCOW AS US-CHINA TENSIONS BROIL

""A lot of the ammunition from the U.S. have become untraceable and even ended up in the hands of terrorist and extremist groups, posing a grave threat to regional and international peace and stability,"" he added.

Wang said gun violence is increasingly America’s main export to the world.

""The U.S. brings to other countries not democracy or progress of human rights but livelihood woes and instability,"" he said. ""The U.S. needs to know that the more it engages in such exports, the worse the backfire will be on the U.S. itself.""

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: ‘THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO'

Wang added that violent elements in Mexico, Pakistan and elsewhere have been ""found to use U.S. weapons"" and noted a Center for American Progress study said more than 50,000 guns originating in the U.S. were recovered in 15 criminal investigations between 2014 and 2016.

His remarks came several days after a meeting of the United Nations Security Council, at which China said it is worried that U.S. exports of arms to Ukraine are raising the risk of ""strategic miscalculation and escalation of hostilities"" because they might be misdirected to ""terrorists and armed groups.""

The U.S. rejected that assessment at the meeting and dismissed the ""victim-blaming notion that Ukraine’s self-defense is the obstacle to ending this war.""

US AIRPORT SECURITY INTERCEPTS RECORD 6,542 GUNS in 2022

But Wang on Thursday repeated that there's a likelihood U.S. weapons sent to Ukraine will be ""smuggled by international criminal groups into the hands of criminals in Europe and elsewhere.""

CLICK HERE TO GET THE FOX NEWS APP

""Both Interpol and Europol have warned about this,"" he said. ""An African leader once said that the raging war in Ukraine is now a major source of weapons that bolster the ranks of the terrorists in Lake Chad Region.""

While President Biden supports domestic gun control efforts, he has also supported billions of dollars in military aid to Ukraine since Russia invaded that country a year ago. This week, Biden promised another $500 million in weapons and ammunition to Ukraine.",https://www.foxnews.com/politics/china-blames-us-gun-policies-global-violence-america-exports-woes-instability,N/A
2,US warned Russia of Biden's visit to Ukraine 'hours' before departure,"U.S. officials warned Russia that President Biden was visiting the Ukrainian capital of Kyiv hours before he made the trip, the White House National Security Council revealed Monday.

National security officials provided more details about Biden's surprise trip to Ukraine on Monday, calling the trip unprecedented given the lack of U.S. military infrastructure in the war-torn region. Reporters pressed national security adviser Jake Sullivan on whether the U.S. had warned Moscow that Biden was headed to Kyiv, a city scarred with Russian missile strikes.

""We did notify the Russians that President Biden would be traveling to Kyiv,"" Sullivan told reporters Monday. ""We did so some hours before his departure for de-confliction purposes.""

Sullivan declined to elaborate on how the Russians were notified and whether they responded, however.

GAETZ INTRODUCES RESOLUTION TO END MILITARY AND FINANCIAL AID TO UKRAINE, URGE PEACE DEAL

Sullivan went on to characterize the trip as an ""affirmation"" of the Biden administration's commitment to supporting Ukraine.

""This was not a celebration,"" he clarified, adding that there will likely be dark days ahead.

UKRAINE WARNS OF MASSIVE RUSSIAN MISSILE ATTACK ON ANNIVERSARY OF PUTIN’S INVASION: ‘WE HAVE TO BE READY’

Biden himself acknowledged the challenges facing Ukraine in comments during his visit. Large areas of Ukraine remain under Russian control even after months of successful ground offensives from Kyiv's forces.

""Over the last year, the United States has built a coalition of nations from the Atlantic to the Pacific to help defend Ukraine with unprecedented military, economic, and humanitarian support – and that support will endure,"" Biden said in a Monday statement.

Sirens could be heard in war-torn Ukraine as Biden arrived in the country. The U.S. has already supported Ukraine with tens of billions of dollars in financial aid and military equipment.

Japanese Prime Minister Fumio Kishida also announced $5.5 billion in aid for Ukraine as Biden visited with Zelenskyy.

Biden's visit comes just before Russia is expected to ramp up its offensive once again in its own acknowledgment of the one-year anniversary of the conflict. Ukrainian officials warned of a massive barrage of missiles that Russia may launch on Friday, Feb. 24.

CLICK HERE TO GET THE FOX NEWS APP

A number of U.S. lawmakers have said supporting Ukraine should be a top priority, but some have criticized decisions to continue giving financial aid without proper oversight. House Speaker Kevin McCarthy has said Ukraine should not receive a ""blank check,"" but the Biden administration has vowed to support Zelenskyy's regime for ""as long as it takes.""",https://www.foxnews.com/politics/us-warned-russia-bidens-visit-ukraine-hours-departure,N/A
3,"Putin issues nuclear warning to US, threatens to resume weapons tests","Russian President Vladimir Putin delivered a stark warning Tuesday that he would be suspending his nation's participation in a nuclear arms treaty, threatening to resume testing of nuclear weapons.

Putin made his speech almost exactly a year after the invasion of Ukraine began, accusing the ""elites of the West"" of escalating international tensions.

RUSSIA SUSPENDS PARTICIPATION IN NEW START NUCLEAR TREATY WITH US, PUTIN SAYS

""The elites of the West do not hide their purpose. But they also cannot fail to realize that it is impossible to defeat Russia on the battlefield,"" Putin said.

The Russian president went on to announce he would be pulling Russia out of the Strategic Arms Reduction Treaty, a bilateral agreement signed by former Presidents Obama and Dmitry Medvedev.

BIDEN ANNOUNCES MILLIONS MORE TAXPAYER DOLLARS TO ASSIST UKRAINE DURING SURPRISE TRIP TO KYIV

President Biden met with Ukraine President Volodymyr Zelenskyy on Monday at Mariinsky Palace to announce an additional half-billion dollars in U.S. assistance. The U.S. has already supported Ukraine with tens of billions of dollars in financial aid and military equipment.

The new assistance includes shells for howitzers, anti-tank missiles, air surveillance radars and other aid but does not offer new advanced weaponry.

PRESIDENT BIDEN MAKES SURPRISE VISIT TO KYIV. UKRAINE, MEETS WITH PRESIDENT ZELENSKYY

Putin claimed in his Tuesday speech that the West was attempting to achieve a ""strategic defeat"" over Russia and take control of their nuclear capabilities.

""Of course, we will not do this first. But if the United States conducts tests, then we will,"" Putin threatened.

He continued, ""No one should have dangerous illusions that global strategic parity can be destroyed. A week ago, I signed a decree on putting new ground-based strategic systems on combat duty. Are they going to stick their nose in there too, or what?""

CLICK HERE TO GET THE FOX NEWS APP

Both the U.S. and Russia are capable of deploying far more than the allotted nuclear warheads as Washington and Moscow have a combined total of more than 13,000 warheads – making up roughly 90% of the world’s nuclear arsenal, according to data provided by the Arms Control Association.

Fox News' Landon Mion and Chris Pandolfo contributed to this report.",https://www.foxnews.com/world/putin-issues-nuclear-warning-us-threatens-resume-weapons-tests,N/A
4,"US spent at least $1.5 million shooting down ‘objects’ over Canada, US","The U.S. spent at least $1.5 million on missiles alone to bring down three unidentified ""objects"" over the U.S. and Canada earlier this month, according to a report.

The U.S. military fired four AIM-9X Sidewinder missiles to bring down the objects over Alaska, northern Canada and Lake Huron, with one of the missiles missing its target on the last object. Each missile costs at least $400,000, and other costs associated with the operation are likely to spike the total up by several hundred thousand dollars.

Defense officials now suspect the three objects were simply recreational balloons, though they have yet to issue any formal findings according to The Wall Street Journal.

The U.S. military also released the first images of China's spy balloon taken by U-2 pilots before the craft was shot down. The images show the clearest view yet of the massive, bulbous balloon carrying a large surveillance payload.

CANADA PRIME MINISTER JUSTIN TRUDEAU SAYS US SHOT DOWN HIGH ALTITUDE AIRBORNE OBJECT OVER NORTH AMERICA

The U.S. shot down China's spy craft and the three ""objects"" earlier in February. President Biden has faced heavy criticism for allowing China's craft to cross the entire continental United States before shooting it down over the coast of South Carolina.

NORAD shot down the other three objects out of an abundance of caution, though the objects were not believed to be Chinese in origin.

LAWMAKERS DEMAND ACCOUNTABILITY FROM BIDEN ADMIN AFTER 4TH FLYING OBJECT SHOT DOWN BY MILITARY: 'UNACCEPTABLE'

The U.S. has since canceled recovery operations for the two objects that crashed within its borders. The U.S. Navy and Coast Guard conducted extensive recovery operations for the Chinese craft, however, retrieving a massive, 30-foot section of the craft's technological payload on Feb. 14.

CLICK HERE TO GET THE FOX NEWS APP

The U.S. says China's surveillance craft was just one of a fleet of similar balloons the country has used to conduct intelligence operations across the globe. The Pentagon says such craft have been spotted floating over five continents, and three had previously passed over U.S. airspace.",https://www.foxnews.com/us/us-spent-least-1-5-million-shooting-objects-canada-us,N/A
5,"China outpacing US in warship production, Navy secretary warns","The United States is falling behind the People's Republic of China in the production of military ocean vessels, according to the head of the U.S. Navy.

Secretary of the Navy Carlos Del Toro spoke Tuesday at the National Press Club in Washington, D.C.

During his remarks, he warned that the Chinese military was producing warships at a greater pace than the U.S., jeopardizing American supremacy on the seas.

CHINESE OFFICIAL URGES NATO TO 'GROW OUT OF' ITS 'COLD WAR MENTALITY' TOWARDS RUSSIA, CHINA

""It is no secret that the People’s Republic of China seeks to upend our dominance on the oceans across the globe,"" said Del Toro. ""The People’s Liberation Army Navy has added over 100 combatants to its fleet – a naval buildup that is a key component of its increasingly aggressive military posture globally.""

Del Toro noted that China currently possesses approximately 340 ships and is seeking to add 100 more by 2030.

This possible shift in naval dominance, Del Toro warned, could begin to reshape the world order.

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: 'THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO'

""China’s disregard for the rules-based international order is particularly troubling in the maritime domain, from the Taiwan Straits to the high seas,"" the Navy secretary said.

He continued, ""The values espoused by the Chinese Communist Party are incompatible with individual liberty, with democracy, and with respect for human rights. This is about the future of humanity and of our planet.""

China's military strength has become increasingly relevant to international disputes as the Asian superpower continues to flex its muscles on the world stage.

CLICK HERE TO GET THE FOX NEWS APP

Nearly two dozen Chinese military aircraft and ships were detected around Taiwan this month after the U.S. Navy and Marine Corps held joint exercises in the South China Sea over the weekend.

China's incursions have become an almost daily occurrence in recent months.

Fox News' Paul Best contributed to this report.",https://www.foxnews.com/politics/china-outpacing-us-war-ship-production-navy-secretary-warns,N/A
6,Fox News Poll: Half say US should support Ukraine as long as it takes,"Friday marks the one-year anniversary since Russia invaded Ukraine and half of American voters say the U.S. should back the embattled nation for as long as it takes, according to a new Fox News survey.

The survey, released Thursday, asks what the timeframe should be for U.S. support in Ukraine: 50% think it should continue until Ukraine wins, while 46% think it should be time limited.

Democrats (66%) favor sticking with Ukraine until it’s victorious, while Republicans (61%) opt for a time limit on U.S. support. Independents split: 49% set limit vs. 45% as long as it takes.

On Monday, in the middle of the survey’s interviewing period, President Biden made a surprise visit to Kyiv stating the U.S. would support Ukraine for ""as long as it takes."" Biden also announced an additional half-billion dollars in assistance which will include artillery ammunition, anti-armor systems, and air surveillance radars.

A January Fox News survey found that two-thirds favored the U.S. continuing to support Ukraine both by sending weapons supplies and providing funding. Majorities of Democrats, Republicans, and independents agreed on lending help in both ways.

PRESIDENT BIDEN MAKES SURPRISE VISIT TO KYIV, UKRAINE, MEETS WITH PRESIDENT ZELENSKYY

Voters sharply divide over Biden’s response to Russia’s invasion: 48% approve vs. 49% disapprove. That’s the highest his approval has been since the war started, the previous high was 45% in January and the lowest was 40% in August.

Since last August, Democrats (74% today vs. 68% in August), Republicans (24% vs. 19%), and independents (41% vs. 31%) have all increased their approval of Biden on Ukraine.

""Biden is approaching majority approval for his handling of the Ukraine situation,"" says Democratic pollster Chris Anderson, who conducts the Fox News survey with Republican Daron Shaw. ""He may not get there, but even getting close to majority approval for anything in our current environment is noteworthy.""

RUSSIAN PILOT KILLED ON EVE OF UKRAINE INVASION ANNIVERSARY AFTER SUPPOSED ‘MALFUNCTION’ STRIKES JET

Voters view Ukrainian President Volodymyr Zelenskyy’s handling of the Russia situation much more positively than they do Biden’s, with 74% approving of the job he’s doing (21% disapprove). That’s held relatively steady since last year, when 76% approved shortly after the war started (March 2022).

Majorities of Democrats (85%), Republicans (66%), and independents (64%) approve of Zelenskyy.

CLICK HERE FOR TOPLINE AND CROSSTABS

Conducted Feb. 19-22, 2023 under the joint direction of Beacon Research (D) and Shaw & Company Research (R), this Fox News Poll included interviews with 1,006 registered voters nationwide who were randomly selected from a voter file and spoke with live interviewers on both landlines and cellphones. The total sample has a margin of sampling error of plus or minus three percentage points.",https://www.foxnews.com/official-polls/fox-news-poll-half-say-us-should-support-ukraine-long-as-it-takes,N/A
7,Blinken insists Biden 'makes the decisions' in US response to Russia,"Secretary of State Antony Blinken, during a lengthy interview about Russia a year after the invasion of Ukraine, took a moment to insist that when it comes to how the United States handles the situation, President Biden is the one calling the shots.

Blinken was in the middle of discussing how Biden wants to continue supporting Ukraine but does not want to ""broaden"" the war, then made it clear that it is indeed up to Biden.

""And by the way, he’s the one who makes the decisions,"" Blinken told Jeffrey Goldberg, editor-in-chief of The Atlantic. ""The rest of us, we can give him advice, recommendations, if you’re not in government you can opine and criticize, which is always what’s needed to make sure we’re doing the best that we can, but ultimately, as the saying goes, the buck stops with him. And that’s something that he takes very seriously.""

The statement came at a time when it remains a question whether Biden will seek re-election in 2024. Members of both parties have expressed concern about the president's ability to win and serve a second term, as he recently turned 80.

UKRAINE WINNERS AND LOSERS: CHINA MAKES GAINS, BUT WHERE DO OTHER COUNTRIES STAND?

Blinken also heaped praise on Ukrainian President Volodymyr Zelenskyy during the interview, lauding him for how he has handled the Russian invasion, going back to when Blinken first warned him that he believed an invasion was coming.

""Right man, right place, right time. Someone who stood up to this moment in history,"" Blinken said, adding that the Ukrainian leader has ""become an extraordinary figure on the world stage, as well, all to the benefit of his country.""

Blinken also addressed the nature of the situation between Russia and the U.S., fielding a question of whether it is Cold War-like in nature. The secretary noted that the current conflict is not ideologically based in terms of communism versus capitalism.

CHINA TIGHTENS TIES WITH RUSSIA, CLAIMING BOTH PROMOTE ‘WORLD PEACE’ DESPITE UKRAINE WAR

""It is about an imperialist power that is seeking to aggress another country, and to aggress the principles at the heart of the U.N. charter that are there to try to keep the peace around the world, and many countries standing up against that,"" Blinken said. ""So in that sense, I don't see it as a Cold War, I see it as a large part of the world standing up against aggression.""

CLICK HERE TO GET THE FOX NEWS APP

Blinken added that opposing Russia's aggression is not just important for fending off the threat to the Ukrainian people, but for making sure ""that other would-be aggressors"" do not ""get the wrong message from what Russia is doing.""",https://www.foxnews.com/politics/blinken-insists-biden-makes-decisions-us-response-russia,N/A
8,China’s top diplomat traveling to Moscow as US-China tensions broil,"China’s top diplomat is set to meet with high-level Russian officials and possibly Russian President Vladimir Putin this week, just days after the Biden administration said it worries China may be preparing to send weapons to Russia for use against Ukraine.

Wang Yi is the director of China’s Office of Foreign Affairs, and he just met with Ukraine’s foreign minister at the Munich Security Conference over the weekend. A spokesman for the Kremlin, Dmitry Peskov, told Russia’s Tass news agency that a meeting this week with Putin could be in the cards.

""We do not rule out a meeting between Mr. Wang Yi and the [Russian] president, he will indeed be in Moscow,"" Peskov said.

CHINA FURIOUS AFTER US WARNS AGAINST ARMING RUSSIA: ‘THE US IS IN NO POSITION TO TELL CHINA WHAT TO DO'

On Sunday, Secretary of State Antony Blinken said the U.S. has information that China may be preparing to offer Russia weapons, a move that would put China squarely opposed to the U.S. policy of helping Ukraine defend itself from Russia’s attack.

That statement infuriated China, which said only the U.S. has been ""pouring weapons into the battlefield."" China didn’t explicitly deny the possibility of sending weapons to Russia but did stress that China is looking for a peaceful settlement.

BLINKEN BATS DOWN IDEA US IN ‘COLD WAR’ WITH CHINA, SAYS RELATIONS CAN'T BE REDUCED TO ‘BUMPER STICKER’

""China will continue to stay firm on the side of peace and dialogue, and play a constructive part in easing the situation,"" said Wang Wenbin, a spokesman for China’s Ministry of Foreign Affairs.

The spokesman declined to say what Wang would discuss with Russia this week, but said China’s goal is to avoid a nuclear war, and said China would soon release a paper outlining a plan to de-escalate the conflict.

BLINKEN ISSUES WARNING TO CHINA ABOUT SPY CRAFT IN ‘CONFRONTATIONAL’ MEETING WITH COUNTERPART

""The one-year mark of the Ukraine crisis is just days away,"" the spokesman said. ""China will release a position document on seeking political settlement of the Ukraine crisis.""

CLICK HERE TO GET THE FOX NEWS APP

""The document will reaffirm President Xi Jinping’s important propositions, including respecting the sovereignty and territorial integrity of all countries, upholding the purposes and principles of the UN Charter, taking seriously the legitimate security concerns of all countries, and supporting all efforts conducive to a peaceful resolution of the crisis,"" he added.",https://www.foxnews.com/politics/chinas-top-diplomat-travels-russia-us-china-tensions-boil-over,N/A
9,"US military email server left exposed for 2 weeks, allowing internal emails to leak","A U.S. Department of Defense server was left exposed for the past two weeks, allowing internal emails to be accessed, a senior U.S. defense official confirmed with Fox News.

A misconfiguration with a Department of Defense server hosted on Microsoft Azure's government cloud allowed the server to be accessed with a password, according to Tech Crunch, which reported that anyone with internet access could access mailbox data if they knew the server's IP address and were using a web browser.

The server contained around three terabytes of military emails, with many related to the U.S. Special Operations Command, which is a military unit that conducts special operations.

According to the report, the emails inside the server appear to date years back and contain personal information, according to the report.

GOP REP LIVID AT DEMOCRAT 'POLITICAL DIRTY TRICKSTERS' WHO OBTAINED AIR FORCE RECORDS OF REPUBLICAN CANDIDATES

For example, one of the files left exposed contained a completed SF-86 questionnaire, which is a form filled out by government employees attempting to obtain a security clearance. The form asks for information such as the applicant's Social Security number, address, as well as personal information of people that the applicant knows well.

The report states that none of the data hosted on the exposed server appears to be classified.

US NAVY OFFICIAL SAYS IRANIAN ATTACKS IN MIDDLE EAST 'HAVE THE ATTENTION OF EVERYONE'

Tech Crunch reports that the exposed server was secured on Monday afternoon, about a day after it first reached out to the Pentagon.

U.S. Special Operations Command spokesman Ken McGraw told Tech Crunch in a statement, ""We can confirm at this point is no one hacked U.S. Special Operations Command’s information systems.""

CLICK HERE TO GET THE FOX NEWS APP

Fox News Digital reached out to Microsoft for comment.",https://www.foxnews.com/politics/us-military-email-server-left-exposed-two-weeks-allowing-internal-emails-leak,N/A
