title,text,url,published_time
Michigan K-9's mugshot goes viral after police accuse pup of stealing officer's lunch,"A police K-9 named Officer Ice was recently ""under investigation"" for allegedly stealing from one of his own colleagues.

This month, the Wyandotte Police Department (WPD) in Wyandotte, Michigan, shared a now-viral image of Ice's mugshot following his recent criminal charges.

As the post stated, Officer Barwig was in the middle of his lunch when he was called into the WPD jail for assistance.

AFTER 14 FAILED ADOPTIONS, NORTH CAROLINA ‘PUP’ WITH ‘UNLUCKY’ HISTORY GOES VIRAL, FINALLY FINDS A HOME

Upon his return, Barwig's lunch had vanished and Ice was seen leaving the break room while ""licking his chop,"" according to the WPD's post, which was shared on Facebook 11,000 times.

The presumed guilty party, Ice, has garnered quite the following since his story spread across social media platforms.

""The response from the Facebook post was great,"" Chief Brian Zalewski of the WPD told Fox News Digital. ""There was an immediate defense of Ice and calls for the department charges to be dismissed.""

""Although Ice is getting a little gray in the beard and not on everyday patrol, he is still very much a part of our department."" — Chief Brian Zalewski

""Since Ice has been with our police department for so long, he is well known and loved in our community,"" Zalewski added. ""People coming to his defense was immediate.""

VAN GOGH, A ONE-EARED DOG IN DESPERATE NEED OF A NEW HOME, 'PAINTS' HIS WAY TO ADOPTION

Many Facebook users came forward saying they would defend the pup ""pro-bone-o.""

One person commented, ""Sounds like circumstantial evidence. He does not look guilty so thus must be presumed to be innocent.""

NYC DOG TRAPPED IN HOT CAR ENDURES MONTH-LONG RECOVERY, FINDS HOME WITH POLICE OFFICER

Another added, ""I'll be this officer's attorney pro bono if need be. If the teeth don't fit you must acquit.""

On Jan. 18, the department posted an update on Facebook, sharing that they have been ""threatened with massive protests"" if they move forward with the investigation on Ice and/or charges.

CLICK HERE TO GET THE FOX NEWS APP

""Plus the overall public just doesn’t believe he is guilty. No video has been produced,"" the WPD wrote in a caption beneath a photo of Ice and a tray of sandwiches. ""That being said Ofc Ice will not face any internal discipline or criminal charges.""

The post went on, ""The public has spoken. #nochargesforIce.""

Detective Sergeant Kenneth Groat is Ice’s handler. Groat and Ice have been working together for more than 10 years, since Ice was six months old, Zalewski said.

""Although Ice is getting a little gray in the beard and not on everyday patrol, he is still very much a part of our department,"" Zalewski said.

""Ice is extremely well trained and still maintains his K-9 certifications. Ice has assisted dozens of law enforcement agencies over his decade of service,"" he added. ""He was one of the most requested Police K-9’s for drug search warrants, vehicle searches and suspect tracking.""

CLICK HERE TO SIGN UP FOR OUR LIFESTYLE NEWSLETTER

Zalewski said Ice is a ""very well socialized police dog."" He's also calm, loves to be pet and enjoys playing with his toy ball.

Sgt. Groat brings Ice to community events and school-associated activities. ""People love seeing him,"" Zalewski ntoed.",https://www.foxnews.com/lifestyle/michigan-k-9s-mugshot-goes-viral-police-accuse-pup-stealing-officers-lunch,N/A
Aftermath of defund the police movement in spotlight after street racing incident: 'We created these monsters',"A street racing incident in Austin, Texas, over the weekend that left one police officer injured and several patrol cars damaged has reignited the debate over the impact of the defund the police movement.

Street racers took over an intersection at South Lamar Boulevard and Barton Springs Road on Saturday, drifting in the middle of the street and setting off fireworks. An Austin City Council member was reportedly on hold with 911 for 28 minutes after calling about the takeover as the city grapples with a staffing crisis.

Fox News' Will Cain said Monday on ""The Five"" the anarchy that occurred in the city's streets is ""symbolic of what's happening across this nation where bad policies create bad culture, and then you get a bad town.""

""You have the former Mayor Steve Adler. You have this councilman, Greg Cassar, who was part of the 'let's defund it' to the tune of one-third of the police budget,"" he explained. ""Although they tried to refund it one year later, the police left in droves. They haven't been able to rehire to the levels that [are] necessary - this leads to moments like this.""

AUSTIN POLICE, 911 STAFFING LEVELS QUESTIONED AFTER STREET RACERS TAKE OVER MAJOR INTERSECTION, INJURE COP

Cain added that he lived in Austin for three years, but sees the city headed in the same direction as San Francisco.

""It will be lost [but] I hope the entire state can protect itself from turning into California,"" he said.

Co-host Judge Jeanine Pirro argued the young teenagers and adults involved in the incident feel empowered, knowing they won't be held accountable due to soft-on-crime policies.

""They're saying things like, ‘You know, sorry, the police officer got hurt, but he should have stayed in his own lane.' You know, and 'they can't catch us,'"" she said.

""We created these monsters. We have allowed them to get away with it. We, as a society, are allowing anarchy to take over in our streets.""

Pirro added that ""social justice nonsense"" has played a key role in emboldening criminal activity.

CLICK HERE TO GET THE FOX NEWS APP

""You violate the law, you go to jail. It's really as simple as that. We've given them criminal privilege,"" she said. ""They know they've got criminal privilege; they're empowered. And the irony of all of this is that they are playing by the rules. And the rules today are no bail. Well, you're not going to be able to catch us. And even if you do catch us, I'm going to get away with it.""

Fox News' Paul Best contributed to this report",https://www.foxnews.com/media/aftermath-defund-police-movement-spotlight-street-racing-incident-created-monsters,N/A
"Austin, Texas residents 'living in fear' as critics blame street racing chaos on police staffing 'crisis'","Some Austin, Texas residents say they're ""living in fear,"" warning that the city continues to grow in population without enough police officers to handle rising crime.

Austin resident Patricia Potyka and ""Save Austin Now"" co-founder Matt Mackowiak joined ""Fox & Friends First"" Tuesday to discuss how the growing capital city is facing police shortages, leaving residents feeling concerned for their safety. It comes after a video went viral over the weekend showing a chaotic scene in which people engaged in street racing in the city and threw fireworks at police vehicles.

""Crime does not know gender, economic status, age, and it's scary. Everyone that I've spoken with, whether it's at my daughter's school or church, is living in fear,"" said Potyka.

HUNDREDS OF UNINVITED TEXAS TEENS TRASH FAMILY'S HOME DURING ‘MANSION RAGER’ PROMOTED ON SOCIAL MEDIA

She then called out the city council for giving themselves a 30% raise last year after they ""defunded our police department a couple of years ago to the tune of $100 million.""

""Austin is growing, yet the people in power to keep us safe is shrinking.""

Mackowiak said the city is in the midst of ""the most profound police staffing crisis"" in its history.

Mackowiak said the reason the city is facing a ""cascading"" crisis since 2020, down about 350 officers.

""We have something like 230 vacancies and because the council is not passing a mutually negotiated four-year police labor contract, we are at risk of losing another 100 officers here in the next six weeks.""

Mackowiack said the new mayor, Kirk Watson, ran on hiring more police and improving public safety and that cops need a new four-year contract.

Previous Austin mayor, Steve Adler spearheaded the defunding of the city's police department

Potyka said the city has seen 13 homicides as of February 13th.

""Last year, Austin is ranked a C-minus in terms of national crime. You have a one in 24 chance of being a victim of violent crime,"" said Potyka.

Watson condemned the downtown street takeover that injured one officer and left several police vehicles damaged over the weekend, but accused the police union of making ""false comments"" that ""wrongly conflate this illegal incident with important community conversations about safety and oversight.""

Car clubs blocked off multiple intersections throughout Austin on Saturday evening, drifting in the middle of the street and setting off fireworks as large crowds looked on at the chaos.

One Austin Police Department (APD) officer was injured, while several APD vehicles were damaged. A spokesperson for the Travis County Sheriff's Office told Fox News Digital that two of their patrol vehicles also had to be towed from the scene after the windows were busted out.

CLICK HERE TO GET THE FOX NEWS APP

The incident came just days after the Austin City Council ditched a four-year contract with APD that officials had been negotiating for several months.

That contract called for hiring 200 officers by the end of 2024, and another 200 officers by the end of 2025, additions that the city's understaffed force desperately needs. Officers would also get a 14% raise over four years under the contract.

Fox News' Paul Best contributed to this report.",https://www.foxnews.com/media/austin-texas-residents-living-fear-critics-blame-street-racing-chaos-police-staffing-crisis,N/A
Seattle reverses course on defunding police as crime ravages locals: 'A huge crisis',"Seattle residents Victoria Beach, Eli Hoshor and Jonathan Choe said police shortages have left their city in dire straits in the aftermath of officials' anti-law enforcement rhetoric.

Homicides skyrocketed by 24% while motor vehicle thefts climbed by 30% in the city last year. Overall crime ticked up by 4%.

Mayor Bruce Harrell pushed for increased police presence to curb the issue Tuesday, saying, ""We need immediate action and innovation to respond to our public safety issues… Seattle saw a 4% rise in reported crime last year… We need more officers to address our staffing crisis.""

Still, some residents' outlook is less than optimistic.

OPINION: SEATTLE'S CRIME SURGE SPREADS STATEWIDE THANKS TO DEMOCRATS' PROGRESSIVE POLICIES

""Right now, I don't have a lot of hope,"" Beach told Todd Piro Wednesday on ""Fox & Friends First.""

""I think the mayor is on the right track, but Seattle is in a huge crisis. Our city has been destroyed, and we're not going to get it back anytime soon,"" she added.

Beach said she agrees that the city needs more police to help cut back on crime, saying the situation is currently a ""free for all.""

""If you want to commit a crime, move to Seattle,"" she said.

SEATTLE HOMICIDES ROSE PRECIPITOUSLY IN 2020 AS LIBERAL LEADERS DEMANDED POLICE BE DEFUNDED

Piro reported data from Seattle's city's budget office showing funding for law enforcement increased for the first time since a major slash was made in 2020.

Hoshor, another resident, says the uptick is not enough to reduce crime.

""The crime is just getting worse and worse,"" he said. ""There's a homeless encampment that's right next to my son's school that's been there for over a year, and it's doubled and tripled in size.

SEATTLE TIMES COLUMNIST IRKS PROGRESSIVE READERS WITH FOCUS ON SOARING CRIME AFTER GOVERNMENT DEFUNDED POLICE

""It's ridiculous that that's even possible.""

Choe, a reporter from the area, slammed the ""Defund the Police"" movement for being behind the crime rise as well as the ""woke"" activist class who he said are perpetuating the problem.

""[It's] a failed social experiment,"" he told Piro. ""They're still standing by this and doubling down on it…""

He added that seeing how ""Defund the Police"" supporters respond to Harrell's push for more police and the uptick in funding for the department should be ""interesting.""

CLICK HERE TO GET THE FOX NEWS APP

""The mayor laid out the vision and the hope for what he wants going forward, but he's very sparse on details and an exact plan to execute this and what that would actually look like,"" he added.",https://www.foxnews.com/media/seattle-police-defunding-crime-ravages-locals-huge-crisis,N/A
Jason Rantz: 5 reasons why Seattle police are ditching the city,"Cop bashing has become a sport in Seattle -- literally and figuratively. Police face physical assaults from Antifa thugs and other radicals. And the City Council continues its defunding efforts, even as the city reached a 26-year high homicide rate.

It’s precisely why a historic number of police officers have left the Seattle Police Department, with scores more on their way out.

Since 2020, I have exclusively reported that at least 270 officers have separated from the force. That’s almost one-third of the department. Some resigned, others retired, and many have made lateral moves to agencies more supportive of police. There are at least 100 more officers ""unavailable,"" according to an internal HR document. Many are burning their accrued sick and vacation time before leaving the department for good.

Consequently, Seattle is in the middle of a staffing crisis that’s leaving citizens vulnerable. The department has the lowest deployable staff since the 1980s with, at times, precincts at or below staffing minimums. It’s been a long-time coming: the crisis pre-dated the Left’s war on cops that defined 2020. Seattle got a head start, constantly pushing back against police.

EX-TOP COP BRATTON: DEFUND THE POLICE? WE'RE AT THE CENTER OF THE STORM, DOING THE JOBS NO ONE ELSE WANTS

So why are cops finally ditching the department in such huge numbers? Here are the top five reasons.

1. City and state took away essential tools and strategies of policing: Although Seattle saw months-long violence from Antifa and Black Lives Matter radicals, police were the ones reprimanded for supposed violence.

Cops put down dangerous riots, endured a violent insurrection leading to an autonomous zone, and were under physical assault for months. Still, politicians and activists deemed the cops to be the enemy.

The Council unanimously banned tear gas, a non-lethal way for officers to disperse violent crowds without risking injury by entering into them. While a federal judge stepped in to overturn the ban, the Council didn’t relent, promising more reforms where they could. They’ve already removed 911 operations from the police, transferring it to civilian control.

Months later, the Democrat-controlled state legislature went even further, bringing Seattle-style anti-police bills statewide. Thanks to Seattle’s influence at the capitol, their legislation went further than Seattle.

Chokeholds and neck restraints were banned, along with ""no-knock"" warrants, while restricting when an officer can engage in vehicular pursuits. They severely limited the use of tear gas, forcing agencies to seek permission from elected politicians before deployment. And they installed a dizzying and impossible-to-satisfy set of de-escalation criteria to meet before being able to use force legally.

SEATTLE PARENT BLASTS SCHOOL BOARD FOR ‘NOT ADMITTING’ HOMELESS CAMP IS ‘DANGEROUS’

2. Seattle is STILL defunding police: While some cities have seen the errors of their ways, the Seattle City Council continues its defunding efforts. Indeed, the far-Left Council is currently debating how much to cut from the budget after passing a 20% reduction last year.

A recent bill to cut $5.4 million more from the budget failed because, in part, Councilmembers didn’t think it cut enough. It was punishment against the SPD for going over budget. They went over, thanks to overtime pay to make up for the low staff.

The department was in a lose-lose situation. They could have ditched extra staffing during summer 2020 riots or during shifts where they were at or below staffing minimums, which would have put the public at risk, but saved money. They chose public safety, angering the Council.

""This is a funding crisis of the department’s own making,"" socialist councilmember Tammy Morales disingenuously argued.

Now, the police are paying the price.

3. The ‘Silent Majority’ doesn’t speak up: While officers cling to the belief that the ""silent majority"" of Seattlites support the police, it’s loud community activists who smear police whenever they can. And it’s wearing on officers.

""Often times people on the streets will call you derogative names and throw insults,"" one former officer wrote in his exit interview. ""...It is hard sometimes to stay positive when some days it feels like some people of Seattle don’t want you there.""

SEATTLE'S $700M 'WOKE' WATERFRONT MAY BACKFIRE, CRITICS WARN

Making matters worse, Capitol Hill Pride announced they were banning LGBTQ police from attending the Pride rally and march at the end of June. The more mainstream rally, Seattle Pride, is still determining whether or not they will allow police to attend next year’s march (this year’s event is online). The SPD has many gay officers. They were battered by the slight.

""I grew up in a time in a small city where I had to be closeted, where the main group of people said, ‘be seen, don’t be heard. We don’t need to know about it. Keep yourself in the closet, and you can get along with us.’ Well, in essence, that’s what Capitol Hill Pride is doing to us. They just put gay police officers back in the closet,"" 17-year SPD veteran Sergeant Doug Raguso told me on my Seattle-based radio show.

PARENTS OUTRAGED AS SEATTLE ELEMENTARY SCHOOL NEAR HOMELESS ENCAMPMENT FACES BREAK-IN, LOCKDOWNS

4. Politicians don’t support the police: Councilmembers and local politicians were quick to use the death of George Floyd to forward dramatic police reforms. But to tie the tragedy in Minneapolis to the reality in Seattle, local politicians had to create a false and dangerous narrative that would end up ratcheting up the anti-police sentiment.

The worst offender was Socialist councilmember Kshama Sawant, who officers routinelycite for leaving (or wanting to go) the force. She falsely accused police of ""targeted"" shootings against the black community. She forwarded a baseless conspiracy that cops reacting to rioters were possibly ""prepared with instructions to orchestrate violence.""

Concurrently, she was a key cheerleader for the Antifa radicals who created the Capitol Hill Autonomous Zone in an armed insurrection that took over six city blocks in Seattle. Sawant, on CNN, called it an ""incredible movement… this uprising, this rebellion… is incredibly inspiring to the vast majority of American people."" She even helped lead part of the protest that eventually led to CHAZ’s creation.

Sawant is not alone in unfairly targeting police.

Councilmember Teresa Mosqueda defended a protester threatening to murder cops, several councilmembers said they would look to fire only white officers, the Seattle Inspector General asked police to ban most traffic stops inferring racist police pose a threat to black motorists, and an all-staff email from the Department of Finance and Administrative Services implied the SPD was full of white supremacists.

CLICK HERE TO GET THE OPINION NEWSLETTER

The only time a Seattle politician or activist is silent on policing is when an officer comes under physical assault by the mob. Despite months of attacks on officers, including the son of a former Democratic lawmaker hitting an officer in the head with a bat and Antifa sealing a police precinct’s door shut with quick-dry cement while activists tried to set fire to the building, the Council said nothing.

5. There’s a crusade to investigate cops -- even without evidence. The Office of Police Accountability (OPA) is a civilian-led agency that investigates complaints against officers. But it’s overzealous and often abused by activists who are harassing police. Officers complain even frivolous complaints can hound them for months, making it more difficult to get jobs at other agencies.

Four of every 10 SPD employees had a complaint filed against them last year. Indeed, there were over 19,000 complaints filed against police at rallies and riots in 2020. Sounds like Seattle has a police problem, doesn’t it? It doesn’t mean that. It was part of a public strategy by activists to flood the agency with complaints.

Many were either frivolous, duplicates, based on tweets (not actual ""victims"" or even witnesses), or didn’t amount to anything serious. It’s why, out of 19,000, there were only 15 suspensions.

CLICK HERE TO GET THE FOX NEWS APP

What’s worse, the OPA is currently investigating six police officers for attending former President Donald Trump’s speech on January 6. There was never evidence presented that any of the officers violated the law. None of them have been charged with crimes by federal authorities. But their mere presence was enough to trigger an investigation that has been ongoing since January.

According to the Seattle Police Officers Guild president Mike Solan, the six officers have been ordered, under threat of termination, to turn over personal documents from their vacation in D.C., including receipts, itineraries, text messages, and photos. Solan says they were even asked ""political questions.""

CLICK HERE TO READ MORE FROM JASON RANTZ",https://www.foxnews.com/opinion/seattle-police-ditching-city-jason-rantz,N/A
Woke culture has hit our police hard and now it threatens our safety,"NEW You can now listen to Fox News articles!

A survey of 5,935 New York Police Department officers, released last week, found that a startling 56% would not become cops if they had to do it again.

That’s a travesty.

DOZENS OF SAN FRANCISCO AREA STORES, PHARMACIES HIT BY MOBS OF SMASH-AND-GRAB LOOTERS: 'HURTS US ALL'

There’s a certain type of person who is drawn to law enforcement jobs. It is not a glamorous job nor does it pay particularly well for the risks they are asked every day to endure.

But for a long time, the profession was respected. Everyone knew we needed police for a functioning society.

Last year, when the Black Lives Matter protests turned into riots all over the country, police were maligned as the enemy. The foolish idea ""Defund Police"" spread among the left and took up residence among policy makers. The idea sounded like a joke and yet cities across the country made cuts to their police departments in response to activist demands.

'DEFUND THE POLICE' LOSES BIG IN DEMOCRATIC CITIES NATIONWIDE

When the predictable crime spikes arrived, cities tried to back-pedal. But after months of maligning the men and women protecting our streets it wasn’t quite so easy to rebuild.

In Minneapolis, where George Floyd had been killed in May of 2020 by a police officer, the rage against police ran white hot. That December, Minneapolis Mayor Jacob Frey signed a budget cutting $8 million dollars from the police force.

What happened next was obvious. In 2019, Minneapolis had recorded 48 murders. By September of 2021, that number was 67.

DEFUND THE POLICE MOVEMENT STILL HURTING LAW ENFORCEMENT ACROSS THE UNITED STATES

By November, voters rejected a ballot initiative to replace the police department with a Department of Public Safety which would have taken a ""comprehensive public health approach"" to criminal activity.

Rebuilding a demoralized police department won’t be easy. According to the New York Post, in the same study on the NYPD, a ""staggering 80 percent of the officers, detectives, sergeants, lieutenants and captains surveyed now fear aggressively fighting crime because of the threat of criminal liability, being sued, or being unfairly disciplined.""

CLICK HERE TO GET THE OPINION NEWSLETTER

When most of your police department doesn’t want to be there, and a large majority don’t feel they can do their jobs, our cities are in peril. But like so much in woke culture, few will admit what we all know.

We need police to be motivated and empowered in order to have successful cities. The numbers don’t lie: the consistent attack on police has broken the social contract.

We have told police that we don’t need them to defend us and they have heard us loud and clear.

CLICK HERE TO GET THE FOX NEWS APP

Admitting the truth, that we need the police forces to protect us all will take brave politicians on the left.

So far, none have stepped forward to do what they should.

CLICK HERE TO READ MORE FROM KAROL MARKOWICZ

",https://www.foxnews.com/opinion/woke-culture-police-threaten-safety,N/A
I was wrong to criticize Idaho police. Here are 3 things they did to bring Kohberger to justice,"NEW You can now listen to Fox News articles!

I along with too many others were wrong in criticizing the pace of the investigation into the death of the four University of Idaho students.

After having read the affidavit, understand fully the investigative techniques. I recently met with Chief James Fry, Moscow, Idaho Chief of Police, and personally apologized.

IDAHO MURDER SUSPECT: WHO IS BRYAN CHRISTOPHER KOHBERGER?

After over 40 years of experience as a homicide detective, federal agent, and lawyer I should have known better. Law enforcement officers including the Moscow Police Department, Idaho State Police, and the FBI worked tirelessly together and did an outstanding job to bring Bryan Kohberger to justice for the stabbing death of four University of Idaho students. Here are three key things they did:

CLICK HERE TO GET THE OPINION NEWSLETTER

Law enforcement gathered and preserved evidence connecting the dots of some of the evidence with DNA that lead directly to Kohberger. They found video that led to the identification of the car driven by Kohberger. They also developed eyewitness identification of the physical characteristics matching Kohberger from one of the surviving students known in the affidavit as ""D.M."" who came directly in contact with Kohberger.

CLICK HERE TO GET THE FOX NEWS APP

Law enforcement worked quietly and methodically building a case to bring Kohberger to justice, and to ensure a successful prosecution.

I salute the men and women in law enforcement for doing an extraordinary, outstanding job in seeking justice for four students, who I am sure are crying out their gratitude from the grave.

CLICK HERE FOR MORE FROM TED WILLIAMS",https://www.foxnews.com/opinion/wrong-criticize-idaho-police-3-things-bring-kohberger-justice,N/A
"Biden has called to redirect police funding, but stopped short of ‘defund’ embrace","President Trump had a heated moment with “Fox News Sunday” host Chris Wallace during their interview that aired Sunday, when the president claimed that Joe Biden wanted to defund police -- only for Wallace to swiftly interject and say that was not true.

Trump defended his assertions, citing the charter for a partnership between Biden and Sen. Bernie Sanders, I-Vt., known as the Unity Task Force.

But the task force’s recommendations for the Democratic platform do not mention defunding police, and do not talk about abolishing police as Trump also asserted. Further, Biden's campaign has said the presumptive Democratic presidential nominee does not support the ""defund"" movement.

However, Biden has voiced support for shifting some funding away from the police.

When asked during a Now This interview with activist Ady Barkan if he agrees “that we can redirect some of the [police] funding,” Biden responded, “Yes, absolutely.”

Further, the charter in question mentions investing in partnerships with non-police professionals to address certain situations.

CHRIS WALLACE ON TRUMP INTERVIEW: HE TOOK ALL THE QUESTIONS, BIDEN HASN'T FACED THE SAME SCRUTINY

“Democrats will reinvigorate community policing approaches, so officers on the beat better serve the neighborhoods they work in, and make smart investments to incentivize departments to build effective partnerships with social workers and mental health and substance use counselors to help respond to frontline public health challenges,” the document says.

While the recommendations say nothing of defunding police, these goals are similar to some of the stated aims of the defunding movement, which include helping communities through assistance aside from police presence. They call for “[f]ederal funding to create a civilian corps of unarmed first responders such as social workers, EMTs, and trained mental health professionals, who can handle nonviolent emergencies[.]”

The idea of taking some police funding – but not all of it – and redistributing it elsewhere is consistent with the concept put forth by Black Lives Matter Managing Director Kailee Scales.

BIDEN SAYS SOME FUNDING SHOULD 'ABSOLUTELY' BE REDIRECTED FROM POLICE

In a video posted to the organization’s website, Scales explained that defunding police could mean taking just a portion of the money currently going to police and reallocating it to other programs.

“What if we used our tax money to put toward other services like education, like health care, like housing, like employment opportunities?” Scales asked in the video, adding, “In some cities, just by defunding the police by 5 percent would double the budget for public health.”

To be sure, the ""defund"" movement has been complicated by inconsistent messaging. Some advocates argue they're merely calling for cuts. Others want to literally end police funding and departments.

The confusion was made apparent during a June interview Rep. Alexandria Ocasio-Cortez, D-N.Y., did with ABC’s “Good Morning America.”

""When we talk about defunding it can show up in multiple ways,"" she said. First, she said that the purpose of defunding police is so that other programs have the funding they need, but when asked why that money has to come from police, she said that some police departments should not have the “warlike weaponry” that they have.

BIDEN COMES OUT AGAINST DEFUNDING POLICE

Then there are those who go beyond defunding police and call for abolishing police, which Trump also said Biden’s charter supports. This idea too has proven to have different definitions. In Minneapolis, councilmembers have supported abolishing the city’s police department, but at the same time they called for replacing it with a Department of Community Safety and Violence Prevention that could include a Division of Law Enforcement Services, which would be made up of officers who would operate under the supervision of the Department of Community Safety and Violence Prevention.

Essentially, this would not be an elimination of law enforcement officers, but a restructuring of how law enforcement is handled. The Unity Task Force recommendations, which don't go that far, do say that Democrats wish to “reimagine policing for the benefit and safety of the American people.”

But Biden certainly has not backed a full-blown defunding or elimination of police departments, as Trump appeared to suggest.

Meanwhile, a June New York Times opinion piece by activist Mariame Kaba went all the way, declaring, “Yes, We Mean Literally Abolish the Police.” In it, Kaba explains that her desire to redistribute funds does not mean just taking a portion of the police money or still having officers but under a different name.

CLICK HERE TO GET THE FOX NEWS APP

“We don’t want to just close police departments. We want to make them obsolete,” Kaba wrote. She went on to say: “We should redirect the billions that now go to police departments toward providing health care, housing, education and good jobs. If we did this, there would be less need for the police in the first place.”",https://www.foxnews.com/politics/biden-has-called-to-redirect-funding-from-police-but-stopped-short-of-defund-embrace,N/A
Biden says some funding should 'absolutely' be redirected from police,"Joe Biden said in an interview Wednesday that some funding should “absolutely” be redirected from police, amid calls from some in his party to ""defund the police"" in the wake of the protests across the country.

Biden's campaign has said he does not support defunding the police. But in a Now This interview with activist Ady Barkan, the presumptive Democratic nominee said that police forces don’t need surplus military equipment, saying this is what leads them to “become the enemy” in a community.

“But do we agree that we can redirect some of the [police] funding?” Barkan asked Biden.

“Yes, absolutely,” said the former vice president.

Biden went on to call for police reforms.

""One of the things that we also need to be doing is fundamentally changing way we deal with our prison system,"" he said. ""It should be a rehabilitation system, not a punishment system. We’re going to make sure you're qualified for every single right you had before you went to prison if you served your time.""

BIDEN COMES OUT AGAINST DEFUNDING POLICE

In early June, the Biden campaign said that Biden does not believe that police should be defunded.

“As his criminal justice proposal made clear months ago, Vice President Biden does not believe that police should be defunded,” Biden campaign Rapid Response Director Andrew Bates said at the time. “He hears and shares the deep grief and frustration of those calling out for change, and is driven to ensure that justice is done and that we put a stop to this terrible pain.”

Bates added that Biden supports “the urgent need for reform,” which he said includes “funding for public schools, summer programs, and mental health and substance abuse treatment separate from funding for policing — so that officers can focus on the job of policing.”

The Biden campaign has pointed to the former vice president’s criminal justice plan, which proposes an additional $300 million for community policing. Bates said that the funding would “improve relationships between officers and residents” and would “provide the training that is needed to avert tragic, unjustifiable deaths.”

“This funding would also go toward diversifying police departments so that they resemble the communities in which they serve,” Bates added, noting that there is need for “additional funding for body-worn cameras.”

In response to Biden's new comments, Trump 2020 campaign rapid response director Andrew Clark wrote on Twitter it looked like Biden had “changed his position” on defunding police, adding a clip from the Now This interview.

But Biden's campaign denied it signaled a change in his position.

“I'd like to thank Donald Trump - for hiring an illiterate comms staff. Biden is running on *more* COPS funding for community policing,” Bates, Biden’s director of rapid response, shot back. “The same sentiment you're taking out of context RE: local budgets is *in* the articles about him opposing defunding.”

Biden in the interview also said he believes it is the job of the federal government to ""go in"" and ""systemically change what's going on.""

He specifically called for banning no-knock warrants and improving police transparency.

""This whole idea of no-knock warrants in drug cases is bizarre, it just invites trouble,"" Biden said. ""There's a fundamental need for transparency and access to police records when they have misconduct charges against them.

Fox News' Brooke Singman contributed to this report.",https://www.foxnews.com/politics/biden-says-some-funding-should-absolutely-be-redirected-from-police,N/A
DC police chief gets passionate in crime meeting: 'Something going on within the culture of our young people',"Washington, D.C. Mayor Muriel Bowser held a meeting with neighborhood leaders Saturday to discuss government plans to combat the rapidly rising crime rate.

Appearing alongside Bowser was Metropolitan Police Chief Robert Contee, who spoke about the influence and dangers of modern youth culture.

DC COUNCIL SOFTENS PENALTIES FOR VIOLENT CRIMES BY OVERRIDING MAYOR'S VETO OF CRIMINAL CODE REWRITE

""It's showing up in schools. Ask the principals. They'll tell you,"" Contee said. ""They're scared. Parents are scared. Everybody in this room is feeling this.""

Contee went on to decry the alarming rise of robbery and other violent charges as first offenses among youth.

WASHINGTON DC MAN WHO HELPED PASS CRIMINAL CDE OVERHAUL SHOT AND KILLED

""Their first offense, their first introduction to the criminal justice system — 100 young people for robbery,"" the chief of police lamented. ""I looked at a video about two days ago at a charter school, where three young people took another person's shoes off them — while they're in school — and put the shoes in a trash can while somebody else recorded it.""

Contee could not place a concrete, overarching influence driving young people toward crime at such alarming rate, but he warned that something sinister is creeping into youth culture.

CLICK HERE TO GET THE FOX NEWS APP

""Something going on in within the culture of our young people,"" he added. ""When you look at the juvenile gunshot wound victims. . . . That number every year — 2019, 2020, 2022, that number continues to go up.""",https://www.foxnews.com/politics/dc-police-chief-gets-passionate-crime-meeting-something-going-on-culture-oung-people,N/A
