title,text,url,published_time
"Jennifer Lopez, Alex Rodriguez spotted kissing in Dominican Republic after split rumors","Jennifer Lopez and Alex Rodriguez appear to have snuffed rumors of a split.

Last week, reports indicated that the 51-year-old multihyphenate and former baseball pro, 45, had ended their engagement after several years together.

Not long after, the two offered a statement to Fox News that said, ""All the reports are inaccurate.""

""We are working through some things,"" the statement continued.

JENNIFER LOPEZ, ALEX RODRIGUEZ REUNITE IN THE DOMINICAN REPUBLIC: REPORT

Just days ago, it was reported that Rodriguez had flown to the Dominican Republic, where Lopez is currently filming a movie.

In photos obtained by Daily Mail, the pair could be seen sharing a smooch outdoors while the actress lounged in a white bathrobe.

In other photos, Lopez appears to happily greet Rodriguez upon his arrival and even wraps her arm around him as he kneels down to her level.

A source also recently told People magazine that Lopez ""was excited to see"" Rodriguez ""in person"" ahead of their DR reunion.

""They are really trying to figure things out,"" the source added. ""It was a happy reunion.""

JENNIFER LOPEZ, ALEX RODRIGUEZ'S KIDS WERE DEVASTATED BY SPLIT CLAIMS, REMAIN PRIORITY AMID REUNION: REPORT

On Monday, Rodriguez wrote on his Instagram Story, ""New week. New day. Onward. Upward,"" as he panned a tropical landscape and tagged Lopez.

A source further claimed to Fox News that, while reports of their breakup were premature, the two have recently run into some issues.

""Nothing was concrete. They hit a rough patch but are working through it,"" the source said.

An initial report from Page Six claimed Lopez was busy in the Dominican Republic filming a movie while Rodriguez is ""in Miami getting ready for baseball season.""

CLICK HERE TO GET THE FOX NEWS APP

Recent reports also pointed to previous rumors stemming from earlier this year regarding an alleged romance between Rodriguez and ""Southern Charm"" star Madison LeCroy. Multiple sources indicated at the time that there was no connection between the two, however.

CLICK HERE TO SIGN UP FOR OUR ENTERTAINMENT NEWSLETTER

A source claimed to Fox News on Saturday that a third party ""did not contribute"" to the couple's recent troubles.

""Jennifer and Alex have much bigger things -- like businesses and their [respective] kids -- to worry about,"" the source claimed.

Fox News' Jessica Napoli and Melissa Roberto contributed to this report",https://www.foxnews.com/entertainment/jennifer-lopez-alex-rodriguez-spotted-kissing-in-dominican-republic-after-split-rumros,N/A
'The Bachelor' star Melissa Rycroft falls sick during vacation in Dominican Republic,"TV personality Melissa Rycroft has been ill since recently returning home from the Dominican Republic.

Sources told Page Six the former “Dancing With the Stars” and “The Bachelor” star has been battling a mysterious bug after vacationing with her family on the island that has been making headlines for sick visitors (some deathly so) in recent weeks.

A source described Rycroft as “really sick,” but while pals have been worried and buzzing about the former Dallas Cowboys cheerleader’s health, she seems to be taking it in stride and isn’t worried.

An insider told us she was at the Nickelodeon Resort in Punta Cana with her family and then fell ill.

TOURIST CLAIMS FLIGHT HOME FROM DOMINICAN REPUBLIC WAS FULL OF SICK PASSENGERS

Rycroft elaborated via a rep that she “has had major stomach issues since returning from the Dominican Republic.”

“She got an upset stomach on the second day of vacation, but it passed. Once they came home, she got severe cramping,” the rep said. “It has lasted for over a week, and she’s currently getting tested for possible parasites and any other infections. She’s assuming it’s something foodborne, but no one else in her family is ill.”

On Tuesday, Tracy McCraw, of Madison, Miss., told The Post that she was on a flight full of sick passengers on her way home from Punta Cana.

GET THE FOX NEWS APP

“It wasn’t like you usually go on a plane and you’re leaving and see other people sick on the plane. There was one lady next to me who was all bundled up, and I could tell she was sick. It was obvious.”

To continue reading on The New York Post, click here.",https://www.foxnews.com/entertainment/melissa-rycroft-falls-sick-during-vacation-dominican-republic,N/A
Reality star Melissa Rycroft says her parents thought she died after Dominican Republic vacation,"Melissa Rycroft is finally feeling better after a recent health scare following a family vacation to the Dominican Republic.

The former ""Bachelor"" star, 36, revealed she was suffering from severe cramping and stomach pain after she returned home while her husband and three children weren't affected.

“There was one report that was out that I was dead,” Rycroft told Entertainment Tonight. “My parents were frantically calling me that morning going, ‘We are getting people calling with their condolences.’ Like, ‘Mom, I'm on the phone with you. I'm in my bed.”

FLIGHTS TO DOMINICAN REPUBLIC DOWN 74 PERCENT FOLLOWING SPATE OF MYSTERIOUS DEATHS, STUDY CLAIMS

""I was never under the care of a nurse. I was never dying, I don't think. I felt like it a few times but I was never dying,"" she added.

Rycroft's rep confirmed to ET that she was being tested for parasites and any other infections, thinking it was possibly food related.

REALITY STAR MELISSA RYCROFT'S DOMINICAN REPUBLIC ILLNESS BEING INVESTIGATED BY NICKELODEON RESORT

On June 19, she updated her fans about her condition saying there was still no diagnosis but is on ""new meds"" that ""are making me feel so much better!!!”

""Wanted to thank everyone for their thoughts and prayers lately! I am happy to say that I am back to normal,"" she wrote on social media.

COLORADO MAN VISITING DOMINICAN REPUBLIC DIES, RELATIVES SAY THEIR QUESTIONS TO AUTHORITIES GOING UNANSWERED

The hotel where Rycroft stayed, the Nickelodeon Hotel & Resort in Punta Cana, announced it's launching an investigation into what caused her illness. A representative for the resort told TMZ that they're in contact with the reality TV star and have hired an outside firm to look into the establishment's cleaning and sanitary practices.

The staff is taking ""all possible measures to ensure a safe and healthy vacation environment, exceeding preventative measures and enforcing strict sanitation protocols,"" the hotel rep added.

REALITY STAR MELISSA RYCROFT'S DOMINICAN REPUBLIC ILLNESS BEING INVESTIGATED BY NICKELODEON RESORT

According to Vox, at least 10 known Americans have died after vacationing in the Dominican Republic within the past year.

""Shark Tank"" star Barbara Corcoran revealed her brother died while on vacation in the Dominican Republic in late April but he had a pre-existing heart condition and ""died of natural causes,"" according to Corcoran.",https://www.foxnews.com/entertainment/melissa-rycroft-parents-thought-she-died-dominican-republic-vacation,N/A
Shania Twain releases new song 'Waking Up Dreaming' under Republic Nashville record label,"Shania Twain has put out her new song, ""Waking Up Dreaming;"" the country sensations first new song in five years, and she has changed things up. She released her new song under a brand-new label, Republic Nashville, where she is the debut artist.

Twain previously released music under Mercury Records/UMG Nashville before her switch to Republic Nashville, which falls under Republic Records.

""Shania is one of the most influential and impactful artists of this generation,"" Republic Records co-founder and CEO Monte Lipman said about the country superstar. ""She's a rare talent whose legacy continues to resonate throughout the world. We feel a tremendous amount of gratitude to support her new body of work, which is spectacular.""

SHANIA TWAIN DETAILS HOW LYME DISEASE AFFECTED HER CAREER: ‘I THOUGHT I’D LOST MY VOICE FOREVER'

She announced the release of her song on Instagram with a lengthy caption and a photo of a topless Twain wearing flashy pink cowboy boots and hat.

""Every time I get to announce something like this I get such a rush of adrenaline and nerves-it never gets old…"" Twain wrote in her Instagram post. ""I am super excited to share with you that my new song ‘Waking Up Dreaming’ is coming out this Friday!!

""I've spent the last couple years working away on new music…on my documentary…on the Vegas residency and it's been such a creatively fulfilling time for me, I can't wait for this next chapiter and ‘Waking Up Dreaming’ is just the start,"" the singer continued.

SHANIA TWAIN SAYS SHE'S ‘BORED’ OF COUNTRY MUSIC, WANTS MORE FEMALE REPRESENTATION

Twain also released a music video along with the upbeat new track.

Even though Twain has not released any new music since 2017 when she put out her album ""Now,"" she has been working on various other projects in the meantime. In July 2022, her Netflix documentary ""Not Just A Girl"" started streaming on the platform.

DOWNLOAD THE FOX NEWS MOBILE APP TODAY

Twain also has had her Las Vegas residency, ""Shania Twain ‘Let’s Go!"" at Zappos Theater at Planet Hollywood Resort & Casino since December 2019, where she performs her mega hits like ""Man! I Feel Like A Woman!"" and ""You're Still The One.""",https://www.foxnews.com/entertainment/shania-twain-releases-new-song-waking-dreaming-republic-nashville-record-label,N/A
Dominican Republic doctor helps impoverished community he grew up in: 'God answered my prayers',"Today, Dr. Jose Frank Piña, 30, has a wife and a daughter in his native Dominican Republic. He is a medical missionary who shares medical advice every Saturday on television.

But when he was growing up in an impoverished community, none of this seemed possible.

Piña grew up in the city of San Juan, in a home that had just two rooms, sharing a bed with two siblings, in an area ravaged by gang violence and frequent flooding.

MORE GOOD NEWS: FIVE FEEL-GOOD STORIES FROM THIS WEEK YOU DON'T WANT TO MISS

At 4 years old, he was registered in a local church's Compassion International, a Christian sponsor program center where he received medical care, nutrition and vocational courses like English and computers.

""When I was a child living in a dangerous environment where gangs used to fight with machetes and guns, the letters from my sponsors helped me see a different reality of the world,"" Piña told Fox News. ""We saw hope.""

He added: ""I thank God for Compassion because being a kid in poverty, you can't have dreams or sometimes you have dreams but you can't make them come true because of the needs you have. They gave me the opportunity to dream and make those dreams come true.""

Speaking to Fox News from the hospital where he works now, Piña shared how he is helping others in his community break the cycle of poverty.

INDONESIA GIRL BULLIED FOR RARE CONDITION FINDS JOY IN JESUS: ‘I AM BEAUTIFUL’

""I am trying to help others, not only to restore their physical health but to restore their spiritual health and help restore their relationship with God,"" he said.

It was through Compassion that he met his wife, Yaneli, also a doctor. The two met in high school and they got to know each other better during a Compassion trip.

Today they work as medical missionaries helping different communities in the area through their church, called ""Jehova Fuerte y Valiente.""

THAI BOY RESCUED FROM CAVE RECOUNTS HARROWING ORDEAL ONE YEAR LATER: ‘GOD ANSWERED ME’

But his favorite role of all, in helping change his community for the better, is that of a father.

“Compassion gave me the best things I’ve ever had. They gave me love, hope and the opportunity to dream and overcome,” he told the organization. “Because of Compassion, I met the most beautiful woman on the planet, my wife, and now I am enjoying the fruit of our love: our daughter, Sofia Arlette.”

CHRISTIAN ORGANIZATION MAKES ONE CHANGE TO CHILD SPONSORSHIP 'NEVER DONE BEFORE' TO EMPOWER KIDS

Holding his 10-month-old reminds him of the incredible changes he's experienced in his life.

""For me, for my family, for my little daughter, it's something I can't describe because I know it's not something my daughter has to live,"" he said.

And it's all coming full circle now, as the family is preparing to sponsor their first child through Compassion, the program that helped lift him out of poverty and connect wirh his now-wife.

CLICK HERE FOR THE ALL-NEW FOXBUSINESS.COM

""God is going to impact more lives through Compassion,"" he said. ""Me and my wife are planning to sponsor a girl in Haiti ... We are close to her so we can go and meet with her many times and show her love, so we are trying to do that.""",https://www.foxnews.com/faith-values/god-doctor-compassion-helps-community,N/A
Dominican Republic confirms 1st coronavirus case cruise denied entry,"Health officials in the Dominican Republic on Sunday reported the first confirmed case of the new coronavirus in the tourist-rich Caribbean, a 62-year-old Italian citizen.

Public Health Minister Rafael Sánchez Cárdenas said the man had arrived in the country on Feb. 22 without showing symptoms. He was being treated in isolation at a military hospital and “has not shown serious complications.”

The announcement came shortly before the Braemar cruise ship that had been denied entry to the Dominican Republic due to the virus fears apparently at last found a place to dock — the Dutch territory of St. Maarten.

CLICK FOR COMPLETE CORONAVIRUS COVERAGE

Fred. Olsen Cruise Lines said at least some of the passengers would be flown to Britain aboard chartered airliners. Other passengers, who had been scheduled to board the vessel on Friday in the Dominican Republic, were being flown to St. Maarten to embark there.

Dominican officials had barred the ship due to reports that a few of those aboard had a flu-like illness, but the cruise line said none had symptoms consistent with the new virus.

It was one of at least three cruise ships turned away from Caribbean ports over the past week due to concerns over possible viral infections, though no passengers on any of the ships has been confirmed to have the disease.

CLICK HERE TO GET THE FOX NEWS APP

The broader Latin America region has reported several other cases of the COVID-19 illness since midweek. Mexico has reported four cases, Brazil two and Ecuador one, all involving people who had traveled recently to Europe.",https://www.foxnews.com/health/dominican-republic-confirms-1st-coronavirus-case-cruise-ship-denied-entry,N/A
What to know about pesticide poisoning in wake of Dominican Republic lawsuit,"Last year, Kaylynn Knull and Tom Schwander were enjoying a relaxing vacation in the Dominican Republic when the couple started experiencing alarming symptoms. Now the two have filed a $1 million lawsuit against the resort called The Grand Bahia Principe La Romana.

The couple is seeking restoration for their experiences in the wake of 3 more American deaths that occurred there that same week.

TOXICOLOGIST SAYS A COLORLESS, ODORLESS 'INTOXICANT' COULD BE CAUSE OF DOMINICAN REPUBLIC DEATHS

According to The Sun, Knull and Schwander woke up one morning after several days at the resort, suffering from dizziness, blurred vision, drooling and stomach cramps among other symptoms.

After flying home, doctors suspected pesticide poisoning, specifically from organophosphates. That diagnosis aligned with many of their symptoms.

Knull now wonders if chemicals sprayed on plants outside the resort’s rooms were to blame, reports The Sun in an interview with the couple. Knull and Schwander wanted the resort to state the name of the chemicals used in its gardening. The two filed a lawsuit after the resort refused.

Unfortunately, last year’s cases aren’t the only episodes of tourist illness in the Dominican Republic. Investigations are ongoing for 11 recent deaths. The FBI and CDC are also investigating.

The cause of these deaths are still unknown. But media and the tourists involved speculate they could be related to harmful pesticides, spiked alcohol or tainted food.

The Problem of Pesticide Poisoning

In the United States, pesticide poisoning often happens to residents and workers around farming regions. However, the World Health Organization recognizes that poisoning does occur more often in developing countries.

DAUGHTER OF ARMY VET WHO DIED AT DOMINICAN RESORT: FUNERAL HOME 'PRESSURED' ME TO MAKE A DECISION ABOUT MY FATHER'S REMAINS

Studies in Central American countries like El Salvador and Nicaragua have shown poisonings to occur twice as much in the general population as in America’s agricultural population. That amounts to 35 cases per 100,000 versus the United States’ 18 cases in the farming community, states WHO.

However, it’s difficult to pinpoint an exact number because of lack of surveillance, long-term side effects, and inconsistent study methods.

Since millions of U.S. tourists visit areas like the Dominican Republic every year, this situation could truly happen to anyone. According to The Sun, 2.7 million Americans visit the resort where Knull and Schwander stayed last June.

Signs of Pesticide Poisoning

The big takeaway is that Americans should understand pesticide poisoning and take precautions against it, especially when traveling out of the country.

Pesticides can fall into several different categories. Those include organophosphates, carbamates, and pyrethrins or pryethroids, the last of which are considered natural pesticides.

Common symptoms you should watch for:

Abdominal cramping

Blurred vision

Chest tightness

Diarrhea or incontinence

Dizziness

Drooling

Eye irritation or tearing

Fluid-filled lungs

Headache

Muscle weakness or lack of coordination

Nausea

Seizures

Sensitivity to light or sound

Shortness of breath

Slow or irregular heartbeat

Slurred speech

Sweating

Tingling or numbness

Vomiting

If you experience any of the above symptoms after traveling to agricultural or international regions, you should seek medical help immediately.

What to Expect with Pesticide Poisoning Treatment

If you suspect pesticide poisoning, you should get medical help for even mild symptoms like headache or dizziness. Pesticide poisoning can have long-term effects that your doctor might help to improve.

For more serious cases, your doctor might prescribe medications to help with symptoms and an IV to hydrate and clear your body of toxins.

CLICK HERE TO GET THE FOX NEWS APP

Because poisoning symptoms can escalate quickly, you should contact emergency help if you suspect a high level of exposure.

Bottom Line

Pesticide poisoning happens in the US and even more often in developing countries where pesticides are less regulated. In the midst of planning your exciting international vacation, watch for concerning news reports beforehand and stay on guard for poisoning symptoms while you’re abroad.",https://www.foxnews.com/health/pesticide-poisoning-dominican-republic-lawsuit,N/A
Banana Republic customers threaten to boycott after discounted orders are canceled,"More than a few Banana Republic shoppers are angry with the retailer after the store failed to honor a $50-off promotion on Tuesday morning.

According to a shopper who spoke with Fox News, the coupon site Dan’s Deals posted a Banana Republic promotional code promising “$50 off $50 at Banana Republic” by using the code BRSHOP at checkout. It effectively allowed shoppers to order anything — even items that only amounted to $50.01 — for $50 off.

ANTHROPOLOGIE ACCIDENTALLY LISTS $8,000 COUCH FOR FREE, CANCELS ALL ORDERS

Commenters on Dan’s Deals soon confirmed the news, with one alleging that he/she ordered a pair of $58 velvet slippers for just $7 after pairing the promo code with her GapCard discount. Another said he/she got shirts, a belt and a merino wool sweater totally free — and shipped free, too — thanks to the deal.

By 9:45 a.m. on Tuesday, however, the site reported that the deal was “dead,” and more than a few Banana Republic shoppers were informed via email that their orders were canceled, with no explanation given.

“I just got an email that my order has been canceled,” wrote one Dan’s Deals user.

“My order was canceled, said another. “I called them and was told that it was a mistake [and] you needed a $200 order to get the $50 off.”

The shopper who spoke with Fox News added that she tried to re-order her items after her order was canceled, but that BRSHOP coupon code no longer worked.

WOMAN SUES WALMART OVER BEAUTY PRODUCT PLACEMENT

Angry customers took to Twitter to vent their frustrations with the retailer, with some adding that they no longer planned on giving Banana Republic their business.

It’s currently unclear if Banana Republic canceled all orders placed with the coupon code. A representative for the company was not immediately available to comment.

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

Banana Republic isn’t the first major retailer to cancel orders after an errant online deal was embraced by shoppers. In Sept. 2017, Anthropologie accidentally listed a nearly $8,000 couch for $0 plus shipping, and later canceled all orders, blaming the mistake on a “glitch.”",https://www.foxnews.com/lifestyle/banana-republic-customers-threaten-to-boycott-after-discounted-orders-are-canceled,N/A
"Banana Republic manager said employee’s braids were too ‘urban’ and ‘unkempt’ for store’s image, woman claims","A Banana Republic employee from New York is claiming she was “humiliated and degraded” by a manager who said her hair was too inappropriate for the workplace.

Destiny Tompkins, 19, took to Facebook last week to recount the incident, which took place after a district manager came to visit her Banana Republic location in White Plains, N.Y.

MOM'S PICS SHOW WHY DAUGHTER STRUGGLES TO ADHERE TO SCHOOL DRESS CODE

“So today I went into work at Banana Republic at the Westchester Mall and after the district manager (a white woman) popped in for a visit, I was told to go to the office to speak with my manager,” wrote Tompkins in a Facebook post on Wednesday evening.

She then explained that she expected her store manager, a white man named Michael, to tell her something was wrong with her outfit. But instead, he began questioning her about her box-braid hairstyle, she says.

“He told me that my braids were not Banana Republic appropriate and that they were too ‘urban’ and ‘unkempt’ for their image,” wrote Tompkins, adding that Michael told her he couldn’t allow her to work until she changed her hairstyle.

Tompkins tried to explain how the braids keep her hair from drying out, but she alleges that Michael simply recommended she start using shea butter, and sent her back out to the floor.

“I have never been so humiliated and degraded in my life by a white person,” Tompkins wrote. “In that moment, I felt so uncomfortable and overwhelmed that I didn’t even finish my work shift and ended up leaving.”

MALE STUDENTS WEAR OVER-THE-SHOULDER TOPS TO PROTEST SCHOOL DRESS CODE

“Box braids are not a matter of unprofessionalism, they are protective styles black women have used for their hair and to be discriminated against because of it is truly disgusting and unacceptable,” she added. “Make this public bc [the people at Banana Republic] need to be exposed for their blatant racism and discrimination. There’s no reason why a white person should feel allowed to tell me that I can’t wear my hair the way that I want bc it’s too black for their store image.”

Tompkins’ post has since been shared more than 51,000 times. She’s also been praised by supporters, one of whom suggested Tompkins take action against the company.

Tompkins’ mother, Jess Fig, later thanked the supporters in her own Facebook post.

On Friday, New York's WABC obtained a statement from Banana Republic, who wrote that they plan to investigate.

""We are committed to upholding an inclusive environment where our customers and our employees feel respected,"" the company wrote.

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

Destiny also appeared on WABC to discuss the matter further, and stated that it was the district manager who told Michael to talk to her about the braids. The station also said that Tompkins and her mother are pursuing legal action.

A representative for Banana Republic was not immediately available for further comment.",https://www.foxnews.com/lifestyle/banana-republic-manager-said-employees-braids-were-too-urban-and-unkempt-for-stores-image-woman-claims,N/A
Connecticut woman delivers baby on flight to Dominican Republic: What pregnant travelers should know,"A woman from Connecticut who gave birth on a flight to the Dominican Republic in September has returned to U.S. earlier this month after getting an emergency passport for her newborn.

Kendria Rhoden of Hartford delivered her son Skylen on an American Airlines flight, according to a series of viral TikTok videos her sister, Kendalee Rhoden, posted, which have garnered millions of views.

Kendria Rhoden and her child were able to board a return flight home in early October, according to the TikTok videos posted.

BABY NAMES THAT ARE REPORTEDLY BANNED IN AMERICA: WHAT TO KNOW

""On Sept. 8, American Airlines flight 2443 from New York (JFK) to Punta Cana (PUJ) declared an emergency before landing due to a medical emergency on board,"" an American Airlines representative wrote to Fox News Digital in an email.

""First responders met the flight upon landing and the customer was taken to a local hospital for further evaluation. We thank our team members and medical professionals on board for their professionalism and quick action,"" the airline rep continued.

Rhoden and her sister shared TikTok videos of Skylen’s red emergency passport and both videos have drawn questions from curious social media users who want to know what it’s like to give birth while traveling internationally.

Fox News Digital reached out to Rhoden for comment. It's unclear as to how far along she was in her pregnancy.

Here’s what pregnant women should know before making long-distance travel plans and what needs to be done if, by chance, they give birth in the sky, in international waters or in a foreign country.

What to know about emergency passports and other documents?

New mothers who give birth on a plane or boat while traveling internationally have to report the birth to the U.S. embassy or consulate in the country of their arrival, according to Dr. Jessica Madden, medical director at Aeroflow Breastpumps, a breast pump distributor based in Asheville, North Carolina.

Embassies and consulates will issue a Consular Record of Birth Abroad (CRBA) form, which will need to be filled out to prove a newborn’s citizenship status.

""As long as you are a U.S. citizen, your baby will also be a U.S. citizen, no matter where he or she is born,"" Madden said. ""Certain countries will offer dual citizenship if the plane was flying over their country when you gave birth, but others will not.""

UKRAINE, A LEADING SURROGACY DESTINATION, IS CAUGHT AMID WAR: WHAT TO KNOW

CBRAs take approximately 15 business days to process, according to the U.S. Embassy & Consulate government website.

Passports are required for international travel and reentering the country.

The U.S. Department of State’s Bureau of Consular Affairs handles emergency passport processing, including life-or-death emergency appointments that require international travel within three days and urgent travel appointments that require international travel within 14 days.

""Newborns who are born abroad do need to have an emergency U.S. passport issued to be able to enter the U.S., unless they are born on a cruise that both leaves from and returns to the U.S. [in a] closed loop,"" Madden said.

WOMAN GIVES BIRTH ON 11-HOUR UNITED AIRLINES FLIGHT

CBRAs and emergency passport applications for newborns are usually processed at the same time, according to Madden.

She noted that newborns must be present during these document appointments, which is a requirement that could delay the process if a baby isn’t quickly discharged from a hospital.

""There is a potential that your stay might need to be extended by several weeks,"" Madden warned.

Madden noted that expecting mothers who need to travel internationally during their third trimester should check obstetric care terms with their health insurer to see if a birth abroad will be covered.

Pregnancy complications associated with preterm birth - Pre-eclampsia - Gestational diabetes - Cervical incompetence

""I recommend having a copy of your pregnancy medical record readily available. This is important information to have with you if you give birth in a foreign country,"" Madden said. ""You should try to plan ahead of time where you will seek medical treatment if you go into labor or develop an unforeseen pregnancy complication.""

FLORIDA WOMAN, 8 MONTHS PREGNANT, POLESPEARS FISH FOR POTENTIAL WORLD RECORD CATCH

Women who have pregnancy complications that are associated with a higher risk of preterm birth should avoid traveling internationally during the entire third trimester, according to Madden.

What are the logistics of traveling while pregnant?

Airlines and cruise lines have a ""no-travel deadline for pregnant passengers,"" according to Sandra McLemore, a travel industry expert and television host with 22 years of experience, who currently contributes to Travel Marketing and Media, a California-based travel business firm.

""Within the airline industry, it can vary between domestic airlines and international airlines,"" McLemore told Fox News Digital.

""If, for example, you were flying to Europe for your babymoon, you'd need to check each airline. Getting across the pond and then being denied boarding to your next destination would be terrible,"" she continued.

Cruise lines, on the other hand, are known to adjust their own rules depending on the itinerary, according to McLemore.

""The risks are higher when a ship has a significant number of sea days away from land,"" she said. ""Typically, you'll see earlier pregnancy deadlines on transatlantic or transpacific routes.""

CAN YOU TAKE PRENATAL VITAMINS WHEN YOU'RE NOT PREGNANT?

McLemore said pregnant women should follow the advice an obstetrician gives before making travel plans.

Doctors may approve of short trips or outright advise against travel (domestically and internationally), especially when mothers are in a later stage of pregnancy, McLemore noted.

""At the end of the day, a healthy baby and healthy mother are the focus,"" she said.

If travel while pregnant can’t be avoided for whatever reason, McLemore said expecting mothers should consult a travel insurance company – provided that they have one.

BABY FORMULA SHORTAGE: WHICH FOODS AND TECHNIQUES BOOST BREAST MILK PRODUCTION?

""Most travel insurance policies do not cover any form of pregnancy complications, which means that if you require medical treatment or repatriation, you could be hundreds of thousands of dollars out of pocket,"" McLemore warned.

What do doctors want pregnant women to know about travel?

The ""best time to travel during pregnancy"" is between 14 and 28 weeks, according to the American College of Obstetricians and Gynecologists (ACOG), a Washington, D.C.-based professional association of obstetric physicians.

The group notes that ""mid-pregnancy"" is the best time for expecting mothers to travel because morning sickness and energy levels generally improve.

""You are still able to get around easily,"" the group wrote in a travel information guide. ""After 28 weeks, it may be harder to move around or sit for a long time.""

CAN YOU TAKE PRENATAL VITAMINS WHEN YOU'RE NOT PREGNANT?

The ACOG urges pregnant women to consult their obstetrician before travel and to be wary of travel if they’re experiencing pregnancy complications.

Why are air and sea travel a concern?

Dr. Kellie Lease Stecher, an obstetrician at Minnesota Women's Care, a healthcare center in Maplewood, Minnesota, said each pregnancy is unique and therefore recommendations can vary when it comes down to travel.

""If an individual is in their first trimester, but [they're] having bleeding concerns, it would be best to stay home. However, patients can travel internationally until 32 weeks,"" Stecher told Fox News Digital.

WOMAN GIVES BIRTH ON FRONTIER AIRLINES FLIGHT, GIVES DAUGHTER FITTING NAME

Some airlines require letters from a physician before they allow pregnant women board, Stecher noted.

""The concern about planes or cruises, is the inability to easily get off and go to a hospital,"" she explained, ""If you’re in the air and have an emergency, there are limited tools at your disposal.""

Stecher doesn’t recommend international travel for expecting mothers who are nearing term.

If travel can’t be avoided, she suggests mothers-to-be contact the country they’re visiting to ""see what they do legally.""

CLICK HERE TO GET THE FOX NEWS APP

Having the information ready can help to make a backup or emergency birthing plan.

What are the risks of traveling while pregnant?

Dr. Wendy Goodall McDonald, an obstetrician-gynecologist at Women's Health Consulting, a healthcare center in Chicago, said she advises ""low-risk"" patients to avoid international travel in their third trimester and ""high-risk"" patients to stop traveling earlier than that.

""If there is a complication, not only is the pregnant person subject to whatever health system is present where they are, but if the baby were to be born early, they now have a preterm newborn who has to remain in that health system until they are old enough to be discharged, which could be months,"" Goodall McDonald told Fox News Digital.

""The same is true earlier than the third trimester, but statistically, complications are less likely to occur in the second trimester or earlier,"" she added.

FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS

Traveling for extended periods – four hours or more – with restricted movement while pregnant also puts women at risk of developing a blood clot, or deep vein thrombosis (DVT), which can be life-threatening, according to Goodall McDonald.

She said expecting mothers should ""get up and move every two to four hours"" to lower their chance of developing blood clots.

""Cruises often have medical personnel present, but there may be limitations to where further care will occur if needed,"" Goodall McDonald said. ""Air travel will allow a person to get to a destination faster than a car or bus in the event that acute care is needed, but if driving or riding a train or bus is the only option, the pregnant person should be aware of what hospitals or health systems are along their route if needed.""

CLICK HERE TO SIGN UP FOR OUR LIFESTYLE NEWSLETTER

Goodall McDonald also noted that with domestic travel, ""hospital transfers and family visitation may be more possible"" based on where the pregnant woman is.",https://www.foxnews.com/lifestyle/connecticut-woman-delivers-baby-flight-dominican-republic-what-pregnant-travelers-should-know,N/A
