title,text,url,published_time
An Open Call for Commentary on China - The American Spectator,"I’ve always had a fascination with the interaction between the U.S. and Chinese economies, but my understanding has its limits. As I read article after article commenting on how perilously perched on the Chinese our economy has become, I can’t help but wonder, isn’t that the point of free markets? To encounter this sort of danger?

But then again, isn’t this threat the result of a state-controlled currency (to use a Ron Paul-ism, unsound money)? But doesn’t this risk allow us to reach greater economic heights?

I have little understanding of economics, but those in the know, please fill my comment thread. I’ll salvage the thoughtful and insightful comments for readers.",https://spectator.org/11994_open-call-commentary-china/,2008-01-28
Re: China Commentary - The American Spectator,"Here’s some unconventional wisdom, J.P. The way I see it, the free market bargain falls apart — stops being rational — if the Chinese are able to liberalize their markets strongly enough to fully participate in the international market without liberalizing their politics. The best way to do this, in my analysis, is to delink social policy from political policy.

How? China can grow progressively more ‘permissive’ when it comes to ‘personal freedoms’ by transfering the goods of that permissiveness away from the incentive structure of a liberal political system and into the incentive structure of a liberal economic system. If they succeed — and I strongly suggest that they’ve started to already — the Chinese will change the rational calculus that goes into the market theory of liberalization. Why trade with partners that will remain political opponents indefinitely? Why invest trust and risk into a trade regime they dominate? China will also be able to take away the use of markets as an American pressure point on domestic political liberty (democratization, Tibet, human rights).

None of this augurs particularly well for the US, but it all hinges on the ability of China to become what I’ve called elsewhere a pink police state — a politically despotic regime that grants its subjects broader and deeper access to pleasure-related economic and social goods in exchange for letting its absolute rule go absolutely unchallenged.",https://spectator.org/11999_re-china-commentary/,2008-01-28
Re: China Commentary - The American Spectator,"It all reminds me of July 1, 1987 when President Ronald Reagan nominated Judge Robert Bork for an opening on the Supreme Court. He had it made in the shade, said my complacent conservative friends. The result was brutal. But we do not have to look back 32 years to see how unruly the leftwing mob can be. Recall the recent fate of Judge Brett Kavanaugh. Only his courage and unscotchable determinate saved him. The simple fact is that the conservatives are often slow on the draw against the American left. Only the Wall Street Journal and the intrepid New York Sun have come out swinging for Moore. It is time for the conservatives to rally around him. He can probably win with the President on his side. He apparently has the votes. Yet the coming battle would be a lot less bloody if the conservative movement were to take the field on Moore’s behalf — and make it clear that from now on they are going to wage war for the President’s nominees.

Print",https://spectator.org/12002_re-china-commentary/,2008-01-28
Gag Me With a Spoon (Made in China) - The American Spectator,"It all reminds me of July 1, 1987 when President Ronald Reagan nominated Judge Robert Bork for an opening on the Supreme Court. He had it made in the shade, said my complacent conservative friends. The result was brutal. But we do not have to look back 32 years to see how unruly the leftwing mob can be. Recall the recent fate of Judge Brett Kavanaugh. Only his courage and unscotchable determinate saved him. The simple fact is that the conservatives are often slow on the draw against the American left. Only the Wall Street Journal and the intrepid New York Sun have come out swinging for Moore. It is time for the conservatives to rally around him. He can probably win with the President on his side. He apparently has the votes. Yet the coming battle would be a lot less bloody if the conservative movement were to take the field on Moore’s behalf — and make it clear that from now on they are going to wage war for the President’s nominees.

Print",https://spectator.org/12388_gag-me-spoon-made-china/,2008-02-10
"Take That, Lou Dobbs: Our Export To China - The American Spectator","It all reminds me of July 1, 1987 when President Ronald Reagan nominated Judge Robert Bork for an opening on the Supreme Court. He had it made in the shade, said my complacent conservative friends. The result was brutal. But we do not have to look back 32 years to see how unruly the leftwing mob can be. Recall the recent fate of Judge Brett Kavanaugh. Only his courage and unscotchable determinate saved him. The simple fact is that the conservatives are often slow on the draw against the American left. Only the Wall Street Journal and the intrepid New York Sun have come out swinging for Moore. It is time for the conservatives to rally around him. He can probably win with the President on his side. He apparently has the votes. Yet the coming battle would be a lot less bloody if the conservative movement were to take the field on Moore’s behalf — and make it clear that from now on they are going to wage war for the President’s nominees.

Print",https://spectator.org/14686_take-lou-dobbs-our-export-china/,2008-07-28
Bush in China Shop; Colorado Faithless... - The American Spectator,"It all reminds me of July 1, 1987 when President Ronald Reagan nominated Judge Robert Bork for an opening on the Supreme Court. He had it made in the shade, said my complacent conservative friends. The result was brutal. But we do not have to look back 32 years to see how unruly the leftwing mob can be. Recall the recent fate of Judge Brett Kavanaugh. Only his courage and unscotchable determinate saved him. The simple fact is that the conservatives are often slow on the draw against the American left. Only the Wall Street Journal and the intrepid New York Sun have come out swinging for Moore. It is time for the conservatives to rally around him. He can probably win with the President on his side. He apparently has the votes. Yet the coming battle would be a lot less bloody if the conservative movement were to take the field on Moore’s behalf — and make it clear that from now on they are going to wage war for the President’s nominees.

Print",https://spectator.org/14883_bush-china-shop-colorado-faithless/,2008-08-08
China Launches Scud Missile at U.S. Economy - The American Spectator,"Metaphorically, of course. After suggesting that the U.S. needed to do more to prove the security of the bonds being held by Beijing, China now has taken aim at the dollar’s role as the world’s reserve currency. Reports the New York Times:

In another indication that China is growing increasingly concerned about holding huge dollar reserves, the head of its central bank has called for the eventual creation of a new international currency reserve to replace the dollar.

In a paper released Monday, Zhou Xiaochuan, governor of the People’s Bank of China, said a new currency reserve system controlled by the International Monetary Fund could prove more stable and economically viable.

A new system is necessary, he said, because the global economic crisis has revealed the “inherent vulnerabilities and systemic risks in the existing international monetary system.”

While few analysts believe that the dollar will be replaced as the world’s dominant foreign exchange reserve anytime soon, the proposal suggests that China is preparing to assume a more influential role in the world. Russia recently made a similar proposal.

China’s bold idea, released more than a week before world leaders are to gather in London for an economic summit meeting, also indicates that Beijing is worried that its huge dollar-denominated foreign reserves could lose significant value in coming years.

China has the world’s largest foreign exchange reserves, valued at nearly $2 trillion, with more than half of those holdings estimated to be made up of United States Treasuries and other dollar-denominated bonds.",https://spectator.org/17991_china-seeks-its-pound-flesh/,2009-03-24
Bull in the Tea Party's China Shop - The American Spectator,"A.C. Kleinheider warns against letting the compassionate conservatives and other big-government types who’ve run the GOP into the ground hijack the sentiment behind the Tea Parties as a ticket back to power. But he’s not betting anyone will listen:

So be enthusiastic about this “new” Rightist phenomenon if you want to, but if history is any guide, the professional conservatives will use and abuse these grassroots conservatives to get back into power, promptly sellout the principles of the movement, and then convince half of those they sold out that their betrayal is better than the alternative. Perhaps this time will be different and authentic conservatives will throw off their professional conservative masters and show the country what true Old Right conservatism really is. However, if past is prelude, one should not hold their breath.

We’ll have to wait and see if this is something new or just the same old song and dance.",https://spectator.org/18107_china-launches-scud-missile-us-economy/,2009-04-20
Only Nixon Can Go to China - The American Spectator,"It all reminds me of July 1, 1987 when President Ronald Reagan nominated Judge Robert Bork for an opening on the Supreme Court. He had it made in the shade, said my complacent conservative friends. The result was brutal. But we do not have to look back 32 years to see how unruly the leftwing mob can be. Recall the recent fate of Judge Brett Kavanaugh. Only his courage and unscotchable determinate saved him. The simple fact is that the conservatives are often slow on the draw against the American left. Only the Wall Street Journal and the intrepid New York Sun have come out swinging for Moore. It is time for the conservatives to rally around him. He can probably win with the President on his side. He apparently has the votes. Yet the coming battle would be a lot less bloody if the conservative movement were to take the field on Moore’s behalf — and make it clear that from now on they are going to wage war for the President’s nominees.

Print",https://spectator.org/18427_bull-tea-partys-china-shop/,2009-05-01
China and Economic Policies and Non-policies - The American Spectator,"It all reminds me of July 1, 1987 when President Ronald Reagan nominated Judge Robert Bork for an opening on the Supreme Court. He had it made in the shade, said my complacent conservative friends. The result was brutal. But we do not have to look back 32 years to see how unruly the leftwing mob can be. Recall the recent fate of Judge Brett Kavanaugh. Only his courage and unscotchable determinate saved him. The simple fact is that the conservatives are often slow on the draw against the American left. Only the Wall Street Journal and the intrepid New York Sun have come out swinging for Moore. It is time for the conservatives to rally around him. He can probably win with the President on his side. He apparently has the votes. Yet the coming battle would be a lot less bloody if the conservative movement were to take the field on Moore’s behalf — and make it clear that from now on they are going to wage war for the President’s nominees.

Print",https://spectator.org/18584_only-nixon-can-go-china/,2009-08-14
