title,text,url,published_time
A Dinner With Exiled King Trump and His Knights - The American Spectator,"The only new movie that I had planned to see this month was Black Panther: Wakanda Forever (not really). But that was before a Black Lives Matter TikTok “influencer” scared me off. Some loon named Lavynder Lee suggested in a video that it would be racist for white folks to see the movie on opening weekend. “This message is to all our wimpy accomplices and ‘white allies,’” Lee emoted in the video. “This message is to all the white people who have ‘BLM’ in their bio…. You can go see [Black Panther: Wakanda Forever] on another weekend. Go see it on the second or third weekend. But the first weekend? That’s for us.”

And not only must I not see the Marvel fantasy, but I should also buy a black person a ticket, then stand outside the theater like a goon to make sure systemic racists don’t ruin the show. “You buy your ticket, you give it to a black person or a black family who can’t afford to go,” Lee insisted. “And then you go sit in that theater, in front of the doors. You make sure that every black person in that theater can enjoy that movie in peace. You make sure that you use your body to block us from anybody who’d be coming in that theater to do us harm. That is your job.” Thoroughly intimidated, I took refuge with a much better and — in the week of the most consequential midterm election of my lifetime — far more relevant new film, the Daily Wire production My Dinner with Trump.

This is a fascinating insider look at the two-years-later reunion dinner of former President Donald Trump and his closest advisers and Cabinet heads. They included daughter Ivanka, son-in-law Jared Kushner, chief of staff Mark Meadows, economic adviser Larry Kudlow, policy adviser Stephen Miller, Housing and Urban Development Secretary Ben Carson, and Senior Counselor Kellyanne Conway. After two years of the Biden administration’s nonsensical Marxist blatherers, from the president and vice president down, it’s jarring to watch thoughtful people speaking in clear, complete, and eloquent sentences.

The dinner took place at Trump’s private club in Bedminster, New Jersey, where the diners reflected on both the great accomplishments of their administration and the catastrophic disaster of the current one. Hence, the documentary is naturally bittersweet — alternating between glory days and dark nights — as well as touching and dramatic.

The first thing that strikes the viewer is, as always, Donald Trump himself. Trump is conservative nitroglycerin. He can blow away progressive forces such as the corrupt media — like no other before him. But then, he just might explode in our faces. He did the latter last Saturday when he foolishly nicknamed the popular Florida governor and his possible presidential rival, Ron DeSantis, “Ron DeSanctimonious,” three days before the Florida election. For all Trump’s bombast, DeSantis is about to manage something Trump couldn’t — win a second term.

Nonetheless, in My Dinner with Trump, the ex-president comes off as a pleasant country squire interacting with close friends. Sitting at the head of a long dining table while appetizing food gets served, Trump appears sincerely proud of everything he and his team managed to do, yet sad about the chaotic decline that followed them. Refreshingly, he partially blames himself for the linkage. “I had two jobs — to run the country and to survive,” Trump muses at one point. “If you think about it, survival was much more difficult.”

Trump humorously admits that he made some damaging key personnel choices: “You know we had great people in this administration, but we don’t get any credit because we had guys like [Gen. Mark] Milley, who a camera hit him in the face and he blew his whole deal. I’ll never forget the way he apologized the following week. He walks over to a church that’s on fire, and he goes, and he apologizes.”

Like the tragic figure of an exiled king, Trump truly laments the total collapse of the southern border he once came close to securing. And he can’t seem to understand the Biden regime’s reckless abandonment of it. He ponders whether it’s intentional or the result of incompetence. Miller provides the simple and accurate answer: “They hate the country. I mean, that’s what it comes down to. And they hate a lot of the people in the country. But I just want to say, because this is so important, people don’t know how much you did on the border.”

Other topics at the dinner such as defense, diplomacy, and economics receive intelligent input from Trump’s experts. For instance, when Trump assails the media censorship that silenced him and continues to do so to other conservatives, saying, “The media is shut, closed, not free, corrupt as can be, and probably scared,” Carson responds with calm, Spock-like logic: “I don’t think people actually recognize what’s happening. Because when we talk about liberties, freedom of speech, they think they can only be taken away by the federal government. But the fact of the matter is Big Tech and the media take it away with a complicit government.”

My Dinner with Trump is a must-see time capsule of an Arthurian moment in American history, the further consequences of which will be made known this very Tuesday. Yet the dinner itself was originally a tiny part of a longer film. DW Entertainment producer and notable independent filmmaker Dallas Sonnier (Bone Tomahawk, Dragged Across Concrete) seized on the segment as the heart of the picture and expanded it, inspired by the iconic ’80s documentary My Dinner with Andre. (Yes, once upon a time, in the ’80s, an intellectual dinner conversation between two artists could make a theatrical hit film.)

“It took many rounds of blessing from the Trump family to get us to the finish line,” Sonnier said. “And we are honestly thrilled they trusted us with this opportunity.”

In the end, the Trump family loved the movie. And so will most of the audience.

Looking for an endearing holiday gift book? Try my romantic Christmas ghost story, The Christmas Spirit, available at Amazon, Barnes & Noble, and other fine bookstores.",https://spectator.org/a-dinner-with-exiled-king-trump-and-his-knights/,2022-11-08
Can They Really Charge Trump After This? - The American Spectator,"The Biden administration had the perfect way to get rid of Trump. The former president appeared to have stonewalled the Department of Justice from obtaining classified documents containing national-security material. An obstruction charge looked to be a relatively simple prosecution, especially before a Washington, D.C., jury.

But that’s all in jeopardy with the revelation that Joe Biden himself had three secret troves of classified documents on national-security material: one in a locked closet at a foreign policy think tank, the Center for Diplomacy and Global Engagement, aka the Penn Biden Center; another in his Wilmington, Delaware, home’s garage — alongside his Corvette; and a third in a room adjacent to his garage.

It’s impossible for the investigation into Donald Trump to be insulated from politics. A special counsel, Jack Smith, has been assigned to oversee the investigation into Trump’s handling of the material and alleged obstruction of the DOJ’s investigation, thus lending some appearance of political neutrality. But Smith reports to Attorney General Merrick Garland, who of course reports to Biden.

When it really comes down to it, Garland has the power to charge or not charge Trump.

Here’s the problem for the Biden administration: A prosecution of a former president has to be sold politically. You can’t charge a president on a basis that a huge swath of the population can’t get behind. If you did, all you’d accomplish by such a prosecution would be tarnishing the Justice Department’s reputation.

In the mind of the public, both cases are about illegally retaining classified documents. Upon leaving office, two former elected officials illegally stored classified documents, some of which were classified at the SCI, or sensitive compartmented information, level. In the case of Biden, CNN has reported that he had in his possession “intelligence memos and briefing materials that covered topics including Ukraine, Iran and the United Kingdom.” In Trump’s case, the Washington Post has reported on the basis of anonymous sources that the documents included “highly sensitive intelligence regarding Iran and China.”

Since the sitting president allegedly has committed a related crime, it would be exceedingly difficult to establish the support for charges that you’d need from the American people to prosecute Trump without blowing your reputation. Such a prosecution would come across as hypocritical, unfair, and partisan.

Yes, Trump was served a subpoena in May 2021 asking for “any and all documents or writings in the custody or control of Donald J. Trump and/or the Office of Donald J. Trump bearing classification markings” and maintained such documents in his possession until they were seized by the FBI while Biden’s lawyers voluntarily handed over the classified documents. Trump, therefore, could be charged with a separate crime.

But the argument that “both Trump and Biden illegally stored classified material, yet only Trump is being charged” would haunt any prosecution of Trump, no matter how good of a public relations campaign the DOJ and the media waged to convince Americans that Trump’s case is different. The Biden administration may come to the conclusion that a prosecution on obstruction charges is no longer politically feasible.

The liberal media is reluctantly facing this possibility.

An article in CNN Thursday is headlined “Biden’s document scandal eats away at efforts to hold Republicans accountable.”

“President Joe Biden’s embarrassment over classified documents found in his former offices is spiraling into a major political crisis that threatens to undermine the case for Donald Trump to be charged for his own hoarding of secret material,” it said.

“Garland and Smith may well think even harder before charging Trump,” concluded a Vox article comparing both cases.

The Associated Press quoted Jay Town, a U.S. attorney during the Trump administration, who said, “To the extent that the political narrative is a consideration … it does make it harder to bring charges against former President Trump as it relates to the documents seized at Mar-a-Lago.”

For its part, the media is working to convince the public that the two cases are distinct. It’s an effort that will need to widely succeed if the Biden administration wants to prosecute Trump for obstruction and sell it politically.

The Biden administration has an alternative if it doesn’t want to make the now politically uncomfortable move of charging Trump on the basis of his handling of classified documents: It can just charge him with something else.

Smith is also working his way through investigating Trump’s actions leading up to Jan. 6. According to the New York Times, Smith has issued subpoenas that suggest he is looking into whether claims of a stolen election were used to raise money, who covered legal expenses for Trump’s associates, and whether money passed to people “who were not disclosed.”

Charging Trump for something that Biden didn’t do would at least be less awkward.

There’s another solution, though. The Department of Justice could charge both Biden and Trump for their handling of classified documents. That would silence accusations of partisanship.

READ MORE:

Shh! Shh! The Classified Story of the Pot-Kettle-Black President

Yes, Biden’s Filegate Is Impeachable",https://spectator.org/biden-fbi-probe-trump/,2023-01-13
Category: The Talkies - The American Spectator,The promise of a new year is that we have another chance to start fresh and recommit ourselves to our long- and short-term goals. The new year also means that we may be blessed with pleasant surprises. We may find…,https://spectator.org/biden-should-not-run-again-trump-too/,N/A
Category: Blog - The American Spectator,U.S. diplomats in Russia released on Monday a lengthy message to Americans instructing them to leave Russia if there and to not travel to the country. Do they know something we do not? Or do the Americans still in Russia…,https://spectator.org/can-they-really-charge-trump-after-this/,N/A
Category: A Further Perspective - The American Spectator,"The one thing we know about President Joe Biden’s border policy is that migrants don’t fear it. Those who get caught often cross the border with Mexico illegally again — and get caught again. As for Biden, he has avoided…",https://spectator.org/category/americana/cultural-decline/,N/A
Category: Constitutional Opinions - The American Spectator,"To what extent must an employer accommodate an employee’s religious beliefs or practices? As of January 13, that religious liberty question will be taken up by the Supreme Court, which will consider Groff v. DeJoy in its spring term. The case addresses…",https://spectator.org/category/americana/the-talkies/,N/A
Category: Presswatch - The American Spectator,"There is no denying it anymore: the national media is dead. The truth is that they have been for a while, but their disgraceful coverage of Joe Biden’s classified document scandal is just the latest proof that they are not…",https://spectator.org/category/blog/,N/A
Category: The Nation’s Pulse - The American Spectator,"You know they’re over there, when you think about it. Just across the border. Looking longingly in our direction. Dreaming of a better life. A future for their children. Some kind of society that actually works, that offers a little…",https://spectator.org/category/blog/spectator-a-m/,N/A
Category: Political Hay - The American Spectator,"In the midst of all the uproar over CNN host Don Lemon’s dopey remarks about Nikki Haley not being in her “prime,” the serious import of GOP presidential candidate Haley’s central campaign premise is being overlooked. The 51-year-old former South…",https://spectator.org/category/choose-life/,N/A
Category: Public Depravity - The American Spectator,"It looks like the Left — or at least one writer on the left — has ceded territory in the burger boycott war. And it looks like you can chalk up another big W for In-N-Out Burger. Five years ago,…",https://spectator.org/category/flynn-files/,N/A
