title,text,url,published_time
5 Reasons Why Republicans Failed in the Elections - The American Spectator,"Republicans imagined Nov. 8 to be Christmas arriving seven weeks early. They woke up excitedly only to unwrap boxes of broken glass and dog mess.

Political actors who passively expect to find victories gift-wrapped under the tree deserve such presents.

Why did expectations beat Republicans so decisively on Tuesday?

5. Dems Vote on 30 Election Days, Republicans Vote on 1

The math of encouraging our side to vote on one day while the other side uses over a month in some cases to ensure that its people cast ballots predictably gifts the other side an advantage. Democrats bested Republicans in early and mail-in ballots by 44 percent to 30 percent in New Hampshire, 69 percent to 21 percent in Pennsylvania, and 49 percent to 29 in Michigan. In Florida, where Ron DeSantis went out of his way to encourage early voting and Republicans administered an educational beatdown to Democrats, the GOP won the early and mail-in vote by 43 percent to 37 percent. Principle does not require conservatives who lament turning Election Day into Election Month from instructing supporters to not mark ballots on all but the last day of voting; stupidity does. (READ MORE from Daniel J. Flynn: Ron DeSantaClaus: A Star Is Born)

4. Hyper-politicized Is the New Normal

The people who politicize late-night comedy, sports, awards shows, and story hour at the local library, who boycott this cereal for where it advertises and that fast-food chain for the causes one of its owners once supported, naturally all vote. So long as this total-politics mindset — which its beneficiary, Joe Biden, ironically addressed Wednesday in saying that Americans “don’t want every day going forward to be a constant political battle” — prevails, kiss off the idea that in-power Democrats will take the foot off the gas during midterm elections. The hyper-politicized wear a uniform and come out to play for their team no matter the conditions (high inflation, sputtering gross domestic product, scary crime, massive deficits). That Democrats voted into the U.S. Senate a brain-damaged man who never held a real job prior to entering politics illustrates the hyper-partisan new normal.

3. Dobbs Animated the Abortion Demographic

The Dobbs decision energized pro-abortion voters and caused complacency in pro-life voters. The abortion demographic — unmarried women — favored Democrats over Republicans by 37 percentage points. Dobbs ratcheted up intensity; it also exposed that most of the people do not side with most of the angels on the issue. A tic that forces people to believe that majorities always believe what they believe prevents many from acknowledging this reality on abortion and so many other questions. In Kentucky — not exactly New York — a pro-life ballot question failed. Ballot measures swung in the direction of the pro-abortion side in Montana, California, Vermont, and Michigan, too. While one school of thought encourages Republicans to avoid talking about such an unpleasant issue that favors the opposition, another indicates that in imitating Teller rather than Penn conservatives ensure through their silence that voters hear one side of the argument.

2. The Faustian Bargain on S0-Called ‘Election Denial’

Donald Trump pathetically still talking about how he really won in a “landslide” reduces him to a Miss Havisham–like figure refusing to take off the wedding dress or throw away the decades-old wedding cake left on the table. The word for any politician mired in the past rather than talking about the present and future? Loser. Moreover, insisting that external injustices rather than internal defects caused a defeat robs one of the ability to correct mistakes. Trump making the donning of that frayed, yellowing gown a precondition of his support ensured primary victories and general defeats in winnable races in New Hampshire, Pennsylvania, Michigan, and points beyond. Republicans ridiculed their opponents’ Jan. 6, 2021, obsession as distant from voters’ Nov. 8, 2022, concerns, but MAGA’s fixation on Nov. 3, 2020, strikes as not only more distant but cultish. Like Hare Krishnas, the members of this sect appear to one another as intensely devoted to something holy but as vacant and unsettling to everyone else.

1. Democrats Made It About Trump, and Trump Cooperated

An elderly billionaire with winning ideas but a loser’s ego started the 2022 cycle by putting pride ahead of principle (and party) in orchestrating a doomed primary challenge of solid conservative Brian Kemp in Georgia. He ended it by unwisely teasing a presumed presidential-run announcement and by calling Ron DeSantis, who turned out to be one of the saving graces for Republicans in 2022, “Ron DeSanctimonious” in a bizarre attack on a fellow conservative days before an election. In between, he emasculated J.D. Vance in front of his supporters by claiming that “J.D. is kissing my ass” for support and generally stole the stage from candidates he reduced to cheerleader roles. For an encore, he bragged that he got more votes in Florida than the night’s big Republican winner and kicked when down the losing candidates he supported. Democrats, savvy enough to see a loser where those with 2020 voter-fraud fixations saw winners, poured money into the primary campaigns of so-called MAGA candidates; all who won in the spring lost in November. While supporters of Trump loyalists blasted Mitch McConnell for pulling money from their favored candidates, Marc Thiessen dished hard facts in the Washington Post by noting that PACs affiliated with the Republican Senate leader spent $238 million on Republican candidates this cycle, while Trump’s PACs, despite raising $161 million, spent about $15 million. The Richie Aprile of American politics essentially told candidates he ostensibly supported, “If there’s anything you can do for me, let me know.”

Inflation at a 40-year high, an economy that shrank for two quarters this year, violent crime rising in large cities, a porous border, and events in Afghanistan and Ukraine highlighting the lack of respect for Biden all figured to make 2022 a strong year for Republicans, particularly in the context of the history of midterm elections serving humble pie to the party in power and reapportionment favoring the GOP. Instead, Democrats added governors, Republicans made single-digit or maybe low double-digit House gains, and the elections again look a better-than-even bet to stalemate the Senate.

Yes, encouraging developments occurred in New York and Florida, particularly in Miami-Dade County. And Republicans took the speaker’s gavel from Nancy Pelosi. But Democrats should and do celebrate 2022 as stealing victory from the jaws of defeat, and Republicans should and do mourn it as a missed opportunity.

Republicans need not passively sit by for another Election Day disappointment. They can take the corrective action.

They must address the early-voting gap by prioritizing mail-in ballots the way they once dominated on absentee ballots.

If conservatives wish to win elections and leave abortion to the states, then persuasively making the case for the people governing themselves instead of the courts imposing one-size-fits-all rules and championing babies — surely a more sympathetic interest group than grown men demanding a place in the woman’s locker room — needs to become a priority. One need not, and should not, fixate on such an indelicate subject around election time. But conservatives — not candidates but conservatives — who stay silent in an ongoing argument lose that argument.

Trump, a president who did right on foreign policy, immigration, judges, regulations, and so much else, cannot move on from his loss. So, Republicans must move on from him. This cure would prove worse than the disease if anyone interprets it as returning to the approach of the Romney-McCain-Bush era of squish Republicans. Fortunately, Virginia’s Glenn Youngkin in 2021 and Georgia’s Brian Kemp in 2022 offer a template. They won by deftly staying loyal to conservative principles without tethering themselves to the former president’s personal grievances. Embracing his ideas while ignoring him — the latter always a wise course when dealing with one suffering from a personality disorder involving narcissism — seems the best of many bad options.

Acknowledging defeat hurts. But winners, who offer congratulations rather than shout no fair, will find the key to future victories in current defeats.",https://spectator.org/5-reasons-why-republicans-failed-in-the-elections/,2022-11-11
"A Republic, But Only If We Can Keep It - The American Spectator","As Benjamin Franklin was leaving the Constitutional Convention, he was asked, “What have you given us?” He answered: “A Republic, if you can keep it.” That probably happened, but even if it didn’t, the exchange captures two fundamental truths about our Constitution.

Most of the attention has focused on the word “republic,” although in recent years that word has increasingly been misquoted as “democracy.” That mistake is both revealing and disturbing. The Founders knew their history; they understood the differences between a republic and a democracy, and with Plato and Aristotle, they approved of the former but not so much of the latter.

One key reason for their disapproval of direct, as opposed to representative democracy, was that disruptors like Donald Trump who talk a good game can get themselves elected in a direct democracy. They are less likely to prevail in a republic, which builds multiple levels of vetoes by elites into the selection process for leaders. That feature of democratic republics insures a modicum of consensus, which is necessary for government to function.

Unfortunately, the Electoral College never worked the way the Framers intended. States passed laws requiring their electors to vote in accordance with the popular vote in their state, rather than to exercise their independent judgment about who would be the best president. An extra-constitutional feature that once functioned to temper direct democracy with checks and balances was the selection of candidates by political parties rather than primary voters; since the 1970s, politicians have become independent policy entrepreneurs who no longer depend much on political parties.

It is inconceivable to me that a Donald Trump could have emerged as the candidate from the “smoke-filled rooms” that once reigned supreme at national presidential nominating conventions. He probably could not even have made it past a vote by party leaders such as the “super delegates” that the Democrats have wisely retained beginning on the second ballot at their nominating conventions.

We have gradually dismantled most of the features that once made us a republic, not a direct democracy. That has created the current crisis in which a democratically elected president is relentlessly opposed — and hated — by a large portion of the elites in our society but is popular enough with the people that he might well get re-elected. The response by the disloyal opposition, “the Resistance,” was described brilliantly by Attorney General Barr in his historic speech to the Federalist Society. Most of it is a sophisticated account of constitutional history and a defense of executive power against encroachment by the other branches, but what is most relevant for present purposes is that many people who should know better are so angry that they will stop at nothing in what they see as their sacred mission to obstruct President Trump. A sure sign confirming how bad things have gotten is that some “Nevers Trumpers” actually called for Barr’s impeachment for delivering what they called a “lunatic” speech to the “authoritarian” Federalist Society. Ever hear of the First Amendment guys? Ironically, they confirmed his point.

This level of hostility is puzzling because many of President Trump’s policies were once espoused by those who now revile them. A good example is pulling back the U.S. military from quasi-imperial missions to promote “stability” around the world. Ending “American imperialism” was the signature program of the Left in the wake of the Vietnam war, but if Trump wants to end “endless wars,” they now oppose it. Another example is building a wall on our southern border, which prominent Democrats including Barack Obama, Hillary Clinton, and Chuck Schumer all voted for when it was someone else’s wall.

A lot of the loathing of President Trump is stylistic. Vanity Fair called him a “vulgarian.” He is not the son of a great political family, nor did he work his way up through the ranks of politicians. He is a nouveau riche outsider from Queens and it shows. He delights in doing crude things that defy convention such as having affairs with porn stars, making public references to the size of his genitalia, and poking fun at the physical features of his opponents in Congress. These boorish behaviors are “not the way we do” in polite society. Worse yet, he does not consult with the career staff as they think he should, and that slight may yet be his downfall.

In view of the partisan mess that our country is now because the press and about half of the political establishment want to topple a duly elected president, we should all bear in mind a second aspect of Franklin’s famous answer that often goes unnoticed: its use of the singular indefinite article, “ A Republic,” or in the words of the Pledge of Allegiance, “one nation, under God, indivisible, with liberty and justice for all.” But only if you can keep it.

Today it is increasingly in doubt whether one nation indivisible is something we can keep. We live in different worlds, depending upon our sources of information. The late Senator Daniel Patrick Moynihan said, “Everyone is entitled to his own opinions, but not his own facts.” How quaint and old-fashioned that seems; today both sides live in different realities created by CNN and MSNBC, or Fox News and Sean Hannity.

Recently the second edition of a book advocating the secession of Texas from the United States was published, Texit: Why and How Texas Will Leave The Union. There is also one about the secession of California, Calexit. It was originally a comic book about heroic revolutionaries who resist a fascist president who wants to deport all illegal aka “undocumented” immigrants. Somehow a comic book seems appropriate for that simplistic narrative about a complex problem, but the idea of California seceding is now also a serious movement.

A century and a half ago we fought the first American civil war over whether we would continue as one nation indivisible. I doubt whether any modern-day Lincoln would send troops to fight the secession of Texas or California; instead, like the Brits and the Scots in 2014, we’d probably hold a polite referendum.

My father told me that he and my mother had a deal: “We would discuss decisions, but if we couldn’t agree, she would make all of the little decisions and I would make all the big ones. After 45 years of marriage,” he continued, “we have not had to make any big decisions, but if we ever do, I intend to make them.” I chuckled, nodded and went on with my life as a clueless teenager. Years later I understood: in a marriage — as in a nation — there aren’t many “big” decisions that are worth putting the union itself at risk over.

A letter in Lincoln’s handwriting hangs on the wall of the Wadsworth Atheneum museum in Hartford. Lincoln personally was opposed to slavery, but in reply to abolitionist editor Horace Greeley, Lincoln maintained that even abolishing slavery was not worth sacrificing the union: “My paramount object in this struggle is to save the Union, and is not either to save or to destroy slavery. If I could save the Union without freeing any slave I would do it, and if I could save it by freeing all the slaves I would do it; and if I could save it by freeing some and leaving others alone I would also do that.”

I don’t agree with Lincoln that saving the union was more important than abolishing slavery, but then, he is one of our greatest presidents and his letter shows how important he considered preserving our republic as a single nation.

As we consider the impeachment of Donald Trump, I hope that both sides will keep their grievances in perspective and remember that it is only “a Republic” if we can keep it. Or in the lingo that millennials understand, “Democracy … means sharing a country with ass–les you can’t stand.” Thank you for that, Bill Maher. Ben Franklin and Abe Lincoln are nodding and smiling.",https://spectator.org/a-republic-but-only-if-we-can-keep-it/,2019-11-19
The Answer to Every Mass-Shooting Whodunit: Republicans! - The American Spectator,"Bruce Willis merely saw dead people. Democrats see the Republicans who murdered them.

The latest manifestation of this supernatural power occurred in Colorado Springs, where an admitted heroin addict, arrested last year for threatening to bomb his own mother, murdered five strangers in a gay bar over the weekend. But, according to Alexandria Ocasio-Cortez, the blame falls not in Colorado Springs but in Washington, D.C. Republicans did this.

“After Trump elevated anti-immigrant & anti-Latino rhetoric, we had the deadliest anti-Latino shooting in modern history,” AOC tweeted. “After anti-Asian hate w/COVID, Atlanta. Tree of life. Emanuel AME. Buffalo. And now after an anti-LGBT+ campaign, Colorado Springs. Connect the dots, @GOP.”

Whoever called Republicans the stupid party never tested AOC’s IQ.

Conspiracy theorists who talk a mile a minute about the Bilderbergers and WTC 7 and grassy knolls command others to “connect the dots.” Rational people operate on evidence.

Does anything beyond what kids do with a pencil support any of AOC’s dot-connecting?

In Uvalde, site of the “deadliest anti-Latino shooting in modern history,” locals remembered the shooter once walking around with a bag of dead cats (behavior typically observed at GOP conventions). His Wendy’s co-workers and participants on Yubo separately nicknamed him “school shooter.” A classmate says he picked fights and beat animals (an initiation rite of the Young Republicans).

Does AOC really believe Salvador Ramos drew from “anti-Latino rhetoric,” rather than his own demons, to murder those children and teachers?

In Buffalo, an insane, racist 18-year-old murdered 10 African Americans at a local grocery store. His strange behavior included wearing a full hazmat suit to school in response to COVID. He wrote a manifesto, and described himself as pro–gay rights, an atheist, and an environmentalist. The screed contains such statements as “There is no Green future with never ending population growth” and “If an ethnocentric European future is to be achieved global free markets and the trade of goods is to be discouraged at all costs.”

While his extremism uneasily fits in with either party, it seems far closer to AOC’s positions than to those of Kevin McCarthy or Ron DeSantis.

A reflexive blaming of ideological enemies for acts of great evil diagnoses an affliction far more sinister than politics on the brain. This tic reorients sympathy for the victims toward the political obsessions of politicians and journalists. It makes the murder of strangers about them. This is profoundly indecent. People who fall for it exhibit signs of delusional behavior. Professional journalists who recycle this worn template exhibit a disease less of the brain than of the soul.

Ironically, the tired narrative that the more reckless Democrats engaging in this ghoulishness advance posits that the killing stems from Republicans demonizing others. Psychologists call this projection. Laymen call it terribly convenient.

When James Hodgkinson, a volunteer for the presidential campaign of Bernie Sanders, used Republican officeholders for target practice, guess whom the Left blamed?

“Somewhere in the 1990s,” Nancy Pelosi claimed, “Republicans decided on the politics of personal destruction as they went after the Clintons and that is the provenance of it and is what has continued.” She described the GOP as “sanctimonious” in the wake of the attempted slaughter on the baseball field. Daily Kos founder Markos Moulitsas bizarrely tweeted, “Republicans are getting what they want.”

The entire motive for progressives, after Jared Lee Loughner, after James Holmes, after Lee Harvey Oswald even, falsely blaming conservatives for murder stems from a desire to demonize people who do not think as they do. That, more so than murder, strikes fanatics as the most cardinal sin.

The gods did not bestow the gift to see dead people’s murderers upon all Democrats.

Jared Polis, the openly gay governor of Colorado who apparently lacks the sixth sense others in his party possess, explained: “We don’t yet know the specifics of why, what the motive was.”

We? He speaks for himself. The governor does not know the whys or whats in Colorado Springs. But a Millennial in the Bronx has a bead on the situation.

She always does.",https://spectator.org/answer-to-every-mass-shooting-whodunit-republicans/,2022-11-23
Anti-Trump Republicans Show Dysfunctional Love for the GOP - The American Spectator,"Washington

The Lincoln Project is a group of self-described alienated Republicans who want to make sure President Donald Trump loses in November.

Toward that end, the group has endorsed former Vice President Joe Biden for president.

Led by notables such as George Conway, who obsessively berates the boss of his wife, Kellyanne, on Twitter, as well as one-time GOP heavyweights Steve Schmidt and John Weaver, the group claims its goal is to reclaim the soul of the Republican Party.

That is impossible to believe, because they’re working not only to oust Trump but also to hand the Senate over to Democrats. If they succeed, the Democratic Party would control the White House and both houses of Congress. Every conservative policy they’ve allegedly worked to make happen would be trampled in a remorseless stampede of liberal activism.

They claim they are being true to the Constitution — as they clear the way for judges who see the indispensable document as the fruit of the poisonous tree.

In a December New York Times opinion piece, Lincoln founders wrote that they would punish Republicans who have exhibited a “craven acquiescence” to Trump.

Then whom do they pick on? Not the folks who wouldn’t care if Trump shot someone on Fifth Avenue.

The Lincoln Project has targeted vulnerable Republican senators like Maine’s Susan Collins. In a $1 million ad campaign, the group charges Collins “never stands up to Trump” and dismisses her as a “Trump stooge.” The male narrator also warned that Trump and McConnell “controlled her voice.”

Be it noted, Collins publicly announced in 2016 she would not vote for her party’s nominee. As she wrote in the Washington Post, Collins could not countenance the GOP nominee’s remarks about the disabled, a judge of Mexican heritage, and his disparaging of two Gold Star Muslim parents.

As proof, the ad offers Collins’ record of voting with Trump and McConnell 67.5 percent of the time — which in this hyper-partisan age shows unusual independence. By that FiveThirtyEight metric, Collins voted with GOP leadership less than any other Republican in the Senate.

In 2017, the Lugar Center named Collins the most bipartisan lawmaker in the Senate — because she works with people who have won elections.

Did I mention that the group raised $16.8 million from April through June — and a big chunk of that pile came from billionaire Democratic donors?

But you already figured that out.

According to the Center for Responsive Politics, investor Stephen Mandel gave $1 million to the Lincoln Project. Hollywood big shot David Geffen, Bain Capital exec Joshua Bekenstein, and billionaire Amos Hostetter, all big Dem donors, gave $100,000 to the project.

The Center describes the Lincoln Project as a “liberal” super PAC.

Some of that money, the Center noted, has found its way into the coffers of its “board members and firms run by them.”

I talked to Lincoln Project co-founder Mike Madrid, who told me, “I have not received any compensation at this point.” He added, “If I wanted to make money, I would have gotten involved in the grift that is the Trump campaign and Trump operation.”

A veteran GOP operative with an expertise in Latino voting trends, Madrid told me before he is a Republican, he is a conservative, and an American.

He is not coy about his belief that Trump is a racist who should have been impeached. Trump’s Thursday tweet in which he floated the idea delaying the Nov. 3 election should settle that score, he said.

Thus, the Lincoln Project has waged war, not just on Trump, but also “Trumpism,” which is a “threat to the Republic,” hence the decision to go after those who are enablers.

Collins did not vote to impeach Trump, Madrid said. So she has to go. If the Democrats take the Senate, so be it. He’s being true to his conservative principles.

There is a true French Revolution fervor to the Lincoln Project’s bid to punish not just Trump but those associated with him — and there is no such thing as too much character assassination.

The group also popped out a nasty ad about Ivanka Trump, the president’s elder daughter and senior adviser that lampoons her “Find Something New” campaign, which helps workers find more fulfilling career paths outside the traditional four-year college route.

“You can even get a job in the White House. Just ask daddy,” the bubbly Valley Girl narrator offers.

They don’t mention Ivanka Trump doesn’t cash a paycheck. Really, it’s just plain mean that they have attacked her for trying to help non-college graduates, a wonky issue that she has embraced, adopting wonk lingo, using “partner” as a verb and spending way too much time with put-a-mirror-under-his-nose-to-see-if-he’s-alive Commerce Secretary Wilbur Ross because she cares about this agenda.

The ad is a primal scream of outrage that Ivanka Trump isn’t the shallow fashionista they want her to be.

The streets have given testament to rage on the American Left. Social media are the venue for rage among the American Right. Here you see the fury of the GOP’s no-longer-wanted luminaries. They say they love the country. They say they’re going after bad Republicans because they love their party. Yeah, right. Women know that kind of love. It’s the kind that drives a man to his nightstand where he thinks he will find the answer to his pain. And when he points that barrel at his wife, he’ll call it love. But what he is thinking is: If I can’t have you, nobody can.

Contact Debra J. Saunders at dsaunders@reviewjournal.com or 202-662-7391. Follow @DebraJSaunders on Twitter.

COPYRIGHT 2020 CREATORS.COM",https://spectator.org/anti-trump-republicans-show-dysfunctional-love-for-the-gop/,2020-08-02
Biden’s Banana Republic - The American Spectator,"Left-wing tyrants are famous for calling their ramshackle one-party states “democratic.” Joe Biden’s endless blather about democracy while treating his political opponents as “domestic enemies” belongs to this tradition. He equates democracy with unchallenged liberal tyranny. What he calls “threats” to democracy are nothing more than instances of public resistance to his attempts to build a one-party state in America. He wants docility, not democracy, and seeks to eliminate his political foes as crudely as any tinpot leader of a banana republic.

In the Clinton era, the Democrats sought to eliminate their political opponents a little more subtly. They set up “civility commissions” and the like to try and minimize the influence of Rush Limbaugh and company. But now they favor the most baldly undemocratic measures, rejoicing in Silicon Valley’s silencing of conservatives, the Justice Department’s targeting of parents as “terrorists,” and the drive to prevent the people from voting for Donald Trump again.

How is any of this different than a banana republic where one party ascends to power and uses it to wipe out its political opponents? This week’s announcement that the Justice Department is setting up a special unit to hassle conservatives under the guise of battling “domestic terrorism” befits the criminalization of political differences that mark a banana republic.

Sounding like cronies to a banana republic dictator, former CIA Director John Brennan and former high-ranking FBI official Andrew McCabe urge Biden to prosecute his political opponents. At the beginning of the Biden administration, Brennan, an old admirer of the Soviet Union (he once admitted that he voted for its plant in American politics, Gus Hall), burbled over the repression of conservatives to come:

I know looking forward that the members of the Biden team, who have been nominated or have been appointed, are now moving in laser-like fashion to try to uncover as much as they can about what looks very similar to insurgency movements that we’ve seen overseas. Where they germinate in different parts of the country, and they gain strength, and it brings together an unholy alliance, frequently, of religious extremists, authoritarians, fascists, bigots, racists, nativists — even libertarians.

McCabe calls mainstream conservatives violent: “It’s entirely possible that when the intelligence community, the law enforcement community, looks out across this mainstream… they didn’t assume that that group of people business owners, white people from the suburbs, educated, employed, presented a threat of violence. And now we know very clearly that they do.”

That these two left-wing political hacks held enormous power in American government illustrates its reduction to the status of a banana republic. The same staggering partisan recklessness that drove them to spy on Trump as a Putin mole undergirds their advice to Biden. Their essential counsel — throw your political opponents in jail — is exactly what you would hear within the governing circles of Castro’s Cuba.

Dictatorship, not democracy, is the terminus of modern liberalism. Wherever it prevails, democratic participation shrinks, not grows. The fundamentally transformed America of Biden’s imagination is just a left-wing autocracy in which judges and ruling-class mandarins deprive the people of democratic choice and cut them off from the Constitution.

In his ludicrous speech on Tuesday, Biden cast his annoyance at democracy as a fight for its “soul.” His whole agenda is to kill that soul and render the people servile. A president who treats half the country like dangerous dissidents, while celebrating flag boycotts and pumping critical race theory into America’s schools, has no interest in a democratic future for America. His goal is simply the consolidation and expansion of liberal power.

Many of the defining features of a banana republic appear under Biden: the cheap demagoguery about the rights of the “people” even as they lose those rights, the routine portrayal of political opponents as traitors, open political prosecutions for trumped-up offenses, and demands that the party in power be able to curtail the free speech of critics.

Biden says that the Democrats are the party of voters’ rights — the same party that wants to deny voters the choice of voting for Donald Trump. Hillary Clinton says that another Trump run could be the “end of democracy.” Such absurd and contradictory rhetoric smacks of the election-rigging in banana republics, where leaders get to determine who can and can’t run against them. What the Democrats call threats to democracy are merely proofs of it.",https://spectator.org/biden-banana-republic/,2022-01-13
Category: The Talkies - The American Spectator,The promise of a new year is that we have another chance to start fresh and recommit ourselves to our long- and short-term goals. The new year also means that we may be blessed with pleasant surprises. We may find…,https://spectator.org/brain-dead-democrats-blame-crime-on-republicans/,N/A
Category: Blog - The American Spectator,U.S. diplomats in Russia released on Monday a lengthy message to Americans instructing them to leave Russia if there and to not travel to the country. Do they know something we do not? Or do the Americans still in Russia…,https://spectator.org/category/americana/,N/A
Category: Flynn Files - The American Spectator,"Federal revenues project higher for the next 10 years than the average for the past half-century. So how, with record revenues, can the forecasted debt-to-GDP ratio soon surpass any in the history of the United States? On Wednesday, the Congressional…",https://spectator.org/category/americana/pulse/,N/A
Category: News - The American Spectator,"Socialism is experiencing a wave of respectability. Trendiness, even. There are proposals for “Medicare for All” and increased taxation of the rich rising up to confiscatory levels. The later will almost certainly not generate enough revenue to pay for the…",https://spectator.org/category/americana/state-watch/,N/A
Category: Politics - The American Spectator,"Dmitry Medvedev, the deputy chairman of Russia’s Security Council, stated on Wednesday that Russia will “disappear” if it loses the war in Ukraine and that “it will be torn to pieces.” This statement should be taken seriously, reflected upon with…",https://spectator.org/category/americana/the-talkies/,N/A
